"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 41013060.587257 41013060.587257 41013005.647257 41013005.647257
3 41001231.529311 41001231.529311 41001176.589311 41001176.589311
17 40997058.563476 40997058.563476 40997003.623476 40997003.623476
41 27618666.374097 27618666.374097 27618611.434097 27618611.434097
44 27607174.728579 27607174.728579 27607119.788579 27607119.788579
81 8935997.187857 8935997.187857 8935942.247857 8935942.247857
84 8934029.557054 8934029.557054 8933974.617054 8933974.617054
241 4922093.825835 4922093.825835 4922038.885835 4922038.885835
242 4920790.846849 4920790.846849 4920735.906849 4920735.906849
243 4920169.363463 4920169.363463 4920114.423463 4920114.423463
248 4919773.535722 4919773.535722 4919718.595722 4919718.595722
250 4919076.639153 4919076.639153 4919021.699153 4919021.699153
263 4918698.844640 4918698.844640 4918643.904640 4918643.904640
1361 1937050.404946 1937050.404946 1936995.464946 1936995.464946
1377 1936959.378290 1936959.378290 1936904.438290 1936904.438290
2190 1910733.218771 1910733.218771 1910678.278771 1910678.278771
2205 1728078.842776 1728078.842776 1728023.902776 1728023.902776
2210 1700981.425824 1700981.425824 1700926.485824 1700926.485824
2214 1600781.077816 1600781.077816 1600726.137816 1600726.137816
2326 1542367.996728 1542367.996728 1542313.056728 1542313.056728
2335 1533810.834841 1533810.834841 1533755.894841 1533755.894841
2579 842022.150447 842022.150447 841967.210447 841967.210447
2588 653259.254846 653259.254846 653204.314846 653204.314846
4211 652722.162833 652722.162833 652667.222833 652667.222833
4213 651901.454556 651901.454556 651846.514556 651846.514556
285000 8478848.541888 651901.454556 8478848.541888 651846.514556
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 45737044.672840 45737044.672840 45736989.732840 45736989.732840
2 45714527.448930 45714527.448930 45714472.508930 45714472.508930
3 45695750.011008 45695750.011008 45695695.071008 45695695.071008
41 21030713.061107 21030713.061107 21030658.121107 21030658.121107
44 21027037.242868 21027037.242868 21026982.302868 21026982.302868
81 12220184.627586 12220184.627586 12220129.687586 12220129.687586
83 12215914.858572 12215914.858572 12215859.918572 12215859.918572
97 12214051.729703 12214051.729703 12213996.789703 12213996.789703
116 12213938.543123 12213938.543123 12213883.603123 12213883.603123
121 10041616.057548 10041616.057548 10041561.117548 10041561.117548
156 10039918.739780 10039918.739780 10039863.799780 10039863.799780
281 5568582.891686 5568582.891686 5568527.951686 5568527.951686
282 5564203.267937 5564203.267937 5564148.327937 5564148.327937
284 5558026.817578 5558026.817578 5557971.877578 5557971.877578
321 4357492.617489 4357492.617489 4357437.677489 4357437.677489
333 4357314.098199 4357314.098199 4357259.158199 4357259.158199
335 4356628.386814 4356628.386814 4356573.446814 4356573.446814
344 4354192.384124 4354192.384124 4354137.444124 4354137.444124
1161 4005824.130621 4005824.130621 4005769.190621 4005769.190621
1162 4004523.709329 4004523.709329 4004468.769329 4004468.769329
1166 4003267.974031 4003267.974031 4003213.034031 4003213.034031
1168 4003177.857528 4003177.857528 4003122.917528 4003122.917528
1173 4002987.872867 4002987.872867 4002932.932867 4002932.932867
1196 4002535.777281 4002535.777281 4002480.837281 4002480.837281
2120 2945618.177430 2945618.177430 2945563.237430 2945563.237430
2123 2378553.776103 2378553.776103 2378498.836103 2378498.836103
2124 1997013.325753 1997013.325753 1996958.385753 1996958.385753
2132 1968257.559154 1968257.559154 1968202.619154 1968202.619154
3132 1966147.276613 1966147.276613 1966092.336613 1966092.336613
3139 1965872.465853 1965872.465853 1965817.525853 1965817.525853
3148 1964303.322379 1964303.322379 1964248.382379 1964248.382379
5193 1611372.126482 1611372.126482 1611317.186482 1611317.186482
6501 1610046.567869 1610046.567869 1609991.627869 1609991.627869
6504 1609857.632333 1609857.632333 1609802.692333 1609802.692333
6505 1609220.058044 1609220.058044 1609165.118044 1609165.118044
130737 1229189.623751 1229189.623751 1229134.683751 1229134.683751
