"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2487840.336121 2487840.336121 2487916.606121 2487916.606121
4 2484731.948273 2484731.948273 2484808.218273 2484808.218273
6 2479515.091499 2479515.091499 2479591.361499 2479591.361499
81 1211851.176050 1211851.176050 1211927.446050 1211927.446050
82 1209895.882622 1209895.882622 1209972.152622 1209972.152622
83 1206895.745951 1206895.745951 1206972.015951 1206972.015951
85 1201842.003569 1201842.003569 1201918.273569 1201918.273569
121 1235.450178 1235.450178 1311.720178 1311.720178
124 1207.441275 1207.441275 1283.711275 1283.711275
126 1175.668327 1175.668327 1251.938327 1251.938327
2098 486.104698 486.104698 562.374698 562.374698
2105 373.389429 373.389429 449.659429 449.659429
2307 225.192579 225.192579 301.462579 301.462579
3572 222.462569 222.462569 298.732569 298.732569
3573 215.258244 215.258244 291.528244 291.528244
3575 202.339457 202.339457 278.609457 278.609457
5399 152.884973 152.884973 229.154973 229.154973
6981 149.551605 149.551605 225.821605 225.821605
6984 146.577827 146.577827 222.847827 222.847827
6986 140.815338 140.815338 217.085338 217.085338
285000 798052.296320 140.815338 798052.296320 217.085338
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 21310696.128310 21310696.128310 21310772.398310 21310772.398310
4 21302914.293817 21302914.293817 21302990.563817 21302990.563817
6 21289785.443978 21289785.443978 21289861.713978 21289861.713978
41 3914537.723870 3914537.723870 3914613.993870 3914613.993870
42 3912810.899817 3912810.899817 3912887.169817 3912887.169817
43 3910159.416509 3910159.416509 3910235.686509 3910235.686509
45 3905688.228238 3905688.228238 3905764.498238 3905764.498238
81 1186285.053257 1186285.053257 1186361.323257 1186361.323257
84 1182419.291721 1182419.291721 1182495.561721 1182495.561721
86 1175903.395633 1175903.395633 1175979.665633 1175979.665633
121 440504.194802 440504.194802 440580.464802 440580.464802
122 439733.080906 439733.080906 439809.350906 439809.350906
123 438552.115392 438552.115392 438628.385392 438628.385392
125 436569.754310 436569.754310 436646.024310 436646.024310
441 382418.218701 382418.218701 382494.488701 382494.488701
442 381789.027795 381789.027795 381865.297795 381865.297795
443 380825.469015 380825.469015 380901.739015 380901.739015
445 379207.956502 379207.956502 379284.226502 379284.226502
1641 302481.060904 302481.060904 302557.330904 302557.330904
1642 302021.157245 302021.157245 302097.427245 302097.427245
1643 301316.133475 301316.133475 301392.403475 301392.403475
1645 300130.122655 300130.122655 300206.392655 300206.392655
1881 168172.502355 168172.502355 168248.772355 168248.772355
1884 167342.586990 167342.586990 167418.856990 167418.856990
1886 165966.253193 165966.253193 166042.523193 166042.523193
1961 18130.770360 18130.770360 18207.040360 18207.040360
1964 17905.521434 17905.521434 17981.791434 17981.791434
1966 17543.825322 17543.825322 17620.095322 17620.095322
2025 669.477264 669.477264 745.747264 745.747264
2090 447.471495 447.471495 523.741495 523.741495
2145 191.895465 191.895465 268.165465 268.165465
3172 189.919090 189.919090 266.189090 266.189090
3173 186.464696 186.464696 262.734696 262.734696
3175 184.123060 184.123060 260.393060 260.393060
285000 9481.020684 184.123060 9481.020684 260.393060
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1050027.009865 1050027.009865 1050103.279865 1050103.279865
2 1048219.083394 1048219.083394 1048295.353394 1048295.353394
3 1045445.526483 1045445.526483 1045521.796483 1045521.796483
5 1040776.395803 1040776.395803 1040852.665803 1040852.665803
121 509432.520748 509432.520748 509508.790748 509508.790748
122 508498.913723 508498.913723 508575.183723 508575.183723
123 507068.886978 507068.886978 507145.156978 507145.156978
125 504667.616290 504667.616290 504743.886290 504743.886290
161 140796.214701 140796.214701 140872.484701 140872.484701
162 140293.449742 140293.449742 140369.719742 140369.719742
163 139521.592778 139521.592778 139597.862778 139597.862778
165 138220.473079 138220.473079 138296.743079 138296.743079
761 112028.582918 112028.582918 112104.852918 112104.852918
764 111533.249964 111533.249964 111609.519964 111609.519964
766 110686.019719 110686.019719 110762.289719 110762.289719
881 38382.147595 38382.147595 38458.417595 38458.417595
882 38182.191312 38182.191312 38258.461312 38258.461312
883 37875.591868 37875.591868 37951.861868 37951.861868
885 37360.114404 37360.114404 37436.384404 37436.384404
2007 835.000645 835.000645 911.270645 911.270645
2124 775.422340 775.422340 851.692340 851.692340
2130 473.892338 473.892338 550.162338 550.162338
2137 173.492478 173.492478 249.762478 249.762478
3171 173.190701 173.190701 249.460701 249.460701
3178 173.132487 173.132487 249.402487 249.402487
3181 173.044001 173.044001 249.314001 249.314001
285000 3870830.187278 173.044001 3870830.187278 249.314001
