"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3698.752478 3698.752478 3728.722478 3728.722478
5 3698.429865 3698.429865 3728.399865 3728.399865
41 3080.198769 3080.198769 3110.168769 3110.168769
43 3080.179552 3080.179552 3110.149552 3110.149552
45 3080.113531 3080.113531 3110.083531 3110.083531
48 3079.982305 3079.982305 3109.952305 3109.952305
52 3079.965602 3079.965602 3109.935602 3109.935602
53 3079.820066 3079.820066 3109.790066 3109.790066
81 2366.108602 2366.108602 2396.078602 2396.078602
91 2365.986156 2365.986156 2395.956156 2395.956156
93 2365.828734 2365.828734 2395.798734 2395.798734
961 1992.011522 1992.011522 2021.981522 2021.981522
962 1991.835848 1991.835848 2021.805848 2021.805848
964 1991.569826 1991.569826 2021.539826 2021.539826
988 1991.427552 1991.427552 2021.397552 2021.397552
2409 1689.914441 1689.914441 1719.884441 1719.884441
2412 1650.254977 1650.254977 1680.224977 1680.224977
3812 1650.145709 1650.145709 1680.115709 1680.115709
3814 1649.933492 1649.933492 1679.903492 1679.903492
3838 1649.821842 1649.821842 1679.791842 1679.791842
3843 1649.814961 1649.814961 1679.784961 1679.784961
7744 1515.694783 1515.694783 1545.664783 1545.664783
8632 1515.356521 1515.356521 1545.326521 1545.326521
8647 1515.180113 1515.180113 1545.150113 1545.150113
285000 3178.251335 1515.180113 3178.251335 1545.150113
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3395.229752 3395.229752 3425.199752 3425.199752
5 3394.867564 3394.867564 3424.837564 3424.837564
41 2884.627380 2884.627380 2914.597380 2914.597380
42 2884.012214 2884.012214 2913.982214 2913.982214
45 2883.858666 2883.858666 2913.828666 2913.828666
201 2750.707463 2750.707463 2780.677463 2780.677463
205 2750.628663 2750.628663 2780.598663 2780.598663
229 2750.568087 2750.568087 2780.538087 2780.538087
281 2160.654746 2160.654746 2190.624746 2190.624746
282 2160.544932 2160.544932 2190.514932 2190.514932
283 2160.363477 2160.363477 2190.333477 2190.333477
291 2160.297807 2160.297807 2190.267807 2190.267807
309 2160.153907 2160.153907 2190.123907 2190.123907
1521 2013.780932 2013.780932 2043.750932 2043.750932
1523 2013.591187 2013.591187 2043.561187 2043.561187
1525 2013.554603 2013.554603 2043.524603 2043.524603
1528 2013.520160 2013.520160 2043.490160 2043.490160
2120 1733.661947 1733.661947 1763.631947 1763.631947
2651 1713.028586 1713.028586 1742.998586 1742.998586
2657 1703.266319 1703.266319 1733.236319 1733.236319
4371 1703.186340 1703.186340 1733.156340 1733.156340
4373 1702.934659 1702.934659 1732.904659 1732.904659
4375 1702.872528 1702.872528 1732.842528 1732.842528
4378 1702.836665 1702.836665 1732.806665 1732.806665
8285 1673.973922 1673.973922 1703.943922 1703.943922
8387 1618.189400 1618.189400 1648.159400 1648.159400
10152 1618.122863 1618.122863 1648.092863 1648.092863
10155 1617.997596 1617.997596 1647.967596 1647.967596
10168 1617.995442 1617.995442 1647.965442 1647.965442
10169 1617.990342 1617.990342 1647.960342 1647.960342
10171 1617.707126 1617.707126 1647.677126 1647.677126
285000 2944.862242 1617.707126 2944.862242 1647.677126
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2691.113112 2691.113112 2721.083112 2721.083112
5 2690.995305 2690.995305 2720.965305 2720.965305
38 2690.984673 2690.984673 2720.954673 2720.954673
281 2604.518049 2604.518049 2634.488049 2634.488049
282 2603.793794 2603.793794 2633.763794 2633.763794
