"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 80.137290 80.137290 27.787290 27.787290
2 80.130025 80.130025 27.780025 27.780025
4 80.126902 80.126902 27.776902 27.776902
6 80.078872 80.078872 27.728872 27.728872
281 62.125041 62.125041 9.775041 9.775041
282 62.055797 62.055797 9.705797 9.705797
283 62.048036 62.048036 9.698036 9.698036
295 62.039869 62.039869 9.689869 9.689869
302 62.037149 62.037149 9.687149 9.687149
1001 50.332046 50.332046 -2.017954 -2.017954
1002 50.319901 50.319901 -2.030099 -2.030099
1003 50.310572 50.310572 -2.039428 -2.039428
1006 50.279933 50.279933 -2.070067 -2.070067
1721 50.078395 50.078395 -2.271605 -2.271605
1722 50.077063 50.077063 -2.272937 -2.272937
1723 50.065657 50.065657 -2.284343 -2.284343
1729 50.057264 50.057264 -2.292736 -2.292736
1733 50.057244 50.057244 -2.292756 -2.292756
2052 46.731445 46.731445 -5.618555 -5.618555
2056 43.496774 43.496774 -8.853226 -8.853226
2122 38.733935 38.733935 -13.616065 -13.616065
2426 33.825964 33.825964 -18.524036 -18.524036
2429 31.476753 31.476753 -20.873247 -20.873247
2430 31.040361 31.040361 -21.309639 -21.309639
2432 27.528950 27.528950 -24.821050 -24.821050
3851 27.528806 27.528806 -24.821194 -24.821194
3853 27.519089 27.519089 -24.830911 -24.830911
3856 27.508990 27.508990 -24.841010 -24.841010
4906 21.476795 21.476795 -30.873205 -30.873205
4974 19.378124 19.378124 -32.971876 -32.971876
5276 18.589484 18.589484 -33.760516 -33.760516
5283 18.165265 18.165265 -34.184735 -34.184735
5585 16.760118 16.760118 -35.589882 -35.589882
5593 15.897630 15.897630 -36.452370 -36.452370
7421 15.894928 15.894928 -36.455072 -36.455072
7426 15.892013 15.892013 -36.457987 -36.457987
7429 15.888693 15.888693 -36.461307 -36.461307
7709 13.943126 13.943126 -38.406874 -38.406874
7816 12.853534 12.853534 -39.496466 -39.496466
8432 12.648200 12.648200 -39.701800 -39.701800
8435 11.735941 11.735941 -40.614059 -40.614059
10271 11.733920 11.733920 -40.616080 -40.616080
10276 11.731257 11.731257 -40.618743 -40.618743
10279 11.729150 11.729150 -40.620850 -40.620850
10551 11.270628 11.270628 -41.079372 -41.079372
10553 10.512701 10.512701 -41.837299 -41.837299
10655 7.295290 7.295290 -45.054710 -45.054710
11641 7.293870 7.293870 -45.056130 -45.056130
11645 7.291434 7.291434 -45.058566 -45.058566
11653 7.290305 7.290305 -45.059695 -45.059695
13503 5.902859 5.902859 -46.447141 -46.447141
13506 5.423299 5.423299 -46.926701 -46.926701
13507 4.738892 4.738892 -47.611108 -47.611108
13512 4.552146 4.552146 -47.797854 -47.797854
13727 4.462782 4.462782 -47.887218 -47.887218
15011 4.461450 4.461450 -47.888550 -47.888550
15017 4.459281 4.459281 -47.890719 -47.890719
15025 4.457544 4.457544 -47.892456 -47.892456
16353 3.432965 3.432965 -48.917035 -48.917035
16355 3.295924 3.295924 -49.054076 -49.054076
16356 2.863816 2.863816 -49.486184 -49.486184
16576 2.651057 2.651057 -49.698943 -49.698943
16578 2.504264 2.504264 -49.845736 -49.845736
16580 2.479344 2.479344 -49.870656 -49.870656
16585 2.298939 2.298939 -50.051061 -50.051061
17861 2.298114 2.298114 -50.051886 -50.051886
17866 2.296836 2.296836 -50.053164 -50.053164
17886 2.295325 2.295325 -50.054675 -50.054675
19203 2.169256 2.169256 -50.180744 -50.180744
19205 2.077766 2.077766 -50.272234 -50.272234
19214 2.024119 2.024119 -50.325881 -50.325881
19424 1.765114 1.765114 -50.584886 -50.584886
19426 1.521815 1.521815 -50.828185 -50.828185
19430 1.500112 1.500112 -50.849888 -50.849888
19436 1.499550 1.499550 -50.850450 -50.850450
20711 1.498138 1.498138 -50.851862 -50.851862
20720 1.498126 1.498126 -50.851874 -50.851874
20736 1.496345 1.496345 -50.853655 -50.853655
22053 1.432507 1.432507 -50.917493 -50.917493
22055 1.352185 1.352185 -50.997815 -50.997815
22057 1.308381 1.308381 -51.041619 -51.041619
22274 1.005238 1.005238 -51.344762 -51.344762
22277 0.860658 0.860658 -51.489342 -51.489342
22278 0.808642 0.808642 -51.541358 -51.541358
23561 0.806814 0.806814 -51.543186 -51.543186
23579 0.806677 0.806677 -51.543323 -51.543323
24903 0.769406 0.769406 -51.580594 -51.580594
24906 0.661761 0.661761 -51.688239 -51.688239
24907 0.603290 0.603290 -51.746710 -51.746710
24908 0.519771 0.519771 -51.830229 -51.830229
25124 0.357899 0.357899 -51.992101 -51.992101
25127 0.313860 0.313860 -52.036140 -52.036140
25133 0.275303 0.275303 -52.074697 -52.074697
26411 0.273785 0.273785 -52.076215 -52.076215
27753 0.236310 0.236310 -52.113690 -52.113690
27755 0.185227 0.185227 -52.164773 -52.164773
27759 0.183441 0.183441 -52.166559 -52.166559
27762 0.153171 0.153171 -52.196829 -52.196829
27974 0.131937 0.131937 -52.218063 -52.218063
27979 0.091710 0.091710 -52.258290 -52.258290
29261 0.091358 0.091358 -52.258642 -52.258642
29263 0.091131 0.091131 -52.258869 -52.258869
29266 0.091086 0.091086 -52.258914 -52.258914
29275 0.090694 0.090694 -52.259306 -52.259306
30607 0.081383 0.081383 -52.268617 -52.268617
30609 0.079010 0.079010 -52.270990 -52.270990
30612 0.070677 0.070677 -52.279323 -52.279323
30831 0.063373 0.063373 -52.286627 -52.286627
32112 0.063288 0.063288 -52.286712 -52.286712
32114 0.063066 0.063066 -52.286934 -52.286934
32122 0.062886 0.062886 -52.287114 -52.287114
32123 0.062465 0.062465 -52.287535 -52.287535
32138 0.062290 0.062290 -52.287710 -52.287710
45178 0.060526 0.060526 -52.289474 -52.289474
45183 0.060340 0.060340 -52.289660 -52.289660
45451 0.060245 0.060245 -52.289755 -52.289755
45452 0.050855 0.050855 -52.299145 -52.299145
45453 0.050236 0.050236 -52.299764 -52.299764
45454 0.049433 0.049433 -52.300567 -52.300567
47241 0.049411 0.049411 -52.300589 -52.300589
47244 0.049398 0.049398 -52.300602 -52.300602
47245 0.049363 0.049363 -52.300637 -52.300637
47249 0.049237 0.049237 -52.300763 -52.300763
47253 0.048963 0.048963 -52.301037 -52.301037
47264 0.048900 0.048900 -52.301100 -52.301100
47279 0.048871 0.048871 -52.301129 -52.301129
48026 0.047404 0.047404 -52.302596 -52.302596
48030 0.040948 0.040948 -52.309052 -52.309052
49460 0.040684 0.040684 -52.309316 -52.309316
49476 0.040495 0.040495 -52.309505 -52.309505
49480 0.040484 0.040484 -52.309516 -52.309516
50876 0.032169 0.032169 -52.317831 -52.317831
50878 0.032099 0.032099 -52.317901 -52.317901
50879 0.028199 0.028199 -52.321801 -52.321801
50886 0.028016 0.028016 -52.321984 -52.321984
52301 0.027556 0.027556 -52.322444 -52.322444
52330 0.027075 0.027075 -52.322925 -52.322925
176286 0.025993 0.025993 -52.324007 -52.324007
177704 0.025796 0.025796 -52.324204 -52.324204
177706 0.025768 0.025768 -52.324232 -52.324232
177710 0.025575 0.025575 -52.324425 -52.324425
177726 0.025462 0.025462 -52.324538 -52.324538
284581 0.025162 0.025162 -52.324838 -52.324838
285000 0.245661 0.025162 0.245661 -52.324838
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 295.004019 295.004019 242.654019 242.654019
5 294.986819 294.986819 242.636819 242.636819
7 294.930636 294.930636 242.580636 242.580636
39 294.893739 294.893739 242.543739 242.543739
81 108.163417 108.163417 55.813417 55.813417
85 108.159343 108.159343 55.809343 55.809343
92 108.135792 108.135792 55.785792 55.785792
161 60.265454 60.265454 7.915454 7.915454
162 60.229022 60.229022 7.879022 7.879022
166 60.190455 60.190455 7.840455 7.840455
1361 46.471498 46.471498 -5.878502 -5.878502
1363 46.456465 46.456465 -5.893535 -5.893535
1386 46.452757 46.452757 -5.897243 -5.897243
2069 38.210282 38.210282 -14.139718 -14.139718
2071 33.807667 33.807667 -18.542333 -18.542333
2072 32.721217 32.721217 -19.628783 -19.628783
2579 27.362508 27.362508 -24.987492 -24.987492
2581 25.823915 25.823915 -26.526085 -26.526085
4211 25.819719 25.819719 -26.530281 -26.530281
4215 25.814970 25.814970 -26.535030 -26.535030
4229 25.814051 25.814051 -26.535949 -26.535949
4919 24.149460 24.149460 -28.200540 -28.200540
4924 23.356734 23.356734 -28.993266 -28.993266
4925 23.057529 23.057529 -29.292471 -29.292471
4929 20.709252 20.709252 -31.640748 -31.640748
5429 19.509757 19.509757 -32.840243 -32.840243
5433 19.116199 19.116199 -33.233801 -33.233801
5435 18.200015 18.200015 -34.149985 -34.149985
5436 18.112651 18.112651 -34.237349 -34.237349
5437 17.768757 17.768757 -34.581243 -34.581243
7061 17.764610 17.764610 -34.585390 -34.585390
7064 17.764238 17.764238 -34.585762 -34.585762
7065 17.762873 17.762873 -34.587127 -34.587127
7075 17.760545 17.760545 -34.589455 -34.589455
7092 17.759516 17.759516 -34.590484 -34.590484
7769 17.297012 17.297012 -35.052988 -35.052988
7771 17.171256 17.171256 -35.178744 -35.178744
7772 16.926374 16.926374 -35.423626 -35.423626
7775 16.484957 16.484957 -35.865043 -35.865043
7859 16.464795 16.464795 -35.885205 -35.885205
7990 13.377803 13.377803 -38.972197 -38.972197
7995 10.184958 10.184958 -42.165042 -42.165042
9232 10.182719 10.182719 -42.167281 -42.167281
9236 10.179451 10.179451 -42.170549 -42.170549
9237 10.173397 10.173397 -42.176603 -42.176603
10840 7.501193 7.501193 -44.848807 -44.848807
10844 7.229087 7.229087 -45.120913 -45.120913
12082 7.227874 7.227874 -45.122126 -45.122126
12086 7.227318 7.227318 -45.122682 -45.122682
12087 7.221408 7.221408 -45.128592 -45.128592
13690 5.949347 5.949347 -46.400653 -46.400653
13692 5.944327 5.944327 -46.405673 -46.405673
13696 5.864654 5.864654 -46.485346 -46.485346
13699 5.699333 5.699333 -46.650667 -46.650667
13979 5.606756 5.606756 -46.743244 -46.743244
13982 4.601634 4.601634 -47.748366 -47.748366
15611 4.598815 4.598815 -47.751185 -47.751185
15620 4.597893 4.597893 -47.752107 -47.752107
16540 4.350151 4.350151 -47.999849 -47.999849
16829 3.648238 3.648238 -48.701762 -48.701762
16832 3.465366 3.465366 -48.884634 -48.884634
16833 3.374985 3.374985 -48.975015 -48.975015
16838 3.370305 3.370305 -48.979695 -48.979695
18461 3.367339 3.367339 -48.982661 -48.982661
18479 3.366371 3.366371 -48.983629 -48.983629
19390 3.334367 3.334367 -49.015633 -49.015633
19393 3.128122 3.128122 -49.221878 -49.221878
19679 2.613352 2.613352 -49.736648 -49.736648
19681 2.157705 2.157705 -50.192295 -50.192295
21311 2.153853 2.153853 -50.196147 -50.196147
22529 1.633796 1.633796 -50.716204 -50.716204
22531 1.530793 1.530793 -50.819207 -50.819207
22534 1.367130 1.367130 -50.982870 -50.982870
22535 1.310031 1.310031 -51.039969 -51.039969
22538 1.270120 1.270120 -51.079880 -51.079880
24161 1.266701 1.266701 -51.083299 -51.083299
25379 0.713273 0.713273 -51.636727 -51.636727
25387 0.576460 0.576460 -51.773540 -51.773540
27011 0.573268 0.573268 -51.776732 -51.776732
28229 0.292385 0.292385 -52.057615 -52.057615
29861 0.291010 0.291010 -52.058990 -52.058990
29882 0.290882 0.290882 -52.059118 -52.059118
31079 0.200508 0.200508 -52.149492 -52.149492
31082 0.165561 0.165561 -52.184439 -52.184439
31083 0.138596 0.138596 -52.211404 -52.211404
32711 0.138123 0.138123 -52.211877 -52.211877
32714 0.138041 0.138041 -52.211959 -52.211959
32715 0.137930 0.137930 -52.212070 -52.212070
32720 0.137715 0.137715 -52.212285 -52.212285
32732 0.137696 0.137696 -52.212304 -52.212304
33929 0.112901 0.112901 -52.237099 -52.237099
33931 0.102405 0.102405 -52.247595 -52.247595
33936 0.102224 0.102224 -52.247776 -52.247776
34099 0.100836 0.100836 -52.249164 -52.249164
34109 0.092826 0.092826 -52.257174 -52.257174
35962 0.091073 0.091073 -52.258927 -52.258927
36783 0.070796 0.070796 -52.279204 -52.279204
38414 0.070362 0.070362 -52.279638 -52.279638
38420 0.070297 0.070297 -52.279703 -52.279703
38421 0.070244 0.070244 -52.279756 -52.279756
38436 0.070187 0.070187 -52.279813 -52.279813
38448 0.069995 0.069995 -52.280005 -52.280005
42568 0.062903 0.062903 -52.287097 -52.287097
44313 0.062289 0.062289 -52.287711 -52.287711
44326 0.062167 0.062167 -52.287833 -52.287833
44327 0.062111 0.062111 -52.287889 -52.287889
45193 0.057142 0.057142 -52.292858 -52.292858
45199 0.055150 0.055150 -52.294850 -52.294850
45204 0.050896 0.050896 -52.299104 -52.299104
45417 0.044699 0.044699 -52.305301 -52.305301
45418 0.041563 0.041563 -52.308437 -52.308437
45422 0.032938 0.032938 -52.317062 -52.317062
45423 0.031574 0.031574 -52.318426 -52.318426
47161 0.030674 0.030674 -52.319326 -52.319326
47173 0.030301 0.030301 -52.319699 -52.319699
285000 0.211911 0.030301 0.211911 -52.319699
