"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1217.057730 1217.057730 2217.057730 2217.057730
6 1216.880400 1216.880400 2216.880400 2216.880400
23 1216.822166 1216.822166 2216.822166 2216.822166
30 1216.599687 1216.599687 2216.599687 2216.599687
681 865.828100 865.828100 1865.828100 1865.828100
682 864.893414 864.893414 1864.893414 1864.893414
684 864.625335 864.625335 1864.625335 1864.625335
690 864.557607 864.557607 1864.557607 1864.557607
693 864.530356 864.530356 1864.530356 1864.530356
719 864.514981 864.514981 1864.514981 1864.514981
2292 851.851710 851.851710 1851.851710 1851.851710
2294 821.024927 821.024927 1821.024927 1821.024927
2301 795.073799 795.073799 1795.073799 1795.073799
2602 782.096809 782.096809 1782.096809 1782.096809
2605 780.237149 780.237149 1780.237149 1780.237149
2606 750.916594 750.916594 1750.916594 1750.916594
4251 750.108615 750.108615 1750.108615 1750.108615
4285 750.090419 750.090419 1750.090419 1750.090419
5140 658.430308 658.430308 1658.430308 1658.430308
5150 590.722132 590.722132 1590.722132 1590.722132
6382 590.613999 590.613999 1590.613999 1590.613999
6383 589.568281 589.568281 1589.568281 1589.568281
285000 1669.814695 589.568281 1669.814695 1589.568281
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1370.277576 1370.277576 2370.277576 2370.277576
4 1370.156528 1370.156528 2370.156528 2370.156528
10 1369.822402 1369.822402 2369.822402 2369.822402
18 1369.652255 1369.652255 2369.652255 2369.652255
36 1369.572150 1369.572150 2369.572150 2369.572150
81 862.841234 862.841234 1862.841234 1862.841234
90 862.569293 862.569293 1862.569293 1862.569293
841 735.804317 735.804317 1735.804317 1735.804317
858 735.754997 735.754997 1735.754997 1735.754997
2358 627.702109 627.702109 1627.702109 1627.702109
2360 619.256965 619.256965 1619.256965 1619.256965
3692 619.246153 619.246153 1619.246153 1619.246153
3693 619.158053 619.158053 1619.158053 1619.158053
3696 618.511360 618.511360 1618.511360 1618.511360
5414 597.118083 597.118083 1597.118083 1597.118083
5416 563.137952 563.137952 1563.137952 1563.137952
5421 441.730332 441.730332 1441.730332 1441.730332
7022 441.635711 441.635711 1441.635711 1441.635711
7025 440.725972 440.725972 1440.725972 1440.725972
7032 440.533170 440.533170 1440.533170 1440.533170
285000 1764.403927 440.533170 1764.403927 1440.533170
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1514.327267 1514.327267 2514.327267 2514.327267
2 1513.461742 1513.461742 2513.461742 2513.461742
4 1513.215928 1513.215928 2513.215928 2513.215928
11 1513.209858 1513.209858 2513.209858 2513.209858
16 1512.997610 1512.997610 2512.997610 2512.997610
20 1512.805912 1512.805912 2512.805912 2512.805912
21 1512.390307 1512.390307 2512.390307 2512.390307
41 810.941169 810.941169 1810.941169 1810.941169
53 810.781638 810.781638 1810.781638 1810.781638
59 810.410911 810.410911 1810.410911 1810.410911
2025 789.186797 789.186797 1789.186797 1789.186797
2029 748.853873 748.853873 1748.853873 1748.853873
2409 678.304948 678.304948 1678.304948 1678.304948
2411 658.257886 658.257886 1658.257886 1658.257886
2413 642.905751 642.905751 1642.905751 1642.905751
2416 636.348312 636.348312 1636.348312 1636.348312
3812 636.027015 636.027015 1636.027015 1636.027015
3815 635.631226 635.631226 1635.631226 1635.631226
3817 635.606341 635.606341 1635.606341 1635.606341
3827 635.510374 635.510374 1635.510374 1635.510374
285000 1860.504549 635.510374 1860.504549 1635.510374
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2648.987625 2648.987625 2719.017625 2719.017625
2 2647.302017 2647.302017 2717.332017 2717.332017
5 2647.081263 2647.081263 2717.111263 2717.111263
11 2645.973182 2645.973182 2716.003182 2716.003182
19 2645.739683 2645.739683 2715.769683 2715.769683
23 2645.584019 2645.584019 2715.614019 2715.614019
37 2645.164277 2645.164277 2715.194277 2715.194277
41 1986.371791 1986.371791 2056.401791 2056.401791
45 1986.051130 1986.051130 2056.081130 2056.081130
121 1730.143751 1730.143751 1800.173751 1800.173751
122 1728.873112 1728.873112 1798.903112 1798.903112
124 1728.416848 1728.416848 1798.446848 1798.446848
134 1728.316016 1728.316016 1798.346016 1798.346016
161 881.172722 881.172722 951.202722 951.202722
162 880.383175 880.383175 950.413175 950.413175
163 880.091467 880.091467 950.121467 950.121467
171 880.033464 880.033464 950.063464 950.063464
179 879.219971 879.219971 949.249971 949.249971
200 878.841662 878.841662 948.871662 948.871662
1321 846.612678 846.612678 916.642678 916.642678
1322 843.436818 843.436818 913.466818 913.466818
2069 800.007965 800.007965 870.037965 870.037965
2072 797.638108 797.638108 867.668108 867.668108
2074 778.229053 778.229053 848.259053 848.259053
2079 751.440341 751.440341 821.470341 821.470341
2400 747.092531 747.092531 817.122531 817.122531
3772 746.038316 746.038316 816.068316 816.068316
3797 745.947009 745.947009 815.977009 815.977009
4921 576.994470 576.994470 647.024470 647.024470
5862 576.677895 576.677895 646.707895 646.707895
5865 575.737283 575.737283 645.767283 645.767283
5872 575.666826 575.666826 645.696826 645.696826
5897 575.579467 575.579467 645.609467 645.609467
285000 2986.029242 575.579467 2986.029242 645.609467
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1600.372495 1600.372495 1670.402495 1670.402495
2 1598.025790 1598.025790 1668.055790 1668.055790
4 1597.707359 1597.707359 1667.737359 1667.737359
11 1597.018918 1597.018918 1667.048918 1667.048918
161 1090.159085 1090.159085 1160.189085 1160.189085
162 1089.798253 1089.798253 1159.828253 1159.828253
164 1089.416839 1089.416839 1159.446839 1159.446839
171 1088.243435 1088.243435 1158.273435 1158.273435
1041 1061.158857 1061.158857 1131.188857 1131.188857
1043 1061.028320 1061.028320 1131.058320 1131.058320
1045 1060.945149 1060.945149 1130.975149 1130.975149
1052 1060.816304 1060.816304 1130.846304 1130.846304
1055 1060.368770 1060.368770 1130.398770 1130.398770
1074 1060.297356 1060.297356 1130.327356 1130.327356
1076 1060.191629 1060.191629 1130.221629 1130.221629
1077 1060.088625 1060.088625 1130.118625 1130.118625
1081 805.055002 805.055002 875.085002 875.085002
1083 805.053343 805.053343 875.083343 875.083343
1085 804.989007 804.989007 875.019007 875.019007
1091 804.512566 804.512566 874.542566 874.542566
1111 804.438081 804.438081 874.468081 874.468081
1921 793.323020 793.323020 863.353020 863.353020
2462 692.235084 692.235084 762.265084 762.265084
2821 662.175230 662.175230 732.205230 732.205230
4771 661.556576 661.556576 731.586576 731.586576
4773 661.454650 661.454650 731.484650 731.484650
4789 661.415406 661.415406 731.445406 731.445406
4798 661.357431 661.357431 731.387431 731.387431
4803 661.282015 661.282015 731.312015 731.312015
4808 661.071388 661.071388 731.101388 731.101388
5322 603.659566 603.659566 673.689566 673.689566
6782 603.416715 603.416715 673.446715 673.446715
6789 603.036694 603.036694 673.066694 673.066694
6792 603.004765 603.004765 673.034765 673.034765
285000 1739.635565 603.004765 1739.635565 673.034765
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1220.584405 1220.584405 1290.614405 1290.614405
13 1220.575334 1220.575334 1290.605334 1290.605334
16 1220.486628 1220.486628 1290.516628 1290.516628
1041 868.908748 868.908748 938.938748 938.938748
1047 868.479522 868.479522 938.509522 938.509522
1050 868.454357 868.454357 938.484357 938.484357
1059 868.001973 868.001973 938.031973 938.031973
2445 851.806073 851.806073 921.836073 921.836073
2579 755.313661 755.313661 825.343661 825.343661
2583 754.003019 754.003019 824.033019 824.033019
4212 753.950218 753.950218 823.980218 823.980218
4214 753.556265 753.556265 823.586265 823.586265
4215 752.846459 752.846459 822.876459 822.876459
285000 1664.115439 752.846459 1664.115439 822.876459
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1019.057691 1019.057691 970.837691 970.837691
2 1017.385321 1017.385321 969.165321 969.165321
8 1017.268484 1017.268484 969.048484 969.048484
12 1017.154398 1017.154398 968.934398 968.934398
34 1016.988080 1016.988080 968.768080 968.768080
401 813.230498 813.230498 765.010498 765.010498
406 813.110790 813.110790 764.890790 764.890790
411 813.061254 813.061254 764.841254 764.841254
416 812.746814 812.746814 764.526814 764.526814
2184 773.457489 773.457489 725.237489 725.237489
2649 746.175258 746.175258 697.955258 697.955258
2650 694.035228 694.035228 645.815228 645.815228
2652 687.867784 687.867784 639.647784 639.647784
4371 687.602786 687.602786 639.382786 639.382786
4377 687.505744 687.505744 639.285744 639.285744
4379 687.062419 687.062419 638.842419 638.842419
4390 686.882823 686.882823 638.662823 638.662823
4396 686.773996 686.773996 638.553996 638.553996
5517 622.485157 622.485157 574.265157 574.265157
7261 621.818514 621.818514 573.598514 573.598514
7275 621.326756 621.326756 573.106756 573.106756
285000 1776.246836 621.326756 1776.246836 573.106756
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5916.951658 5916.951658 5868.731658 5868.731658
9 5915.684680 5915.684680 5867.464680 5867.464680
41 1789.421971 1789.421971 1741.201971 1741.201971
42 1787.378792 1787.378792 1739.158792 1739.158792
59 1787.343669 1787.343669 1739.123669 1739.123669
67 1787.331239 1787.331239 1739.111239 1739.111239
81 895.630365 895.630365 847.410365 847.410365
83 895.360566 895.360566 847.140566 847.140566
89 894.032122 894.032122 845.812122 845.812122
2035 700.683328 700.683328 652.463328 652.463328
2037 687.284000 687.284000 639.064000 639.064000
2039 591.035062 591.035062 542.815062 542.815062
2931 590.201843 590.201843 541.981843 541.981843
2937 589.972400 589.972400 541.752400 541.752400
2941 589.969570 589.969570 541.749570 541.749570
285000 1825.467146 589.969570 1825.467146 541.749570
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3335.941023 3335.941023 3287.721023 3287.721023
3 3335.198808 3335.198808 3286.978808 3286.978808
13 3334.531573 3334.531573 3286.311573 3286.311573
41 1456.799993 1456.799993 1408.579993 1408.579993
441 1154.521626 1154.521626 1106.301626 1106.301626
443 1154.425211 1154.425211 1106.205211 1106.205211
448 1154.142753 1154.142753 1105.922753 1105.922753
471 1153.446015 1153.446015 1105.226015 1105.226015
961 1008.767343 1008.767343 960.547343 960.547343
971 1008.624619 1008.624619 960.404619 960.404619
980 1008.346326 1008.346326 960.126326 960.126326
1241 761.434642 761.434642 713.214642 713.214642
1249 760.947380 760.947380 712.727380 712.727380
1260 760.946798 760.946798 712.726798 712.726798
1263 760.572139 760.572139 712.352139 712.352139
2528 724.440587 724.440587 676.220587 676.220587
2531 709.949341 709.949341 661.729341 661.729341
2533 708.774557 708.774557 660.554557 660.554557
2535 705.842361 705.842361 657.622361 657.622361
2541 703.781155 703.781155 655.561155 655.561155
4091 703.327429 703.327429 655.107429 655.107429
4106 703.319034 703.319034 655.099034 655.099034
4119 703.267384 703.267384 655.047384 655.047384
4126 703.138733 703.138733 654.918733 654.918733
4127 702.909472 702.909472 654.689472 654.689472
5381 697.379738 697.379738 649.159738 649.159738
6941 697.309172 697.309172 649.089172 649.089172
6944 697.269365 697.269365 649.049365 649.049365
6948 696.516787 696.516787 648.296787 648.296787
6956 696.006820 696.006820 647.786820 647.786820
6964 695.500061 695.500061 647.280061 647.280061
7759 476.752161 476.752161 428.532161 428.532161
8672 476.442429 476.442429 428.222429 428.222429
8674 476.174360 476.174360 427.954360 427.954360
8692 475.865811 475.865811 427.645811 427.645811
285000 1954.819369 475.865811 1954.819369 427.645811
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1776.711187 1776.711187 1802.181187 1802.181187
13 1776.685557 1776.685557 1802.155557 1802.155557
25 1776.553943 1776.553943 1802.023943 1802.023943
201 1771.410985 1771.410985 1796.880985 1796.880985
206 1771.248969 1771.248969 1796.718969 1796.718969
208 1770.714380 1770.714380 1796.184380 1796.184380
241 1218.633328 1218.633328 1244.103328 1244.103328
2103 1084.435089 1084.435089 1109.905089 1109.905089
2105 1027.510829 1027.510829 1052.980829 1052.980829
2108 1020.111016 1020.111016 1045.581016 1045.581016
2110 968.756904 968.756904 994.226904 994.226904
2115 930.600945 930.600945 956.070945 956.070945
3092 930.516927 930.516927 955.986927 955.986927
3094 930.205554 930.205554 955.675554 955.675554
3097 930.158928 930.158928 955.628928 955.628928
3103 929.553734 929.553734 955.023734 955.023734
5429 838.154151 838.154151 863.624151 863.624151
7061 838.032226 838.032226 863.502226 863.502226
7063 837.411455 837.411455 862.881455 862.881455
7090 837.324319 837.324319 862.794319 862.794319
7946 772.583524 772.583524 798.053524 798.053524
7948 656.816385 656.816385 682.286385 682.286385
9112 656.181227 656.181227 681.651227 681.651227
9118 655.995067 655.995067 681.465067 681.465067
9137 655.907977 655.907977 681.377977 681.377977
285000 1764.970909 655.907977 1764.970909 681.377977
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 859.866162 859.866162 885.336162 885.336162
7 859.789948 859.789948 885.259948 885.259948
10 859.681086 859.681086 885.151086 885.151086
11 859.540219 859.540219 885.010219 885.010219
1921 851.090113 851.090113 876.560113 876.560113
1922 849.083399 849.083399 874.553399 874.553399
2005 822.089371 822.089371 847.559371 847.559371
2817 744.950903 744.950903 770.420903 770.420903
4771 744.549146 744.549146 770.019146 770.019146
4776 744.440370 744.440370 769.910370 769.910370
4781 743.990085 743.990085 769.460085 769.460085
4786 743.840300 743.840300 769.310300 769.310300
4854 729.681000 729.681000 755.151000 755.151000
5701 729.637408 729.637408 755.107408 755.107408
5703 729.288627 729.288627 754.758627 754.758627
5711 729.189881 729.189881 754.659881 754.659881
5715 728.946442 728.946442 754.416442 754.416442
5730 728.928642 728.928642 754.398642 754.398642
7737 685.278307 685.278307 710.748307 710.748307
7950 674.308633 674.308633 699.778633 699.778633
8269 507.876302 507.876302 533.346302 533.346302
9874 507.521085 507.521085 532.991085 532.991085
9882 507.486955 507.486955 532.956955 532.956955
9885 507.402870 507.402870 532.872870 532.872870
9889 507.058974 507.058974 532.528974 532.528974
285000 2611.247509 507.058974 2611.247509 532.528974
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2870.504680 2870.504680 2895.974680 2895.974680
2 2869.830339 2869.830339 2895.300339 2895.300339
3 2869.432364 2869.432364 2894.902364 2894.902364
7 2869.353204 2869.353204 2894.823204 2894.823204
9 2868.247681 2868.247681 2893.717681 2893.717681
31 2868.202159 2868.202159 2893.672159 2893.672159
41 2330.227364 2330.227364 2355.697364 2355.697364
52 2330.177819 2330.177819 2355.647819 2355.647819
58 2329.827702 2329.827702 2355.297702 2355.297702
74 2329.765021 2329.765021 2355.235021 2355.235021
81 1518.899861 1518.899861 1544.369861 1544.369861
84 1518.885730 1518.885730 1544.355730 1544.355730
86 1518.161399 1518.161399 1543.631399 1543.631399
99 1517.967234 1517.967234 1543.437234 1543.437234
361 948.721522 948.721522 974.191522 974.191522
384 948.673415 948.673415 974.143415 974.143415
391 948.425646 948.425646 973.895646 973.895646
801 613.182158 613.182158 638.652158 638.652158
802 611.908682 611.908682 637.378682 637.378682
804 611.893293 611.893293 637.363293 637.363293
835 611.789237 611.789237 637.259237 637.259237
2344 610.439802 610.439802 635.909802 635.909802
3652 610.114380 610.114380 635.584380 635.584380
3657 609.957460 609.957460 635.427460 635.427460
3663 609.676017 609.676017 635.146017 635.146017
3670 609.125379 609.125379 634.595379 634.595379
5008 589.758073 589.758073 615.228073 615.228073
6062 589.403312 589.403312 614.873312 614.873312
6065 589.133697 589.133697 614.603697 614.603697
6083 588.788694 588.788694 614.258694 614.258694
178728 501.264885 501.264885 526.734885 526.734885
179595 500.984927 500.984927 526.454927 526.454927
179599 500.819214 500.819214 526.289214 526.289214
