"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 50.815592 50.815592 -51.734408 -51.734408
2 46.896980 46.896980 -55.653020 -55.653020
4 46.076177 46.076177 -56.473823 -56.473823
8 46.034896 46.034896 -56.515104 -56.515104
10 43.895272 43.895272 -58.654728 -58.654728
81 29.815412 29.815412 -72.734588 -72.734588
83 28.958324 28.958324 -73.591676 -73.591676
84 27.679314 27.679314 -74.870686 -74.870686
86 27.624487 27.624487 -74.925513 -74.925513
103 27.331760 27.331760 -75.218240 -75.218240
117 26.489482 26.489482 -76.060518 -76.060518
961 19.890022 19.890022 -82.659978 -82.659978
966 19.163667 19.163667 -83.386333 -83.386333
968 18.148240 18.148240 -84.401760 -84.401760
2413 16.639223 16.639223 -85.910777 -85.910777
2415 16.514400 16.514400 -86.035600 -86.035600
3822 16.005038 16.005038 -86.544962 -86.544962
285000 213.512564 16.005038 213.512564 -86.544962
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 60.979379 60.979379 -41.570621 -41.570621
82 60.466001 60.466001 -42.083999 -42.083999
83 59.927948 59.927948 -42.622052 -42.622052
87 58.979908 58.979908 -43.570092 -43.570092
161 44.751196 44.751196 -57.798804 -57.798804
162 42.081713 42.081713 -60.468287 -60.468287
164 42.052662 42.052662 -60.497338 -60.497338
401 24.457351 24.457351 -78.092649 -78.092649
402 22.719522 22.719522 -79.830478 -79.830478
407 21.910470 21.910470 -80.639530 -80.639530
411 21.356115 21.356115 -81.193885 -81.193885
434 20.657842 20.657842 -81.892158 -81.892158
671 20.446146 20.446146 -82.103854 -82.103854
2273 18.655040 18.655040 -83.894960 -83.894960
2278 18.143334 18.143334 -84.406666 -84.406666
2285 15.218621 15.218621 -87.331379 -87.331379
3523 15.187226 15.187226 -87.362774 -87.362774
5432 15.060421 15.060421 -87.489579 -87.489579
7061 13.209183 13.209183 -89.340817 -89.340817
7075 12.606609 12.606609 -89.943391 -89.943391
285000 275.562352 12.606609 275.562352 -89.943391
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 110.956075 110.956075 8.406075 8.406075
2 110.157002 110.157002 7.607002 7.607002
6 107.977010 107.977010 5.427010 5.427010
41 57.480610 57.480610 -45.069390 -45.069390
42 57.343999 57.343999 -45.206001 -45.206001
43 56.652700 56.652700 -45.897300 -45.897300
45 55.136510 55.136510 -47.413490 -47.413490
50 55.029570 55.029570 -47.520430 -47.520430
62 54.411869 54.411869 -48.138131 -48.138131
201 36.203261 36.203261 -66.346739 -66.346739
206 34.210442 34.210442 -68.339558 -68.339558
225 33.405146 33.405146 -69.144854 -69.144854
401 21.212782 21.212782 -81.337218 -81.337218
4493 21.113506 21.113506 -81.436494 -81.436494
4495 20.591881 20.591881 -81.958119 -81.958119
4514 20.535886 20.535886 -82.014114 -82.014114
4524 19.789845 19.789845 -82.760155 -82.760155
5559 19.246598 19.246598 -83.303402 -83.303402
7342 17.942333 17.942333 -84.607667 -84.607667
7344 17.422039 17.422039 -85.127961 -85.127961
7345 17.247967 17.247967 -85.302033 -85.302033
7363 16.278283 16.278283 -86.271717 -86.271717
7371 16.169915 16.169915 -86.380085 -86.380085
285000 187.185875 16.169915 187.185875 -86.380085
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 31.592161 31.592161 103.282161 103.282161
2 28.585831 28.585831 100.275831 100.275831
5 28.543062 28.543062 100.233062 100.233062
7 28.293611 28.293611 99.983611 99.983611
22 28.002558 28.002558 99.692558 99.692558
32 27.060573 27.060573 98.750573 98.750573
2683 25.618117 25.618117 97.308117 97.308117
4452 24.890111 24.890111 96.580111 96.580111
4457 23.441600 23.441600 95.131600 95.131600
4475 23.309269 23.309269 94.999269 94.999269
4479 23.051969 23.051969 94.741969 94.741969
4888 20.465831 20.465831 92.155831 92.155831
5813 18.412770 18.412770 90.102770 90.102770
285000 172.219504 18.412770 172.219504 90.102770
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 65.922657 65.922657 137.612657 137.612657
6 65.655830 65.655830 137.345830 137.345830
13 65.627783 65.627783 137.317783 137.317783
14 65.020026 65.020026 136.710026 136.710026
15 64.809694 64.809694 136.499694 136.499694
29 64.759001 64.759001 136.449001 136.449001
32 62.542969 62.542969 134.232969 134.232969
41 28.083889 28.083889 99.773889 99.773889
42 26.780808 26.780808 98.470808 98.470808
43 26.212355 26.212355 97.902355 97.902355
44 25.290744 25.290744 96.980744 96.980744
45 24.635972 24.635972 96.325972 96.325972
49 24.052824 24.052824 95.742824 95.742824
53 23.281244 23.281244 94.971244 94.971244
74 22.802958 22.802958 94.492958 94.492958
324 22.532890 22.532890 94.222890 94.222890
337 21.923794 21.923794 93.613794 93.613794
345 21.584288 21.584288 93.274288 93.274288
349 19.401007 19.401007 91.091007 91.091007
4991 16.873119 16.873119 88.563119 88.563119
4996 16.831691 16.831691 88.521691 88.521691
5159 16.582804 16.582804 88.272804 88.272804
6038 15.164850 15.164850 86.854850 86.854850
6421 14.569227 14.569227 86.259227 86.259227
285000 189.228722 14.569227 189.228722 86.259227
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 76.448582 76.448582 148.138582 148.138582
2 74.549821 74.549821 146.239821 146.239821
7 73.552345 73.552345 145.242345 145.242345
41 66.019167 66.019167 137.709167 137.709167
44 65.317549 65.317549 137.007549 137.007549
46 64.859360 64.859360 136.549360 136.549360
81 60.463686 60.463686 132.153686 132.153686
84 60.427162 60.427162 132.117162 132.117162
89 60.113521 60.113521 131.803521 131.803521
93 59.745992 59.745992 131.435992 131.435992
96 59.697652 59.697652 131.387652 131.387652
98 59.195582 59.195582 130.885582 130.885582
101 58.836343 58.836343 130.526343 130.526343
117 58.428023 58.428023 130.118023 130.118023
167 57.846152 57.846152 129.536152 129.536152
177 57.119530 57.119530 128.809530 128.809530
201 57.085948 57.085948 128.775948 128.775948
210 56.978521 56.978521 128.668521 128.668521
212 55.989807 55.989807 127.679807 127.679807
223 55.864271 55.864271 127.554271 127.554271
235 55.260929 55.260929 126.950929 126.950929
241 45.114539 45.114539 116.804539 116.804539
254 42.994463 42.994463 114.684463 114.684463
260 42.398381 42.398381 114.088381 114.088381
281 30.986524 30.986524 102.676524 102.676524
282 30.782157 30.782157 102.472157 102.472157
301 30.517157 30.517157 102.207157 102.207157
521 26.955705 26.955705 98.645705 98.645705
524 23.668682 23.668682 95.358682 95.358682
2477 21.880943 21.880943 93.570943 93.570943
4731 21.376714 21.376714 93.066714 93.066714
4749 20.704650 20.704650 92.394650 92.394650
4958 19.471254 19.471254 91.161254 91.161254
5654 18.142548 18.142548 89.832548 89.832548
7549 16.502616 16.502616 88.192616 88.192616
7581 14.532426 14.532426 86.222426 86.222426
285000 237.217150 14.532426 237.217150 86.222426
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26.876073 26.876073 240.886073 240.886073
4 26.452378 26.452378 240.462378 240.462378
29 26.400253 26.400253 240.410253 240.410253
33 26.344428 26.344428 240.354428 240.354428
37 25.671822 25.671822 239.681822 239.681822
40 25.242340 25.242340 239.252340 239.252340
442 22.458822 22.458822 236.468822 236.468822
2188 18.997771 18.997771 233.007771 233.007771
2190 18.393590 18.393590 232.403590 232.403590
2198 18.313046 18.313046 232.323046 232.323046
3297 16.124285 16.124285 230.134285 230.134285
6143 15.151482 15.151482 229.161482 229.161482
285000 225.508968 15.151482 225.508968 229.161482
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 49.349665 49.349665 263.359665 263.359665
10 48.802908 48.802908 262.812908 262.812908
13 48.199041 48.199041 262.209041 262.209041
33 47.891759 47.891759 261.901759 261.901759
41 35.985964 35.985964 249.995964 249.995964
53 35.893676 35.893676 249.903676 249.903676
361 34.840084 34.840084 248.850084 248.850084
362 34.081581 34.081581 248.091581 248.091581
364 32.696867 32.696867 246.706867 246.706867
366 31.921744 31.921744 245.931744 245.931744
372 31.784314 31.784314 245.794314 245.794314
506 30.729138 30.729138 244.739138 244.739138
601 27.703195 27.703195 241.713195 241.713195
608 27.245165 27.245165 241.255165 241.255165
615 27.085737 27.085737 241.095737 241.095737
626 26.936238 26.936238 240.946238 240.946238
761 25.507301 25.507301 239.517301 239.517301
767 24.840816 24.840816 238.850816 238.850816
779 23.199806 23.199806 237.209806 237.209806
2256 21.747932 21.747932 235.757932 235.757932
3451 20.953225 20.953225 234.963225 234.963225
3463 19.938265 19.938265 233.948265 233.948265
3466 19.752763 19.752763 233.762763 233.762763
3471 19.629224 19.629224 233.639224 233.639224
5174 18.551607 18.551607 232.561607 232.561607
5710 17.901125 17.901125 231.911125 231.911125
5716 17.626497 17.626497 231.636497 231.636497
5720 17.469365 17.469365 231.479365 231.479365
5729 17.282754 17.282754 231.292754 231.292754
5730 15.951464 15.951464 229.961464 229.961464
285000 122.168980 15.951464 122.168980 229.961464
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 39.858450 39.858450 253.868450 253.868450
2 38.211612 38.211612 252.221612 252.221612
6 37.812804 37.812804 251.822804 251.822804
9 37.089539 37.089539 251.099539 251.099539
20 35.456962 35.456962 249.466962 249.466962
1121 20.869334 20.869334 234.879334 234.879334
1122 17.879351 17.879351 231.889351 231.889351
1123 17.165011 17.165011 231.175011 231.175011
1128 15.354322 15.354322 229.364322 229.364322
1131 15.255514 15.255514 229.265514 229.265514
285000 215.144601 15.255514 215.144601 229.265514
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 57.507477 57.507477 -0.972523 -0.972523
2 55.010660 55.010660 -3.469340 -3.469340
10 54.193677 54.193677 -4.286323 -4.286323
41 51.212370 51.212370 -7.267630 -7.267630
42 49.902137 49.902137 -8.577863 -8.577863
43 48.389270 48.389270 -10.090730 -10.090730
47 47.880600 47.880600 -10.599400 -10.599400
51 47.772548 47.772548 -10.707452 -10.707452
61 47.201072 47.201072 -11.278928 -11.278928
67 46.679092 46.679092 -11.800908 -11.800908
76 46.302051 46.302051 -12.177949 -12.177949
78 45.955336 45.955336 -12.524664 -12.524664
201 38.317438 38.317438 -20.162562 -20.162562
203 37.531634 37.531634 -20.948366 -20.948366
208 37.216203 37.216203 -21.263797 -21.263797
209 36.417310 36.417310 -22.062690 -22.062690
214 35.369868 35.369868 -23.110132 -23.110132
227 34.230560 34.230560 -24.249440 -24.249440
330 33.991639 33.991639 -24.488361 -24.488361
360 33.882138 33.882138 -24.597862 -24.597862
681 33.557937 33.557937 -24.922063 -24.922063
682 29.038690 29.038690 -29.441310 -29.441310
1401 28.395019 28.395019 -30.084981 -30.084981
1403 26.341802 26.341802 -32.138198 -32.138198
1721 24.328821 24.328821 -34.151179 -34.151179
1731 23.329015 23.329015 -35.150985 -35.150985
1751 23.156302 23.156302 -35.323698 -35.323698
2705 21.868256 21.868256 -36.611744 -36.611744
2708 21.305272 21.305272 -37.174728 -37.174728
2740 20.855602 20.855602 -37.624398 -37.624398
4497 20.431670 20.431670 -38.048330 -38.048330
5551 19.983217 19.983217 -38.496783 -38.496783
5552 15.161416 15.161416 -43.318584 -43.318584
7376 15.035001 15.035001 -43.444999 -43.444999
285000 217.322779 15.035001 217.322779 -43.444999
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58.654209 58.654209 0.174209 0.174209
5 57.691356 57.691356 -0.788644 -0.788644
13 57.481328 57.481328 -0.998672 -0.998672
16 55.955163 55.955163 -2.524837 -2.524837
41 41.189701 41.189701 -17.290299 -17.290299
47 39.778841 39.778841 -18.701159 -18.701159
67 39.232451 39.232451 -19.247549 -19.247549
70 38.571506 38.571506 -19.908494 -19.908494
81 30.986608 30.986608 -27.493392 -27.493392
241 28.563324 28.563324 -29.916676 -29.916676
243 28.239528 28.239528 -30.240472 -30.240472
279 28.228954 28.228954 -30.251046 -30.251046
441 25.891476 25.891476 -32.588524 -32.588524
456 25.560152 25.560152 -32.919848 -32.919848
473 25.395901 25.395901 -33.084099 -33.084099
2296 20.117280 20.117280 -38.362720 -38.362720
3567 19.508824 19.508824 -38.971176 -38.971176
4999 18.970537 18.970537 -39.509463 -39.509463
6047 18.450286 18.450286 -40.029714 -40.029714
285000 159.835948 18.450286 159.835948 -40.029714
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 60.521894 60.521894 2.041894 2.041894
