"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 265.545117 265.545117 345.025117 345.025117
3 265.503727 265.503727 344.983727 344.983727
9 265.494344 265.494344 344.974344 344.974344
41 158.717737 158.717737 238.197737 238.197737
42 158.705929 158.705929 238.185929 238.185929
43 158.686084 158.686084 238.166084 238.166084
48 158.654297 158.654297 238.134297 238.134297
70 158.643530 158.643530 238.123530 238.123530
601 126.257846 126.257846 205.737846 205.737846
602 126.161928 126.161928 205.641928 205.641928
633 126.160642 126.160642 205.640642 205.640642
2021 114.925568 114.925568 194.405568 194.405568
2027 111.265979 111.265979 190.745979 190.745979
2256 84.889453 84.889453 164.369453 164.369453
2258 84.339233 84.339233 163.819233 163.819233
2265 83.024967 83.024967 162.504967 162.504967
3452 82.986375 82.986375 162.466375 162.466375
3483 82.979653 82.979653 162.459653 162.459653
4868 47.816612 47.816612 127.296612 127.296612
4875 39.996891 39.996891 119.476891 119.476891
4878 38.863708 38.863708 118.343708 118.343708
5741 38.861218 38.861218 118.341218 118.341218
5743 38.841843 38.841843 118.321843 118.321843
5770 38.831948 38.831948 118.311948 118.311948
7718 23.841797 23.841797 103.321797 103.321797
7721 19.914929 19.914929 99.394929 99.394929
7723 13.863822 13.863822 93.343822 93.343822
7729 13.450368 13.450368 92.930368 92.930368
7890 12.046879 12.046879 91.526879 91.526879
8148 10.346534 10.346534 89.826534 89.826534
9592 10.338330 10.338330 89.818330 89.818330
9596 10.331746 10.331746 89.811746 89.811746
10551 4.853467 4.853467 84.333467 84.333467
10575 4.266616 4.266616 83.746616 83.746616
10606 2.891484 2.891484 82.371484 82.371484
10610 2.868593 2.868593 82.348593 82.348593
10998 2.529109 2.529109 82.009109 82.009109
11006 1.912086 1.912086 81.392086 81.392086
12441 1.908502 1.908502 81.388502 81.388502
12456 1.903003 1.903003 81.383003 81.383003
13401 1.424988 1.424988 80.904988 80.904988
13420 0.619003 0.619003 80.099003 80.099003
13422 0.478895 0.478895 79.958895 79.958895
13588 0.380319 0.380319 79.860319 79.860319
14694 0.379974 0.379974 79.859974 79.859974
14696 0.379408 0.379408 79.859408 79.859408
14702 0.379403 0.379403 79.859403 79.859403
14703 0.378939 0.378939 79.858939 79.858939
14710 0.378044 0.378044 79.858044 79.858044
14716 0.376425 0.376425 79.856425 79.856425
16256 0.303611 0.303611 79.783611 79.783611
16264 0.187232 0.187232 79.667232 79.667232
16304 0.139119 0.139119 79.619119 79.619119
16308 0.091890 0.091890 79.571890 79.571890
16693 0.084564 0.084564 79.564564 79.564564
18141 0.083731 0.083731 79.563731 79.563731
18145 0.082611 0.082611 79.562611 79.562611
19112 0.076365 0.076365 79.556365 79.556365
19131 0.043230 0.043230 79.523230 79.523230
19156 0.017365 0.017365 79.497365 79.497365
19295 0.016021 0.016021 79.496021 79.496021
19301 0.012842 0.012842 79.492842 79.492842
20395 0.012619 0.012619 79.492619 79.492619
20403 0.012061 0.012061 79.492061 79.492061
21960 0.011767 0.011767 79.491767 79.491767
22004 0.008468 0.008468 79.488468 79.488468
22005 0.008216 0.008216 79.488216 79.488216
22006 0.006946 0.006946 79.486946 79.486946
22008 0.006126 0.006126 79.486126 79.486126
22013 0.004630 0.004630 79.484630 79.484630
22015 0.003420 0.003420 79.483420 79.483420
22141 0.001853 0.001853 79.481853 79.481853
22148 0.001659 0.001659 79.481659 79.481659
22151 0.000908 0.000908 79.480908 79.480908
23245 0.000878 0.000878 79.480878 79.480878
23259 0.000849 0.000849 79.480849 79.480849
23270 0.000812 0.000812 79.480812 79.480812
23272 0.000717 0.000717 79.480717 79.480717
