"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.629534 85.629534 126.409534 126.409534
2 85.628725 85.628725 126.408725 126.408725
3 85.628118 85.628118 126.408118 126.408118
5 85.628116 85.628116 126.408116 126.408116
11 85.627802 85.627802 126.407802 126.407802
24 85.627640 85.627640 126.407640 126.407640
121 84.922102 84.922102 125.702102 125.702102
123 84.920293 84.920293 125.700293 125.700293
133 84.920271 84.920271 125.700271 125.700271
159 84.920218 84.920218 125.700218 125.700218
201 82.937535 82.937535 123.717535 123.717535
202 82.937160 82.937160 123.717160 123.717160
204 82.936963 82.936963 123.716963 123.716963
206 82.936051 82.936051 123.716051 123.716051
207 82.934526 82.934526 123.714526 123.714526
210 82.934521 82.934521 123.714521 123.714521
215 82.933714 82.933714 123.713714 123.713714
224 82.931827 82.931827 123.711827 123.711827
601 82.324362 82.324362 123.104362 123.104362
609 82.320493 82.320493 123.100493 123.100493
721 77.649889 77.649889 118.429889 118.429889
722 77.649086 77.649086 118.429086 118.429086
724 77.647682 77.647682 118.427682 118.427682
725 77.646702 77.646702 118.426702 118.426702
730 77.645661 77.645661 118.425661 118.425661
732 77.643634 77.643634 118.423634 118.423634
737 77.637126 77.637126 118.417126 118.417126
1881 75.503726 75.503726 116.283726 116.283726
1886 75.499905 75.499905 116.279905 116.279905
1901 75.497520 75.497520 116.277520 116.277520
2307 73.218856 73.218856 113.998856 113.998856
2312 73.095599 73.095599 113.875599 113.875599
2397 71.337510 71.337510 112.117510 112.117510
2800 68.870517 68.870517 109.650517 109.650517
2806 68.073518 68.073518 108.853518 108.853518
2811 65.410706 65.410706 106.190706 106.190706
4732 65.408348 65.408348 106.188348 106.188348
4733 65.404919 65.404919 106.184919 106.184919
4736 65.398925 65.398925 106.178925 106.178925
4751 65.398594 65.398594 106.178594 106.178594
5165 64.828178 64.828178 105.608178 105.608178
5167 64.682033 64.682033 105.462033 105.462033
5242 61.663097 61.663097 102.443097 102.443097
5244 55.931974 55.931974 96.711974 96.711974
5252 54.905508 54.905508 95.685508 95.685508
5650 50.887317 50.887317 91.667317 91.667317
7582 50.872327 50.872327 91.652327 91.652327
7583 50.864248 50.864248 91.644248 91.644248
7803 47.508130 47.508130 88.288130 88.288130
7805 47.039239 47.039239 87.819239 87.819239
7809 42.431721 42.431721 83.211721 83.211721
8282 41.344156 41.344156 82.124156 82.124156
8283 30.343076 30.343076 71.123076 71.123076
9911 30.331142 30.331142 71.111142 71.111142
9917 30.321673 30.321673 71.101673 71.101673
9947 30.316772 30.316772 71.096772 71.096772
11129 19.686923 19.686923 60.466923 60.466923
11131 19.214749 19.214749 59.994749 59.994749
11136 17.636568 17.636568 58.416568 58.416568
