"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 902.278895 902.278895 1004.888895 1004.888895
2 901.516657 901.516657 1004.126657 1004.126657
4 900.963520 900.963520 1003.573520 1003.573520
6 900.721127 900.721127 1003.331127 1003.331127
10 899.571040 899.571040 1002.181040 1002.181040
11 898.617751 898.617751 1001.227751 1001.227751
19 898.510987 898.510987 1001.120987 1001.120987
21 897.034395 897.034395 999.644395 999.644395
41 636.379449 636.379449 738.989449 738.989449
42 636.010293 636.010293 738.620293 738.620293
44 633.686535 633.686535 736.296535 736.296535
47 633.219612 633.219612 735.829612 735.829612
69 633.074103 633.074103 735.684103 735.684103
321 625.331590 625.331590 727.941590 727.941590
322 620.837000 620.837000 723.447000 723.447000
323 617.600830 617.600830 720.210830 720.210830
350 617.175368 617.175368 719.785368 719.785368
681 470.146981 470.146981 572.756981 572.756981
683 468.350021 468.350021 570.960021 570.960021
2294 455.841337 455.841337 558.451337 558.451337
2295 451.194415 451.194415 553.804415 553.804415
3532 450.381122 450.381122 552.991122 552.991122
3534 448.580009 448.580009 551.190009 551.190009
3557 447.798025 447.798025 550.408025 550.408025
285000 1564.751165 447.798025 1564.751165 550.408025
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 687.712050 687.712050 790.322050 790.322050
2 687.601935 687.601935 790.211935 790.211935
4 685.958498 685.958498 788.568498 788.568498
7 685.381064 685.381064 787.991064 787.991064
28 685.043852 685.043852 787.653852 787.653852
29 684.497894 684.497894 787.107894 787.107894
161 677.270589 677.270589 779.880589 779.880589
176 677.080548 677.080548 779.690548 779.690548
182 676.049708 676.049708 778.659708 778.659708
184 674.856818 674.856818 777.466818 777.466818
321 535.523146 535.523146 638.133146 638.133146
322 528.982338 528.982338 631.592338 631.592338
324 527.123845 527.123845 629.733845 629.733845
2144 492.112057 492.112057 594.722057 594.722057
3172 490.010328 490.010328 592.620328 592.620328
3184 489.455455 489.455455 592.065455 592.065455
3194 488.372555 488.372555 590.982555 590.982555
3195 487.600861 487.600861 590.210861 590.210861
5676 443.119400 443.119400 545.729400 545.729400
7622 440.534574 440.534574 543.144574 543.144574
285000 1520.824259 440.534574 1520.824259 543.144574
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1001.143306 1001.143306 1103.753306 1103.753306
3 999.122332 999.122332 1101.732332 1101.732332
41 754.600909 754.600909 857.210909 857.210909
44 754.413206 754.413206 857.023206 857.023206
46 754.087413 754.087413 856.697413 856.697413
48 753.758811 753.758811 856.368811 856.368811
53 753.758747 753.758747 856.368747 856.368747
55 753.308790 753.308790 855.918790 855.918790
60 753.257808 753.257808 855.867808 855.867808
63 751.249401 751.249401 853.859401 853.859401
81 642.353898 642.353898 744.963898 744.963898
96 642.025463 642.025463 744.635463 744.635463
107 641.983965 641.983965 744.593965 744.593965
281 629.808933 629.808933 732.418933 732.418933
282 628.861072 628.861072 731.471072 731.471072
285 628.588013 628.588013 731.198013 731.198013
287 627.950946 627.950946 730.560946 730.560946
291 627.190559 627.190559 729.800559 729.800559
297 626.941756 626.941756 729.551756 729.551756
309 626.913281 626.913281 729.523281 729.523281
961 573.243879 573.243879 675.853879 675.853879
962 568.484712 568.484712 671.094712 671.094712
964 568.423810 568.423810 671.033810 671.033810
981 565.822298 565.822298 668.432298 668.432298
1481 565.252888 565.252888 667.862888 667.862888
1482 558.695889 558.695889 661.305889 661.305889
1483 557.196193 557.196193 659.806193 659.806193
1761 451.490576 451.490576 554.100576 554.100576
1796 450.862672 450.862672 553.472672 553.472672
2749 388.521080 388.521080 491.131080 491.131080
2762 388.254586 388.254586 490.864586 490.864586
4611 384.454389 384.454389 487.064389 487.064389
4646 384.310688 384.310688 486.920688 486.920688
285000 1475.807932 384.310688 1475.807932 486.920688
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 752.517685 752.517685 845.817685 845.817685
2 751.203165 751.203165 844.503165 844.503165
4 751.202717 751.202717 844.502717 844.502717
5 747.858518 747.858518 841.158518 841.158518
22 747.404916 747.404916 840.704916 840.704916
35 745.117082 745.117082 838.417082 838.417082
241 600.573419 600.573419 693.873419 693.873419
242 592.988960 592.988960 686.288960 686.288960
265 591.516263 591.516263 684.816263 684.816263
761 588.755443 588.755443 682.055443 682.055443
765 587.623063 587.623063 680.923063 680.923063
767 587.594622 587.594622 680.894622 680.894622
770 586.610275 586.610275 679.910275 679.910275
2103 575.425017 575.425017 668.725017 668.725017
2108 540.049538 540.049538 633.349538 633.349538
2329 512.015084 512.015084 605.315084 605.315084
3611 511.848510 511.848510 605.148510 605.148510
3614 509.963041 509.963041 603.263041 603.263041
3616 509.805230 509.805230 603.105230 603.105230
3640 508.930375 508.930375 602.230375 602.230375
5254 486.828841 486.828841 580.128841 580.128841
6622 485.473675 485.473675 578.773675 578.773675
6624 482.652879 482.652879 575.952879 575.952879
285000 1425.388538 482.652879 1425.388538 575.952879
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 484.125935 484.125935 577.425935 577.425935
2 484.030476 484.030476 577.330476 577.330476
3 478.713170 478.713170 572.013170 572.013170
2004 475.410135 475.410135 568.710135 568.710135
2009 469.016179 469.016179 562.316179 562.316179
2014 458.802444 458.802444 552.102444 552.102444
2852 458.737080 458.737080 552.037080 552.037080
2854 455.345351 455.345351 548.645351 548.645351
2879 454.081110 454.081110 547.381110 547.381110
5713 454.049926 454.049926 547.349926 547.349926
5732 453.073272 453.073272 546.373272 546.373272
285000 1307.011414 453.073272 1307.011414 546.373272
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1002.532620 1002.532620 1095.832620 1095.832620
2 998.289419 998.289419 1091.589419 1091.589419
4 994.882199 994.882199 1088.182199 1088.182199
