"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26370214.762821 26370214.762821 26370004.882821 26370004.882821
2 26370214.692714 26370214.692714 26370004.812714 26370004.812714
4 26370214.647057 26370214.647057 26370004.767057 26370004.767057
6 26370214.483809 26370214.483809 26370004.603809 26370004.603809
12 26370213.216335 26370213.216335 26370003.336335 26370003.336335
14 26370210.137150 26370210.137150 26370000.257150 26370000.257150
17 26370208.760897 26370208.760897 26369998.880897 26369998.880897
20 26370193.696431 26370193.696431 26369983.816431 26369983.816431
21 26370151.152109 26370151.152109 26369941.272109 26369941.272109
24 26370085.778324 26370085.778324 26369875.898324 26369875.898324
26 26369967.036179 26369967.036179 26369757.156179 26369757.156179
27 26369674.675680 26369674.675680 26369464.795680 26369464.795680
31 26367977.378160 26367977.378160 26367767.498160 26367767.498160
33 26366636.299509 26366636.299509 26366426.419509 26366426.419509
36 26365684.201910 26365684.201910 26365474.321910 26365474.321910
37 26349017.087617 26349017.087617 26348807.207617 26348807.207617
40 26332540.868699 26332540.868699 26332330.988699 26332330.988699
41 11368874.408552 11368874.408552 11368664.528552 11368664.528552
42 11368874.380425 11368874.380425 11368664.500425 11368664.500425
43 11368874.302633 11368874.302633 11368664.422633 11368664.422633
46 11368874.227552 11368874.227552 11368664.347552 11368664.347552
47 11368874.121378 11368874.121378 11368664.241378 11368664.241378
49 11368873.916886 11368873.916886 11368664.036886 11368664.036886
52 11368872.378530 11368872.378530 11368662.498530 11368662.498530
56 11368872.164400 11368872.164400 11368662.284400 11368662.284400
60 11368847.287918 11368847.287918 11368637.407918 11368637.407918
62 11368819.841562 11368819.841562 11368609.961562 11368609.961562
64 11368740.001411 11368740.001411 11368530.121411 11368530.121411
66 11368435.384711 11368435.384711 11368225.504711 11368225.504711
69 11366763.805087 11366763.805087 11366553.925087 11366553.925087
71 11364950.966698 11364950.966698 11364741.086698 11364741.086698
73 11363852.910494 11363852.910494 11363643.030494 11363643.030494
76 11359642.148591 11359642.148591 11359432.268591 11359432.268591
79 11353487.143512 11353487.143512 11353277.263512 11353277.263512
81 6526837.809634 6526837.809634 6526627.929634 6526627.929634
86 6526837.467312 6526837.467312 6526627.587312 6526627.587312
92 6526836.309211 6526836.309211 6526626.429211 6526626.429211
94 6526834.579768 6526834.579768 6526624.699768 6526624.699768
100 6526792.597558 6526792.597558 6526582.717558 6526582.717558
104 6526670.943779 6526670.943779 6526461.063779 6526461.063779
109 6526223.279072 6526223.279072 6526013.399072 6526013.399072
111 6524777.269729 6524777.269729 6524567.389729 6524567.389729
118 6518957.216026 6518957.216026 6518747.336026 6518747.336026
241 5186737.414344 5186737.414344 5186527.534344 5186527.534344
244 5186737.340099 5186737.340099 5186527.460099 5186527.460099
246 5186737.001684 5186737.001684 5186527.121684 5186527.121684
250 5186736.663727 5186736.663727 5186526.783727 5186526.783727
252 5186734.408880 5186734.408880 5186524.528880 5186524.528880
256 5186731.047534 5186731.047534 5186521.167534 5186521.167534
260 5186724.614222 5186724.614222 5186514.734222 5186514.734222
264 5186619.754191 5186619.754191 5186409.874191 5186409.874191
266 5186476.156565 5186476.156565 5186266.276565 5186266.276565
267 5186115.531472 5186115.531472 5185905.651472 5185905.651472
269 5184701.525671 5184701.525671 5184491.645671 5184491.645671
276 5182889.506534 5182889.506534 5182679.626534 5182679.626534
277 5182243.796708 5182243.796708 5182033.916708 5182033.916708
761 3275578.171254 3275578.171254 3275368.291254 3275368.291254
764 3275578.131177 3275578.131177 3275368.251177 3275368.251177
766 3275578.020645 3275578.020645 3275368.140645 3275368.140645
768 3275577.812077 3275577.812077 3275367.932077 3275367.932077
770 3275577.307612 3275577.307612 3275367.427612 3275367.427612
772 3275576.705498 3275576.705498 3275366.825498 3275366.825498
775 3275571.301277 3275571.301277 3275361.421277 3275361.421277
777 3275564.189062 3275564.189062 3275354.309062 3275354.309062
