"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1817.737937 1817.737937 1355.647937 1355.647937
2 1817.076557 1817.076557 1354.986557 1354.986557
6 1817.038149 1817.038149 1354.948149 1354.948149
14 1817.037618 1817.037618 1354.947618 1354.947618
21 1805.911325 1805.911325 1343.821325 1343.821325
1161 1576.290369 1576.290369 1114.200369 1114.200369
1441 1248.160789 1248.160789 786.070789 786.070789
1442 1247.999715 1247.999715 785.909715 785.909715
1444 1247.758617 1247.758617 785.668617 785.668617
1447 1247.597186 1247.597186 785.507186 785.507186
1457 1243.256603 1243.256603 781.166603 781.166603
1921 1043.440809 1043.440809 581.350809 581.350809
1928 1043.285151 1043.285151 581.195151 581.195151
1941 1043.211708 1043.211708 581.121708 581.121708
1945 1043.078402 1043.078402 580.988402 580.988402
1948 1042.680642 1042.680642 580.590642 580.590642
1951 1042.393112 1042.393112 580.303112 580.303112
1958 1039.488538 1039.488538 577.398538 577.398538
2613 910.759278 910.759278 448.669278 448.669278
2615 906.811481 906.811481 444.721481 444.721481
2616 787.858846 787.858846 325.768846 325.768846
2623 731.341380 731.341380 269.251380 269.251380
4292 731.103127 731.103127 269.013127 269.013127
4296 731.039986 731.039986 268.949986 268.949986
4300 728.208218 728.208218 266.118218 266.118218
4308 727.645709 727.645709 265.555709 265.555709
4858 707.772010 707.772010 245.682010 245.682010
5701 707.743684 707.743684 245.653684 245.653684
5704 707.583542 707.583542 245.493542 245.493542
5706 707.514136 707.514136 245.424136 245.424136
5708 707.511273 707.511273 245.421273 245.421273
5713 707.428281 707.428281 245.338281 245.338281
5718 707.227136 707.227136 245.137136 245.137136
5733 707.119954 707.119954 245.029954 245.029954
5737 707.112670 707.112670 245.022670 245.022670
5739 706.291858 706.291858 244.201858 244.201858
285000 8422.220469 706.291858 8422.220469 244.201858
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 11096.750142 11096.750142 10634.660142 10634.660142
3 11096.559526 11096.559526 10634.469526 10634.469526
7 11096.547465 11096.547465 10634.457465 10634.457465
11 11096.416007 11096.416007 10634.326007 10634.326007
18 11096.182800 11096.182800 10634.092800 10634.092800
33 11075.593331 11075.593331 10613.503331 10613.503331
41 3010.885846 3010.885846 2548.795846 2548.795846
49 3010.840261 3010.840261 2548.750261 2548.750261
54 3010.576711 3010.576711 2548.486711 2548.486711
57 3000.911702 3000.911702 2538.821702 2538.821702
81 2518.309314 2518.309314 2056.219314 2056.219314
82 2517.975825 2517.975825 2055.885825 2055.885825
83 2517.889399 2517.889399 2055.799399 2055.799399
98 2517.579586 2517.579586 2055.489586 2055.489586
102 2513.649637 2513.649637 2051.559637 2051.559637
117 2513.384372 2513.384372 2051.294372 2051.294372
118 2513.368378 2513.368378 2051.278378 2051.278378
361 1301.848454 1301.848454 839.758454 839.758454
362 1301.440769 1301.440769 839.350769 839.350769
363 1301.362366 1301.362366 839.272366 839.272366
384 1301.256619 1301.256619 839.166619 839.166619
387 1301.082697 1301.082697 838.992697 838.992697
398 1300.422786 1300.422786 838.332786 838.332786
2126 988.762269 988.762269 526.672269 526.672269
2324 941.920362 941.920362 479.830362 479.830362
2326 914.644778 914.644778 452.554778 452.554778
3612 914.541949 914.541949 452.451949 452.451949
3614 914.508791 914.508791 452.418791 452.418791
3617 914.402503 914.402503 452.312503 452.312503
3620 914.262873 914.262873 452.172873 452.172873
3635 913.937837 913.937837 451.847837 451.847837
3645 913.644087 913.644087 451.554087 451.554087
285000 3667.076688 913.644087 3667.076688 451.554087
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1204.110896 1204.110896 742.020896 742.020896
3 1203.580971 1203.580971 741.490971 741.490971
20 1203.571332 1203.571332 741.481332 741.481332
23 1203.519229 1203.519229 741.429229 741.429229
34 1203.165257 1203.165257 741.075257 741.075257
36 1202.994685 1202.994685 740.904685 740.904685
1681 836.526278 836.526278 374.436278 374.436278
1684 836.389424 836.389424 374.299424 374.299424
1687 836.385173 836.385173 374.295173 374.295173
1692 836.070603 836.070603 373.980603 373.980603
1699 835.988707 835.988707 373.898707 373.898707
1704 835.811538 835.811538 373.721538 373.721538
2725 783.764736 783.764736 321.674736 321.674736
2726 759.499017 759.499017 297.409017 297.409017
4531 759.245878 759.245878 297.155878 297.155878
4537 758.939193 758.939193 296.849193 296.849193
4555 758.937868 758.937868 296.847868 296.847868
4564 757.066718 757.066718 294.976718 294.976718
285000 6111.823438 757.066718 6111.823438 294.976718
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7557.815156 7557.815156 7635.475156 7635.475156
2 7557.396083 7557.396083 7635.056083 7635.056083
4 7557.271353 7557.271353 7634.931353 7634.931353
5 7551.616384 7551.616384 7629.276384 7629.276384
17 7541.359380 7541.359380 7619.019380 7619.019380
41 1535.638494 1535.638494 1613.298494 1613.298494
48 1535.611547 1535.611547 1613.271547 1613.271547
50 1535.558108 1535.558108 1613.218108 1613.218108
54 1535.529559 1535.529559 1613.189559 1613.189559
56 1535.473380 1535.473380 1613.133380 1613.133380
60 1535.356921 1535.356921 1613.016921 1613.016921
67 1535.187293 1535.187293 1612.847293 1612.847293
72 1535.011506 1535.011506 1612.671506 1612.671506
74 1534.886738 1534.886738 1612.546738 1612.546738
79 1534.762926 1534.762926 1612.422926 1612.422926
241 1224.772131 1224.772131 1302.432131 1302.432131
242 1224.125144 1224.125144 1301.785144 1301.785144
253 1220.457634 1220.457634 1298.117634 1298.117634
1521 1167.205551 1167.205551 1244.865551 1244.865551
1524 1167.204754 1167.204754 1244.864754 1244.864754
1526 1166.838448 1166.838448 1244.498448 1244.498448
1538 1166.804718 1166.804718 1244.464718 1244.464718
1539 1166.769568 1166.769568 1244.429568 1244.429568
1541 1164.704651 1164.704651 1242.364651 1242.364651
1721 1055.928407 1055.928407 1133.588407 1133.588407
2105 991.305412 991.305412 1068.965412 1068.965412
2106 858.164292 858.164292 935.824292 935.824292
2732 856.586456 856.586456 934.246456 934.246456
2737 854.436782 854.436782 932.096782 932.096782
2742 825.991524 825.991524 903.651524 903.651524
4571 825.283555 825.283555 902.943555 902.943555
4603 825.090948 825.090948 902.750948 902.750948
285000 8685.365904 825.090948 8685.365904 902.750948
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
