"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1993.812026 1993.812026 2086.752026 2086.752026
4 1983.843348 1983.843348 2076.783348 2076.783348
561 970.624128 970.624128 1063.564128 1063.564128
961 742.878016 742.878016 835.818016 835.818016
965 738.626320 738.626320 831.566320 831.566320
2409 731.075611 731.075611 824.015611 824.015611
2411 718.119298 718.119298 811.059298 811.059298
2413 680.830502 680.830502 773.770502 773.770502
2417 660.794222 660.794222 753.734222 753.734222
2418 657.417821 657.417821 750.357821 750.357821
2421 634.681519 634.681519 727.621519 727.621519
5259 618.448807 618.448807 711.388807 711.388807
5261 594.186705 594.186705 687.126705 687.126705
5262 581.161587 581.161587 674.101587 674.101587
22359 565.440752 565.440752 658.380752 658.380752
285000 4211.801954 565.440752 4211.801954 658.380752
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6406.878077 6406.878077 6499.818077 6499.818077
2 6355.420283 6355.420283 6448.360283 6448.360283
41 1421.445128 1421.445128 1514.385128 1514.385128
641 1362.409115 1362.409115 1455.349115 1455.349115
961 803.868238 803.868238 896.808238 896.808238
2409 798.701876 798.701876 891.641876 891.641876
4872 707.719910 707.719910 800.659910 800.659910
4873 669.144150 669.144150 762.084150 762.084150
7724 667.290044 667.290044 760.230044 760.230044
10579 666.270433 666.270433 759.210433 759.210433
13418 653.556841 653.556841 746.496841 746.496841
285000 1894.668156 653.556841 1894.668156 746.496841
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4433.536757 4433.536757 4526.476757 4526.476757
41 2151.667063 2151.667063 2244.607063 2244.607063
42 2111.458630 2111.458630 2204.398630 2204.398630
281 1455.894077 1455.894077 1548.834077 1548.834077
1081 1169.226021 1169.226021 1262.166021 1262.166021
1321 724.495387 724.495387 817.435387 817.435387
2573 695.684990 695.684990 788.624990 788.624990
8265 687.151001 687.151001 780.091001 780.091001
8266 684.546201 684.546201 777.486201 777.486201
8268 663.908321 663.908321 756.848321 756.848321
285000 1809.487481 663.908321 1809.487481 756.848321
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10282.009966 10282.009966 10317.359966 10317.359966
41 9922.824206 9922.824206 9958.174206 9958.174206
81 2328.005179 2328.005179 2363.355179 2363.355179
641 1716.331945 1716.331945 1751.681945 1751.681945
642 1637.848862 1637.848862 1673.198862 1673.198862
801 1571.982210 1571.982210 1607.332210 1607.332210
2273 1418.820904 1418.820904 1454.170904 1454.170904
2275 1367.586323 1367.586323 1402.936323 1402.936323
2276 1232.470357 1232.470357 1267.820357 1267.820357
285000 1964.202798 1232.470357 1964.202798 1267.820357
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1538.767797 1538.767797 1574.117797 1574.117797
1201 1446.848612 1446.848612 1482.198612 1482.198612
1321 945.743626 945.743626 981.093626 981.093626
8268 938.432128 938.432128 973.782128 973.782128
8270 936.503782 936.503782 971.853782 971.853782
285000 3945.754575 936.503782 3945.754575 971.853782
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7738.891145 7738.891145 7774.241145 7774.241145
81 5149.085441 5149.085441 5184.435441 5184.435441
121 4014.735962 4014.735962 4050.085962 4050.085962
161 2152.110694 2152.110694 2187.460694 2187.460694
321 1804.495995 1804.495995 1839.845995 1839.845995
801 1267.164542 1267.164542 1302.514542 1302.514542
1881 782.374157 782.374157 817.724157 817.724157
285000 1371.950349 782.374157 1371.950349 817.724157
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2175.110201 2175.110201 2178.930201 2178.930201
41 1993.590517 1993.590517 1997.410517 1997.410517
81 1755.936249 1755.936249 1759.756249 1759.756249
82 1730.658492 1730.658492 1734.478492 1734.478492
201 1681.128987 1681.128987 1684.948987 1684.948987
241 1133.351471 1133.351471 1137.171471 1137.171471
441 1119.761668 1119.761668 1123.581668 1123.581668
1241 712.451008 712.451008 716.271008 716.271008
2528 699.829416 699.829416 703.649416 703.649416
285000 1583.020903 699.829416 1583.020903 703.649416
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1659.344049 1659.344049 1663.164049 1663.164049
521 638.133725 638.133725 641.953725 641.953725
1401 493.945529 493.945529 497.765529 497.765529
1402 473.228148 473.228148 477.048148 477.048148
2596 420.734327 420.734327 424.554327 424.554327
2598 419.846180 419.846180 423.666180 423.666180
2601 412.728558 412.728558 416.548558 416.548558
2602 390.723985 390.723985 394.543985 394.543985
2604 384.192382 384.192382 388.012382 388.012382
2606 360.658389 360.658389 364.478389 364.478389
8307 338.805362 338.805362 342.625362 342.625362
285000 3675.474220 338.805362 3675.474220 342.625362
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1084.831024 1084.831024 1088.651024 1088.651024
201 955.478322 955.478322 959.298322 959.298322
281 839.117534 839.117534 842.937534 842.937534
285 836.615199 836.615199 840.435199 840.435199
1921 578.825776 578.825776 582.645776 582.645776
1922 564.317791 564.317791 568.137791 568.137791
2821 548.707993 548.707993 552.527993 552.527993
285000 2151.801828 548.707993 2151.801828 552.527993
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3166.670344 3166.670344 3188.420344 3188.420344
18 3165.629691 3165.629691 3187.379691 3187.379691
41 3087.312734 3087.312734 3109.062734 3109.062734
81 1483.461966 1483.461966 1505.211966 1505.211966
321 1417.782263 1417.782263 1439.532263 1439.532263
441 1310.379811 1310.379811 1332.129811 1332.129811
721 1252.459826 1252.459826 1274.209826 1274.209826
1921 1059.634752 1059.634752 1081.384752 1081.384752
24920 1003.243916 1003.243916 1024.993916 1024.993916
24924 938.152989 938.152989 959.902989 959.902989
285000 1912.348724 938.152989 1912.348724 959.902989
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1215.302156 1215.302156 1237.052156 1237.052156
121 392.465101 392.465101 414.215101 414.215101
801 276.500320 276.500320 298.250320 298.250320
2344 276.210186 276.210186 297.960186 297.960186
8041 263.160759 263.160759 284.910759 284.910759
8047 263.010726 263.010726 284.760726 284.760726
285000 3409.339627 263.010726 3409.339627 284.760726
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3218.864114 3218.864114 3240.614114 3240.614114
41 868.523492 868.523492 890.273492 890.273492
13911 738.354838 738.354838 760.104838 760.104838
16761 730.069466 730.069466 751.819466 751.819466
16766 694.689658 694.689658 716.439658 716.439658
19614 693.118458 693.118458 714.868458 714.868458
39563 645.334851 645.334851 667.084851 667.084851
39567 603.740774 603.740774 625.490774 625.490774
39569 594.416794 594.416794 616.166794 616.166794
42411 592.645791 592.645791 614.395791 614.395791
42414 554.691197 554.691197 576.441197 576.441197
42415 542.358087 542.358087 564.108087 564.108087
45261 507.288533 507.288533 529.038533 529.038533
45270 504.935125 504.935125 526.685125 526.685125
46831 504.600937 504.600937 526.350937 526.350937
