"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27534501.784492 27534501.784492 27533880.674492 27533880.674492
4 27506092.235349 27506092.235349 27505471.125349 27505471.125349
71 13287864.093880 13287864.093880 13287242.983880 13287242.983880
74 13282699.101079 13282699.101079 13282077.991079 13282077.991079
620 9587807.400676 9587807.400676 9587186.290676 9587186.290676
623 8132497.359777 8132497.359777 8131876.249777 8131876.249777
625 6218186.842462 6218186.842462 6217565.732462 6217565.732462
627 6008571.029760 6008571.029760 6007949.919760 6007949.919760
1421 5995635.285132 5995635.285132 5995014.175132 5995014.175132
1424 5990773.280384 5990773.280384 5990152.170384 5990152.170384
2228 5151674.920329 5151674.920329 5151053.810329 5151053.810329
2605 4888459.315365 4888459.315365 4887838.205365 4887838.205365
2623 2490052.968997 2490052.968997 2489431.858997 2489431.858997
3152 2488466.082661 2488466.082661 2487844.972661 2487844.972661
3154 2475838.302833 2475838.302833 2475217.192833 2475217.192833
3872 1703396.698321 1703396.698321 1702775.588321 1702775.588321
4442 1695411.470094 1695411.470094 1694790.360094 1694790.360094
4448 1688138.553054 1688138.553054 1687517.443054 1687517.443054
135000 159431773.691096 1688138.553054 159431773.691096 1687517.443054
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 246647266.247412 246647266.247412 246646645.137412 246646645.137412
2 245996671.429066 245996671.429066 245996050.319066 245996050.319066
5 245709552.514346 245709552.514346 245708931.404346 245708931.404346
10 245667331.797096 245667331.797096 245666710.687096 245666710.687096
21 76217175.831845 76217175.831845 76216554.721845 76216554.721845
22 76200134.344377 76200134.344377 76199513.234377 76199513.234377
24 76128388.793465 76128388.793465 76127767.683465 76127767.683465
61 42776444.158364 42776444.158364 42775823.048364 42775823.048364
69 42774223.660114 42774223.660114 42773602.550114 42773602.550114
81 37226084.204716 37226084.204716 37225463.094716 37225463.094716
87 37219866.338163 37219866.338163 37219245.228163 37219245.228163
121 28226861.122642 28226861.122642 28226240.012642 28226240.012642
127 28224944.610104 28224944.610104 28224323.500104 28224323.500104
281 21752020.247457 21752020.247457 21751399.137457 21751399.137457
282 21623204.506410 21623204.506410 21622583.396410 21622583.396410
431 7716589.823806 7716589.823806 7715968.713806 7715968.713806
432 7659782.141058 7659782.141058 7659161.031058 7659161.031058
437 7656681.104520 7656681.104520 7656059.994520 7656059.994520
1232 2636908.847244 2636908.847244 2636287.737244 2636287.737244
1235 2326366.763675 2326366.763675 2325745.653675 2325745.653675
1782 2324395.901202 2324395.901202 2323774.791202 2323774.791202
1787 2311833.092332 2311833.092332 2311211.982332 2311211.982332
3390 1486659.297787 1486659.297787 1486038.187787 1486038.187787
3836 706903.705320 706903.705320 706282.595320 706282.595320
4421 698903.718230 698903.718230 698282.608230 698282.608230
135000 49727689.138564 698903.718230 49727689.138564 698282.608230
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 20291115.503513 20291115.503513 20290494.393513 20290494.393513
7 20261210.311658 20261210.311658 20260589.201658 20260589.201658
261 10976435.944833 10976435.944833 10975814.834833 10975814.834833
441 9787545.391107 9787545.391107 9786924.281107 9786924.281107
442 9638417.873228 9638417.873228 9637796.763228 9637796.763228
451 5099622.873048 5099622.873048 5099001.763048 5099001.763048
457 5094791.437783 5094791.437783 5094170.327783 5094170.327783
947 5071331.556617 5071331.556617 5070710.446617 5070710.446617
953 4965092.790323 4965092.790323 4964471.680323 4964471.680323
1249 1918160.851748 1918160.851748 1917539.741748 1917539.741748
1254 1598156.593527 1598156.593527 1597535.483527 1597535.483527
1277 1146579.949211 1146579.949211 1145958.839211 1145958.839211
1801 1140707.501167 1140707.501167 1140086.391167 1140086.391167
1807 1138965.566046 1138965.566046 1138344.456046 1138344.456046
3398 1114440.570731 1114440.570731 1113819.460731 1113819.460731
4161 1105131.800606 1105131.800606 1104510.690606 1104510.690606
135000 49679671.436951 1105131.800606 49679671.436951 1104510.690606
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12416353310.941849 12416353310.941849 12416353056.121849 12416353056.121849
2 12394270302.489639 12394270302.489639 12394270047.669640 12394270047.669640
9 12382975895.907261 12382975895.907261 12382975641.087261 12382975641.087261
11 1854761586.953555 1854761586.953555 1854761332.133555 1854761332.133555
12 1850741475.688509 1850741475.688509 1850741220.868509 1850741220.868509
19 1848772374.365868 1848772374.365868 1848772119.545868 1848772119.545868
21 289924680.017167 289924680.017167 289924425.197167 289924425.197167
22 289129084.696778 289129084.696778 289128829.876778 289128829.876778
29 288820976.794811 288820976.794811 288820721.974811 288820721.974811
41 12487377.947727 12487377.947727 12487123.127727 12487123.127727
42 12429547.802143 12429547.802143 12429292.982143 12429292.982143
49 12412435.766531 12412435.766531 12412180.946531 12412180.946531
281 6040828.444361 6040828.444361 6040573.624361 6040573.624361
286 6040039.490747 6040039.490747 6039784.670747 6039784.670747
287 6034691.491770 6034691.491770 6034436.671770 6034436.671770
569 4602267.909739 4602267.909739 4602013.089739 4602013.089739
574 4299296.878769 4299296.878769 4299042.058769 4299042.058769
977 3679383.224767 3679383.224767 3679128.404767 3679128.404767
979 3636325.676119 3636325.676119 3636070.856119 3636070.856119
980 2671574.822363 2671574.822363 2671320.002363 2671320.002363
984 2543676.225540 2543676.225540 2543421.405540 2543421.405540
986 2456405.265226 2456405.265226 2456150.445226 2456150.445226
988 2438625.339868 2438625.339868 2438370.519868 2438370.519868
1631 2433730.848254 2433730.848254 2433476.028254 2433476.028254
1636 2427721.909335 2427721.909335 2427467.089335 2427467.089335
4021 1803184.963691 1803184.963691 1802930.143691 1802930.143691
4531 1796641.057301 1796641.057301 1796386.237301 1796386.237301
4533 1793967.061323 1793967.061323 1793712.241323 1793712.241323
135000 128872643.638657 1793967.061323 128872643.638657 1793712.241323
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 291000372.072910 291000372.072910 291000117.252910 291000117.252910
2 290294943.749130 290294943.749130 290294688.929130 290294688.929130
4 290267274.031011 290267274.031011 290267019.211011 290267019.211011
9 289942780.689887 289942780.689887 289942525.869887 289942525.869887
21 67928156.471433 67928156.471433 67927901.651433 67927901.651433
22 67842402.001883 67842402.001883 67842147.181883 67842147.181883
24 67817624.560154 67817624.560154 67817369.740155 67817369.740155
29 67780721.170393 67780721.170393 67780466.350393 67780466.350393
71 32067455.209712 32067455.209712 32067200.389712 32067200.389712
72 31980149.972522 31980149.972522 31979895.152522 31979895.152522
74 31959322.451495 31959322.451495 31959067.631495 31959067.631495
79 31938191.960112 31938191.960112 31937937.140112 31937937.140112
181 24858799.010888 24858799.010888 24858544.190888 24858544.190888
184 24821160.636318 24821160.636318 24820905.816318 24820905.816318
211 15241402.738100 15241402.738100 15241147.918100 15241147.918100
212 15214281.164940 15214281.164940 15214026.344940 15214026.344940
214 15205455.619692 15205455.619692 15205200.799692 15205200.799692
218 15198610.267210 15198610.267210 15198355.447210 15198355.447210
626 14572430.316203 14572430.316203 14572175.496203 14572175.496203
627 14296787.311314 14296787.311314 14296532.491314 14296532.491314
630 14195867.435561 14195867.435561 14195612.615561 14195612.615561
813 14075988.307083 14075988.307083 14075733.487083 14075733.487083
858 10236717.285627 10236717.285627 10236462.465627 10236462.465627
861 7783104.820127 7783104.820127 7782850.000127 7782850.000127
866 7533410.990214 7533410.990214 7533156.170214 7533156.170214
1562 7526975.795939 7526975.795939 7526720.975939 7526720.975939
1564 7516758.813486 7516758.813486 7516503.993486 7516503.993486
1568 7512921.036457 7512921.036457 7512666.216457 7512666.216457
2208 7212291.182838 7212291.182838 7212036.362838 7212036.362838
2210 5313638.903669 5313638.903669 5313384.083669 5313384.083669
2217 4007794.332890 4007794.332890 4007539.512890 4007539.512890
2542 1979596.524642 1979596.524642 1979341.704642 1979341.704642
3102 1971379.724315 1971379.724315 1971124.904315 1971124.904315
3103 1969382.140102 1969382.140102 1969127.320102 1969127.320102
3958 1054770.663566 1054770.663566 1054515.843566 1054515.843566
4491 1054240.007964 1054240.007964 1053985.187964 1053985.187964
4493 1047458.011780 1047458.011780 1047203.191780 1047203.191780
135000 105419983.987618 1047458.011780 105419983.987618 1047203.191780
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17128489.124926 17128489.124926 17128234.304926 17128234.304926
2 17113497.664082 17113497.664082 17113242.844082 17113242.844082
4 17112962.243684 17112962.243684 17112707.423684 17112707.423684
5 17106659.933117 17106659.933117 17106405.113117 17106405.113117
7 17078592.988034 17078592.988034 17078338.168034 17078338.168034
81 6606855.214754 6606855.214754 6606600.394754 6606600.394754
83 6603130.717589 6603130.717589 6602875.897589 6602875.897589
85 6579040.239264 6579040.239264 6578785.419264 6578785.419264
161 5078416.716463 5078416.716463 5078161.896463 5078161.896463
162 5057389.783286 5057389.783286 5057134.963286 5057134.963286
166 5054909.193418 5054909.193418 5054654.373418 5054654.373418
637 4512629.682492 4512629.682492 4512374.862492 4512374.862492
639 3140025.747942 3140025.747942 3139770.927942 3139770.927942
773 2898826.584868 2898826.584868 2898571.764868 2898571.764868
775 2753673.934255 2753673.934255 2753419.114255 2753419.114255
776 1970106.707363 1970106.707363 1969851.887363 1969851.887363
777 1556276.203011 1556276.203011 1556021.383011 1556021.383011
784 976033.070059 976033.070059 975778.250059 975778.250059
1512 973032.738295 973032.738295 972777.918295 972777.918295
1516 968045.320308 968045.320308 967790.500308 967790.500308
135000 170748843.888761 968045.320308 170748843.888761 967790.500308
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3038154280.491306 3038154280.491306 3038154337.101306 3038154337.101306
3 3032046135.997157 3032046135.997157 3032046192.607157 3032046192.607157
11 1169117660.790657 1169117660.790657 1169117717.400657 1169117717.400657
13 1166955723.029075 1166955723.029075 1166955779.639075 1166955779.639075
21 46752342.005217 46752342.005217 46752398.615217 46752398.615217
22 46736019.494654 46736019.494654 46736076.104654 46736076.104654
23 46730932.210318 46730932.210318 46730988.820318 46730988.820318
25 46683990.732647 46683990.732647 46684047.342647 46684047.342647
101 5825595.255540 5825595.255540 5825651.865540 5825651.865540
106 5825480.375420 5825480.375420 5825536.985420 5825536.985420
107 5806265.767654 5806265.767654 5806322.377654 5806322.377654
671 3760363.355094 3760363.355094 3760419.965094 3760419.965094
675 2220170.247074 2220170.247074 2220226.857074 2220226.857074
681 1726803.605379 1726803.605379 1726860.215379 1726860.215379
1452 1724767.318840 1724767.318840 1724823.928840 1724823.928840
1455 1724424.179232 1724424.179232 1724480.789232 1724480.789232
1457 1714816.539958 1714816.539958 1714873.149958 1714873.149958
4042 660388.295710 660388.295710 660444.905710 660444.905710
4543 657991.949951 657991.949951 658048.559951 658048.559951
4550 655635.462831 655635.462831 655692.072831 655692.072831
135000 106272446.572387 655635.462831 106272446.572387 655692.072831
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 59497268.750174 59497268.750174 59497325.360174 59497325.360174
