"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 93.709614 93.709614 165.059614 165.059614
2 89.021087 89.021087 160.371087 160.371087
11 50.215946 50.215946 121.565946 121.565946
12 48.551217 48.551217 119.901217 119.901217
13 45.112922 45.112922 116.462922 116.462922
21 42.359945 42.359945 113.709945 113.709945
22 41.553645 41.553645 112.903645 112.903645
24 38.868837 38.868837 110.218837 110.218837
41 19.484880 19.484880 90.834880 90.834880
42 17.072176 17.072176 88.422176 88.422176
47 16.934626 16.934626 88.284626 88.284626
50 16.814461 16.814461 88.164461 88.164461
191 13.872972 13.872972 85.222972 85.222972
193 13.436244 13.436244 84.786244 84.786244
827 4.572370 4.572370 75.922370 75.922370
1541 3.737849 3.737849 75.087849 75.087849
9020 2.108048 2.108048 73.458048 73.458048
9695 2.031433 2.031433 73.381433 73.381433
9698 2.027280 2.027280 73.377280 73.377280
15511 1.795224 1.795224 73.145224 73.145224
16294 1.733381 1.733381 73.083381 73.083381
16298 1.690744 1.690744 73.040744 73.040744
99498 1.545001 1.545001 72.895001 72.895001
100168 1.459662 1.459662 72.809662 72.809662
135000 13.299555 1.459662 13.299555 72.809662
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73.667164 73.667164 145.017164 145.017164
3 71.374583 71.374583 142.724583 142.724583
11 69.421340 69.421340 140.771340 140.771340
12 68.491388 68.491388 139.841388 139.841388
14 67.542791 67.542791 138.892791 138.892791
16 67.150751 67.150751 138.500751 138.500751
31 51.937237 51.937237 123.287237 123.287237
32 50.091681 50.091681 121.441681 121.441681
101 36.101629 36.101629 107.451629 107.451629
103 33.812519 33.812519 105.162519 105.162519
351 14.035179 14.035179 85.385179 85.385179
411 11.411950 11.411950 82.761950 82.761950
415 10.484374 10.484374 81.834374 81.834374
560 10.353708 10.353708 81.703708 81.703708
1381 9.390185 9.390185 80.740185 80.740185
1383 9.328923 9.328923 80.678923 80.678923
1853 1.716224 1.716224 73.066224 73.066224
2701 1.638685 1.638685 72.988685 72.988685
2703 1.500416 1.500416 72.850416 72.850416
2705 1.479602 1.479602 72.829602 72.829602
59702 1.209922 1.209922 72.559922 72.559922
135000 36.038473 1.209922 36.038473 72.559922
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 62.564587 62.564587 133.914587 133.914587
2 59.839167 59.839167 131.189167 131.189167
10 58.244909 58.244909 129.594909 129.594909
11 43.006674 43.006674 114.356674 114.356674
13 42.854098 42.854098 114.204098 114.204098
15 41.197124 41.197124 112.547124 112.547124
32 38.889255 38.889255 110.239255 110.239255
34 38.275746 38.275746 109.625746 109.625746
181 9.678793 9.678793 81.028793 81.028793
441 7.821166 7.821166 79.171166 79.171166
443 7.459240 7.459240 78.809240 78.809240
450 7.248278 7.248278 78.598278 78.598278
2024 4.431104 4.431104 75.781104 75.781104
2806 4.399575 4.399575 75.749575 75.749575
2810 4.393950 4.393950 75.743950 75.743950
13337 4.314888 4.314888 75.664888 75.664888
13902 4.260041 4.260041 75.610041 75.610041
13906 4.247685 4.247685 75.597685 75.597685
13910 3.996529 3.996529 75.346529 75.346529
18248 2.633458 2.633458 73.983458 73.983458
19012 2.227940 2.227940 73.577940 73.577940
135000 31.461718 2.227940 31.461718 73.577940
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 53.246039 53.246039 -301.973961 -301.973961
2 53.095785 53.095785 -302.124215 -302.124215
4 50.723164 50.723164 -304.496836 -304.496836
5 50.587257 50.587257 -304.632743 -304.632743
9 50.130601 50.130601 -305.089399 -305.089399
181 44.704031 44.704031 -310.515969 -310.515969
182 42.053717 42.053717 -313.166283 -313.166283
184 41.770540 41.770540 -313.449460 -313.449460
188 41.353442 41.353442 -313.866558 -313.866558
241 22.071820 22.071820 -333.148180 -333.148180
243 21.402060 21.402060 -333.817940 -333.817940
249 21.195225 21.195225 -334.024775 -334.024775
546 17.424929 17.424929 -337.795071 -337.795071
641 16.217365 16.217365 -339.002635 -339.002635
684 14.315175 14.315175 -340.904825 -340.904825
852 13.332587 13.332587 -341.887413 -341.887413
983 10.201403 10.201403 -345.018597 -345.018597
1631 9.399023 9.399023 -345.820977 -345.820977
2227 8.366440 8.366440 -346.853560 -346.853560
2576 7.893962 7.893962 -347.326038 -347.326038
2924 7.731485 7.731485 -347.488515 -347.488515
2925 7.624460 7.624460 -347.595540 -347.595540
3125 7.438943 7.438943 -347.781057 -347.781057
3130 7.301776 7.301776 -347.918224 -347.918224
5106 4.735586 4.735586 -350.484414 -350.484414
5722 4.298828 4.298828 -350.921172 -350.921172
6365 3.977553 3.977553 -351.242447 -351.242447
7021 3.875462 3.875462 -351.344538 -351.344538
7022 3.839624 3.839624 -351.380376 -351.380376
7023 3.695186 3.695186 -351.524814 -351.524814
7030 3.286115 3.286115 -351.933885 -351.933885
22688 3.269246 3.269246 -351.950754 -351.950754
23296 3.228066 3.228066 -351.991934 -351.991934
36902 3.197354 3.197354 -352.022646 -352.022646
75652 2.705409 2.705409 -352.514591 -352.514591
91716 1.744656 1.744656 -353.475344 -353.475344
92252 1.559940 1.559940 -353.660060 -353.660060
92254 1.491783 1.491783 -353.728217 -353.728217
135000 39.879422 1.491783 39.879422 -353.728217
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 117.296975 117.296975 -237.923025 -237.923025
3 115.895931 115.895931 -239.324069 -239.324069
7 115.685311 115.685311 -239.534689 -239.534689
10 114.671857 114.671857 -240.548143 -240.548143
11 93.932765 93.932765 -261.287235 -261.287235
15 93.581256 93.581256 -261.638744 -261.638744
18 92.499383 92.499383 -262.720617 -262.720617
20 88.391630 88.391630 -266.828370 -266.828370
21 63.585740 63.585740 -291.634260 -291.634260
