"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 172.909025 172.909025 155.969025 155.969025
3 172.519692 172.519692 155.579692 155.579692
6 172.328025 172.328025 155.388025 155.388025
10 172.187238 172.187238 155.247238 155.247238
11 65.369901 65.369901 48.429901 48.429901
12 64.856778 64.856778 47.916778 47.916778
15 64.525593 64.525593 47.585593 47.585593
31 60.646708 60.646708 43.706708 43.706708
81 30.669127 30.669127 13.729127 13.729127
201 21.488475 21.488475 4.548475 4.548475
206 21.118691 21.118691 4.178691 4.178691
208 21.060513 21.060513 4.120513 4.120513
841 20.690420 20.690420 3.750420 3.750420
852 20.538478 20.538478 3.598478 3.598478
1225 19.877242 19.877242 2.937242 2.937242
1228 19.728675 19.728675 2.788675 2.788675
1771 19.469246 19.469246 2.529246 2.529246
1773 19.448610 19.448610 2.508610 2.508610
1776 19.282372 19.282372 2.342372 2.342372
1780 19.270800 19.270800 2.330800 2.330800
2670 16.976139 16.976139 0.036139 0.036139
3181 16.291736 16.291736 -0.648264 -0.648264
3183 15.769231 15.769231 -1.170769 -1.170769
6706 14.036749 14.036749 -2.903251 -2.903251
7225 13.616240 13.616240 -3.323760 -3.323760
7228 13.594479 13.594479 -3.345521 -3.345521
7230 13.420198 13.420198 -3.519802 -3.519802
28976 13.177924 13.177924 -3.762076 -3.762076
29772 12.988476 12.988476 -3.951524 -3.951524
29774 12.487200 12.487200 -4.452800 -4.452800
29778 12.290554 12.290554 -4.649446 -4.649446
135000 60.196619 12.290554 60.196619 -4.649446
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.829480 82.829480 65.889480 65.889480
2 82.285908 82.285908 65.345908 65.345908
4 82.144769 82.144769 65.204769 65.204769
5 82.102389 82.102389 65.162389 65.162389
71 47.835739 47.835739 30.895739 30.895739
72 47.455680 47.455680 30.515680 30.515680
73 47.065843 47.065843 30.125843 30.125843
77 47.015993 47.015993 30.075993 30.075993
471 23.740277 23.740277 6.800277 6.800277
472 23.624586 23.624586 6.684586 6.684586
473 23.614846 23.614846 6.674846 6.674846
475 23.110211 23.110211 6.170211 6.170211
479 23.057752 23.057752 6.117752 6.117752
1922 17.605837 17.605837 0.665837 0.665837
2742 17.498369 17.498369 0.558369 0.558369
2744 17.204130 17.204130 0.264130 0.264130
2748 17.172166 17.172166 0.232166 0.232166
16939 13.861465 13.861465 -3.078535 -3.078535
17691 13.859526 13.859526 -3.080474 -3.080474
17694 13.773671 13.773671 -3.166329 -3.166329
69803 10.100173 10.100173 -6.839827 -6.839827
70461 10.062916 10.062916 -6.877084 -6.877084
70463 9.877306 9.877306 -7.062694 -7.062694
70466 9.801357 9.801357 -7.138643 -7.138643
99570 8.817884 8.817884 -8.122116 -8.122116
100202 8.622841 8.622841 -8.317159 -8.317159
100203 8.502449 8.502449 -8.437551 -8.437551
100207 8.381574 8.381574 -8.558426 -8.558426
100209 8.121136 8.121136 -8.818864 -8.818864
135000 66.052332 8.121136 66.052332 -8.818864
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 481.037503 481.037503 464.097503 464.097503
2 458.817396 458.817396 441.877396 441.877396
11 245.891540 245.891540 228.951540 228.951540
31 69.515605 69.515605 52.575605 52.575605
33 69.230293 69.230293 52.290293 52.290293
36 68.784207 68.784207 51.844207 51.844207
81 48.840624 48.840624 31.900624 31.900624
82 46.737794 46.737794 29.797794 29.797794
87 46.631005 46.631005 29.691005 29.691005
191 28.386817 28.386817 11.446817 11.446817
192 27.748009 27.748009 10.808009 10.808009
195 27.708835 27.708835 10.768835 10.768835
198 27.385786 27.385786 10.445786 10.445786
658 22.808711 22.808711 5.868711 5.868711
824 19.586737 19.586737 2.646737 2.646737
1541 19.348423 19.348423 2.408423 2.408423
1543 18.909555 18.909555 1.969555 1.969555
1547 18.027509 18.027509 1.087509 1.087509
2524 11.318702 11.318702 -5.621298 -5.621298
3091 11.060430 11.060430 -5.879570 -5.879570
5908 10.139057 10.139057 -6.800943 -6.800943
6751 9.933966 9.933966 -7.006034 -7.006034
6756 9.680410 9.680410 -7.259590 -7.259590
135000 98.087209 9.680410 98.087209 -7.259590
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 214.961492 214.961492 233.771492 233.771492
7 214.838583 214.838583 233.648583 233.648583
11 46.933598 46.933598 65.743598 65.743598
16 46.263182 46.263182 65.073182 65.073182
21 34.916077 34.916077 53.726077 53.726077
131 34.548656 34.548656 53.358656 53.358656
141 34.462584 34.462584 53.272584 53.272584
142 33.836765 33.836765 52.646765 52.646765
191 33.430348 33.430348 52.240348 52.240348
192 33.084862 33.084862 51.894862 51.894862
198 32.878215 32.878215 51.688215 51.688215
431 29.321162 29.321162 48.131162 48.131162
432 27.699327 27.699327 46.509327 46.509327
537 24.347247 24.347247 43.157247 43.157247
841 22.452020 22.452020 41.262020 41.262020
844 14.125495 14.125495 32.935495 32.935495
1551 13.684935 13.684935 32.494935 32.494935
1556 13.001338 13.001338 31.811338 31.811338
2091 8.880226 8.880226 27.690226 27.690226
2841 8.547801 8.547801 27.357801 27.357801
2844 7.937396 7.937396 26.747396 26.747396
2845 7.672904 7.672904 26.482904 26.482904
135000 40.982137 7.672904 40.982137 26.482904
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88.722431 88.722431 107.532431 107.532431
2 83.908799 83.908799 102.718799 102.718799
11 44.125538 44.125538 62.935538 62.935538
14 43.494902 43.494902 62.304902 62.304902
16 41.002545 41.002545 59.812545 59.812545
101 37.222350 37.222350 56.032350 56.032350
104 37.071931 37.071931 55.881931 55.881931
105 36.607337 36.607337 55.417337 55.417337
461 17.571333 17.571333 36.381333 36.381333
466 17.250145 17.250145 36.060145 36.060145
468 16.837165 16.837165 35.647165 35.647165
722 15.267290 15.267290 34.077290 34.077290
730 13.828360 13.828360 32.638360 32.638360
1283 5.077762 5.077762 23.887762 23.887762
1811 4.729471 4.729471 23.539471 23.539471
135000 81.006380 4.729471 81.006380 23.539471
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 42.329378 42.329378 61.139378 61.139378
182 41.788686 41.788686 60.598686 60.598686
186 41.496068 41.496068 60.306068 60.306068
188 40.875010 40.875010 59.685010 59.685010
241 35.578134 35.578134 54.388134 54.388134
247 35.416177 35.416177 54.226177 54.226177
504 31.454221 31.454221 50.264221 50.264221
816 30.076382 30.076382 48.886382 48.886382
880 26.301528 26.301528 45.111528 45.111528
885 24.939561 24.939561 43.749561 43.749561
911 18.546353 18.546353 37.356353 37.356353
921 17.789241 17.789241 36.599241 36.599241
936 17.360678 17.360678 36.170678 36.170678
1592 17.114553 17.114553 35.924553 35.924553
1595 16.012747 16.012747 34.822747 34.822747
1894 14.889468 14.889468 33.699468 33.699468
1898 11.525544 11.525544 30.335544 30.335544
2722 11.425936 11.425936 30.235936 30.235936
2725 11.051909 11.051909 29.861909 29.861909
28632 10.821384 10.821384 29.631384 29.631384
36556 10.717510 10.717510 29.527510 29.527510
135000 80.192122 10.717510 80.192122 29.527510
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 34.695140 34.695140 307.845140 307.845140
2 34.544767 34.544767 307.694767 307.694767
3 33.745113 33.745113 306.895113 306.895113
9 33.612355 33.612355 306.762355 306.762355
41 28.855457 28.855457 302.005457 302.005457
42 28.813641 28.813641 301.963641 301.963641
44 28.637967 28.637967 301.787967 301.787967
45 27.870570 27.870570 301.020570 301.020570
48 27.819897 27.819897 300.969897 300.969897
49 26.655117 26.655117 299.805117 299.805117
161 25.698469 25.698469 298.848469 298.848469
164 25.665754 25.665754 298.815754 298.815754
167 25.611618 25.611618 298.761618 298.761618
311 22.953285 22.953285 296.103285 296.103285
312 22.582462 22.582462 295.732462 295.732462
317 22.543927 22.543927 295.693927 295.693927
320 22.077344 22.077344 295.227344 295.227344
588 19.963951 19.963951 293.113951 293.113951
592 15.892182 15.892182 289.042182 289.042182
784 14.861473 14.861473 288.011473 288.011473
1511 14.769941 14.769941 287.919941 287.919941
1514 14.566078 14.566078 287.716078 287.716078
2031 6.962266 6.962266 280.112266 280.112266
2802 6.877078 6.877078 280.027078 280.027078
2803 6.643569 6.643569 279.793569 279.793569
2807 6.563181 6.563181 279.713181 279.713181
2810 6.216450 6.216450 279.366450 279.366450
135000 70.914750 6.216450 70.914750 279.366450
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 294.236882 294.236882 567.386882 567.386882
3 294.020607 294.020607 567.170607 567.170607
6 292.377058 292.377058 565.527058 565.527058
10 288.906434 288.906434 562.056434 562.056434
11 58.318152 58.318152 331.468152 331.468152
13 57.483223 57.483223 330.633223 330.633223
19 57.127060 57.127060 330.277060 330.277060
21 45.378181 45.378181 318.528181 318.528181
22 44.954983 44.954983 318.104983 318.104983
24 44.339178 44.339178 317.489178 317.489178
30 44.211286 44.211286 317.361286 317.361286
101 38.622485 38.622485 311.772485 311.772485
103 37.893741 37.893741 311.043741 311.043741
109 37.673820 37.673820 310.823820 310.823820
171 36.873933 36.873933 310.023933 310.023933
172 36.822291 36.822291 309.972291 309.972291
173 35.992755 35.992755 309.142755 309.142755
179 35.429259 35.429259 308.579259 308.579259
401 34.960691 34.960691 308.110691 308.110691
402 33.984071 33.984071 307.134071 307.134071
404 33.620871 33.620871 306.770871 306.770871
408 33.022162 33.022162 306.172162 306.172162
410 32.896539 32.896539 306.046539 306.046539
535 31.643237 31.643237 304.793237 304.793237
539 25.592311 25.592311 298.742311 298.742311
547 23.878491 23.878491 297.028491 297.028491
734 21.605070 21.605070 294.755070 294.755070
790 19.559454 19.559454 292.709454 292.709454
797 14.916886 14.916886 288.066886 288.066886
1522 14.873099 14.873099 288.023099 288.023099
1524 14.677001 14.677001 287.827001 287.827001
1525 14.502227 14.502227 287.652227 287.652227
20106 9.716393 9.716393 282.866393 282.866393
20661 9.689248 9.689248 282.839248 282.839248
20663 9.441278 9.441278 282.591278 282.591278
36469 8.934930 8.934930 282.084930 282.084930
132782 8.932394 8.932394 282.082394 282.082394
132786 8.667499 8.667499 281.817499 281.817499
132790 7.833205 7.833205 280.983205 280.983205
135000 75.008041 7.833205 75.008041 280.983205
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 190.130049 190.130049 463.280049 463.280049
6 189.245588 189.245588 462.395588 462.395588
7 188.999890 188.999890 462.149890 462.149890
11 130.581249 130.581249 403.731249 403.731249
12 129.939378 129.939378 403.089378 403.089378
17 129.876484 129.876484 403.026484 403.026484
20 129.423903 129.423903 402.573903 402.573903
31 106.306411 106.306411 379.456411 379.456411
32 106.038111 106.038111 379.188111 379.188111
34 105.641759 105.641759 378.791759 378.791759
36 105.546151 105.546151 378.696151 378.696151
40 102.787712 102.787712 375.937712 375.937712
51 78.476178 78.476178 351.626178 351.626178
52 77.036976 77.036976 350.186976 350.186976
53 76.321121 76.321121 349.471121 349.471121
58 76.113652 76.113652 349.263652 349.263652
101 61.660495 61.660495 334.810495 334.810495
104 61.377124 61.377124 334.527124 334.527124
107 60.044795 60.044795 333.194795 333.194795
110 58.760989 58.760989 331.910989 331.910989
181 50.245583 50.245583 323.395583 323.395583
189 49.983354 49.983354 323.133354 323.133354
191 38.103337 38.103337 311.253337 311.253337
193 37.796480 37.796480 310.946480 310.946480
199 36.619313 36.619313 309.769313 309.769313
211 22.632141 22.632141 295.782141 295.782141
213 22.381456 22.381456 295.531456 295.531456
867 19.525273 19.525273 292.675273 292.675273
1561 19.496320 19.496320 292.646320 292.646320
1564 19.458200 19.458200 292.608200 292.608200
1567 19.366447 19.366447 292.516447 292.516447
1949 18.586906 18.586906 291.736906 291.736906
1975 17.336245 17.336245 290.486245 290.486245
2227 14.824442 14.824442 287.974442 287.974442
2921 14.730364 14.730364 287.880364 287.880364
