"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22792.528609 22792.528609 22246.028609 22246.028609
4 22777.292530 22777.292530 22230.792530 22230.792530
6 22766.034530 22766.034530 22219.534530 22219.534530
7 22738.246093 22738.246093 22191.746093 22191.746093
31 21900.293429 21900.293429 21353.793429 21353.793429
32 21894.488273 21894.488273 21347.988273 21347.988273
36 21844.991212 21844.991212 21298.491212 21298.491212
51 1825.659596 1825.659596 1279.159596 1279.159596
54 1817.583646 1817.583646 1271.083646 1271.083646
451 935.632921 935.632921 389.132921 389.132921
454 932.951696 932.951696 386.451696 386.451696
456 924.865765 924.865765 378.365765 378.365765
588 578.670865 578.670865 32.170865 32.170865
1266 558.385836 558.385836 11.885836 11.885836
1268 213.919411 213.919411 -332.580589 -332.580589
1272 18.839958 18.839958 -527.660042 -527.660042
1801 18.833494 18.833494 -527.666506 -527.666506
1804 18.517991 18.517991 -527.982009 -527.982009
1806 17.511084 17.511084 -528.988916 -528.988916
1962 2.523472 2.523472 -543.976528 -543.976528
2761 2.517379 2.517379 -543.982621 -543.982621
2764 2.509048 2.509048 -543.990952 -543.990952
2766 2.503104 2.503104 -543.996896 -543.996896
2767 2.474620 2.474620 -544.025380 -544.025380
117259 2.292834 2.292834 -544.207166 -544.207166
117831 2.278160 2.278160 -544.221840 -544.221840
117835 2.263327 2.263327 -544.236673 -544.236673
135000 57898.002252 2.263327 57898.002252 -544.236673
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5498.336378 5498.336378 4951.836378 4951.836378
2 5491.955546 5491.955546 4945.455546 4945.455546
4 5488.696660 5488.696660 4942.196660 4942.196660
6 5469.491313 5469.491313 4922.991313 4922.991313
51 3364.256312 3364.256312 2817.756312 2817.756312
56 3357.404940 3357.404940 2810.904940 2810.904940
57 3336.830855 3336.830855 2790.330855 2790.330855
81 2572.179473 2572.179473 2025.679473 2025.679473
84 2567.687251 2567.687251 2021.187251 2021.187251
86 2554.158709 2554.158709 2007.658709 2007.658709
361 112.326671 112.326671 -434.173329 -434.173329
362 110.976519 110.976519 -435.523481 -435.523481
363 108.953413 108.953413 -437.546587 -437.546587
994 34.635626 34.635626 -511.864374 -511.864374
1113 14.188118 14.188118 -532.311882 -532.311882
1115 4.915462 4.915462 -541.584538 -541.584538
1116 3.974571 3.974571 -542.525429 -542.525429
1126 3.939261 3.939261 -542.560739 -542.560739
1712 3.910523 3.910523 -542.589477 -542.589477
1720 3.900352 3.900352 -542.599648 -542.599648
2510 3.761239 3.761239 -542.738761 -542.738761
3081 3.760152 3.760152 -542.739848 -542.739848
3084 3.751488 3.751488 -542.748512 -542.748512
3087 3.716991 3.716991 -542.783009 -542.783009
4638 3.231071 3.231071 -543.268929 -543.268929
5451 3.230677 3.230677 -543.269323 -543.269323
5453 3.216523 3.216523 -543.283477 -543.283477
5455 3.213695 3.213695 -543.286305 -543.286305
5457 3.177610 3.177610 -543.322390 -543.322390
36216 2.710794 2.710794 -543.789206 -543.789206
36811 2.704929 2.704929 -543.795071 -543.795071
36813 2.700569 2.700569 -543.799431 -543.799431
36816 2.693805 2.693805 -543.806195 -543.806195
36817 2.681414 2.681414 -543.818586 -543.818586
36819 2.651645 2.651645 -543.848355 -543.848355
72663 2.381546 2.381546 -544.118454 -544.118454
73262 2.380193 2.380193 -544.119807 -544.119807
73263 2.377778 2.377778 -544.122222 -544.122222
73266 2.365273 2.365273 -544.134727 -544.134727
73269 2.359537 2.359537 -544.140463 -544.140463
105063 2.110569 2.110569 -544.389431 -544.389431
105661 2.099615 2.099615 -544.400385 -544.400385
105668 2.087398 2.087398 -544.412602 -544.412602
105669 2.061674 2.061674 -544.438326 -544.438326
135000 83688.700433 2.061674 83688.700433 -544.438326
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 28147.778883 28147.778883 27601.278883 27601.278883
4 28143.054929 28143.054929 27596.554929 27596.554929
6 28106.974097 28106.974097 27560.474097 27560.474097
7 28080.434195 28080.434195 27533.934195 27533.934195
41 18566.241912 18566.241912 18019.741912 18019.741912
