"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 25.060885 25.060885 31.930885 31.930885
3 24.853504 24.853504 31.723504 31.723504
9 23.096603 23.096603 29.966603 29.966603
12 19.173217 19.173217 26.043217 26.043217
14 19.163602 19.163602 26.033602 26.033602
18 17.456705 17.456705 24.326705 24.326705
21 13.835184 13.835184 20.705184 20.705184
27 12.762124 12.762124 19.632124 19.632124
82 10.265897 10.265897 17.135897 17.135897
84 8.291243 8.291243 15.161243 15.161243
151 4.026624 4.026624 10.896624 10.896624
555 3.829169 3.829169 10.699169 10.699169
853 2.149517 2.149517 9.019517 9.019517
1762 1.978754 1.978754 8.848754 8.848754
2085 1.763369 1.763369 8.633369 8.633369
2831 1.103485 1.103485 7.973485 7.973485
5837 0.965889 0.965889 7.835889 7.835889
17201 0.922961 0.922961 7.792961 7.792961
44860 0.710991 0.710991 7.580991 7.580991
55838 0.709593 0.709593 7.579593 7.579593
65158 0.690652 0.690652 7.560652 7.560652
135000 13.479654 0.690652 13.479654 7.560652
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19.190083 19.190083 26.060083 26.060083
7 19.118188 19.118188 25.988188 25.988188
11 13.239824 13.239824 20.109824 20.109824
17 10.448143 10.448143 17.318143 17.318143
31 8.329081 8.329081 15.199081 15.199081
32 5.008456 5.008456 11.878456 11.878456
35 4.536979 4.536979 11.406979 11.406979
40 3.886904 3.886904 10.756904 10.756904
354 3.519753 3.519753 10.389753 10.389753
355 3.396997 3.396997 10.266997 10.266997
558 2.963405 2.963405 9.833405 9.833405
786 2.839492 2.839492 9.709492 9.709492
947 1.679234 1.679234 8.549234 8.549234
1521 1.209587 1.209587 8.079587 8.079587
1527 0.956359 0.956359 7.826359 7.826359
2987 0.588111 0.588111 7.458111 7.458111
135000 12.041351 0.588111 12.041351 7.458111
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 11.471512 11.471512 18.341512 18.341512
61 10.105290 10.105290 16.975290 16.975290
64 8.071752 8.071752 14.941752 14.941752
102 6.500517 6.500517 13.370517 13.370517
103 6.205382 6.205382 13.075382 13.075382
291 4.657728 4.657728 11.527728 11.527728
292 4.100389 4.100389 10.970389 10.970389
293 2.089301 2.089301 8.959301 8.959301
1039 1.970134 1.970134 8.840134 8.840134
1511 1.906624 1.906624 8.776624 8.776624
1649 1.548192 1.548192 8.418192 8.418192
1670 1.496229 1.496229 8.366229 8.366229
2119 1.286559 1.286559 8.156559 8.156559
2854 0.835805 0.835805 7.705805 7.705805
2855 0.795122 0.795122 7.665122 7.665122
135000 7.125176 0.795122 7.125176 7.665122
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 24.404813 24.404813 24.414813 24.414813
2 17.416955 17.416955 17.426955 17.426955
11 5.705471 5.705471 5.715471 5.715471
162 4.279705 4.279705 4.289705 4.289705
168 3.635454 3.635454 3.645454 3.645454
328 2.569957 2.569957 2.579957 2.579957
708 2.220918 2.220918 2.230918 2.230918
1412 1.482679 1.482679 1.492679 1.492679
1472 1.459171 1.459171 1.469171 1.469171
2939 1.406808 1.406808 1.416808 1.416808
5519 1.312558 1.312558 1.322558 1.322558
20652 1.309203 1.309203 1.319203 1.319203
28491 1.199787 1.199787 1.209787 1.209787
36527 1.005551 1.005551 1.015551 1.015551
53666 0.724565 0.724565 0.734565 0.734565
54304 0.570952 0.570952 0.580952 0.580952
135000 7.925745 0.570952 7.925745 0.580952
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.699596 17.699596 17.709596 17.709596
2 15.226268 15.226268 15.236268 15.236268
3 13.779501 13.779501 13.789501 13.789501
