"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 464.761277 464.761277 2.671277 2.671277
2 464.171828 464.171828 2.081828 2.081828
6 463.899975 463.899975 1.809975 1.809975
11 423.568206 423.568206 -38.521794 -38.521794
13 423.410409 423.410409 -38.679591 -38.679591
15 423.282236 423.282236 -38.807764 -38.807764
18 423.093091 423.093091 -38.996909 -38.996909
20 422.251415 422.251415 -39.838585 -39.838585
21 245.603658 245.603658 -216.486342 -216.486342
26 245.181771 245.181771 -216.908229 -216.908229
27 243.642750 243.642750 -218.447250 -218.447250
31 156.342630 156.342630 -305.747370 -305.747370
38 156.001992 156.001992 -306.088008 -306.088008
81 67.985152 67.985152 -394.104848 -394.104848
82 67.565431 67.565431 -394.524569 -394.524569
87 66.984382 66.984382 -395.105618 -395.105618
645 63.206461 63.206461 -398.883539 -398.883539
914 39.980717 39.980717 -422.109283 -422.109283
1591 39.858410 39.858410 -422.231590 -422.231590
1593 39.770039 39.770039 -422.319961 -422.319961
1595 39.166925 39.166925 -422.923075 -422.923075
135000 255.355331 39.166925 255.355331 -422.923075
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 287.203074 287.203074 -174.886926 -174.886926
3 286.852494 286.852494 -175.237506 -175.237506
10 286.748248 286.748248 -175.341752 -175.341752
21 240.167058 240.167058 -221.922942 -221.922942
25 240.141155 240.141155 -221.948845 -221.948845
27 238.923035 238.923035 -223.166965 -223.166965
31 183.256523 183.256523 -278.833477 -278.833477
37 183.175270 183.175270 -278.914730 -278.914730
40 182.732189 182.732189 -279.357811 -279.357811
101 152.231553 152.231553 -309.858447 -309.858447
102 151.791435 151.791435 -310.298565 -310.298565
103 151.726844 151.726844 -310.363156 -310.363156
201 137.041527 137.041527 -325.048473 -325.048473
202 136.908742 136.908742 -325.181258 -325.181258
204 136.810324 136.810324 -325.279676 -325.279676
206 136.619906 136.619906 -325.470094 -325.470094
208 136.590409 136.590409 -325.499591 -325.499591
209 136.470490 136.470490 -325.619510 -325.619510
211 71.292360 71.292360 -390.797640 -390.797640
215 70.804911 70.804911 -391.285089 -391.285089
220 70.767515 70.767515 -391.322485 -391.322485
864 47.021277 47.021277 -415.068723 -415.068723
1561 47.004310 47.004310 -415.085690 -415.085690
1564 46.754885 46.754885 -415.335115 -415.335115
1565 46.565464 46.565464 -415.524536 -415.524536
1568 46.515650 46.515650 -415.574350 -415.574350
2213 44.683512 44.683512 -417.406488 -417.406488
2218 35.499886 35.499886 -426.590114 -426.590114
2912 35.481586 35.481586 -426.608414 -426.608414
2913 35.152066 35.152066 -426.937934 -426.937934
2916 34.690585 34.690585 -427.399415 -427.399415
2920 34.425776 34.425776 -427.664224 -427.664224
135000 334.800440 34.425776 334.800440 -427.664224
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 609.570596 609.570596 147.480596 147.480596
2 609.163313 609.163313 147.073313 147.073313
11 130.736439 130.736439 -331.353561 -331.353561
14 130.564059 130.564059 -331.525941 -331.525941
