"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 110.156740 110.156740 100.946740 100.946740
2 110.146740 110.146740 100.936740 100.936740
4 110.142849 110.142849 100.932849 100.932849
6 110.135929 110.135929 100.925929 100.925929
8 110.123623 110.123623 100.913623 100.913623
9 110.101740 110.101740 100.891740 100.891740
11 52.229517 52.229517 43.019517 43.019517
12 52.219517 52.219517 43.009517 43.009517
14 52.215626 52.215626 43.005626 43.005626
16 52.208706 52.208706 42.998706 42.998706
18 52.196400 52.196400 42.986400 42.986400
19 52.174517 52.174517 42.964517 42.964517
41 45.840865 45.840865 36.630865 36.630865
42 45.830865 45.830865 36.620865 36.620865
44 45.826974 45.826974 36.616974 36.616974
46 45.820054 45.820054 36.610054 36.610054
48 45.807748 45.807748 36.597748 36.597748
49 45.785865 45.785865 36.575865 36.575865
351 37.484037 37.484037 28.274037 28.274037
352 37.474037 37.474037 28.264037 28.264037
354 37.470145 37.470145 28.260145 28.260145
356 37.463225 37.463225 28.253225 28.253225
358 37.450920 37.450920 28.240920 28.240920
359 37.429037 37.429037 28.219037 28.219037
571 33.439699 33.439699 24.229699 24.229699
952 32.172990 32.172990 22.962990 22.962990
1096 30.642165 30.642165 21.432165 21.432165
1101 30.391275 30.391275 21.181275 21.181275
1102 29.514976 29.514976 20.304976 20.304976
1103 29.300934 29.300934 20.090934 20.090934
1702 29.295934 29.295934 20.085934 20.085934
1704 29.292042 29.292042 20.082042 20.082042
1706 29.285122 29.285122 20.075122 20.075122
1708 29.272817 29.272817 20.062817 20.062817
1872 27.539960 27.539960 18.329960 18.329960
2296 25.793315 25.793315 16.583315 16.583315
2480 25.037386 25.037386 15.827386 15.827386
2482 22.052367 22.052367 12.842367 12.842367
3072 22.047367 22.047367 12.837367 12.837367
3074 22.043476 22.043476 12.833476 12.833476
3076 22.036556 22.036556 12.826556 12.826556
3078 22.024250 22.024250 12.814250 12.814250
3218 3.268877 3.268877 -5.941123 -5.941123
3220 3.040886 3.040886 -6.169114 -6.169114
3798 0.845331 0.845331 -8.364669 -8.364669
4402 0.840331 0.840331 -8.369669 -8.369669
4404 0.836439 0.836439 -8.373561 -8.373561
4829 0.000000 0.000000 -9.210000 -9.210000
135000 0.000000 0.000000 0.000000 -9.210000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.286363 85.286363 76.076363 76.076363
2 85.276363 85.276363 76.066363 76.066363
