"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 311264.805079 311264.805079 311300.705079 311300.705079
11 175999.126802 175999.126802 176035.026802 176035.026802
31 16809.413749 16809.413749 16845.313749 16845.313749
34 16806.026167 16806.026167 16841.926167 16841.926167
36 16767.858446 16767.858446 16803.758446 16803.758446
37 16764.457423 16764.457423 16800.357423 16800.357423
39 16746.283615 16746.283615 16782.183615 16782.183615
61 847.126759 847.126759 883.026759 883.026759
101 63.300161 63.300161 99.200161 99.200161
102 63.165618 63.165618 99.065618 99.065618
106 63.151824 63.151824 99.051824 99.051824
673 42.944403 42.944403 78.844403 78.844403
678 41.767582 41.767582 77.667582 77.667582
1454 41.752955 41.752955 77.652955 77.652955
1456 41.711322 41.711322 77.611322 77.611322
2021 23.005424 23.005424 58.905424 58.905424
2802 22.976000 22.976000 58.876000 58.876000
3376 22.305056 22.305056 58.205056 58.205056
4152 22.243160 22.243160 58.143160 58.143160
7579 12.431990 12.431990 48.331990 48.331990
8292 12.422806 12.422806 48.322806 48.322806
8927 2.399880 2.399880 38.299880 38.299880
9642 2.395721 2.395721 38.295721 38.295721
9643 2.392257 2.392257 38.292257 38.292257
9650 2.385193 2.385193 38.285193 38.285193
17034 1.487123 1.487123 37.387123 37.387123
17742 1.484144 1.484144 37.384144 37.384144
17743 1.482166 1.482166 37.382166 37.382166
17746 1.478614 1.478614 37.378614 37.378614
17750 1.471553 1.471553 37.371553 37.371553
29327 0.760552 0.760552 36.660552 36.660552
29982 0.756227 0.756227 36.656227 36.656227
29990 0.753504 0.753504 36.653504 36.653504
33377 0.435562 0.435562 36.335562 36.335562
34032 0.434594 0.434594 36.334594 36.334594
34033 0.434196 0.434196 36.334196 36.334196
34038 0.434173 0.434173 36.334173 36.334173
34040 0.426029 0.426029 36.326029 36.326029
52841 0.340969 0.340969 36.240969 36.240969
52844 0.205165 0.205165 36.105165 36.105165
68736 0.164426 0.164426 36.064426 36.064426
69282 0.160253 0.160253 36.060253 36.060253
94388 0.080009 0.080009 35.980009 35.980009
94932 0.079376 0.079376 35.979376 35.979376
95732 0.041453 0.041453 35.941453 35.941453
96282 0.039268 0.039268 35.939268 35.939268
98441 0.025006 0.025006 35.925006 35.925006
98982 0.022016 0.022016 35.922016 35.922016
135000 6669.963811 0.022016 6669.963811 35.922016
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 301800.699578 301800.699578 301836.599578 301836.599578
8 301793.265146 301793.265146 301829.165146 301829.165146
9 301763.064598 301763.064598 301798.964598 301798.964598
11 164.928845 164.928845 200.828845 200.828845
12 164.191115 164.191115 200.091115 200.091115
311 121.920939 121.920939 157.820939 157.820939
312 121.741010 121.741010 157.641010 157.641010
520 116.243139 116.243139 152.143139 152.143139
525 115.419036 115.419036 151.319036 151.319036
530 114.882312 114.882312 150.782312 150.782312
1030 109.662463 109.662463 145.562463 145.562463
1662 109.581982 109.581982 145.481982 145.481982
1868 75.897392 75.897392 111.797392 111.797392
1870 44.634925 44.634925 80.534925 80.534925
1874 42.397762 42.397762 78.297762 78.297762
1875 41.600777 41.600777 77.500777 77.500777
2541 24.702892 24.702892 60.602892 60.602892
3102 24.667473 24.667473 60.567473 60.567473
3222 23.671083 23.671083 59.571083 59.571083
3224 23.385538 23.385538 59.285538 59.285538
3225 11.530532 11.530532 47.430532 47.430532
3229 11.443749 11.443749 47.343749 47.343749
4062 11.431706 11.431706 47.331706 47.331706
4063 11.417047 11.417047 47.317047 47.317047
4070 11.396550 11.396550 47.296550 47.296550
10174 8.569669 8.569669 44.469669 44.469669
10178 6.826300 6.826300 42.726300 42.726300
10183 6.065324 6.065324 41.965324 41.965324
10932 6.049411 6.049411 41.949411 41.949411
10940 6.038267 6.038267 41.938267 41.938267
14568 5.160746 5.160746 41.060746 41.060746
14569 3.935276 3.935276 39.835276 39.835276
15182 3.922689 3.922689 39.822689 39.822689
15183 3.918828 3.918828 39.818828 39.818828
18262 3.190077 3.190077 39.090077 39.090077
18845 1.834320 1.834320 37.734320 37.734320
19362 1.827736 1.827736 37.727736 37.727736
19363 1.811180 1.811180 37.711180 37.711180
32020 1.378370 1.378370 37.278370 37.278370
32672 1.378130 1.378130 37.278130 37.278130
32673 1.376418 1.376418 37.276418 37.276418
32680 1.374967 1.374967 37.274967 37.274967
34715 0.534233 0.534233 36.434233 36.434233
35372 0.528509 0.528509 36.428509 36.428509
35373 0.526829 0.526829 36.426829 36.426829
35380 0.519028 0.519028 36.419028 36.419028
38764 0.227571 0.227571 36.127571 36.127571
39422 0.225524 0.225524 36.125524 36.125524
39430 0.219508 0.219508 36.119508 36.119508
48216 0.158132 0.158132 36.058132 36.058132
48872 0.157040 0.157040 36.057040 36.057040
48880 0.153761 0.153761 36.053761 36.053761
50919 0.149929 0.149929 36.049929 36.049929
51572 0.149757 0.149757 36.049757 36.049757
51573 0.149654 0.149654 36.049654 36.049654
51580 0.146778 0.146778 36.046778 36.046778
54964 0.100025 0.100025 36.000025 36.000025
54969 0.081164 0.081164 35.981164 35.981164
55625 0.081069 0.081069 35.981069 35.981069
55630 0.080002 0.080002 35.980002 35.980002
91328 0.050426 0.050426 35.950426 35.950426
92022 0.049352 0.049352 35.949352 35.949352
92023 0.048885 0.048885 35.948885 35.948885
92030 0.045659 0.045659 35.945659 35.945659
135000 33253.803985 0.045659 33253.803985 35.945659
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 124380.710381 124380.710381 124416.610381 124416.610381
8 124310.338397 124310.338397 124346.238397 124346.238397
61 63027.013552 63027.013552 63062.913552 63062.913552
65 63001.063584 63001.063584 63036.963584 63036.963584
141 19468.167584 19468.167584 19504.067584 19504.067584
142 19439.449263 19439.449263 19475.349263 19475.349263
145 19410.545162 19410.545162 19446.445162 19446.445162
149 19375.366356 19375.366356 19411.266356 19411.266356
311 237.845527 237.845527 273.745527 273.745527
312 237.512328 237.512328 273.412328 273.412328
316 237.453819 237.453819 273.353819 273.353819
1030 214.208966 214.208966 250.108966 250.108966
1033 210.626442 210.626442 246.526442 246.526442
1662 210.564757 210.564757 246.464757 246.464757
1666 210.543107 210.543107 246.443107 246.443107
2303 58.207633 58.207633 94.107633 94.107633
2305 53.103403 53.103403 89.003403 89.003403
2492 21.539589 21.539589 57.439589 57.439589
