"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12516.593502 12516.593502 12665.743502 12665.743502
2 12506.459603 12506.459603 12655.609603 12655.609603
4 12444.943407 12444.943407 12594.093407 12594.093407
91 3367.939405 3367.939405 3517.089405 3517.089405
98 3347.411269 3347.411269 3496.561269 3496.561269
141 1512.434434 1512.434434 1661.584434 1661.584434
142 1502.313893 1502.313893 1651.463893 1651.463893
144 1501.918930 1501.918930 1651.068930 1651.068930
145 1498.986644 1498.986644 1648.136644 1648.136644
656 1190.008006 1190.008006 1339.158006 1339.158006
659 814.964820 814.964820 964.114820 964.114820
661 755.425938 755.425938 904.575938 904.575938
663 628.605919 628.605919 777.755919 777.755919
666 477.398671 477.398671 626.548671 626.548671
739 381.279808 381.279808 530.429808 530.429808
742 260.932001 260.932001 410.082001 410.082001
750 140.210054 140.210054 289.360054 289.360054
1492 139.578028 139.578028 288.728028 288.728028
1494 139.360123 139.360123 288.510123 288.510123
1495 139.136716 139.136716 288.286716 288.286716
3966 131.395047 131.395047 280.545047 280.545047
4502 131.357452 131.357452 280.507452 280.507452
4504 131.291498 131.291498 280.441498 280.441498
4506 130.962545 130.962545 280.112545 280.112545
4507 129.701607 129.701607 278.851607 278.851607
135000 88066.623582 129.701607 88066.623582 278.851607
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 170299.688353 170299.688353 170448.838353 170448.838353
5 169892.672349 169892.672349 170041.822349 170041.822349
11 4130.587247 4130.587247 4279.737247 4279.737247
14 4129.959364 4129.959364 4279.109364 4279.109364
15 4129.463626 4129.463626 4278.613626 4278.613626
18 4113.220422 4113.220422 4262.370422 4262.370422
471 1362.374135 1362.374135 1511.524135 1511.524135
472 1355.138566 1355.138566 1504.288566 1504.288566
477 1347.082919 1347.082919 1496.232919 1496.232919
1300 453.241048 453.241048 602.391048 602.391048
1302 387.560427 387.560427 536.710427 536.710427
1303 342.557006 342.557006 491.707006 491.707006
1305 214.425059 214.425059 363.575059 363.575059
1310 130.002439 130.002439 279.152439 279.152439
1822 129.706456 129.706456 278.856456 278.856456
1824 129.321972 129.321972 278.471972 278.471972
1827 128.825032 128.825032 277.975032 277.975032
135000 115032.983902 128.825032 115032.983902 277.975032
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 90229.824132 90229.824132 90378.974132 90378.974132
2 90229.043787 90229.043787 90378.193787 90378.193787
3 90096.427183 90096.427183 90245.577183 90245.577183
8 89978.996290 89978.996290 90128.146290 90128.146290
11 26974.552244 26974.552244 27123.702244 27123.702244
12 26830.385036 26830.385036 26979.535036 26979.535036
15 26815.536383 26815.536383 26964.686383 26964.686383
21 23680.673399 23680.673399 23829.823399 23829.823399
22 23677.491585 23677.491585 23826.641585 23826.641585
23 23669.249768 23669.249768 23818.399768 23818.399768
26 23669.229666 23669.229666 23818.379666 23818.379666
28 23552.664532 23552.664532 23701.814532 23701.814532
111 23277.745527 23277.745527 23426.895527 23426.895527
112 23204.473753 23204.473753 23353.623753 23353.623753
113 23199.963844 23199.963844 23349.113844 23349.113844
117 23174.100992 23174.100992 23323.250992 23323.250992
131 14901.210159 14901.210159 15050.360159 15050.360159
161 14368.969355 14368.969355 14518.119355 14518.119355
191 9999.070608 9999.070608 10148.220608 10148.220608
192 9966.381126 9966.381126 10115.531126 10115.531126
194 9949.639358 9949.639358 10098.789358 10098.789358
241 7248.781712 7248.781712 7397.931712 7397.931712
247 7190.692174 7190.692174 7339.842174 7339.842174
371 2647.584177 2647.584177 2796.734177 2796.734177
375 2631.768203 2631.768203 2780.918203 2780.918203
828 2586.291334 2586.291334 2735.441334 2735.441334
912 2431.130173 2431.130173 2580.280173 2580.280173
915 1243.088780 1243.088780 1392.238780 1392.238780
1132 804.661842 804.661842 953.811842 953.811842
1268 757.981585 757.981585 907.131585 907.131585
1271 375.317680 375.317680 524.467680 524.467680
1801 372.422435 372.422435 521.572435 521.572435
1805 369.222952 369.222952 518.372952 518.372952
2096 77.095965 77.095965 226.245965 226.245965
2842 76.941337 76.941337 226.091337 226.091337
2843 75.960470 75.960470 225.110470 225.110470
135000 213605.492208 75.960470 213605.492208 225.110470
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 64968.725802 64968.725802 63968.725802 63968.725802
31 10581.885455 10581.885455 9581.885455 9581.885455
33 10533.665019 10533.665019 9533.665019 9533.665019
171 8703.737870 8703.737870 7703.737870 7703.737870
172 8702.937830 8702.937830 7702.937830 7702.937830
173 8691.685417 8691.685417 7691.685417 7691.685417
176 8647.209444 8647.209444 7647.209444 7647.209444
191 5139.983948 5139.983948 4139.983948 4139.983948
291 4359.467198 4359.467198 3359.467198 3359.467198
294 4353.278538 4353.278538 3353.278538 3353.278538
295 4341.648050 4341.648050 3341.648050 3341.648050
381 716.490097 716.490097 -283.509903 -283.509903
382 715.455439 715.455439 -284.544561 -284.544561
383 714.637084 714.637084 -285.362916 -285.362916
388 710.358023 710.358023 -289.641977 -289.641977
1147 327.413393 327.413393 -672.586607 -672.586607
1151 250.992553 250.992553 -749.007447 -749.007447
1155 72.586795 72.586795 -927.413205 -927.413205
1732 72.539952 72.539952 -927.460048 -927.460048
1733 72.334822 72.334822 -927.665178 -927.665178
1738 71.973892 71.973892 -928.026108 -928.026108
1740 71.851365 71.851365 -928.148635 -928.148635
135000 87537.545815 71.851365 87537.545815 -928.148635
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 90923.198959 90923.198959 89923.198959 89923.198959
3 90921.473407 90921.473407 89921.473407 89921.473407
5 90910.920978 90910.920978 89910.920978 89910.920978
7 90607.753766 90607.753766 89607.753766 89607.753766
41 26819.281091 26819.281091 25819.281091 25819.281091
44 26748.927785 26748.927785 25748.927785 25748.927785
211 3505.560321 3505.560321 2505.560321 2505.560321
212 3500.545757 3500.545757 2500.545757 2500.545757
214 3496.635300 3496.635300 2496.635300 2496.635300
216 3481.115376 3481.115376 2481.115376 2481.115376
391 994.980999 994.980999 -5.019001 -5.019001
860 765.067120 765.067120 -234.932880 -234.932880
1164 517.493496 517.493496 -482.506504 -482.506504
1166 352.031451 352.031451 -647.968549 -647.968549
1167 184.542156 184.542156 -815.457844 -815.457844
1170 136.325688 136.325688 -863.674312 -863.674312
1741 135.740899 135.740899 -864.259101 -864.259101
1748 135.537782 135.537782 -864.462218 -864.462218
1749 135.277131 135.277131 -864.722869 -864.722869
135000 110989.873907 135.277131 110989.873907 -864.722869
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 20262.913417 20262.913417 19262.913417 19262.913417
4 20166.977252 20166.977252 19166.977252 19166.977252
51 11391.956127 11391.956127 10391.956127 10391.956127
54 11365.959259 11365.959259 10365.959259 10365.959259
55 11356.024405 11356.024405 10356.024405 10356.024405
191 5089.332933 5089.332933 4089.332933 4089.332933
193 5067.823860 5067.823860 4067.823860 4067.823860
381 1365.665531 1365.665531 365.665531 365.665531
383 1364.576098 1364.576098 364.576098 364.576098
387 1350.890181 1350.890181 350.890181 350.890181
401 1012.105576 1012.105576 12.105576 12.105576
404 1007.948003 1007.948003 7.948003 7.948003
431 716.678894 716.678894 -283.321106 -283.321106
432 714.675358 714.675358 -285.324642 -285.324642
434 714.051057 714.051057 -285.948943 -285.948943
438 713.520268 713.520268 -286.479732 -286.479732
1147 161.759942 161.759942 -838.240058 -838.240058
1153 159.848439 159.848439 -840.151561 -840.151561
1154 35.531488 35.531488 -964.468512 -964.468512
1731 34.595541 34.595541 -965.404459 -965.404459
1734 34.591735 34.591735 -965.408265 -965.408265
135000 93439.670935 34.591735 93439.670935 -965.408265
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 270192.822004 270192.822004 270291.442004 270291.442004
7 269642.956940 269642.956940 269741.576940 269741.576940
11 93925.412475 93925.412475 94024.032475 94024.032475
13 93808.873158 93808.873158 93907.493158 93907.493158
17 93657.332788 93657.332788 93755.952788 93755.952788
51 20546.936485 20546.936485 20645.556485 20645.556485
91 17295.780060 17295.780060 17394.400060 17394.400060
92 17207.527304 17207.527304 17306.147304 17306.147304
96 17190.180967 17190.180967 17288.800967 17288.800967
101 2623.169772 2623.169772 2721.789772 2721.789772
103 2603.910060 2603.910060 2702.530060 2702.530060
671 1667.482527 1667.482527 1766.102527 1766.102527
676 1363.358925 1363.358925 1461.978925 1461.978925
682 684.055126 684.055126 782.675126 782.675126
1452 683.786898 683.786898 782.406898 782.406898
1453 679.649410 679.649410 778.269410 778.269410
135000 402179.717141 679.649410 402179.717141 778.269410
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4376.310901 4376.310901 4474.930901 4474.930901
3 4376.289463 4376.289463 4474.909463 4474.909463
5 4357.511209 4357.511209 4456.131209 4456.131209
371 2132.629361 2132.629361 2231.249361 2231.249361
372 2125.477046 2125.477046 2224.097046 2224.097046
374 2117.601572 2117.601572 2216.221572 2216.221572
510 2091.811160 2091.811160 2190.431160 2190.431160
513 2058.575082 2058.575082 2157.195082 2157.195082
1130 1080.657356 1080.657356 1179.277356 1179.277356
1132 566.955422 566.955422 665.575422 665.575422
1133 533.376829 533.376829 631.996829 631.996829
1134 452.966723 452.966723 551.586723 551.586723
1722 452.733629 452.733629 551.353629 551.353629
1724 449.824551 449.824551 548.444551 548.444551
135000 40367.540657 449.824551 40367.540657 548.444551
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10336.337035 10336.337035 10434.957035 10434.957035
3 10331.656157 10331.656157 10430.276157 10430.276157
6 10280.098454 10280.098454 10378.718454 10378.718454
291 7402.943622 7402.943622 7501.563622 7501.563622
292 7395.402031 7395.402031 7494.022031 7494.022031
294 7394.447601 7394.447601 7493.067601 7493.067601
297 7360.499485 7360.499485 7459.119485 7459.119485
331 2427.648604 2427.648604 2526.268604 2526.268604
334 2426.579533 2426.579533 2525.199533 2525.199533
337 2408.140238 2408.140238 2506.760238 2506.760238
1011 1825.115976 1825.115976 1923.735976 1923.735976
1062 1186.615487 1186.615487 1285.235487 1285.235487
1065 632.924327 632.924327 731.544327 731.544327
1071 528.757352 528.757352 627.377352 627.377352
1074 230.026426 230.026426 328.646426 328.646426
1681 229.375424 229.375424 327.995424 327.995424
1684 229.037237 229.037237 327.657237 327.657237
1687 226.061939 226.061939 324.681939 324.681939
1923 216.961484 216.961484 315.581484 315.581484
2741 216.682682 216.682682 315.302682 315.302682
2746 216.325582 216.325582 314.945582 314.945582
2747 214.459837 214.459837 313.079837 313.079837
135000 46548.363137 214.459837 46548.363137 313.079837
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 349152.282551 349152.282551 349105.132551 349105.132551
7 348595.995720 348595.995720 348548.845720 348548.845720
21 168765.767648 168765.767648 168718.617648 168718.617648
25 168341.759728 168341.759728 168294.609728 168294.609728
41 67085.994672 67085.994672 67038.844672 67038.844672
45 66939.294333 66939.294333 66892.144333 66892.144333
61 27929.395045 27929.395045 27882.245045 27882.245045
62 27881.055355 27881.055355 27833.905355 27833.905355
64 27870.806781 27870.806781 27823.656781 27823.656781
67 27801.895710 27801.895710 27754.745710 27754.745710
81 26728.093613 26728.093613 26680.943613 26680.943613
82 26685.726083 26685.726083 26638.576083 26638.576083
83 26658.694804 26658.694804 26611.544804 26611.544804
87 26608.767361 26608.767361 26561.617361 26561.617361
171 4906.918842 4906.918842 4859.768842 4859.768842
173 4889.533862 4889.533862 4842.383862 4842.383862
790 3025.931795 3025.931795 2978.781795 2978.781795
792 2192.551919 2192.551919 2145.401919 2145.401919
793 2104.573287 2104.573287 2057.423287 2057.423287
795 1622.485590 1622.485590 1575.335590 1575.335590
799 1068.789319 1068.789319 1021.639319 1021.639319
1521 1067.751209 1067.751209 1020.601209 1020.601209
1523 1063.260347 1063.260347 1016.110347 1016.110347
3562 926.692190 926.692190 879.542190 879.542190
4003 671.378309 671.378309 624.228309 624.228309
4522 665.096728 665.096728 617.946728 617.946728
135000 54094.947650 665.096728 54094.947650 617.946728
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 97411.272996 97411.272996 97364.122996 97364.122996
11 230.459545 230.459545 183.309545 183.309545
521 191.676523 191.676523 144.526523 144.526523
525 96.077963 96.077963 48.927963 48.927963
1361 95.153709 95.153709 48.003709 48.003709
135000 41375.120242 95.153709 41375.120242 48.003709
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6639.235453 6639.235453 6592.085453 6592.085453
101 367.854543 367.854543 320.704543 320.704543
102 366.242533 366.242533 319.092533 319.092533
106 365.867700 365.867700 318.717700 318.717700
108 365.086531 365.086531 317.936531 317.936531
671 168.347342 168.347342 121.197342 121.197342
1451 168.285979 168.285979 121.135979 121.135979
1454 167.957243 167.957243 120.807243 120.807243
1456 167.439173 167.439173 120.289173 120.289173
135000 54710.726575 167.439173 54710.726575 120.289173
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 396377.660887 396377.660887 396415.180887 396415.180887
2 395643.883399 395643.883399 395681.403399 395681.403399
7 395208.897383 395208.897383 395246.417383 395246.417383
11 124595.020859 124595.020859 124632.540859 124632.540859
13 124548.080724 124548.080724 124585.600724 124585.600724
17 124211.592828 124211.592828 124249.112828 124249.112828
21 7367.138141 7367.138141 7404.658141 7404.658141
22 7335.016134 7335.016134 7372.536134 7372.536134
23 7325.689075 7325.689075 7363.209075 7363.209075
51 1450.287516 1450.287516 1487.807516 1487.807516
54 1445.216587 1445.216587 1482.736587 1482.736587
586 460.677348 460.677348 498.197348 498.197348
589 398.397281 398.397281 435.917281 435.917281
595 346.851726 346.851726 384.371726 384.371726
921 262.249283 262.249283 299.769283 299.769283
1592 257.873352 257.873352 295.393352 295.393352
135000 53429.641378 257.873352 53429.641378 295.393352
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15249.620337 15249.620337 15287.140337 15287.140337
2 15115.587328 15115.587328 15153.107328 15153.107328
91 1111.460297 1111.460297 1148.980297 1148.980297
93 1105.005491 1105.005491 1142.525491 1142.525491
361 1094.453526 1094.453526 1131.973526 1131.973526
654 681.243132 681.243132 718.763132 718.763132
656 386.398866 386.398866 423.918866 423.918866
659 351.941955 351.941955 389.461955 389.461955
660 236.197497 236.197497 273.717497 273.717497
663 197.141842 197.141842 234.661842 234.661842
1116 139.153084 139.153084 176.673084 176.673084
1118 113.185917 113.185917 150.705917 150.705917
1121 81.390704 81.390704 118.910704 118.910704
1712 81.173497 81.173497 118.693497 118.693497
1715 80.360783 80.360783 117.880783 117.880783
135000 300366.965279 80.360783 300366.965279 117.880783
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 444853.128858 444853.128858 444890.648858 444890.648858
2 444399.937371 444399.937371 444437.457371 444437.457371
6 444070.253583 444070.253583 444107.773583 444107.773583
7 444064.321528 444064.321528 444101.841528 444101.841528
11 100283.552279 100283.552279 100321.072279 100321.072279
12 100267.163431 100267.163431 100304.683431 100304.683431
13 99969.368000 99969.368000 100006.888000 100006.888000
21 15312.791442 15312.791442 15350.311442 15350.311442
22 15232.941126 15232.941126 15270.461126 15270.461126
28 15231.914065 15231.914065 15269.434065 15269.434065
81 5251.046238 5251.046238 5288.566238 5288.566238
82 5247.173136 5247.173136 5284.693136 5284.693136
84 5246.801460 5246.801460 5284.321460 5284.321460
85 5224.970771 5224.970771 5262.490771 5262.490771
311 1649.442770 1649.442770 1686.962770 1686.962770
312 1640.150765 1640.150765 1677.670765 1677.670765
313 1638.908114 1638.908114 1676.428114 1676.428114
316 1635.033720 1635.033720 1672.553720 1672.553720
1028 548.429769 548.429769 585.949769 585.949769
1032 526.118453 526.118453 563.638453 563.638453
1033 417.111495 417.111495 454.631495 454.631495
1034 309.488327 309.488327 347.008327 347.008327
1039 227.672037 227.672037 265.192037 265.192037
1662 226.236790 226.236790 263.756790 263.756790
135000 36658.117858 226.236790 36658.117858 263.756790
