"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 21594.138042 21594.138042 21717.968042 21717.968042
2 21530.392495 21530.392495 21654.222495 21654.222495
3 21518.828979 21518.828979 21642.658979 21642.658979
8 21476.475966 21476.475966 21600.305966 21600.305966
31 15631.010135 15631.010135 15754.840135 15754.840135
32 15523.416650 15523.416650 15647.246650 15647.246650
101 1094.858273 1094.858273 1218.688273 1218.688273
102 1087.093100 1087.093100 1210.923100 1210.923100
106 1084.935863 1084.935863 1208.765863 1208.765863
341 1045.155190 1045.155190 1168.985190 1168.985190
342 1039.865911 1039.865911 1163.695911 1163.695911
346 1039.601744 1039.601744 1163.431744 1163.431744
348 1034.802780 1034.802780 1158.632780 1158.632780
677 1026.736747 1026.736747 1150.566747 1150.566747
678 856.873424 856.873424 980.703424 980.703424
680 661.140711 661.140711 784.970711 784.970711
681 432.059914 432.059914 555.889914 555.889914
1079 285.114834 285.114834 408.944834 408.944834
1081 155.312027 155.312027 279.142027 279.142027
1087 89.173509 89.173509 213.003509 213.003509
1692 88.810850 88.810850 212.640850 212.640850
1694 88.689701 88.689701 212.519701 212.519701
2485 18.404079 18.404079 142.234079 142.234079
3071 18.352642 18.352642 142.182642 142.182642
3073 18.218334 18.218334 142.048334 142.048334
3076 18.205810 18.205810 142.035810 142.035810
3080 18.110718 18.110718 141.940718 141.940718
135000 43365.453558 18.110718 43365.453558 141.940718
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 239589.637871 239589.637871 239713.467871 239713.467871
2 239527.983711 239527.983711 239651.813711 239651.813711
4 239123.483359 239123.483359 239247.313359 239247.313359
11 45680.465070 45680.465070 45804.295070 45804.295070
12 45595.687635 45595.687635 45719.517635 45719.517635
13 45475.797405 45475.797405 45599.627405 45599.627405
21 10199.061326 10199.061326 10322.891326 10322.891326
22 10175.335542 10175.335542 10299.165542 10299.165542
23 10164.217870 10164.217870 10288.047870 10288.047870
28 10142.507371 10142.507371 10266.337371 10266.337371
161 1111.963327 1111.963327 1235.793327 1235.793327
163 1110.447191 1110.447191 1234.277191 1234.277191
165 1108.895196 1108.895196 1232.725196 1232.725196
773 691.724673 691.724673 815.554673 815.554673
786 648.473811 648.473811 772.303811 772.303811
1512 648.402065 648.402065 772.232065 772.232065
1514 647.635855 647.635855 771.465855 771.465855
1515 647.549737 647.549737 771.379737 771.379737
2014 479.007283 479.007283 602.837283 602.837283
2179 261.783185 261.783185 385.613185 385.613185
2892 261.588196 261.588196 385.418196 385.418196
2893 261.440280 261.440280 385.270280 385.270280
2899 259.576729 259.576729 383.406729 383.406729
4908 216.420581 216.420581 340.250581 340.250581
5611 216.155951 216.155951 339.985951 339.985951
5616 213.865148 213.865148 337.695148 337.695148
38415 162.468513 162.468513 286.298513 286.298513
39214 161.879930 161.879930 285.709930 285.709930
39215 159.739035 159.739035 283.569035 283.569035
54879 81.292847 81.292847 205.122847 205.122847
55575 80.908950 80.908950 204.738950 204.738950
55578 80.298800 80.298800 204.128800 204.128800
55579 79.800711 79.800711 203.630711 203.630711
82839 79.317394 79.317394 203.147394 203.147394
100108 78.886202 78.886202 202.716202 202.716202
100109 78.283971 78.283971 202.113971 202.113971
135000 390417.128611 78.283971 390417.128611 202.113971
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 158539.885379 158539.885379 158663.715379 158663.715379
2 158100.193560 158100.193560 158224.023560 158224.023560
8 157990.767447 157990.767447 158114.597447 158114.597447
11 63096.880105 63096.880105 63220.710105 63220.710105
17 63031.966915 63031.966915 63155.796915 63155.796915
51 28331.768873 28331.768873 28455.598873 28455.598873
55 28278.528860 28278.528860 28402.358860 28402.358860
81 17151.079800 17151.079800 17274.909800 17274.909800
84 17108.640785 17108.640785 17232.470785 17232.470785
181 10108.758980 10108.758980 10232.588980 10232.588980
186 10100.847039 10100.847039 10224.677039 10224.677039
191 944.872479 944.872479 1068.702479 1068.702479
194 936.424127 936.424127 1060.254127 1060.254127
200 934.315660 934.315660 1058.145660 1058.145660
351 792.042956 792.042956 915.872956 915.872956
354 791.921457 791.921457 915.751457 915.751457
355 787.259590 787.259590 911.089590 911.089590
421 163.554449 163.554449 287.384449 287.384449
1218 137.057499 137.057499 260.887499 260.887499
1221 99.346057 99.346057 223.176057 223.176057
1772 99.212594 99.212594 223.042594 223.042594
1774 98.877386 98.877386 222.707386 222.707386
2533 83.635530 83.635530 207.465530 207.465530
3101 82.911634 82.911634 206.741634 206.741634
49785 81.862170 81.862170 205.692170 205.692170
50356 81.446678 81.446678 205.276678 205.276678
50358 81.202246 81.202246 205.032246 205.032246
50359 80.189150 80.189150 204.019150 204.019150
60593 79.728994 79.728994 203.558994 203.558994
61155 79.535600 79.535600 203.365600 203.365600
61158 78.810225 78.810225 202.640225 202.640225
61159 78.199799 78.199799 202.029799 202.029799
135000 69021.441480 78.199799 69021.441480 202.029799
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88254.008329 88254.008329 88301.518329 88301.518329
4 88133.526137 88133.526137 88181.036137 88181.036137
21 17511.787450 17511.787450 17559.297450 17559.297450
22 17453.635512 17453.635512 17501.145512 17501.145512
23 17448.224029 17448.224029 17495.734029 17495.734029
30 17417.111580 17417.111580 17464.621580 17464.621580
51 3543.806497 3543.806497 3591.316497 3591.316497
53 3539.307946 3539.307946 3586.817946 3586.817946
56 3538.770110 3538.770110 3586.280110 3586.280110
60 3530.154298 3530.154298 3577.664298 3577.664298
171 411.626786 411.626786 459.136786 459.136786
176 409.957747 409.957747 457.467747 457.467747
180 408.258895 408.258895 455.768895 455.768895
793 180.996100 180.996100 228.506100 228.506100
795 132.818594 132.818594 180.328594 180.328594
797 60.137196 60.137196 107.647196 107.647196
1521 60.071000 60.071000 107.581000 107.581000
1523 59.723850 59.723850 107.233850 107.233850
1530 59.386555 59.386555 106.896555 106.896555
135000 194787.796722 59.386555 194787.796722 106.896555
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 95193.604164 95193.604164 95241.114164 95241.114164
2 94979.578182 94979.578182 95027.088182 95027.088182
3 94928.621285 94928.621285 94976.131285 94976.131285
10 94888.155612 94888.155612 94935.665612 94935.665612
11 27046.152310 27046.152310 27093.662310 27093.662310
14 27000.956535 27000.956535 27048.466535 27048.466535
71 1293.016338 1293.016338 1340.526338 1340.526338
72 1286.193540 1286.193540 1333.703540 1333.703540
77 1284.489842 1284.489842 1331.999842 1331.999842
241 587.187746 587.187746 634.697746 634.697746
244 587.118092 587.118092 634.628092 634.628092
245 586.583625 586.583625 634.093625 634.093625
628 399.173369 399.173369 446.683369 446.683369
909 341.193852 341.193852 388.703852 388.703852
913 220.299954 220.299954 267.809954 267.809954
916 215.500432 215.500432 263.010432 263.010432
919 197.649136 197.649136 245.159136 245.159136
1591 197.499099 197.499099 245.009099 245.009099
1593 197.189513 197.189513 244.699513 244.699513
1597 196.618797 196.618797 244.128797 244.128797
135000 113081.486398 196.618797 113081.486398 244.128797
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 80963.379811 80963.379811 81010.889811 81010.889811
4 80926.098139 80926.098139 80973.608139 80973.608139
6 80856.779890 80856.779890 80904.289890 80904.289890
9 80790.745318 80790.745318 80838.255318 80838.255318
31 56999.207524 56999.207524 57046.717524 57046.717524
34 56982.316127 56982.316127 57029.826127 57029.826127
38 56873.205912 56873.205912 56920.715912 56920.715912
41 25347.968453 25347.968453 25395.478453 25395.478453
42 25308.828570 25308.828570 25356.338570 25356.338570
46 25247.923288 25247.923288 25295.433288 25295.433288
51 1292.522364 1292.522364 1340.032364 1340.032364
53 1289.263230 1289.263230 1336.773230 1336.773230
57 1289.057834 1289.057834 1336.567834 1336.567834
61 1153.041955 1153.041955 1200.551955 1200.551955
62 1150.016014 1150.016014 1197.526014 1197.526014
63 1144.660909 1144.660909 1192.170909 1192.170909
69 1144.114268 1144.114268 1191.624268 1191.624268
586 690.347817 690.347817 737.857817 737.857817
588 432.821695 432.821695 480.331695 480.331695
592 402.659103 402.659103 450.169103 450.169103
596 354.468664 354.468664 401.978664 401.978664
597 237.702446 237.702446 285.212446 285.212446
612 164.674584 164.674584 212.184584 212.184584
1411 164.428830 164.428830 211.938830 211.938830
1413 163.761311 163.761311 211.271311 211.271311
1419 162.405590 162.405590 209.915590 209.915590
