"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82182.905008 82182.905008 82127.965008 82127.965008
793 71591.702521 71591.702521 71536.762521 71536.762521
795 53298.631719 53298.631719 53243.691719 53243.691719
1521 53298.559784 53298.559784 53243.619784 53243.619784
1525 53298.556105 53298.556105 53243.616105 53243.616105
1528 53298.515124 53298.515124 53243.575124 53243.575124
2058 10161.306854 10161.306854 10106.366854 10106.366854
2821 10160.776138 10160.776138 10105.836138 10105.836138
135000 2783165.969619 10160.776138 2783165.969619 10105.836138
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12715074.855817 12715074.855817 12715019.915817 12715019.915817
11 5556381.667214 5556381.667214 5556326.727214 5556326.727214
12 5556350.799619 5556350.799619 5556295.859619 5556295.859619
31 725587.228776 725587.228776 725532.288776 725532.288776
32 725583.527661 725583.527661 725528.587661 725528.587661
61 362847.709575 362847.709575 362792.769575 362792.769575
62 362840.978530 362840.978530 362786.038530 362786.038530
381 52352.374893 52352.374893 52297.434893 52297.434893
609 7916.242299 7916.242299 7861.302299 7861.302299
1412 7916.161612 7916.161612 7861.221612 7861.221612
1413 7916.140115 7916.140115 7861.200115 7861.200115
3223 7637.001065 7637.001065 7582.061065 7582.061065
4061 7636.610883 7636.610883 7581.670883 7581.670883
135000 328582.584982 7636.610883 328582.584982 7581.670883
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23086995.405740 23086995.405740 23086940.465740 23086940.465740
11 12955966.938518 12955966.938518 12955911.998518 12955911.998518
21 1592208.669868 1592208.669868 1592153.729868 1592153.729868
22 1592201.047762 1592201.047762 1592146.107762 1592146.107762
41 722191.249800 722191.249800 722136.309800 722136.309800
121 536115.904806 536115.904806 536060.964806 536060.964806
122 536110.395120 536110.395120 536055.455120 536055.455120
151 342835.488802 342835.488802 342780.548802 342780.548802
152 342832.205124 342832.205124 342777.265124 342777.265124
351 23795.082423 23795.082423 23740.142423 23740.142423
1105 23341.588072 23341.588072 23286.648072 23286.648072
1702 23340.280766 23340.280766 23285.340766 23285.340766
2265 21734.794548 21734.794548 21679.854548 21679.854548
2942 21734.351993 21734.351993 21679.411993 21679.411993
135000 419218.821502 21734.351993 419218.821502 21679.411993
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12803609.568375 12803609.568375 12803668.698375 12803668.698375
2 12803584.810034 12803584.810034 12803643.940034 12803643.940034
4 12803572.438121 12803572.438121 12803631.568121 12803631.568121
9 12803571.729615 12803571.729615 12803630.859615 12803630.859615
11 2138919.854588 2138919.854588 2138978.984588 2138978.984588
12 2138917.856365 2138917.856365 2138976.986365 2138976.986365
14 2138916.582465 2138916.582465 2138975.712465 2138975.712465
19 2138916.471698 2138916.471698 2138975.601698 2138975.601698
21 37070.183989 37070.183989 37129.313989 37129.313989
22 37069.817221 37069.817221 37128.947221 37128.947221
24 37069.660757 37069.660757 37128.790757 37128.790757
51 6923.004951 6923.004951 6982.134951 6982.134951
55 6922.924944 6922.924944 6982.054944 6982.054944
135000 4183034.501145 6922.924944 4183034.501145 6982.054944
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26660.901203 26660.901203 26720.031203 26720.031203
2 26660.788614 26660.788614 26719.918614 26719.918614
4 26660.707657 26660.707657 26719.837657 26719.837657
984 25342.127570 25342.127570 25401.257570 25401.257570
1632 25341.839519 25341.839519 25400.969519 25400.969519
1634 25341.499451 25341.499451 25400.629451 25400.629451
1639 25341.463737 25341.463737 25400.593737 25400.593737
1855 23513.879190 23513.879190 23573.009190 23573.009190
2023 8458.397817 8458.397817 8517.527817 8517.527817
2315 7137.456644 7137.456644 7196.586644 7196.586644
2972 7137.413496 7137.413496 7196.543496 7196.543496
2979 7137.379421 7137.379421 7196.509421 7196.509421
4784 6298.685556 6298.685556 6357.815556 6357.815556
5048 3584.026879 3584.026879 3643.156879 3643.156879
5692 3583.791218 3583.791218 3642.921218 3642.921218
5694 3583.607453 3583.607453 3642.737453 3642.737453
5699 3583.594723 3583.594723 3642.724723 3642.724723
135000 554855.132748 3583.594723 554855.132748 3642.724723
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 25597336.181651 25597336.181651 25597395.311651 25597395.311651
2 25597307.150838 25597307.150838 25597366.280838 25597366.280838
4 25597292.899234 25597292.899234 25597352.029234 25597352.029234
9 25597292.027151 25597292.027151 25597351.157151 25597351.157151
11 7753930.625690 7753930.625690 7753989.755690 7753989.755690
12 7753919.728276 7753919.728276 7753978.858276 7753978.858276
14 7753913.540717 7753913.540717 7753972.670717 7753972.670717
