"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 881284.919759 881284.919759 881361.189759 881361.189759
2 881282.106649 881282.106649 881358.376649 881358.376649
4 881272.677717 881272.677717 881348.947717 881348.947717
81 4412.659492 4412.659492 4488.929492 4488.929492
83 4412.172311 4412.172311 4488.442311 4488.442311
391 117.696736 117.696736 193.966736 193.966736
392 117.678866 117.678866 193.948866 193.948866
394 117.619201 117.619201 193.889201 193.889201
505 69.292917 69.292917 145.562917 145.562917
1352 69.288736 69.288736 145.558736 145.558736
1354 69.260707 69.260707 145.530707 145.530707
135000 179581.947066 69.260707 179581.947066 145.530707
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5099826.329328 5099826.329328 5099902.599328 5099902.599328
2 5099822.311842 5099822.311842 5099898.581842 5099898.581842
4 5099808.845968 5099808.845968 5099885.115968 5099885.115968
21 1990281.683912 1990281.683912 1990357.953912 1990357.953912
23 1990279.526930 1990279.526930 1990355.796930 1990355.796930
31 1625846.893674 1625846.893674 1625923.163674 1625923.163674
33 1625834.824906 1625834.824906 1625911.094906 1625911.094906
81 36420.332226 36420.332226 36496.602226 36496.602226
82 36419.985600 36419.985600 36496.255600 36496.255600
84 36418.823949 36418.823949 36495.093949 36495.093949
91 823.053667 823.053667 899.323667 899.323667
93 822.858032 822.858032 899.128032 899.128032
816 107.681934 107.681934 183.951934 183.951934
973 48.408966 48.408966 124.678966 124.678966
1622 48.404996 48.404996 124.674996 124.674996
1624 48.378273 48.378273 124.648273 124.648273
135000 2259430.287506 48.378273 2259430.287506 124.648273
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1636818.046035 1636818.046035 1636894.316035 1636894.316035
2 1636814.268243 1636814.268243 1636890.538243 1636890.538243
4 1636801.605473 1636801.605473 1636877.875473 1636877.875473
41 274716.808567 274716.808567 274793.078567 274793.078567
43 274710.363742 274710.363742 274786.633742 274786.633742
211 101026.831952 101026.831952 101103.101952 101103.101952
212 101026.041508 101026.041508 101102.311508 101102.311508
214 101023.391929 101023.391929 101099.661929 101099.661929
231 27312.170732 27312.170732 27388.440732 27388.440732
232 27311.812233 27311.812233 27388.082233 27388.082233
234 27310.610707 27310.610707 27386.880707 27386.880707
431 430.688885 430.688885 506.958885 506.958885
433 430.478726 430.478726 506.748726 506.748726
510 160.150068 160.150068 236.420068 236.420068
684 37.906321 37.906321 114.176321 114.176321
1451 37.898739 37.898739 114.168739 114.168739
1453 37.847960 37.847960 114.117960 114.117960
135000 701814.728531 37.847960 701814.728531 114.117960
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13102944.526164 13102944.526164 13102921.976164 13102921.976164
2 13102890.823585 13102890.823585 13102868.273585 13102868.273585
11 1814694.697122 1814694.697122 1814672.147122 1814672.147122
81 127533.549912 127533.549912 127510.999912 127510.999912
82 127528.073040 127528.073040 127505.523040 127505.523040
91 71803.872937 71803.872937 71781.322937 71781.322937
481 8949.532449 8949.532449 8926.982449 8926.982449
482 8947.866861 8947.866861 8925.316861 8925.316861
518 8474.158836 8474.158836 8451.608836 8451.608836
541 2419.119057 2419.119057 2396.569057 2396.569057
671 142.099870 142.099870 119.549870 119.549870
1279 97.224608 97.224608 74.674608 74.674608
1291 95.912029 95.912029 73.362029 73.362029
1811 95.850767 95.850767 73.300767 73.300767
135000 258694.285997 95.850767 258694.285997 73.300767
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 434864.163390 434864.163390 434841.613390 434841.613390
2 434855.764379 434855.764379 434833.214379 434833.214379
111 278497.499833 278497.499833 278474.949833 278474.949833
112 278492.711829 278492.711829 278470.161829 278470.161829
241 97770.990964 97770.990964 97748.440964 97748.440964
331 15706.552830 15706.552830 15684.002830 15684.002830
501 13079.195008 13079.195008 13056.645008 13056.645008
503 3343.264405 3343.264405 3320.714405 3320.714405
513 670.466801 670.466801 647.916801 647.916801
843 196.635472 196.635472 174.085472 174.085472
916 104.862721 104.862721 82.312721 82.312721
919 99.398259 99.398259 76.848259 76.848259
1592 99.397356 99.397356 76.847356 76.847356
1929 24.325953 24.325953 1.775953 1.775953
2742 24.316381 24.316381 1.766381 1.766381
135000 528922.993858 24.316381 528922.993858 1.766381
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 30121419.755756 30121419.755756 30121397.205756 30121397.205756
2 30121360.004616 30121360.004616 30121337.454616 30121337.454616
11 16349844.325807 16349844.325807 16349821.775807 16349821.775807
12 16349789.358085 16349789.358085 16349766.808085 16349766.808085
31 2948724.593857 2948724.593857 2948702.043857 2948702.043857
91 459890.579409 459890.579409 459868.029409 459868.029409
141 156317.016914 156317.016914 156294.466914 156294.466914
301 77708.111833 77708.111833 77685.561833 77685.561833
654 4011.977908 4011.977908 3989.427908 3989.427908
656 3998.411396 3998.411396 3975.861396 3975.861396
661 3708.604887 3708.604887 3686.054887 3686.054887
663 306.608066 306.608066 284.058066 284.058066
996 151.785736 151.785736 129.235736 129.235736
1098 134.285456 134.285456 111.735456 111.735456
1702 134.251550 134.251550 111.701550 111.701550
2652 115.892241 115.892241 93.342241 93.342241
3171 115.845886 115.845886 93.295886 93.295886
3463 103.237545 103.237545 80.687545 80.687545
4201 103.207774 103.207774 80.657774 80.657774
135000 3605973.339062 103.207774 3605973.339062 80.657774
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18281158.778756 18281158.778756 18281172.438756 18281172.438756
4 18281133.880805 18281133.880805 18281147.540805 18281147.540805
21 6885.046779 6885.046779 6898.706779 6898.706779
22 6884.664086 6884.664086 6898.324086 6898.324086
23 6884.099003 6884.099003 6897.759003 6897.759003
301 273.294419 273.294419 286.954419 286.954419
304 273.229480 273.229480 286.889480 286.889480
671 190.184819 190.184819 203.844819 203.844819
