"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 860481204.400249 860481204.400249 860480583.290249 860480583.290249
2 860478454.565847 860478454.565847 860477833.455847 860477833.455847
5 860477369.874647 860477369.874647 860476748.764647 860476748.764647
10 860476679.200023 860476679.200023 860476058.090023 860476058.090023
11 37746707.205759 37746707.205759 37746086.095759 37746086.095759
19 37746702.835964 37746702.835964 37746081.725964 37746081.725964
31 5149101.812283 5149101.812283 5148480.702283 5148480.702283
301 1916383.118459 1916383.118459 1915762.008459 1915762.008459
302 1916378.571913 1916378.571913 1915757.461913 1915757.461913
304 1916375.069668 1916375.069668 1915753.959668 1915753.959668
308 1916372.688140 1916372.688140 1915751.578140 1915751.578140
310 1916372.215941 1916372.215941 1915751.105941 1915751.105941
1011 276183.954341 276183.954341 275562.844341 275562.844341
1022 121901.408889 121901.408889 121280.298889 121280.298889
1652 121899.448195 121899.448195 121278.338195 121278.338195
1654 121899.028304 121899.028304 121277.918304 121277.918304
135000 48279727.617341 121899.028304 48279727.617341 121277.918304
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 283493979.257258 283493979.257258 283493358.147258 283493358.147258
2 283493507.942096 283493507.942096 283492886.832096 283492886.832096
5 283493216.591745 283493216.591745 283492595.481745 283492595.481745
7 283493213.603310 283493213.603310 283492592.493310 283492592.493310
10 283493159.667569 283493159.667569 283492538.557569 283492538.557569
11 58812618.151853 58812618.151853 58811997.041853 58811997.041853
14 58812609.695349 58812609.695349 58811988.585349 58811988.585349
17 58812588.465257 58812588.465257 58811967.355257 58811967.355257
51 22255961.748602 22255961.748602 22255340.638602 22255340.638602
586 14323703.008523 14323703.008523 14323081.898523 14323081.898523
589 12324918.393294 12324918.393294 12324297.283294 12324297.283294
592 12135786.067534 12135786.067534 12135164.957534 12135164.957534
861 10594139.338116 10594139.338116 10593518.228116 10593518.228116
867 9639403.018642 9639403.018642 9638781.908642 9638781.908642
1561 9639389.239225 9639389.239225 9638768.129225 9638768.129225
1564 9639380.787387 9639380.787387 9638759.677387 9638759.677387
2211 9143147.422872 9143147.422872 9142526.312872 9142526.312872
2650 7338910.061635 7338910.061635 7338288.951635 7338288.951635
3171 7338891.469734 7338891.469734 7338270.359734 7338270.359734
3214 5216127.125706 5216127.125706 5215506.015706 5215506.015706
3229 3733247.887087 3733247.887087 3732626.777087 3732626.777087
3264 2699206.545252 2699206.545252 2698585.435252 2698585.435252
4082 2699201.506272 2699201.506272 2698580.396272 2698580.396272
4083 2699198.757409 2699198.757409 2698577.647409 2698577.647409
4088 2699191.631560 2699191.631560 2698570.521560 2698570.521560
135000 92279415.387280 2699191.631560 92279415.387280 2698570.521560
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 51414917.609315 51414917.609315 51414296.499315 51414296.499315
2 51414788.875198 51414788.875198 51414167.765198 51414167.765198
4 51414777.741286 51414777.741286 51414156.631286 51414156.631286
11 21532561.877630 21532561.877630 21531940.767630 21531940.767630
12 21532547.843722 21532547.843722 21531926.733722 21531926.733722
14 21532543.801907 21532543.801907 21531922.691907 21531922.691907
15 21532524.165927 21532524.165927 21531903.055927 21531903.055927
17 21532502.426447 21532502.426447 21531881.316447 21531881.316447
518 15261887.739067 15261887.739067 15261266.629067 15261266.629067
520 13376365.978254 13376365.978254 13375744.868254 13375744.868254
521 12377634.539378 12377634.539378 12377013.429378 12377013.429378
522 9734491.766151 9734491.766151 9733870.656151 9733870.656151
525 8971743.438224 8971743.438224 8971122.328224 8971122.328224
988 8940324.385593 8940324.385593 8939703.275593 8939703.275593
989 7208796.988253 7208796.988253 7208175.878253 7208175.878253
1632 7208760.881961 7208760.881961 7208139.771961 7208139.771961
2327 7101802.539361 7101802.539361 7101181.429361 7101181.429361
2981 7101796.972522 7101796.972522 7101175.862522 7101175.862522
2983 7101791.215316 7101791.215316 7101170.105316 7101170.105316
2985 7101790.809739 7101790.809739 7101169.699739 7101169.699739
2987 7101778.223380 7101778.223380 7101157.113380 7101157.113380
3206 6887677.910531 6887677.910531 6887056.800531 6887056.800531
3243 4394337.141538 4394337.141538 4393716.031538 4393716.031538
3331 4169210.179784 4169210.179784 4168589.069784 4168589.069784
3429 2415835.406509 2415835.406509 2415214.296509 2415214.296509
3594 2400800.172001 2400800.172001 2400179.062001 2400179.062001
3598 948771.815972 948771.815972 948150.705972 948150.705972
4281 948764.769026 948764.769026 948143.659026 948143.659026
135000 49679671.436951 948764.769026 49679671.436951 948143.659026
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 308969901.785826 308969901.785826 308969646.965826 308969646.965826
2 308969085.383481 308969085.383481 308968830.563481 308968830.563481
9 308968678.804784 308968678.804784 308968423.984784 308968423.984784
21 125591885.205950 125591885.205950 125591630.385950 125591630.385950
22 125591607.242100 125591607.242100 125591352.422100 125591352.422100
24 125591564.496786 125591564.496786 125591309.676786 125591309.676786
29 125591470.436247 125591470.436247 125591215.616247 125591215.616247
31 96586867.806036 96586867.806036 96586612.986036 96586612.986036
32 96586549.749455 96586549.749455 96586294.929455 96586294.929455
39 96586409.455575 96586409.455575 96586154.635575 96586154.635575
51 21373143.438671 21373143.438671 21372888.618671 21372888.618671
55 21373140.539190 21373140.539190 21372885.719190 21372885.719190
57 21373136.861835 21373136.861835 21372882.041835 21372882.041835
151 6560304.281763 6560304.281763 6560049.461763 6560049.461763
152 6560278.157655 6560278.157655 6560023.337655 6560023.337655
157 6560268.649233 6560268.649233 6560013.829233 6560013.829233
159 6560262.899673 6560262.899673 6560008.079673 6560008.079673
756 2375206.326748 2375206.326748 2374951.506748 2374951.506748
759 2063817.845993 2063817.845993 2063563.025993 2063563.025993
765 1776764.867332 1776764.867332 1776510.047332 1776510.047332
1502 1776764.275410 1776764.275410 1776509.455410 1776509.455410
1503 1776764.258200 1776764.258200 1776509.438200 1776509.438200
1506 1776763.177123 1776763.177123 1776508.357123 1776508.357123
1507 1776753.208837 1776753.208837 1776498.388837 1776498.388837
3256 161576.476534 161576.476534 161321.656534 161321.656534
4082 161575.801646 161575.801646 161320.981646 161320.981646
4084 161573.217802 161573.217802 161318.397802 161318.397802
135000 93930484.182592 161573.217802 93930484.182592 161318.397802
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 176498952.312737 176498952.312737 176498697.492737 176498697.492737
61 23803991.232326 23803991.232326 23803736.412326 23803736.412326
65 23803962.579371 23803962.579371 23803707.759371 23803707.759371
161 12790587.930832 12790587.930832 12790333.110832 12790333.110832
162 12790582.937444 12790582.937444 12790328.117444 12790328.117444
164 12790563.879547 12790563.879547 12790309.059547 12790309.059547
165 12790542.106031 12790542.106031 12790287.286031 12790287.286031
311 10524580.010431 10524580.010431 10524325.190431 10524325.190431
316 10524571.675344 10524571.675344 10524316.855344 10524316.855344
317 10524562.375981 10524562.375981 10524307.555981 10524307.555981
605 9611468.805202 9611468.805202 9611213.985202 9611213.985202
606 7394138.388988 7394138.388988 7393883.568988 7393883.568988
607 6980371.826211 6980371.826211 6980117.006211 6980117.006211
615 4776830.350350 4776830.350350 4776575.530350 4776575.530350
1033 4201062.015919 4201062.015919 4200807.195919 4200807.195919
1039 4113891.279886 4113891.279886 4113636.459886 4113636.459886
1662 4113889.094857 4113889.094857 4113634.274857 4113634.274857
1663 4113884.456384 4113884.456384 4113629.636384 4113629.636384
1667 4113874.069333 4113874.069333 4113619.249333 4113619.249333
2601 3949681.542853 3949681.542853 3949426.722853 3949426.722853
2610 3603493.603429 3603493.603429 3603238.783429 3603238.783429
3142 3603491.728047 3603491.728047 3603236.908047 3603236.908047
3143 3603490.792494 3603490.792494 3603235.972494 3603235.972494
3145 3603487.126740 3603487.126740 3603232.306740 3603232.306740
3147 3603476.190428 3603476.190428 3603221.370428 3603221.370428
3380 1805804.742810 1805804.742810 1805549.922810 1805549.922810
4152 1805804.420011 1805804.420011 1805549.600011 1805549.600011
4153 1805797.539038 1805797.539038 1805542.719038 1805542.719038
4155 1805794.908475 1805794.908475 1805540.088475 1805540.088475
135000 52775638.871169 1805794.908475 52775638.871169 1805540.088475
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 21769880.156499 21769880.156499 21769625.336499 21769625.336499
2 21769815.600800 21769815.600800 21769560.780800 21769560.780800
7 21769812.514528 21769812.514528 21769557.694528 21769557.694528
9 21769806.063419 21769806.063419 21769551.243419 21769551.243419
31 8019986.772239 8019986.772239 8019731.952239 8019731.952239
32 8019979.094726 8019979.094726 8019724.274726 8019724.274726
34 8019954.063988 8019954.063988 8019699.243988 8019699.243988
431 4224942.578432 4224942.578432 4224687.758432 4224687.758432
434 4224937.326144 4224937.326144 4224682.506144 4224682.506144
437 4224925.121742 4224925.121742 4224670.301742 4224670.301742
560 4142903.231647 4142903.231647 4142648.411647 4142648.411647
1232 1720686.406394 1720686.406394 1720431.586394 1720431.586394
1234 1404831.421257 1404831.421257 1404576.601257 1404576.601257
1237 1342184.958278 1342184.958278 1341930.138278 1341930.138278
1239 1099885.318303 1099885.318303 1099630.498303 1099630.498303
1782 1099882.832596 1099882.832596 1099628.012596 1099628.012596
1783 1099882.003883 1099882.003883 1099627.183883 1099627.183883
1787 1099877.124869 1099877.124869 1099622.304869 1099622.304869
3257 153370.736264 153370.736264 153115.916264 153115.916264
4082 153368.398232 153368.398232 153113.578232 153113.578232
135000 52775638.871169 153368.398232 52775638.871169 153113.578232
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 290745649.346720 290745649.346720 290745705.956720 290745705.956720
3 290745204.442489 290745204.442489 290745261.052489 290745261.052489
11 96184429.924135 96184429.924135 96184486.534135 96184486.534135
13 96184368.184461 96184368.184461 96184424.794461 96184424.794461
121 15455315.092246 15455315.092246 15455371.702246 15455371.702246
705 10636658.062102 10636658.062102 10636714.672102 10636714.672102
707 10087041.218392 10087041.218392 10087097.828392 10087097.828392
709 6940347.451877 6940347.451877 6940404.061877 6940404.061877
1249 5612434.459233 5612434.459233 5612491.069233 5612491.069233
1791 5612433.153827 5612433.153827 5612489.763827 5612489.763827
1793 5612425.937449 5612425.937449 5612482.547449 5612482.547449
1797 5612411.466747 5612411.466747 5612468.076747 5612468.076747
3575 4045407.852404 4045407.852404 4045464.462404 4045464.462404
3992 3982327.348414 3982327.348414 3982383.958414 3982383.958414
4512 3982317.303729 3982317.303729 3982373.913729 3982373.913729
4514 3982316.670345 3982316.670345 3982373.280345 3982373.280345
4516 3982303.235630 3982303.235630 3982359.845630 3982359.845630
135000 87264383.431213 3982303.235630 87264383.431213 3982359.845630
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6747435503.634606 6747435503.634606 6747435560.244606 6747435560.244606
3 6747422496.709547 6747422496.709547 6747422553.319547 6747422553.319547
11 58864452.506692 58864452.506692 58864509.116692 58864509.116692
13 58864431.001779 58864431.001779 58864487.611779 58864487.611779
71 58045721.221859 58045721.221859 58045777.831859 58045777.831859
73 58045710.774203 58045710.774203 58045767.384203 58045767.384203
75 58045704.931048 58045704.931048 58045761.541048 58045761.541048
161 52189691.546958 52189691.546958 52189748.156958 52189748.156958
166 52189666.497844 52189666.497844 52189723.107844 52189723.107844
171 35320743.112863 35320743.112863 35320799.722863 35320799.722863
178 35320701.886482 35320701.886482 35320758.496482 35320758.496482
431 18927859.315583 18927859.315583 18927915.925583 18927915.925583
435 18927842.376284 18927842.376284 18927898.986284 18927898.986284
481 13551509.615980 13551509.615980 13551566.225980 13551566.225980
1232 12505895.859272 12505895.859272 12505952.469272 12505952.469272
1235 11662789.914875 11662789.914875 11662846.524875 11662846.524875
1243 9835162.398950 9835162.398950 9835219.008950 9835219.008950
1317 8506523.221228 8506523.221228 8506579.831228 8506579.831228
1319 7783768.264982 7783768.264982 7783824.874982 7783824.874982
1320 6311701.307225 6311701.307225 6311757.917225 6311757.917225
1831 6311680.799758 6311680.799758 6311737.409758 6311737.409758
3227 3717868.959356 3717868.959356 3717925.569356 3717925.569356
3332 3413223.252443 3413223.252443 3413279.862443 3413279.862443
4122 3413211.465253 3413211.465253 3413268.075253 3413268.075253
135000 87264383.431213 3413211.465253 87264383.431213 3413268.075253
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 156214657.929370 156214657.929370 156214714.539370 156214714.539370
3 156214510.542207 156214510.542207 156214567.152207 156214567.152207
21 133837078.069674 133837078.069674 133837134.679674 133837134.679674
23 133836921.039214 133836921.039214 133836977.649214 133836977.649214
31 114036176.326208 114036176.326208 114036232.936208 114036232.936208
33 114036095.613388 114036095.613388 114036152.223388 114036152.223388
51 49584473.209127 49584473.209127 49584529.819127 49584529.819127
53 49584466.363751 49584466.363751 49584522.973751 49584522.973751
55 49584432.690138 49584432.690138 49584489.300138 49584489.300138
131 38028112.207191 38028112.207191 38028168.817191 38028168.817191
133 38028032.692360 38028032.692360 38028089.302360 38028089.302360
139 38028021.427233 38028021.427233 38028078.037233 38028078.037233
141 37772703.582284 37772703.582284 37772760.192284 37772760.192284
143 37772640.798336 37772640.798336 37772697.408336 37772697.408336
148 37772638.099702 37772638.099702 37772694.709702 37772694.709702
149 37772633.526817 37772633.526817 37772690.136817 37772690.136817
161 13854323.993448 13854323.993448 13854380.603448 13854380.603448
730 12823547.541694 12823547.541694 12823604.151694 12823604.151694
773 8777318.150655 8777318.150655 8777374.760655 8777374.760655
775 7198678.948400 7198678.948400 7198735.558400 7198735.558400
782 5814928.108621 5814928.108621 5814984.718621 5814984.718621
1511 5814910.765073 5814910.765073 5814967.375073 5814967.375073
3210 4216540.259618 4216540.259618 4216596.869618 4216596.869618
3701 3208262.634011 3208262.634011 3208319.244011 3208319.244011
4026 1856756.334700 1856756.334700 1856812.944700 1856812.944700
4533 1856744.646924 1856744.646924 1856801.256924 1856801.256924
135000 53383901.177730 1856744.646924 53383901.177730 1856801.256924
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1165768040.583793 1165768040.583793 1165768022.483793 1165768022.483793
4 1165767215.969170 1165767215.969170 1165767197.869170 1165767197.869170
6 1165765234.812425 1165765234.812425 1165765216.712425 1165765216.712425
11 50510264.366790 50510264.366790 50510246.266790 50510246.266790
14 50510237.831749 50510237.831749 50510219.731749 50510219.731749
16 50510204.597111 50510204.597111 50510186.497111 50510186.497111
20 50510198.240389 50510198.240389 50510180.140389 50510180.140389
21 28849838.337138 28849838.337138 28849820.237138 28849820.237138
22 28849751.172057 28849751.172057 28849733.072057 28849733.072057
23 28849750.019281 28849750.019281 28849731.919281 28849731.919281
61 16131919.591645 16131919.591645 16131901.491645 16131901.491645
63 16131899.148901 16131899.148901 16131881.048901 16131881.048901
603 10183395.457362 10183395.457362 10183377.357362 10183377.357362
608 9800300.370782 9800300.370782 9800282.270782 9800282.270782
847 6307860.349042 6307860.349042 6307842.249042 6307842.249042
1552 6307858.156498 6307858.156498 6307840.056498 6307840.056498
1554 6307846.505137 6307846.505137 6307828.405137 6307828.405137
1556 6307826.476166 6307826.476166 6307808.376166 6307808.376166
2174 5202677.505262 5202677.505262 5202659.405262 5202659.405262
2176 4658429.619394 4658429.619394 4658411.519394 4658411.519394
2179 4347897.500213 4347897.500213 4347879.400213 4347879.400213
2186 4267015.987892 4267015.987892 4266997.887892 4266997.887892
2201 3659126.364774 3659126.364774 3659108.264774 3659108.264774
2264 1674287.848612 1674287.848612 1674269.748612 1674269.748612
2492 1322008.700377 1322008.700377 1321990.600377 1321990.600377
3072 1322004.977205 1322004.977205 1321986.877205 1321986.877205
3077 1322001.368704 1322001.368704 1321983.268704 1321983.268704
3080 1322001.315352 1322001.315352 1321983.215352 1321983.215352
135000 63357390.982599 1322001.315352 63357390.982599 1321983.215352
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 92467781.175410 92467781.175410 92467763.075410 92467763.075410
4 92467761.625189 92467761.625189 92467743.525189 92467743.525189
6 92467644.892765 92467644.892765 92467626.792765 92467626.792765
21 52966879.806994 52966879.806994 52966861.706994 52966861.706994
30 52966843.815206 52966843.815206 52966825.715206 52966825.715206
41 11732575.268856 11732575.268856 11732557.168856 11732557.168856
42 11732535.405067 11732535.405067 11732517.305067 11732517.305067
569 7028403.186713 7028403.186713 7028385.086713 7028385.086713
572 6223103.369927 6223103.369927 6223085.269927 6223085.269927
577 4588996.870867 4588996.870867 4588978.770867 4588978.770867
1392 4588982.314411 4588982.314411 4588964.214411 4588964.214411
1919 2374376.761205 2374376.761205 2374358.661205 2374358.661205
1921 1046675.243907 1046675.243907 1046657.143907 1046657.143907
2741 1046670.663893 1046670.663893 1046652.563893 1046652.563893
2743 1046666.407681 1046666.407681 1046648.307681 1046648.307681
135000 63357390.982599 1046666.407681 63357390.982599 1046648.307681
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1002013072.620298 1002013072.620298 1002013054.520298 1002013054.520298
4 1002012412.211456 1002012412.211456 1002012394.111456 1002012394.111456
6 1002010892.172175 1002010892.172175 1002010874.072175 1002010874.072175
11 53423185.023413 53423185.023413 53423166.923413 53423166.923413
12 53423145.893778 53423145.893778 53423127.793778 53423127.793778
16 53423083.893247 53423083.893247 53423065.793247 53423065.793247
17 53423081.013910 53423081.013910 53423062.913910 53423062.913910
20 53423019.413423 53423019.413423 53423001.313423 53423001.313423
71 51494434.828768 51494434.828768 51494416.728768 51494416.728768
72 51494374.226573 51494374.226573 51494356.126573 51494356.126573
74 51494315.705326 51494315.705326 51494297.605326 51494297.605326
76 51494301.101220 51494301.101220 51494283.001220 51494283.001220
77 51494278.920224 51494278.920224 51494260.820224 51494260.820224
80 51494204.836621 51494204.836621 51494186.736621 51494186.736621
161 28945540.400551 28945540.400551 28945522.300551 28945522.300551
231 26819657.221870 26819657.221870 26819639.121870 26819639.121870
234 26819651.332941 26819651.332941 26819633.232941 26819633.232941
236 26819646.267753 26819646.267753 26819628.167753 26819628.167753
238 26819646.149594 26819646.149594 26819628.049594 26819628.049594
311 16513301.575436 16513301.575436 16513283.475436 16513283.475436
431 15430032.878447 15430032.878447 15430014.778447 15430014.778447
