"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1512.264394 1512.264394 1542.234394 1542.234394
5 1512.264015 1512.264015 1542.234015 1542.234015
21 530.764504 530.764504 560.734504 560.734504
25 530.764086 530.764086 560.734086 560.734086
28 530.763870 530.763870 560.733870 560.733870
471 382.137884 382.137884 412.107884 412.107884
478 382.137218 382.137218 412.107218 412.107218
535 344.122572 344.122572 374.092572 374.092572
546 319.337310 319.337310 349.307310 349.307310
1302 252.157624 252.157624 282.127624 282.127624
1304 228.583417 228.583417 258.553417 258.553417
1822 228.583308 228.583308 258.553308 258.553308
1824 228.583102 228.583102 258.553102 258.553102
1825 228.582603 228.582603 258.552603 258.552603
2110 178.706734 178.706734 208.676734 208.676734
2852 178.706170 178.706170 208.676170 208.676170
2858 178.706143 178.706143 208.676143 208.676143
135000 1051.201696 178.706143 1051.201696 208.676143
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1828.129582 1828.129582 1858.099582 1858.099582
2 1828.129172 1828.129172 1858.099172 1858.099172
4 1828.129146 1828.129146 1858.099146 1858.099146
5 1828.128465 1828.128465 1858.098465 1858.098465
7 1828.128453 1828.128453 1858.098453 1858.098453
11 1305.471881 1305.471881 1335.441881 1335.441881
13 1305.471276 1305.471276 1335.441276 1335.441276
16 1305.470721 1305.470721 1335.440721 1335.440721
41 1259.652270 1259.652270 1289.622270 1289.622270
47 1259.651999 1259.651999 1289.621999 1289.621999
51 1104.845155 1104.845155 1134.815155 1134.815155
111 615.034853 615.034853 645.004853 645.004853
112 615.033261 615.033261 645.003261 645.003261
401 557.224638 557.224638 587.194638 587.194638
403 557.224638 557.224638 587.194638 587.194638
405 557.224389 557.224389 587.194389 587.194389
688 515.688506 515.688506 545.658506 545.658506
690 441.301314 441.301314 471.271314 471.271314
695 413.171102 413.171102 443.141102 443.141102
1462 413.170314 413.170314 443.140314 443.140314
2041 317.692455 317.692455 347.662455 347.662455
2043 258.119362 258.119362 288.089362 288.089362
2812 258.119036 258.119036 288.089036 288.089036
2816 258.118764 258.118764 288.088764 288.088764
