"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 307.156988 307.156988 254.806988 254.806988
3 307.156939 307.156939 254.806939 254.806939
6 307.156787 307.156787 254.806787 254.806787
21 92.797502 92.797502 40.447502 40.447502
23 92.797477 92.797477 40.447477 40.447477
26 92.797405 92.797405 40.447405 40.447405
61 70.527980 70.527980 18.177980 18.177980
63 70.527962 70.527962 18.177962 18.177962
66 70.527905 70.527905 18.177905 18.177905
161 21.758359 21.758359 -30.591641 -30.591641
163 21.758352 21.758352 -30.591648 -30.591648
166 21.758328 21.758328 -30.591672 -30.591672
271 7.122112 7.122112 -45.227888 -45.227888
272 7.122092 7.122092 -45.227908 -45.227908
274 7.122085 7.122085 -45.227915 -45.227915
275 7.122077 7.122077 -45.227923 -45.227923
311 5.698896 5.698896 -46.651104 -46.651104
316 5.698894 5.698894 -46.651106 -46.651106
960 4.767124 4.767124 -47.582876 -47.582876
963 4.687834 4.687834 -47.662166 -47.662166
965 4.316963 4.316963 -48.033037 -48.033037
967 4.257211 4.257211 -48.092789 -48.092789
971 3.673645 3.673645 -48.676355 -48.676355
1621 3.673641 3.673641 -48.676359 -48.676359
2310 2.740375 2.740375 -49.609625 -49.609625
2312 2.541866 2.541866 -49.808134 -49.808134
2971 2.541863 2.541863 -49.808137 -49.808137
2974 2.541862 2.541862 -49.808138 -49.808138
3660 2.179475 2.179475 -50.170525 -50.170525
3664 2.160343 2.160343 -50.189657 -50.189657
3672 2.143262 2.143262 -50.206738 -50.206738
3747 1.612042 1.612042 -50.737958 -50.737958
4006 1.198806 1.198806 -51.151194 -51.151194
4013 1.160936 1.160936 -51.189064 -51.189064
4521 1.160936 1.160936 -51.189064 -51.189064
4524 1.160933 1.160933 -51.189067 -51.189067
4526 1.160933 1.160933 -51.189067 -51.189067
5095 0.996254 0.996254 -51.353746 -51.353746
5104 0.861825 0.861825 -51.488175 -51.488175
5308 0.854869 0.854869 -51.495131 -51.495131
5841 0.854864 0.854864 -51.495136 -51.495136
6071 0.336419 0.336419 -52.013581 -52.013581
6080 0.140171 0.140171 -52.209829 -52.209829
6083 0.091296 0.091296 -52.258704 -52.258704
6852 0.091296 0.091296 -52.258704 -52.258704
6853 0.091296 0.091296 -52.258704 -52.258704
6856 0.091294 0.091294 -52.258706 -52.258706
7421 0.048407 0.048407 -52.301593 -52.301593
7424 0.046186 0.046186 -52.303814 -52.303814
7429 0.045456 0.045456 -52.304544 -52.304544
7430 0.032877 0.032877 -52.317123 -52.317123
8202 0.032877 0.032877 -52.317123 -52.317123
8204 0.032876 0.032876 -52.317124 -52.317124
8206 0.032876 0.032876 -52.317124 -52.317124
8771 0.030138 0.030138 -52.319862 -52.319862
9551 0.030137 0.030137 -52.319863 -52.319863
9554 0.030135 0.030135 -52.319865 -52.319865
10129 0.024769 0.024769 -52.325231 -52.325231
10131 0.006050 0.006050 -52.343950 -52.343950
10901 0.006048 0.006048 -52.343952 -52.343952
10904 0.006047 0.006047 -52.343953 -52.343953
11480 0.005507 0.005507 -52.344493 -52.344493
12251 0.005505 0.005505 -52.344495 -52.344495
17053 0.004370 0.004370 -52.345630 -52.345630
17751 0.004368 0.004368 -52.345632 -52.345632
17754 0.004367 0.004367 -52.345633 -52.345633
20006 0.003016 0.003016 -52.346984 -52.346984
20602 0.003014 0.003014 -52.346986 -52.346986
20603 0.003013 0.003013 -52.346987 -52.346987
37159 0.002811 0.002811 -52.347189 -52.347189
37921 0.002811 0.002811 -52.347189 -52.347189
37924 0.002811 0.002811 -52.347189 -52.347189
38935 0.002046 0.002046 -52.347954 -52.347954
39522 0.002045 0.002045 -52.347955 -52.347955
39523 0.002044 0.002044 -52.347956 -52.347956
40288 0.001546 0.001546 -52.348454 -52.348454
40872 0.001545 0.001545 -52.348455 -52.348455
40876 0.001545 0.001545 -52.348455 -52.348455
41636 0.001464 0.001464 -52.348536 -52.348536
41637 0.001253 0.001253 -52.348747 -52.348747
42221 0.001253 0.001253 -52.348747 -52.348747
135000 0.040465 0.001253 0.040465 -52.348747
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 161.141979 161.141979 108.791979 108.791979
6 161.141958 161.141958 108.791958 108.791958
7 161.141904 161.141904 108.791904 108.791904
11 42.566536 42.566536 -9.783464 -9.783464
15 42.566516 42.566516 -9.783484 -9.783484
17 42.566494 42.566494 -9.783506 -9.783506
41 35.696719 35.696719 -16.653281 -16.653281
43 35.696707 35.696707 -16.653293 -16.653293
46 35.696675 35.696675 -16.653325 -16.653325
51 28.882919 28.882919 -23.467081 -23.467081
52 28.882906 28.882906 -23.467094 -23.467094
54 28.882905 28.882905 -23.467095 -23.467095
57 28.882898 28.882898 -23.467102 -23.467102
59 28.882864 28.882864 -23.467136 -23.467136
