"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 246.632903 246.632903 1246.632903 1246.632903
4 246.632575 246.632575 1246.632575 1246.632575
8 246.632222 246.632222 1246.632222 1246.632222
51 227.071124 227.071124 1227.071124 1227.071124
52 227.070801 227.070801 1227.070801 1227.070801
53 227.070496 227.070496 1227.070496 1227.070496
151 190.714984 190.714984 1190.714984 1190.714984
153 190.714382 190.714382 1190.714382 1190.714382
158 190.713292 190.713292 1190.713292 1190.713292
159 190.713199 190.713199 1190.713199 1190.713199
331 59.801471 59.801471 1059.801471 1059.801471
332 59.801350 59.801350 1059.801350 1059.801350
333 59.800793 59.800793 1059.800793 1059.800793
1064 59.221694 59.221694 1059.221694 1059.221694
1681 59.221323 59.221323 1059.221323 1059.221323
1683 59.220434 59.220434 1059.220434 1059.220434
1688 59.219867 59.219867 1059.219867 1059.219867
6278 58.273915 58.273915 1058.273915 1058.273915
6363 47.281413 47.281413 1047.281413 1047.281413
7021 47.281362 47.281362 1047.281362 1047.281362
7025 47.280727 47.280727 1047.280727 1047.280727
10330 42.849639 42.849639 1042.849639 1042.849639
11021 42.849407 42.849407 1042.849407 1042.849407
11025 42.849111 42.849111 1042.849111 1042.849111
11029 42.849092 42.849092 1042.849092 1042.849092
33371 32.391055 32.391055 1032.391055 1032.391055
34022 32.391016 32.391016 1032.391016 1032.391016
34024 32.390763 32.390763 1032.390763 1032.390763
34029 32.390740 32.390740 1032.390740 1032.390740
104655 31.601075 31.601075 1031.601075 1031.601075
105422 31.601039 31.601039 1031.601039 1031.601039
105423 31.600785 31.600785 1031.600785 1031.600785
105425 31.600520 31.600520 1031.600520 1031.600520
118438 26.507825 26.507825 1026.507825 1026.507825
119083 26.507297 26.507297 1026.507297 1026.507297
119088 26.506946 26.506946 1026.506946 1026.506946
135000 302.577094 26.506946 302.577094 1026.506946
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2364.971906 2364.971906 3364.971906 3364.971906
3 2364.970268 2364.970268 3364.970268 3364.970268
8 2364.967207 2364.967207 3364.967207 3364.967207
11 802.164455 802.164455 1802.164455 1802.164455
14 802.164019 802.164019 1802.164019 1802.164019
21 273.532074 273.532074 1273.532074 1273.532074
24 273.531632 273.531632 1273.531632 1273.531632
81 187.849963 187.849963 1187.849963 1187.849963
82 187.848939 187.848939 1187.848939 1187.848939
83 187.848622 187.848622 1187.848622 1187.848622
87 187.848550 187.848550 1187.848550 1187.848550
121 116.490024 116.490024 1116.490024 1116.490024
125 116.489948 116.489948 1116.489948 1116.489948
128 116.489378 116.489378 1116.489378 1116.489378
231 85.545149 85.545149 1085.545149 1085.545149
235 85.544734 85.544734 1085.544734 1085.544734
239 85.544191 85.544191 1085.544191 1085.544191
1990 83.830324 83.830324 1083.830324 1083.830324
2057 43.577984 43.577984 1043.577984 1043.577984
2821 43.577809 43.577809 1043.577809 1043.577809
2823 43.577667 43.577667 1043.577667 1043.577667
6005 42.939865 42.939865 1042.939865 1042.939865
6812 42.939495 42.939495 1042.939495 1042.939495
10484 39.710649 39.710649 1039.710649 1039.710649
11112 39.710433 39.710433 1039.710433 1039.710433
11113 39.710284 39.710284 1039.710284 1039.710284
11116 39.710152 39.710152 1039.710152 1039.710152
11119 39.710022 39.710022 1039.710022 1039.710022
55006 34.963184 34.963184 1034.963184 1034.963184
55643 34.963042 34.963042 1034.963042 1034.963042
55647 34.962943 34.962943 1034.962943 1034.962943
57782 31.543250 31.543250 1031.543250 1031.543250
58391 31.543162 31.543162 1031.543162 1031.543162
58394 31.542909 31.542909 1031.542909 1031.542909
58396 31.542840 31.542840 1031.542840 1031.542840
58400 31.542731 31.542731 1031.542731 1031.542731
68823 24.943892 24.943892 1024.943892 1024.943892
69331 24.943784 24.943784 1024.943784 1024.943784
69335 24.943762 24.943762 1024.943762 1024.943762
69337 24.943342 24.943342 1024.943342 1024.943342
69340 24.943232 24.943232 1024.943232 1024.943232
135000 146.599097 24.943232 146.599097 1024.943232
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 868.129140 868.129140 1868.129140 1868.129140
2 868.128747 868.128747 1868.128747 1868.128747
4 868.127421 868.127421 1868.127421 1868.127421
11 368.221193 368.221193 1368.221193 1368.221193
12 368.221058 368.221058 1368.221058 1368.221058
16 368.221047 368.221047 1368.221047 1368.221047
18 368.220253 368.220253 1368.220253 1368.220253
31 323.655048 323.655048 1323.655048 1323.655048
34 323.654402 323.654402 1323.654402 1323.654402
91 152.576885 152.576885 1152.576885 1152.576885
92 152.575729 152.575729 1152.575729 1152.575729
96 152.575410 152.575410 1152.575410 1152.575410
97 152.575078 152.575078 1152.575078 1152.575078
141 108.956951 108.956951 1108.956951 1108.956951
142 108.956484 108.956484 1108.956484 1108.956484
144 108.956173 108.956173 1108.956173 1108.956173
147 108.955695 108.955695 1108.955695 1108.955695
739 79.694544 79.694544 1079.694544 1079.694544
749 74.154734 74.154734 1074.154734 1074.154734
1491 74.154665 74.154665 1074.154665 1074.154665
1494 74.154646 74.154646 1074.154646 1074.154646
1496 74.154165 74.154165 1074.154165 1074.154165
1498 74.154058 74.154058 1074.154058 1074.154058
2096 59.728070 59.728070 1059.728070 1059.728070
2174 57.715685 57.715685 1057.715685 1057.715685
2412 51.691345 51.691345 1051.691345 1051.691345
3031 51.691051 51.691051 1051.691051 1051.691051
3033 51.690946 51.690946 1051.690946 1051.690946
3038 51.690466 51.690466 1051.690466 1051.690466
4728 34.314600 34.314600 1034.314600 1034.314600
5501 34.314362 34.314362 1034.314362 1034.314362
5507 34.314125 34.314125 1034.314125 1034.314125
49282 34.058943 34.058943 1034.058943 1034.058943
50051 34.058857 34.058857 1034.058857 1034.058857
50054 34.058757 34.058757 1034.058757 1034.058757
50060 34.058672 34.058672 1034.058672 1034.058672
135000 121.046499 34.058672 121.046499 1034.058672
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 162.662923 162.662923 232.692923 232.692923
2 162.662509 162.662509 232.692509 232.692509
5 162.662226 162.662226 232.692226 232.692226
7 162.662154 162.662154 232.692154 232.692154
91 102.923706 102.923706 172.953706 172.953706
92 102.923542 102.923542 172.953542 172.953542
94 102.923123 102.923123 172.953123 172.953123
98 102.922983 102.922983 172.952983 172.952983
141 80.419219 80.419219 150.449219 150.449219
381 74.939013 74.939013 144.969013 144.969013
382 74.938646 74.938646 144.968646 144.968646
384 74.938594 74.938594 144.968594 144.968594
386 74.938423 74.938423 144.968423 144.968423
