"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 83.111695 83.111695 154.461695 154.461695
2 83.079915 83.079915 154.429915 154.429915
11 57.927704 57.927704 129.277704 129.277704
12 57.906192 57.906192 129.256192 129.256192
13 57.897067 57.897067 129.247067 129.247067
14 57.853756 57.853756 129.203756 129.203756
61 52.632328 52.632328 123.982328 123.982328
71 26.990183 26.990183 98.340183 98.340183
72 26.978873 26.978873 98.328873 98.328873
73 26.954449 26.954449 98.304449 98.304449
301 18.844304 18.844304 90.194304 90.194304
302 18.808990 18.808990 90.158990 90.158990
310 18.802786 18.802786 90.152786 90.152786
521 13.614169 13.614169 84.964169 84.964169
537 11.473472 11.473472 82.823472 82.823472
540 10.742151 10.742151 82.092151 82.092151
1373 10.738055 10.738055 82.088055 82.088055
2048 10.054949 10.054949 81.404949 81.404949
2247 6.164036 6.164036 77.514036 77.514036
2935 6.162451 6.162451 77.512451 77.512451
2940 6.159546 6.159546 77.509546 77.509546
4648 5.360682 5.360682 76.710682 76.710682
5190 4.773821 4.773821 76.123821 76.123821
5771 4.772538 4.772538 76.122538 76.122538
5772 4.771532 4.771532 76.121532 76.121532
5773 4.767761 4.767761 76.117761 76.117761
135000 35.204602 4.767761 35.204602 76.117761
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 110.893325 110.893325 182.243325 182.243325
2 110.848586 110.848586 182.198586 182.198586
5 110.845903 110.845903 182.195903 182.195903
11 58.268223 58.268223 129.618223 129.618223
14 58.262556 58.262556 129.612556 129.612556
51 49.167253 49.167253 120.517253 120.517253
52 49.086897 49.086897 120.436897 120.436897
61 40.010170 40.010170 111.360170 111.360170
63 39.993330 39.993330 111.343330 111.343330
65 39.992196 39.992196 111.342196 111.342196
111 26.470242 26.470242 97.820242 97.820242
112 26.457959 26.457959 97.807959 97.807959
201 19.529945 19.529945 90.879945 90.879945
202 19.497560 19.497560 90.847560 90.847560
528 18.080644 18.080644 89.430644 89.430644
847 11.682719 11.682719 83.032719 83.032719
1327 6.704802 6.704802 78.054802 78.054802
1837 6.703784 6.703784 78.053784 78.053784
