"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 171.990943 171.990943 155.050943 155.050943
2 171.980812 171.980812 155.040812 155.040812
11 111.165810 111.165810 94.225810 94.225810
12 111.165740 111.165740 94.225740 94.225740
15 111.165628 111.165628 94.225628 94.225628
18 111.165504 111.165504 94.225504 94.225504
20 111.165118 111.165118 94.225118 94.225118
21 74.002859 74.002859 57.062859 57.062859
22 74.002064 74.002064 57.062064 57.062064
23 74.001983 74.001983 57.061983 57.061983
25 74.000645 74.000645 57.060645 57.060645
91 55.792098 55.792098 38.852098 38.852098
92 55.791105 55.791105 38.851105 38.851105
95 55.790900 55.790900 38.850900 38.850900
151 52.214164 52.214164 35.274164 35.274164
154 52.213786 52.213786 35.273786 35.273786
155 52.213676 52.213676 35.273676 35.273676
201 46.139630 46.139630 29.199630 29.199630
202 46.139268 46.139268 29.199268 29.199268
204 46.138736 46.138736 29.198736 29.198736
351 24.883617 24.883617 7.943617 7.943617
358 24.883319 24.883319 7.943319 7.943319
371 5.360569 5.360569 -11.579431 -11.579431
374 5.360501 5.360501 -11.579499 -11.579499
378 5.360420 5.360420 -11.579580 -11.579580
380 5.360408 5.360408 -11.579592 -11.579592
135000 67.244793 5.360408 67.244793 -11.579592
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1046.242264 1046.242264 1029.302264 1029.302264
2 1046.127495 1046.127495 1029.187495 1029.187495
11 70.557512 70.557512 53.617512 53.617512
17 70.557495 70.557495 53.617495 53.617495
31 26.558018 26.558018 9.618018 9.618018
32 26.558005 26.558005 9.618005 9.618005
33 26.557915 26.557915 9.617915 9.617915
35 26.557516 26.557516 9.617516 9.617516
37 26.557443 26.557443 9.617443 9.617443
790 24.806660 24.806660 7.866660 7.866660
793 19.708445 19.708445 2.768445 2.768445
1522 19.708124 19.708124 2.768124 2.768124
1524 19.708098 19.708098 2.768098 2.768098
1525 19.707541 19.707541 2.767541 2.767541
1912 17.872527 17.872527 0.932527 0.932527
2521 16.383189 16.383189 -0.556811 -0.556811
2626 15.443577 15.443577 -1.496423 -1.496423
3151 15.443489 15.443489 -1.496511 -1.496511
3153 15.443129 15.443129 -1.496871 -1.496871
3157 15.442538 15.442538 -1.497462 -1.497462
3416 14.772654 14.772654 -2.167346 -2.167346
4172 14.772440 14.772440 -2.167560 -2.167560
4178 14.772129 14.772129 -2.167871 -2.167871
4180 14.772098 14.772098 -2.167902 -2.167902
12983 12.983703 12.983703 -3.956297 -3.956297
13692 12.983607 12.983607 -3.956393 -3.956393
13694 12.983472 12.983472 -3.956528 -3.956528
135000 90.349515 12.983472 90.349515 -3.956528
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 57.274312 57.274312 40.334312 40.334312
11 46.967902 46.967902 30.027902 30.027902
31 40.842942 40.842942 23.902942 23.902942
36 40.842908 40.842908 23.902908 23.902908
37 40.842732 40.842732 23.902732 23.902732
40 40.842511 40.842511 23.902511 23.902511
121 38.030075 38.030075 21.090075 21.090075
124 38.029502 38.029502 21.089502 21.089502
128 38.028987 38.028987 21.088987 21.088987
281 34.661967 34.661967 17.721967 17.721967
282 34.661547 34.661547 17.721547 17.721547
284 34.661220 34.661220 17.721220 17.721220
285 34.661137 34.661137 17.721137 17.721137
451 25.243463 25.243463 8.303463 8.303463
453 25.242471 25.242471 8.302471 8.302471
459 25.242359 25.242359 8.302359 8.302359
1036 24.036303 24.036303 7.096303 7.096303
1662 24.035866 24.035866 7.095866 7.095866
2147 20.555779 20.555779 3.615779 3.615779
2193 17.913302 17.913302 0.973302 0.973302
2303 16.854452 16.854452 -0.085548 -0.085548
2961 16.854134 16.854134 -0.085866 -0.085866
10334 14.989540 14.989540 -1.950460 -1.950460
11022 14.989397 14.989397 -1.950603 -1.950603
11025 14.989022 14.989022 -1.950978 -1.950978
68402 14.833075 14.833075 -2.106925 -2.106925
69081 14.833047 14.833047 -2.106953 -2.106953
69083 14.832647 14.832647 -2.107353 -2.107353
69087 14.832618 14.832618 -2.107382 -2.107382
69089 14.832502 14.832502 -2.107498 -2.107498
74068 13.150599 13.150599 -3.789401 -3.789401
74641 13.150510 13.150510 -3.789490 -3.789490
74645 13.150443 13.150443 -3.789557 -3.789557
99595 12.916980 12.916980 -4.023020 -4.023020
100221 12.916769 12.916769 -4.023231 -4.023231
100223 12.916458 12.916458 -4.023542 -4.023542
100227 12.915732 12.915732 -4.024268 -4.024268
133284 12.290014 12.290014 -4.649986 -4.649986
133934 12.289337 12.289337 -4.650663 -4.650663
133938 12.288797 12.288797 -4.651203 -4.651203
135000 106.606849 12.288797 106.606849 -4.651203
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 45.343024 45.343024 64.153024 64.153024
11 39.876271 39.876271 58.686271 58.686271
12 39.875582 39.875582 58.685582 58.685582
51 34.864757 34.864757 53.674757 53.674757
52 34.863683 34.863683 53.673683 53.673683
58 34.863568 34.863568 53.673568 53.673568
81 34.284553 34.284553 53.094553 53.094553
82 34.284447 34.284447 53.094447 53.094447
85 34.284443 34.284443 53.094443 53.094443
87 34.284340 34.284340 53.094340 53.094340
89 34.284278 34.284278 53.094278 53.094278
541 31.847373 31.847373 50.657373 50.657373
671 26.684733 26.684733 45.494733 45.494733
739 21.608225 21.608225 40.418225 40.418225
741 18.434178 18.434178 37.244178 37.244178
744 15.599076 15.599076 34.409076 34.409076
750 15.343309 15.343309 34.153309 34.153309
751 13.483271 13.483271 32.293271 32.293271
1491 13.483055 13.483055 32.293055 32.293055
1496 13.482986 13.482986 32.292986 32.292986
1880 11.108855 11.108855 29.918855 29.918855
1938 11.055396 11.055396 29.865396 29.865396
2752 11.055198 11.055198 29.865198 29.865198
71404 6.936770 6.936770 25.746770 25.746770
71962 6.936422 6.936422 25.746422 25.746422
135000 31.378147 6.936422 31.378147 25.746422
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 243.299261 243.299261 262.109261 262.109261
2 243.295055 243.295055 262.105055 262.105055
5 243.293182 243.293182 262.103182 262.103182
11 178.901702 178.901702 197.711702 197.711702
14 178.899494 178.899494 197.709494 197.709494
16 178.897096 178.897096 197.707096 197.707096
21 106.779543 106.779543 125.589543 125.589543
22 106.778394 106.778394 125.588394 125.588394
25 106.777122 106.777122 125.587122 125.587122
31 69.261150 69.261150 88.071150 88.071150
41 62.502544 62.502544 81.312544 81.312544
42 62.501824 62.501824 81.311824 81.311824
49 62.501735 62.501735 81.311735 81.311735
51 56.167976 56.167976 74.977976 74.977976
53 56.166485 56.166485 74.976485 74.976485
56 56.166104 56.166104 74.976104 74.976104
101 44.054776 44.054776 62.864776 62.864776
231 37.726904 37.726904 56.536904 56.536904
233 37.726738 37.726738 56.536738 56.536738
236 37.726395 37.726395 56.536395 56.536395
441 22.309340 22.309340 41.119340 41.119340
442 22.308974 22.308974 41.118974 41.118974
443 22.308955 22.308955 41.118955 41.118955
446 22.308302 22.308302 41.118302 41.118302
2262 20.470771 20.470771 39.280771 39.280771
2611 18.421147 18.421147 37.231147 37.231147
3141 18.420807 18.420807 37.230807 37.230807
3225 14.642311 14.642311 33.452311 33.452311
4061 14.642187 14.642187 33.452187 33.452187
4064 14.642086 14.642086 33.452086 33.452086
4065 14.641370 14.641370 33.451370 33.451370
15678 11.166615 11.166615 29.976615 29.976615
16391 11.165980 11.165980 29.975980 29.975980
16395 11.165712 11.165712 29.975712 29.975712
28251 9.378716 9.378716 28.188716 28.188716
28791 9.378687 9.378687 28.188687 28.188687
28794 9.378661 9.378661 28.188661 28.188661
28795 9.378047 9.378047 28.188047 28.188047
135000 78.094475 9.378047 78.094475 28.188047
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58.496718 58.496718 77.306718 77.306718
2 58.492497 58.492497 77.302497 77.302497
11 24.871320 24.871320 43.681320 43.681320
31 13.969168 13.969168 32.779168 32.779168
32 13.968060 13.968060 32.778060 32.778060
554 11.655122 11.655122 30.465122 30.465122
1381 11.655056 11.655056 30.465056 30.465056
1384 11.653932 11.653932 30.463932 30.463932
3358 11.415171 11.415171 30.225171 30.225171
4141 11.414644 11.414644 30.224644 30.224644
26425 5.638298 5.638298 24.448298 24.448298
27161 5.638270 5.638270 24.448270 24.448270
27164 5.638119 5.638119 24.448119 24.448119
27165 5.637768 5.637768 24.447768 24.447768
135000 40.972018 5.637768 40.972018 24.447768
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 302.511951 302.511951 575.661951 575.661951
6 302.511772 302.511772 575.661772 575.661772
7 302.509405 302.509405 575.659405 575.659405
11 77.323586 77.323586 350.473586 350.473586
12 77.323217 77.323217 350.473217 350.473217
13 77.323087 77.323087 350.473087 350.473087
15 77.322693 77.322693 350.472693 350.472693
18 77.322660 77.322660 350.472660 350.472660
41 47.568130 47.568130 320.718130 320.718130
46 47.567725 47.567725 320.717725 320.717725
47 47.567300 47.567300 320.717300 320.717300
171 43.365883 43.365883 316.515883 316.515883
172 43.365642 43.365642 316.515642 316.515642
176 43.365604 43.365604 316.515604 316.515604
180 43.365267 43.365267 316.515267 316.515267
391 16.999614 16.999614 290.149614 290.149614
397 16.999483 16.999483 290.149483 290.149483
399 16.999307 16.999307 290.149307 290.149307
952 16.002319 16.002319 289.152319 289.152319
1173 10.045258 10.045258 283.195258 283.195258
1741 10.045117 10.045117 283.195117 283.195117
1747 10.044708 10.044708 283.194708 283.194708
100821 8.721903 8.721903 281.871903 281.871903
101492 8.721851 8.721851 281.871851 281.871851
101496 8.721835 8.721835 281.871835 281.871835
101498 8.721739 8.721739 281.871739 281.871739
101500 8.720939 8.720939 281.870939 281.870939
117069 7.889752 7.889752 281.039752 281.039752
117722 7.889566 7.889566 281.039566 281.039566
117728 7.889174 7.889174 281.039174 281.039174
117730 7.888987 7.888987 281.038987 281.038987
135000 21.112230 7.888987 21.112230 281.038987
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 41.151136 41.151136 314.301136 314.301136
2 41.150098 41.150098 314.300098 314.300098
3 41.149869 41.149869 314.299869 314.299869
6 41.149863 41.149863 314.299863 314.299863
8 41.149461 41.149461 314.299461 314.299461
71 22.829794 22.829794 295.979794 295.979794
72 22.829574 22.829574 295.979574 295.979574
74 22.829398 22.829398 295.979398 295.979398
78 22.829388 22.829388 295.979388 295.979388
512 22.756883 22.756883 295.906883 295.906883
632 21.100429 21.100429 294.250429 294.250429
861 16.954499 16.954499 290.104499 290.104499
1562 16.954480 16.954480 290.104480 290.104480
1563 16.954436 16.954436 290.104436 290.104436
1570 16.954365 16.954365 290.104365 290.104365
1982 12.097061 12.097061 285.247061 285.247061
2771 12.097028 12.097028 285.247028 285.247028
2774 12.096933 12.096933 285.246933 285.246933
69592 5.991978 5.991978 279.141978 279.141978
70342 5.991883 5.991883 279.141883 279.141883
70344 5.991229 5.991229 279.141229 279.141229
70350 5.990801 5.990801 279.140801 279.140801
135000 57.055300 5.990801 57.055300 279.140801
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 125.215269 125.215269 398.365269 398.365269
4 125.215037 125.215037 398.365037 398.365037
9 125.214661 125.214661 398.364661 398.364661
21 89.039423 89.039423 362.189423 362.189423
22 89.038885 89.038885 362.188885 362.188885
27 89.038812 89.038812 362.188812 362.188812
30 89.037758 89.037758 362.187758 362.187758
41 42.409330 42.409330 315.559330 315.559330
44 42.409143 42.409143 315.559143 315.559143
