"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.341427 17.341427 -85.208573 -85.208573
4 17.247321 17.247321 -85.302679 -85.302679
261 15.071562 15.071562 -87.478438 -87.478438
262 15.064405 15.064405 -87.485595 -87.485595
263 15.054019 15.054019 -87.495981 -87.495981
266 15.050785 15.050785 -87.499215 -87.499215
270 15.042103 15.042103 -87.507897 -87.507897
411 10.478415 10.478415 -92.071585 -92.071585
412 10.367350 10.367350 -92.182650 -92.182650
690 9.105258 9.105258 -93.444742 -93.444742
699 8.837971 8.837971 -93.712029 -93.712029
844 7.632566 7.632566 -94.917434 -94.917434
1023 7.570304 7.570304 -94.979696 -94.979696
1156 5.864453 5.864453 -96.685547 -96.685547
1270 5.088282 5.088282 -97.461718 -97.461718
1801 5.072825 5.072825 -97.477175 -97.477175
2337 3.420199 3.420199 -99.129801 -99.129801
2981 3.412587 3.412587 -99.137413 -99.137413
135000 106.625206 3.412587 106.625206 -99.137413
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 25.363068 25.363068 -77.186932 -77.186932
4 25.327468 25.327468 -77.222532 -77.222532
9 25.276928 25.276928 -77.273072 -77.273072
11 24.755070 24.755070 -77.794930 -77.794930
12 24.689585 24.689585 -77.860415 -77.860415
13 24.670341 24.670341 -77.879659 -77.879659
19 24.650077 24.650077 -77.899923 -77.899923
31 9.341967 9.341967 -93.208033 -93.208033
32 9.325372 9.325372 -93.224628 -93.224628
33 9.322119 9.322119 -93.227881 -93.227881
40 9.318671 9.318671 -93.231329 -93.231329
552 5.825141 5.825141 -96.724859 -96.724859
1381 5.796485 5.796485 -96.753515 -96.753515
1384 5.786286 5.786286 -96.763714 -96.763714
1913 2.951720 2.951720 -99.598280 -99.598280
2731 2.946256 2.946256 -99.603744 -99.603744
2736 2.944570 2.944570 -99.605430 -99.605430
135000 198.688505 2.944570 198.688505 -99.605430
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 31.285663 31.285663 -71.264337 -71.264337
2 31.249407 31.249407 -71.300593 -71.300593
3 31.238541 31.238541 -71.311459 -71.311459
5 31.125623 31.125623 -71.424377 -71.424377
11 22.670168 22.670168 -79.879832 -79.879832
17 22.657216 22.657216 -79.892784 -79.892784
21 13.626058 13.626058 -88.923942 -88.923942
26 13.569096 13.569096 -88.980904 -88.980904
61 5.397989 5.397989 -97.152011 -97.152011
66 5.395630 5.395630 -97.154370 -97.154370
661 3.810577 3.810577 -98.739423 -98.739423
1442 3.806469 3.806469 -98.743531 -98.743531
1448 3.805460 3.805460 -98.744540 -98.744540
2576 2.319961 2.319961 -100.230039 -100.230039
3121 2.317984 2.317984 -100.232016 -100.232016
135000 31.137443 2.317984 31.137443 -100.232016
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 44.576502 44.576502 116.266502 116.266502
2 43.973781 43.973781 115.663781 115.663781
11 34.351954 34.351954 106.041954 106.041954
12 34.316854 34.316854 106.006854 106.006854
14 34.232421 34.232421 105.922421 105.922421
15 34.187339 34.187339 105.877339 105.877339
31 26.081064 26.081064 97.771064 97.771064
51 17.236338 17.236338 88.926338 88.926338
53 17.229513 17.229513 88.919513 88.919513
58 17.225563 17.225563 88.915563 88.915563
60 17.222053 17.222053 88.912053 88.912053
101 15.071963 15.071963 86.761963 86.761963
104 14.995317 14.995317 86.685317 86.685317
107 14.988629 14.988629 86.678629 86.678629
171 13.655792 13.655792 85.345792 85.345792
173 13.562987 13.562987 85.252987 85.252987
281 13.418310 13.418310 85.108310 85.108310
282 13.405410 13.405410 85.095410 85.095410
285 13.401222 13.401222 85.091222 85.091222
287 13.385090 13.385090 85.075090 85.075090
289 13.380240 13.380240 85.070240 85.070240
321 12.671783 12.671783 84.361783 84.361783
324 12.644905 12.644905 84.334905 84.334905
381 6.077984 6.077984 77.767984 77.767984
1031 6.059065 6.059065 77.749065 77.749065
1038 5.110433 5.110433 76.800433 76.800433
1153 3.473945 3.473945 75.163945 75.163945
1731 3.473365 3.473365 75.163365 75.163365
1736 3.472178 3.472178 75.162178 75.162178
2225 3.088507 3.088507 74.778507 74.778507
2921 3.080992 3.080992 74.770992 74.770992
135000 95.721597 3.080992 95.721597 74.770992
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.612892 13.612892 85.302892 85.302892
2 13.485638 13.485638 85.175638 85.175638
5 13.423545 13.423545 85.113545 85.113545
251 6.296390 6.296390 77.986390 77.986390
252 6.275837 6.275837 77.965837 77.965837
255 6.273276 6.273276 77.963276 77.963276
1075 4.748534 4.748534 76.438534 76.438534
1681 4.744311 4.744311 76.434311 76.434311
1683 4.741210 4.741210 76.431210 76.431210
1688 4.734248 4.734248 76.424248 76.424248
2164 4.647601 4.647601 76.337601 76.337601
2268 2.643684 2.643684 74.333684 74.333684
2941 2.638277 2.638277 74.328277 74.328277
2943 2.634579 2.634579 74.324579 74.324579
2945 2.633191 2.633191 74.323191 74.323191
2949 2.627573 2.627573 74.317573 74.317573
135000 187.184258 2.627573 187.184258 74.317573
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27.104508 27.104508 98.794508 98.794508
5 27.081106 27.081106 98.771106 98.771106
51 9.342254 9.342254 81.032254 81.032254
54 9.340008 9.340008 81.030008 81.030008
55 9.334178 9.334178 81.024178 81.024178
586 6.764987 6.764987 78.454987 78.454987
590 5.999180 5.999180 77.689180 77.689180
593 5.956955 5.956955 77.646955 77.646955
596 5.078339 5.078339 76.768339 76.768339
691 3.822360 3.822360 75.512360 75.512360
1462 3.818660 3.818660 75.508660 75.508660
135000 187.184258 3.818660 187.184258 75.508660
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 66.968967 66.968967 280.978967 280.978967
2 66.024574 66.024574 280.034574 280.034574
31 34.186736 34.186736 248.196736 248.196736
34 33.975552 33.975552 247.985552 247.985552
61 29.442247 29.442247 243.452247 243.452247
62 29.311270 29.311270 243.321270 243.321270
81 26.766351 26.766351 240.776351 240.776351
91 25.379070 25.379070 239.389070 239.389070
92 25.167097 25.167097 239.177097 239.177097
111 17.499138 17.499138 231.509138 231.509138
112 17.392646 17.392646 231.402646 231.402646
113 17.367842 17.367842 231.377842 231.377842
121 11.581015 11.581015 225.591015 225.591015
128 11.553325 11.553325 225.563325 225.563325
130 11.533326 11.533326 225.543326 225.543326
211 11.211606 11.211606 225.221606 225.221606
218 11.189362 11.189362 225.199362 225.199362
291 8.354804 8.354804 222.364804 222.364804
292 8.248302 8.248302 222.258302 222.258302
297 8.220786 8.220786 222.230786 222.230786
862 7.988013 7.988013 221.998013 221.998013
870 4.040431 4.040431 218.050431 218.050431
1198 0.994424 0.994424 215.004424 215.004424
1762 0.991341 0.991341 215.001341 215.001341
1767 0.987820 0.987820 214.997820 214.997820
135000 37.377952 0.987820 37.377952 214.997820
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 57.621407 57.621407 271.631407 271.631407
8 57.506580 57.506580 271.516580 271.516580
21 19.561789 19.561789 233.571789 233.571789
22 19.494481 19.494481 233.504481 233.504481
23 19.482395 19.482395 233.492395 233.492395
27 19.453878 19.453878 233.463878 233.463878
71 6.784854 6.784854 220.794854 220.794854
72 6.778566 6.778566 220.788566 220.788566
74 6.748924 6.748924 220.758924 220.758924
1942 6.104605 6.104605 220.114605 220.114605
1949 3.683107 3.683107 217.693107 217.693107
2295 1.339291 1.339291 215.349291 215.349291
2961 1.336649 1.336649 215.346649 215.346649
2964 1.329026 1.329026 215.339026 215.339026
135000 90.154817 1.329026 90.154817 215.339026
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 150.500236 150.500236 364.510236 364.510236
3 150.489651 150.489651 364.499651 364.499651
8 150.243362 150.243362 364.253362 364.253362
10 149.596362 149.596362 363.606362 363.606362
11 46.622286 46.622286 260.632286 260.632286
20 46.407142 46.407142 260.417142 260.417142
61 34.832270 34.832270 248.842270 248.842270
70 34.770282 34.770282 248.780282 248.780282
71 24.294771 24.294771 238.304771 238.304771
72 24.262534 24.262534 238.272534 238.272534
73 24.245403 24.245403 238.255403 238.255403
81 16.666022 16.666022 230.676022 230.676022
82 16.414833 16.414833 230.424833 230.424833
181 16.049514 16.049514 230.059514 230.059514
182 16.023934 16.023934 230.033934 230.033934
221 11.579955 11.579955 225.589955 225.589955
224 11.530376 11.530376 225.540376 225.540376
371 8.012656 8.012656 222.022656 222.022656
807 5.578345 5.578345 219.588345 219.588345
922 4.864710 4.864710 218.874710 218.874710
1591 4.858892 4.858892 218.868892 218.868892
135000 37.377952 4.858892 37.377952 218.868892
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 36.474575 36.474575 -22.005425 -22.005425
51 10.589147 10.589147 -47.890853 -47.890853
55 10.579517 10.579517 -47.900483 -47.900483
91 9.234469 9.234469 -49.245531 -49.245531
96 9.229385 9.229385 -49.250615 -49.250615
221 8.437353 8.437353 -50.042647 -50.042647
224 8.431301 8.431301 -50.048699 -50.048699
231 7.351109 7.351109 -51.128891 -51.128891
234 7.350754 7.350754 -51.129246 -51.129246
236 7.343111 7.343111 -51.136889 -51.136889
239 7.341502 7.341502 -51.138498 -51.138498
590 4.923504 4.923504 -53.556496 -53.556496
1402 4.899496 4.899496 -53.580504 -53.580504
1410 4.891242 4.891242 -53.588758 -53.588758
2423 3.628280 3.628280 -54.851720 -54.851720
3031 3.616355 3.616355 -54.863645 -54.863645
3036 3.614253 3.614253 -54.865747 -54.865747
3039 3.610188 3.610188 -54.869812 -54.869812
135000 131.060787 3.610188 131.060787 -54.869812
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.176566 17.176566 -41.303434 -41.303434
2 17.002885 17.002885 -41.477115 -41.477115
7 16.938003 16.938003 -41.541997 -41.541997
191 9.277350 9.277350 -49.202650 -49.202650
192 9.234232 9.234232 -49.245768 -49.245768
194 9.215456 9.215456 -49.264544 -49.264544
512 6.660098 6.660098 -51.819902 -51.819902
850 6.388819 6.388819 -52.091181 -52.091181
1092 5.748058 5.748058 -52.731942 -52.731942
1121 3.899858 3.899858 -54.580142 -54.580142
1191 3.884194 3.884194 -54.595806 -54.595806
1752 3.870957 3.870957 -54.609043 -54.609043
