"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.434729 77.434729 156.914729 156.914729
2 77.434696 77.434696 156.914696 156.914696
4 77.434685 77.434685 156.914685 156.914685
5 77.434678 77.434678 156.914678 156.914678
9 77.434640 77.434640 156.914640 156.914640
11 20.599444 20.599444 100.079444 100.079444
12 20.599400 20.599400 100.079400 100.079400
19 20.599387 20.599387 100.079387 100.079387
31 19.356490 19.356490 98.836490 98.836490
32 19.356474 19.356474 98.836474 98.836474
33 19.356447 19.356447 98.836447 98.836447
481 6.075111 6.075111 85.555111 85.555111
484 6.075099 6.075099 85.555099 85.555099
1317 3.636204 3.636204 83.116204 83.116204
1319 3.414222 3.414222 82.894222 82.894222
1321 2.588205 2.588205 82.068205 82.068205
1831 2.588198 2.588198 82.068198 82.068198
1834 2.588193 2.588193 82.068193 82.068193
1904 1.994637 1.994637 81.474637 81.474637
2732 1.994633 1.994633 81.474633 81.474633
2733 1.994624 1.994624 81.474624 81.474624
3211 1.890774 1.890774 81.370774 81.370774
3242 0.348389 0.348389 79.828389 79.828389
3252 0.213524 0.213524 79.693524 79.693524
3259 0.104867 0.104867 79.584867 79.584867
3384 0.101413 0.101413 79.581413 79.581413
3584 0.089908 0.089908 79.569908 79.569908
4271 0.089907 0.089907 79.569907 79.569907
4273 0.089906 0.089906 79.569906 79.569906
4280 0.089906 0.089906 79.569906 79.569906
4574 0.070115 0.070115 79.550115 79.550115
4602 0.054108 0.054108 79.534108 79.534108
4605 0.043650 0.043650 79.523650 79.523650
4674 0.010500 0.010500 79.490500 79.490500
5379 0.007366 0.007366 79.487366 79.487366
5881 0.007365 0.007365 79.487365 79.487365
6020 0.006544 0.006544 79.486544 79.486544
6022 0.006275 0.006275 79.486275 79.486275
6023 0.005147 0.005147 79.485147 79.485147
6024 0.002282 0.002282 79.482282 79.482282
6028 0.000850 0.000850 79.480850 79.480850
6033 0.000659 0.000659 79.480659 79.480659
6719 0.000657 0.000657 79.480657 79.480657
6730 0.000024 0.000024 79.480024 79.480024
7231 0.000024 0.000024 79.480024 79.480024
7233 0.000024 0.000024 79.480024 79.480024
7239 0.000024 0.000024 79.480024 79.480024
8067 0.000003 0.000003 79.480003 79.480003
8581 0.000003 0.000003 79.480003 79.480003
8586 0.000003 0.000003 79.480003 79.480003
8587 0.000003 0.000003 79.480003 79.480003
9417 0.000001 0.000001 79.480001 79.480001
9420 0.000001 0.000001 79.480001 79.480001
9421 0.000001 0.000001 79.480001 79.480001
9422 0.000001 0.000001 79.480001 79.480001
9931 0.000001 0.000001 79.480001 79.480001
9934 0.000001 0.000001 79.480001 79.480001
9936 0.000001 0.000001 79.480001 79.480001
9940 0.000001 0.000001 79.480001 79.480001
10767 0.000000 0.000000 79.480000 79.480000
10769 0.000000 0.000000 79.480000 79.480000
10770 0.000000 0.000000 79.480000 79.480000
10780 0.000000 0.000000 79.480000 79.480000
11282 0.000000 0.000000 79.480000 79.480000
11284 0.000000 0.000000 79.480000 79.480000
11286 0.000000 0.000000 79.480000 79.480000
11289 0.000000 0.000000 79.480000 79.480000
12120 0.000000 0.000000 79.480000 79.480000
12123 0.000000 0.000000 79.480000 79.480000
12127 0.000000 0.000000 79.480000 79.480000
12128 0.000000 0.000000 79.480000 79.480000
12632 0.000000 0.000000 79.480000 79.480000
12638 0.000000 0.000000 79.480000 79.480000
12639 0.000000 0.000000 79.480000 79.480000
14439 0.000000 0.000000 79.480000 79.480000
14749 0.000000 0.000000 79.480000 79.480000
14817 0.000000 0.000000 79.480000 79.480000
14829 0.000000 0.000000 79.480000 79.480000
15333 0.000000 0.000000 79.480000 79.480000
15338 0.000000 0.000000 79.480000 79.480000
15670 0.000000 0.000000 79.480000 79.480000
16381 0.000000 0.000000 79.480000 79.480000
16389 0.000000 0.000000 79.480000 79.480000
16752 0.000000 0.000000 79.480000 79.480000
16757 0.000000 0.000000 79.480000 79.480000
17007 0.000000 0.000000 79.480000 79.480000
17009 0.000000 0.000000 79.480000 79.480000
17018 0.000000 0.000000 79.480000 79.480000
17019 0.000000 0.000000 79.480000 79.480000
17133 0.000000 0.000000 79.480000 79.480000
17258 0.000000 0.000000 79.480000 79.480000
17394 0.000000 0.000000 79.480000 79.480000
17877 0.000000 0.000000 79.480000 79.480000
17952 0.000000 0.000000 79.480000 79.480000
17953 0.000000 0.000000 79.480000 79.480000
17957 0.000000 0.000000 79.480000 79.480000
18731 0.000000 0.000000 79.480000 79.480000
18734 0.000000 0.000000 79.480000 79.480000
18739 0.000000 0.000000 79.480000 79.480000
18760 0.000000 0.000000 79.480000 79.480000
18806 0.000000 0.000000 79.480000 79.480000
18812 0.000000 0.000000 79.480000 79.480000
19826 0.000000 0.000000 79.480000 79.480000
21181 0.000000 0.000000 79.480000 79.480000
21507 0.000000 0.000000 79.480000 79.480000
21510 0.000000 0.000000 79.480000 79.480000
21576 0.000000 0.000000 79.480000 79.480000
22927 0.000000 0.000000 79.480000 79.480000
135000 0.000000 0.000000 0.000000 79.480000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73.752617 73.752617 153.232617 153.232617
2 73.752517 73.752517 153.232517 153.232517
8 73.752503 73.752503 153.232503 153.232503
11 47.529695 47.529695 127.009695 127.009695
16 47.529684 47.529684 127.009684 127.009684
18 47.529672 47.529672 127.009672 127.009672
31 28.295028 28.295028 107.775028 107.775028
