"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19583.359616 19583.359616 19036.859616 19036.859616
2 19583.347298 19583.347298 19036.847298 19036.847298
4 19583.343964 19583.343964 19036.843964 19036.843964
6 19583.305502 19583.305502 19036.805502 19036.805502
11 9073.598702 9073.598702 8527.098702 8527.098702
13 9073.593454 9073.593454 8527.093454 8527.093454
15 9073.580461 9073.580461 8527.080461 8527.080461
17 9073.576351 9073.576351 8527.076351 8527.076351
20 9073.554096 9073.554096 8527.054096 8527.054096
51 5621.883149 5621.883149 5075.383149 5075.383149
52 5621.880241 5621.880241 5075.380241 5075.380241
53 5621.875896 5621.875896 5075.375896 5075.375896
58 5621.870316 5621.870316 5075.370316 5075.370316
59 5621.836213 5621.836213 5075.336213 5075.336213
71 3722.352286 3722.352286 3175.852286 3175.852286
72 3722.345271 3722.345271 3175.845271 3175.845271
73 3722.334728 3722.334728 3175.834728 3175.834728
77 3722.334394 3722.334394 3175.834394 3175.834394
261 335.724561 335.724561 -210.775439 -210.775439
262 335.720099 335.720099 -210.779901 -210.779901
266 335.718705 335.718705 -210.781295 -210.781295
943 68.424139 68.424139 -478.075861 -478.075861
945 58.139962 58.139962 -488.360038 -488.360038
946 36.690074 36.690074 -509.809926 -509.809926
948 26.111275 26.111275 -520.388725 -520.388725
954 8.117386 8.117386 -538.382614 -538.382614
1612 8.117036 8.117036 -538.382964 -538.382964
2159 4.418710 4.418710 -542.081290 -542.081290
2457 4.286368 4.286368 -542.213632 -542.213632
3051 4.286350 4.286350 -542.213650 -542.213650
3055 4.286343 4.286343 -542.213657 -542.213657
3060 4.286309 4.286309 -542.213691 -542.213691
3433 3.586208 3.586208 -542.913792 -542.913792
3646 3.574691 3.574691 -542.925309 -542.925309
3651 2.795195 2.795195 -543.704805 -543.704805
3654 2.772127 2.772127 -543.727873 -543.727873
4311 2.772111 2.772111 -543.727889 -543.727889
4317 2.772087 2.772087 -543.727913 -543.727913
4320 2.772078 2.772078 -543.727922 -543.727922
6129 2.647583 2.647583 -543.852417 -543.852417
6346 2.092525 2.092525 -544.407475 -544.407475
7011 2.092508 2.092508 -544.407492 -544.407492
7017 2.092506 2.092506 -544.407494 -544.407494
48349 1.913616 1.913616 -544.586384 -544.586384
48951 1.913604 1.913604 -544.586396 -544.586396
48958 1.913570 1.913570 -544.586430 -544.586430
60348 1.435781 1.435781 -545.064219 -545.064219
61012 1.435770 1.435770 -545.064230 -545.064230
61016 1.435758 1.435758 -545.064242 -545.064242
135000 209.432061 1.435758 209.432061 -545.064242
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8519.189809 8519.189809 7972.689809 7972.689809
2 8519.177691 8519.177691 7972.677691 7972.677691
6 8519.161112 8519.161112 7972.661112 7972.661112
10 8519.147514 8519.147514 7972.647514 7972.647514
71 5071.205191 5071.205191 4524.705191 4524.705191
72 5071.189427 5071.189427 4524.689427 4524.689427
77 5071.187946 5071.187946 4524.687946 4524.687946
80 5071.159830 5071.159830 4524.659830 4524.659830
81 2365.770556 2365.770556 1819.270556 1819.270556
82 2365.758982 2365.758982 1819.258982 1819.258982
86 2365.751079 2365.751079 1819.251079 1819.251079
91 1016.660910 1016.660910 470.160910 470.160910
94 1016.659781 1016.659781 470.159781 470.159781
96 1016.652337 1016.652337 470.152337 470.152337
97 1016.648117 1016.648117 470.148117 470.148117
371 478.439777 478.439777 -68.060223 -68.060223
644 427.405435 427.405435 -119.094565 -119.094565
654 5.621445 5.621445 -540.878555 -540.878555
656 5.558988 5.558988 -540.941012 -540.941012
661 4.604918 4.604918 -541.895082 -541.895082
1142 4.346958 4.346958 -542.153042 -542.153042
1721 4.346855 4.346855 -542.153145 -542.153145
1970 4.092682 4.092682 -542.407318 -542.407318
1974 4.041640 4.041640 -542.458360 -542.458360
1976 3.561666 3.561666 -542.938334 -542.938334
1989 3.173823 3.173823 -543.326177 -543.326177
2781 3.173806 3.173806 -543.326194 -543.326194
2785 3.173802 3.173802 -543.326198 -543.326198
2788 3.173801 3.173801 -543.326199 -543.326199
2789 3.173757 3.173757 -543.326243 -543.326243
3323 3.063309 3.063309 -543.436691 -543.436691
3327 2.868422 2.868422 -543.631578 -543.631578
4121 2.868404 2.868404 -543.631596 -543.631596
23579 2.702410 2.702410 -543.797590 -543.797590
24371 2.702407 2.702407 -543.797593 -543.797593
24373 2.702402 2.702402 -543.797598 -543.797598
24375 2.702396 2.702396 -543.797604 -543.797604
33025 2.448427 2.448427 -544.051573 -544.051573
33822 2.448420 2.448420 -544.051580 -544.051580
33826 2.448402 2.448402 -544.051598 -544.051598
33829 2.448396 2.448396 -544.051604 -544.051604
39773 2.132038 2.132038 -544.367962 -544.367962
40572 2.132036 2.132036 -544.367964 -544.367964
40576 2.132025 2.132025 -544.367975 -544.367975
40578 2.132000 2.132000 -544.368000 -544.368000
49224 2.054281 2.054281 -544.445719 -544.445719
50021 2.054274 2.054274 -544.445726 -544.445726
50023 2.054273 2.054273 -544.445727 -544.445727
50025 2.054267 2.054267 -544.445733 -544.445733
50028 2.054247 2.054247 -544.445753 -544.445753
50030 2.054240 2.054240 -544.445760 -544.445760
65340 1.974665 1.974665 -544.525335 -544.525335
66172 1.974665 1.974665 -544.525335 -544.525335
66173 1.974660 1.974660 -544.525340 -544.525340
66175 1.974654 1.974654 -544.525346 -544.525346
135000 21205.073690 1.974654 21205.073690 -544.525346
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 223664.743862 223664.743862 223118.243862 223118.243862
2 223664.739108 223664.739108 223118.239108 223118.239108
3 223664.732054 223664.732054 223118.232054 223118.232054
6 223664.717647 223664.717647 223118.217647 223118.217647
7 223664.578475 223664.578475 223118.078475 223118.078475
10 223664.471479 223664.471479 223117.971479 223117.971479
11 86011.256816 86011.256816 85464.756816 85464.756816
14 86011.243787 86011.243787 85464.743787 85464.743787
17 86011.199566 86011.199566 85464.699566 85464.699566
20 86011.098413 86011.098413 85464.598413 85464.598413
21 29418.389037 29418.389037 28871.889037 28871.889037
22 29418.383434 29418.383434 28871.883434 28871.883434
26 29418.366025 29418.366025 28871.866025 28871.866025
27 29418.305265 29418.305265 28871.805265 28871.805265
41 14329.154972 14329.154972 13782.654972 13782.654972
42 14329.146079 14329.146079 13782.646079 13782.646079
47 14329.143433 14329.143433 13782.643433 13782.643433
49 14329.084398 14329.084398 13782.584398 13782.584398
51 5447.380348 5447.380348 4900.880348 4900.880348
54 5447.373493 5447.373493 4900.873493 4900.873493
57 5447.351774 5447.351774 4900.851774 4900.851774
141 4266.214960 4266.214960 3719.714960 3719.714960
142 4266.208242 4266.208242 3719.708242 3719.708242
146 4266.204153 4266.204153 3719.704153 3719.704153
147 4266.181731 4266.181731 3719.681731 3719.681731
211 4185.755324 4185.755324 3639.255324 3639.255324
212 4185.746552 4185.746552 3639.246552 3639.246552
215 4185.737147 4185.737147 3639.237147 3639.237147
219 4185.721742 4185.721742 3639.221742 3639.221742
401 613.557124 613.557124 67.057124 67.057124
