"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 68.508140 68.508140 109.288140 109.288140
5 68.508138 68.508138 109.288138 109.288138
7 68.508112 68.508112 109.288112 109.288112
11 60.754469 60.754469 101.534469 101.534469
20 60.754456 60.754456 101.534456 101.534456
21 13.534485 13.534485 54.314485 54.314485
23 13.534461 13.534461 54.314461 54.314461
25 13.534451 13.534451 54.314451 54.314451
401 11.260483 11.260483 52.040483 52.040483
402 11.260399 11.260399 52.040399 52.040399
535 7.291488 7.291488 48.071488 48.071488
539 6.982790 6.982790 47.762790 47.762790
1030 5.739802 5.739802 46.519802 46.519802
1032 4.855845 4.855845 45.635845 45.635845
1039 4.312923 4.312923 45.092923 45.092923
1661 4.312904 4.312904 45.092904 45.092904
1670 4.312869 4.312869 45.092869 45.092869
2280 4.166699 4.166699 44.946699 44.946699
2381 3.719055 3.719055 44.499055 44.499055
2385 3.000297 3.000297 43.780297 43.780297
2386 2.109898 2.109898 42.889898 42.889898
3011 2.109895 2.109895 42.889895 42.889895
3015 2.109893 2.109893 42.889893 42.889893
3020 2.109893 2.109893 42.889893 42.889893
3495 2.038381 2.038381 42.818381 42.818381
3728 1.751490 1.751490 42.531490 42.531490
3741 1.737326 1.737326 42.517326 42.517326
4361 1.737321 1.737321 42.517321 42.517321
4366 1.737319 1.737319 42.517319 42.517319
4840 1.047312 1.047312 41.827312 41.827312
4842 0.236431 0.236431 41.016431 41.016431
4843 0.204244 0.204244 40.984244 40.984244
5572 0.204241 0.204241 40.984241 40.984241
5574 0.204240 0.204240 40.984240 40.984240
5576 0.204240 0.204240 40.984240 40.984240
6190 0.024697 0.024697 40.804697 40.804697
6922 0.024696 0.024696 40.804696 40.804696
7542 0.017267 0.017267 40.797267 40.797267
7543 0.013528 0.013528 40.793528 40.793528
7550 0.010310 0.010310 40.790310 40.790310
8272 0.010309 0.010309 40.790309 40.790309
8890 0.009595 0.009595 40.789595 40.789595
8892 0.007665 0.007665 40.787665 40.787665
8893 0.006701 0.006701 40.786701 40.786701
8895 0.005848 0.005848 40.785848 40.785848
8898 0.004943 0.004943 40.784943 40.784943
8899 0.004511 0.004511 40.784511 40.784511
8902 0.004048 0.004048 40.784048 40.784048
9622 0.004048 0.004048 40.784048 40.784048
9626 0.004048 0.004048 40.784048 40.784048
