"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27.133635 27.133635 34.003635 34.003635
2 27.114836 27.114836 33.984836 33.984836
8 27.113685 27.113685 33.983685 33.983685
21 23.661478 23.661478 30.531478 30.531478
27 23.652750 23.652750 30.522750 30.522750
31 12.341778 12.341778 19.211778 19.211778
32 12.335927 12.335927 19.205927 19.205927
71 11.714209 11.714209 18.584209 18.584209
77 11.711968 11.711968 18.581968 18.581968
91 6.402131 6.402131 13.272131 13.272131
94 6.401829 6.401829 13.271829 13.271829
95 6.400922 6.400922 13.270922 13.270922
161 4.679872 4.679872 11.549872 11.549872
162 4.674618 4.674618 11.544618 11.544618
281 3.085568 3.085568 9.955568 9.955568
282 3.084032 3.084032 9.954032 9.954032
283 3.083574 3.083574 9.953574 9.953574
286 3.083355 3.083355 9.953355 9.953355
290 3.083326 3.083326 9.953326 9.953326
680 2.850292 2.850292 9.720292 9.720292
713 2.665595 2.665595 9.535595 9.535595
1472 2.665260 2.665260 9.535260 9.535260
1474 2.665106 2.665106 9.535106 9.535106
1475 2.663931 2.663931 9.533931 9.533931
3484 2.278843 2.278843 9.148843 9.148843
4211 2.277467 2.277467 9.147467 9.147467
4213 2.276594 2.276594 9.146594 9.146594
4677 1.794154 1.794154 8.664154 8.664154
5472 1.792051 1.792051 8.662051 8.662051
5478 1.790706 1.790706 8.660706 8.660706
24140 1.265529 1.265529 8.135529 8.135529
24702 1.264181 1.264181 8.134181 8.134181
52333 1.115295 1.115295 7.985295 7.985295
52965 1.113964 1.113964 7.983964 7.983964
84782 0.779007 0.779007 7.649007 7.649007
85392 0.777927 0.777927 7.647927 7.647927
85398 0.777298 0.777298 7.647298 7.647298
135000 5.597762 0.777298 5.597762 7.647298
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 32.720840 32.720840 39.590840 39.590840
2 32.718923 32.718923 39.588923 39.588923
8 32.717628 32.717628 39.587628 39.587628
11 29.821473 29.821473 36.691473 36.691473
17 29.821074 29.821074 36.691074 36.691074
21 14.422473 14.422473 21.292473 21.292473
22 14.418049 14.418049 21.288049 21.288049
24 14.416873 14.416873 21.286873 21.286873
28 14.414668 14.414668 21.284668 21.284668
91 9.658920 9.658920 16.528920 16.528920
