"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 104.216112 104.216112 206.826112 206.826112
2 104.209399 104.209399 206.819399 206.819399
11 71.816443 71.816443 174.426443 174.426443
12 71.813207 71.813207 174.423207 174.423207
13 71.812361 71.812361 174.422361 174.422361
151 51.182014 51.182014 153.792014 153.792014
152 51.175655 51.175655 153.785655 153.785655
756 51.102794 51.102794 153.712794 153.712794
759 45.669470 45.669470 148.279470 148.279470
762 40.010569 40.010569 142.620569 142.620569
765 33.739431 33.739431 136.349431 136.349431
767 30.359948 30.359948 132.969948 132.969948
1502 30.358734 30.358734 132.968734 132.968734
1506 30.357294 30.357294 132.967294 132.967294
135000 192.534643 30.357294 192.534643 132.967294
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 183.423435 183.423435 286.033435 286.033435
6 183.422183 183.422183 286.032183 286.032183
21 85.494237 85.494237 188.104237 188.104237
22 85.486690 85.486690 188.096690 188.096690
91 74.263873 74.263873 176.873873 176.873873
95 74.263068 74.263068 176.873068 176.873068
151 70.738281 70.738281 173.348281 173.348281
160 70.738127 70.738127 173.348127 173.348127
381 63.660397 63.660397 166.270397 166.270397
382 63.651418 63.651418 166.261418 166.261418
657 43.876430 43.876430 146.486430 146.486430
659 38.659196 38.659196 141.269196 141.269196
664 30.926710 30.926710 133.536710 133.536710
1441 30.921097 30.921097 133.531097 133.531097
135000 262.523617 30.921097 262.523617 133.531097
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 84.258071 84.258071 186.868071 186.868071
2 84.250895 84.250895 186.860895 186.860895
161 75.632649 75.632649 178.242649 178.242649
162 75.628459 75.628459 178.238459 178.238459
163 75.628303 75.628303 178.238303 178.238303
211 68.514576 68.514576 171.124576 171.124576
212 68.505294 68.505294 171.115294 171.115294
508 52.388539 52.388539 154.998539 154.998539
513 51.931326 51.931326 154.541326 154.541326
1351 51.926364 51.926364 154.536364 154.536364
2126 35.043357 35.043357 137.653357 137.653357
2861 35.043340 35.043340 137.653340 137.653340
2863 35.042679 35.042679 137.652679 137.652679
2865 35.040258 35.040258 137.650258 137.650258
135000 190.879489 35.040258 190.879489 137.650258
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 148.077753 148.077753 241.377753 241.377753
3 148.077588 148.077588 241.377588 241.377588
7 148.076789 148.076789 241.376789 241.376789
21 106.385472 106.385472 199.685472 199.685472
22 106.379131 106.379131 199.679131 199.679131
23 106.376972 106.376972 199.676972 199.676972
71 71.935405 71.935405 165.235405 165.235405
73 71.931681 71.931681 165.231681 165.231681
291 49.872272 49.872272 143.172272 143.172272
292 49.866516 49.866516 143.166516 143.166516
293 49.861425 49.861425 143.161425 143.161425
1005 44.452840 44.452840 137.752840 137.752840
1641 44.451584 44.451584 137.751584 137.751584
1644 44.451353 44.451353 137.751353 137.751353
135000 173.232538 44.451353 173.232538 137.751353
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 162.429538 162.429538 255.729538 255.729538
4 162.427522 162.427522 255.727522 255.727522
31 103.041153 103.041153 196.341153 196.341153
32 103.035865 103.035865 196.335865 196.335865
33 103.035285 103.035285 196.335285 196.335285
41 91.556110 91.556110 184.856110 184.856110
43 91.554237 91.554237 184.854237 184.854237
81 76.982405 76.982405 170.282405 170.282405
84 76.977961 76.977961 170.277961 170.277961
311 75.894932 75.894932 169.194932 169.194932
312 75.890200 75.890200 169.190200 169.190200
313 75.883312 75.883312 169.183312 169.183312
421 41.791084 41.791084 135.091084 135.091084
2488 36.819550 36.819550 130.119550 130.119550
3071 36.819498 36.819498 130.119498 130.119498
3073 36.818391 36.818391 130.118391 130.118391
135000 173.232538 36.818391 173.232538 130.118391
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 134.569069 134.569069 227.869069 227.869069
4 134.566293 134.566293 227.866293 227.866293
21 126.863219 126.863219 220.163219 220.163219
25 126.863214 126.863214 220.163214 220.163214
31 107.767699 107.767699 201.067699 201.067699
32 107.764691 107.764691 201.064691 201.064691
37 107.764022 107.764022 201.064022 201.064022
51 83.660182 83.660182 176.960182 176.960182
54 83.659211 83.659211 176.959211 176.959211
91 71.175102 71.175102 164.475102 164.475102
231 66.619004 66.619004 159.919004 159.919004
232 66.618959 66.618959 159.918959 159.918959
234 66.618152 66.618152 159.918152 159.918152
561 57.097154 57.097154 150.397154 150.397154
931 53.624415 53.624415 146.924415 146.924415
963 51.421295 51.421295 144.721295 144.721295
1621 51.419249 51.419249 144.719249 144.719249
1623 51.417121 51.417121 144.717121 144.717121
1936 50.302307 50.302307 143.602307 143.602307
1946 47.460462 47.460462 140.760462 140.760462
2752 47.459379 47.459379 140.759379 140.759379
2758 47.459218 47.459218 140.759218 140.759218
2759 47.458610 47.458610 140.758610 140.758610
135000 206.818103 47.458610 206.818103 140.758610
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 104.108045 104.108045 117.748045 117.748045
4 104.106823 104.106823 117.746823 117.746823
6 104.106385 104.106385 117.746385 117.746385
81 91.270732 91.270732 104.910732 104.910732
83 91.269834 91.269834 104.909834 104.909834
86 91.267844 91.267844 104.907844 104.907844
241 66.398951 66.398951 80.038951 80.038951
244 66.397285 66.397285 80.037285 80.037285
245 66.396713 66.396713 80.036713 80.036713
650 49.041659 49.041659 62.681659 62.681659
919 44.966108 44.966108 58.606108 58.606108
948 44.903481 44.903481 58.543481 58.543481
952 43.352549 43.352549 56.992549 56.992549
1612 43.352484 43.352484 56.992484 56.992484
1614 43.350960 43.350960 56.990960 56.990960
1619 43.350061 43.350061 56.990061 56.990061
135000 209.239065 43.350061 209.239065 56.990061
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.210721 82.210721 95.850721 95.850721
51 69.420634 69.420634 83.060634 83.060634
52 69.417682 69.417682 83.057682 83.057682
59 69.416988 69.416988 83.056988 83.056988
181 56.246454 56.246454 69.886454 69.886454
184 56.245636 56.245636 69.885636 69.885636
186 56.244965 56.244965 69.884965 69.884965
421 50.787157 50.787157 64.427157 64.427157
424 50.784238 50.784238 64.424238 64.424238
812 38.471195 38.471195 52.111195 52.111195
1096 37.022713 37.022713 50.662713 50.662713
1701 37.021097 37.021097 50.661097 50.661097
1704 37.018430 37.018430 50.658430 50.658430
