"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 500.257387 500.257387 38.167387 38.167387
2 500.257205 500.257205 38.167205 38.167205
3 500.256772 500.256772 38.166772 38.166772
10 500.256108 500.256108 38.166108 38.166108
11 386.644596 386.644596 -75.445404 -75.445404
12 386.643928 386.643928 -75.446072 -75.446072
16 386.643767 386.643767 -75.446233 -75.446233
20 386.643280 386.643280 -75.446720 -75.446720
21 266.209201 266.209201 -195.880799 -195.880799
24 266.209140 266.209140 -195.880860 -195.880860
28 266.208938 266.208938 -195.881062 -195.881062
41 238.935962 238.935962 -223.154038 -223.154038
42 238.935608 238.935608 -223.154392 -223.154392
44 238.935480 238.935480 -223.154520 -223.154520
45 238.935464 238.935464 -223.154536 -223.154536
47 238.933589 238.933589 -223.156411 -223.156411
71 193.436312 193.436312 -268.653688 -268.653688
74 193.436057 193.436057 -268.653943 -268.653943
78 193.436039 193.436039 -268.653961 -268.653961
80 193.434901 193.434901 -268.655099 -268.655099
231 101.948719 101.948719 -360.141281 -360.141281
236 101.948635 101.948635 -360.141365 -360.141365
238 101.948416 101.948416 -360.141584 -360.141584
240 101.947324 101.947324 -360.142676 -360.142676
896 99.778126 99.778126 -362.311874 -362.311874
897 91.050087 91.050087 -371.039913 -371.039913
898 84.611736 84.611736 -377.478264 -377.478264
901 80.180436 80.180436 -381.909564 -381.909564
1581 80.180125 80.180125 -381.909875 -381.909875
1585 80.179690 80.179690 -381.910310 -381.910310
1589 80.179572 80.179572 -381.910428 -381.910428
2185 78.596311 78.596311 -383.493689 -383.493689
2892 78.596011 78.596011 -383.493989 -383.493989
2894 78.595864 78.595864 -383.494136 -383.494136
2898 78.595200 78.595200 -383.494800 -383.494800
3289 74.215203 74.215203 -387.874797 -387.874797
4101 74.215172 74.215172 -387.874828 -387.874828
4103 74.215129 74.215129 -387.874871 -387.874871
4105 74.214596 74.214596 -387.875404 -387.875404
4108 74.214580 74.214580 -387.875420 -387.875420
76123 62.919427 62.919427 -399.170573 -399.170573
76963 62.919352 62.919352 -399.170648 -399.170648
76965 62.918930 62.918930 -399.171070 -399.171070
76967 62.918830 62.918830 -399.171170 -399.171170
84579 52.805434 52.805434 -409.284566 -409.284566
85272 52.805185 52.805185 -409.284815 -409.284815
85275 52.805066 52.805066 -409.284934 -409.284934
85278 52.804590 52.804590 -409.285410 -409.285410
135000 236.420701 52.804590 236.420701 -409.285410
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 239.836257 239.836257 -222.253743 -222.253743
2 239.836175 239.836175 -222.253825 -222.253825
3 239.835953 239.835953 -222.254047 -222.254047
6 239.835868 239.835868 -222.254132 -222.254132
8 239.835218 239.835218 -222.254782 -222.254782
21 128.708672 128.708672 -333.381328 -333.381328
22 128.708126 128.708126 -333.381874 -333.381874
25 128.707638 128.707638 -333.382362 -333.382362
161 90.702742 90.702742 -371.387258 -371.387258
162 90.702146 90.702146 -371.387854 -371.387854
164 90.702038 90.702038 -371.387962 -371.387962
166 90.701919 90.701919 -371.388081 -371.388081
167 90.701241 90.701241 -371.388759 -371.388759
251 83.757392 83.757392 -378.332608 -378.332608
252 83.757277 83.757277 -378.332723 -378.332723
253 83.757000 83.757000 -378.333000 -378.333000
260 83.755895 83.755895 -378.334105 -378.334105
535 50.159363 50.159363 -411.930637 -411.930637
537 48.264031 48.264031 -413.825969 -413.825969
780 31.992957 31.992957 -430.097043 -430.097043
931 19.251679 19.251679 -442.838321 -442.838321
1601 19.251642 19.251642 -442.838358 -442.838358
1603 19.251574 19.251574 -442.838426 -442.838426
1606 19.251475 19.251475 -442.838525 -442.838525
1608 19.250745 19.250745 -442.839255 -442.839255
135000 442.574543 19.250745 442.574543 -442.839255
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 148.509819 148.509819 -313.580181 -313.580181
2 148.509524 148.509524 -313.580476 -313.580476
3 148.509284 148.509284 -313.580716 -313.580716
6 148.508798 148.508798 -313.581202 -313.581202
31 56.904663 56.904663 -405.185337 -405.185337
37 56.904234 56.904234 -405.185766 -405.185766
552 51.522225 51.522225 -410.567775 -410.567775
560 37.081071 37.081071 -425.008929 -425.008929
1381 37.080829 37.080829 -425.009171 -425.009171
1386 37.080476 37.080476 -425.009524 -425.009524
1390 37.080476 37.080476 -425.009524 -425.009524
87523 32.840087 32.840087 -429.249913 -429.249913
88111 32.839779 32.839779 -429.250221 -429.250221
88116 32.839333 32.839333 -429.250667 -429.250667
135000 345.590403 32.839333 345.590403 -429.250667
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3894.256218 3894.256218 3971.916218 3971.916218
2 3894.255719 3894.255719 3971.915719 3971.915719
3 3894.255699 3894.255699 3971.915699 3971.915699
5 3894.254980 3894.254980 3971.914980 3971.914980
9 3894.235712 3894.235712 3971.895712 3971.895712
11 146.926122 146.926122 224.586122 224.586122
14 146.925870 146.925870 224.585870 224.585870
20 146.925167 146.925167 224.585167 224.585167
41 124.518935 124.518935 202.178935 202.178935
42 124.518427 124.518427 202.178427 202.178427
46 124.518267 124.518267 202.178267 202.178267
49 124.517483 124.517483 202.177483 202.177483
91 96.439588 96.439588 174.099588 174.099588
92 96.439179 96.439179 174.099179 174.099179
94 96.439145 96.439145 174.099145 174.099145
95 96.438927 96.438927 174.098927 174.098927
97 96.438457 96.438457 174.098457 174.098457
99 96.436874 96.436874 174.096874 174.096874
341 57.925555 57.925555 135.585555 135.585555
342 57.925468 57.925468 135.585468 135.585468
344 57.924851 57.924851 135.584851 135.584851
348 57.924735 57.924735 135.584735 135.584735
657 53.906080 53.906080 131.566080 131.566080
658 44.797650 44.797650 122.457650 122.457650
1086 31.135920 31.135920 108.795920 108.795920
1692 31.135557 31.135557 108.795557 108.795557
1696 31.134899 31.134899 108.794899 108.794899
58704 22.520077 22.520077 100.180077 100.180077
59491 22.519838 22.519838 100.179838 100.179838
59496 22.519812 22.519812 100.179812 100.179812
135000 207.704359 22.519812 207.704359 100.179812
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 250.853836 250.853836 328.513836 328.513836
3 250.853548 250.853548 328.513548 328.513548
6 250.853224 250.853224 328.513224 328.513224
10 250.853205 250.853205 328.513205 328.513205
11 171.150324 171.150324 248.810324 248.810324
12 171.150170 171.150170 248.810170 248.810170
14 171.150117 171.150117 248.810117 248.810117
15 171.149204 171.149204 248.809204 248.809204
101 105.477605 105.477605 183.137605 183.137605
102 105.477322 105.477322 183.137322 183.137322
103 105.476653 105.476653 183.136653 183.136653
109 105.476634 105.476634 183.136634 183.136634
671 93.309353 93.309353 170.969353 170.969353
673 77.273094 77.273094 154.933094 154.933094
674 66.414852 66.414852 144.074852 144.074852
1451 66.414750 66.414750 144.074750 144.074750
1453 66.414067 66.414067 144.074067 144.074067
2421 51.869983 51.869983 129.529983 129.529983
3032 51.869727 51.869727 129.529727 129.529727
3038 51.868893 51.868893 129.528893 129.528893
3561 39.717030 39.717030 117.377030 117.377030
4264 39.716620 39.716620 117.376620 117.376620
4269 39.716139 39.716139 117.376139 117.376139
135000 240.249705 39.716139 240.249705 117.376139
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2672.104838 2672.104838 2749.764838 2749.764838
3 2672.104445 2672.104445 2749.764445 2749.764445
9 2672.099088 2672.099088 2749.759088 2749.759088
11 1580.917779 1580.917779 1658.577779 1658.577779
18 1580.917181 1580.917181 1658.577181 1658.577181
19 1580.908610 1580.908610 1658.568610 1658.568610
21 261.904127 261.904127 339.564127 339.564127
24 261.903810 261.903810 339.563810 339.563810
26 261.903671 261.903671 339.563671 339.563671
51 186.600146 186.600146 264.260146 264.260146
54 186.599963 186.599963 264.259963 264.259963
151 74.498868 74.498868 152.158868 152.158868
155 74.498027 74.498027 152.158027 152.158027
241 68.105631 68.105631 145.765631 145.765631
243 68.105575 68.105575 145.765575 145.765575
248 68.105482 68.105482 145.765482 145.765482
250 68.104914 68.104914 145.764914 145.764914
759 66.699058 66.699058 144.359058 144.359058
760 64.837861 64.837861 142.497861 142.497861
909 41.459730 41.459730 119.119730 119.119730
913 36.449741 36.449741 114.109741 114.109741
915 33.525595 33.525595 111.185595 111.185595
921 31.904671 31.904671 109.564671 109.564671
1592 31.904261 31.904261 109.564261 109.564261
1598 31.904258 31.904258 109.564258 109.564258
1599 31.903575 31.903575 109.563575 109.563575
135000 170.588151 31.903575 170.588151 109.563575
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7828.386873 7828.386873 7944.066873 7944.066873
5 7828.385902 7828.385902 7944.065902 7944.065902
9 7828.378238 7828.378238 7944.058238 7944.058238
11 475.375934 475.375934 591.055934 591.055934
13 475.375783 475.375783 591.055783 591.055783
16 475.375436 475.375436 591.055436 591.055436
19 475.373727 475.373727 591.053727 591.053727
41 217.024836 217.024836 332.704836 332.704836
43 217.024777 217.024777 332.704777 332.704777
45 217.024415 217.024415 332.704415 332.704415
48 217.024206 217.024206 332.704206 332.704206
50 217.023722 217.023722 332.703722 332.703722
61 109.707625 109.707625 225.387625 225.387625
63 109.707584 109.707584 225.387584 225.387584
