"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 254.300419 254.300419 -207.789581 -207.789581
2 254.300225 254.300225 -207.789775 -207.789775
3 254.300163 254.300163 -207.789837 -207.789837
5 254.299971 254.299971 -207.790029 -207.790029
9 254.299709 254.299709 -207.790291 -207.790291
281 171.873460 171.873460 -290.216540 -290.216540
288 171.873072 171.873072 -290.216928 -290.216928
290 171.872465 171.872465 -290.217535 -290.217535
311 133.976576 133.976576 -328.113424 -328.113424
313 133.976553 133.976553 -328.113447 -328.113447
316 133.976307 133.976307 -328.113693 -328.113693
318 133.976291 133.976291 -328.113709 -328.113709
441 106.356016 106.356016 -355.733984 -355.733984
442 106.355341 106.355341 -355.734659 -355.734659
443 106.355278 106.355278 -355.734722 -355.734722
445 106.355173 106.355173 -355.734827 -355.734827
447 106.354367 106.354367 -355.735633 -355.735633
895 105.967796 105.967796 -356.122204 -356.122204
1249 63.521746 63.521746 -398.568254 -398.568254
1791 63.521741 63.521741 -398.568259 -398.568259
1793 63.521409 63.521409 -398.568591 -398.568591
1800 63.520671 63.520671 -398.569329 -398.569329
3600 43.827578 43.827578 -418.262422 -418.262422
4282 43.827548 43.827548 -418.262452 -418.262452
4285 43.827079 43.827079 -418.262921 -418.262921
135000 744.154521 43.827079 744.154521 -418.262921
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 337.554094 337.554094 -124.535906 -124.535906
4 337.554093 337.554093 -124.535907 -124.535907
5 337.550231 337.550231 -124.539769 -124.539769
9 337.544642 337.544642 -124.545358 -124.545358
31 138.830391 138.830391 -323.259609 -323.259609
32 138.829784 138.829784 -323.260216 -323.260216
34 138.829689 138.829689 -323.260311 -323.260311
40 138.828965 138.828965 -323.261035 -323.261035
211 83.696512 83.696512 -378.393488 -378.393488
212 83.693502 83.693502 -378.396498 -378.396498
2470 80.107588 80.107588 -381.982412 -381.982412
3061 80.107390 80.107390 -381.982610 -381.982610
3068 80.106969 80.106969 -381.983031 -381.983031
3069 80.106686 80.106686 -381.983314 -381.983314
3825 61.440491 61.440491 -400.649509 -400.649509
4411 61.440442 61.440442 -400.649558 -400.649558
4413 61.439713 61.439713 -400.650287 -400.650287
4417 61.439176 61.439176 -400.650824 -400.650824
135000 814.591262 61.439176 814.591262 -400.650824
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 232.307102 232.307102 -229.782898 -229.782898
3 232.306977 232.306977 -229.783023 -229.783023
5 232.302730 232.302730 -229.787270 -229.787270
61 158.422110 158.422110 -303.667890 -303.667890
62 158.422090 158.422090 -303.667910 -303.667910
64 158.421507 158.421507 -303.668493 -303.668493
211 121.187465 121.187465 -340.902535 -340.902535
213 121.187393 121.187393 -340.902607 -340.902607
219 121.187375 121.187375 -340.902625 -340.902625
858 117.108310 117.108310 -344.981690 -344.981690
860 94.563347 94.563347 -367.526653 -367.526653
1045 66.650537 66.650537 -395.439463 -395.439463
1049 45.450915 45.450915 -416.639085 -416.639085
1671 45.450773 45.450773 -416.639227 -416.639227
1674 45.450436 45.450436 -416.639564 -416.639564
1676 45.450405 45.450405 -416.639595 -416.639595
2406 39.004218 39.004218 -423.085782 -423.085782
3022 39.003912 39.003912 -423.086088 -423.086088
3030 39.003494 39.003494 -423.086506 -423.086506
135000 880.187844 39.003494 880.187844 -423.086506
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4127.289649 4127.289649 4204.949649 4204.949649
2 4127.289151 4127.289151 4204.949151 4204.949151
5 4127.277636 4127.277636 4204.937636 4204.937636
11 1813.853574 1813.853574 1891.513574 1891.513574
12 1813.852895 1813.852895 1891.512895 1891.512895
15 1813.838713 1813.838713 1891.498713 1891.498713
21 612.692740 612.692740 690.352740 690.352740
27 612.692636 612.692636 690.352636 690.352636
29 612.692432 612.692432 690.352432 690.352432
51 131.825195 131.825195 209.485195 209.485195
52 131.824799 131.824799 209.484799 209.484799
59 131.824055 131.824055 209.484055 209.484055
81 59.071402 59.071402 136.731402 136.731402
82 59.071064 59.071064 136.731064 136.731064
85 59.070896 59.070896 136.730896 136.730896
87 59.070858 59.070858 136.730858 136.730858
89 59.070038 59.070038 136.730038 136.730038
135000 330.473747 59.070038 330.473747 136.730038
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3391.348538 3391.348538 3469.008538 3469.008538
2 3391.347971 3391.347971 3469.007971 3469.007971
5 3391.344908 3391.344908 3469.004908 3469.004908
9 3391.341386 3391.341386 3469.001386 3469.001386
11 518.293821 518.293821 595.953821 595.953821
