"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 102678.359052 102678.359052 102714.259052 102714.259052
4 102678.197267 102678.197267 102714.097267 102714.097267
81 29898.766424 29898.766424 29934.666424 29934.666424
151 156.837826 156.837826 192.737826 192.737826
152 156.837204 156.837204 192.737204 192.737204
351 101.355659 101.355659 137.255659 137.255659
352 101.355421 101.355421 137.255421 137.255421
391 45.060501 45.060501 80.960501 80.960501
392 45.060328 45.060328 80.960328 80.960328
1164 23.400973 23.400973 59.300973 59.300973
1742 23.400954 23.400954 59.300954 59.300954
2518 12.398094 12.398094 48.298094 48.298094
3092 12.398084 12.398084 48.298084 48.298084
6156 11.684840 11.684840 47.584840 47.584840
6280 11.160524 11.160524 47.060524 47.060524
6281 8.465618 8.465618 44.365618 44.365618
6572 6.917906 6.917906 42.817906 42.817906
7142 6.917896 6.917896 42.817896 42.817896
7150 6.917893 6.917893 42.817893 42.817893
10216 6.011283 6.011283 41.911283 41.911283
10952 6.011238 6.011238 41.911238 41.911238
13314 3.415587 3.415587 39.315587 39.315587
13892 3.415578 3.415578 39.315578 39.315578
13895 3.415575 3.415575 39.315575 39.315575
13900 3.415564 3.415564 39.315564 39.315564
22390 3.116186 3.116186 39.016186 39.016186
23122 3.116158 3.116158 39.016158 39.016158
27586 2.761703 2.761703 38.661703 38.661703
28402 2.761690 2.761690 38.661690 38.661690
28410 2.761687 2.761687 38.661687 38.661687
30235 1.261269 1.261269 37.161269 37.161269
31072 1.261269 1.261269 37.161269 37.161269
31073 1.261265 1.261265 37.161265 37.161265
31080 1.261249 1.261249 37.161249 37.161249
41038 1.018205 1.018205 36.918205 36.918205
41872 1.018203 1.018203 36.918203 36.918203
41873 1.018201 1.018201 36.918201 36.918201
41880 1.018175 1.018175 36.918175 36.918175
51891 0.514973 0.514973 36.414973 36.414973
52702 0.514951 0.514951 36.414951 36.414951
68709 0.170571 0.170571 36.070571 36.070571
69262 0.170564 0.170564 36.070564 36.070564
74104 0.136973 0.136973 36.036973 36.036973
74662 0.136970 0.136970 36.036970 36.036970
74670 0.136969 0.136969 36.036969 36.036969
80856 0.080916 0.080916 35.980916 35.980916
81412 0.080915 0.080915 35.980915 35.980915
82205 0.079712 0.079712 35.979712 35.979712
82207 0.077836 0.077836 35.977836 35.977836
82762 0.077834 0.077834 35.977834 35.977834
82770 0.077834 0.077834 35.977834 35.977834
101107 0.053179 0.053179 35.953179 35.953179
101662 0.053174 0.053174 35.953174 35.953174
101670 0.053174 0.053174 35.953174 35.953174
135000 1955.641509 0.053174 1955.641509 35.953174
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 101825.916871 101825.916871 101861.816871 101861.816871
21 33550.632028 33550.632028 33586.532028 33586.532028
22 33550.611922 33550.611922 33586.511922 33586.511922
25 33550.610828 33550.610828 33586.510828 33586.510828
29 33550.591936 33550.591936 33586.491936 33586.491936
161 29024.938083 29024.938083 29060.838083 29060.838083
162 29024.819432 29024.819432 29060.719432 29060.719432
165 29024.812959 29024.812959 29060.712959 29060.712959
169 29024.701415 29024.701415 29060.601415 29060.601415
281 406.470314 406.470314 442.370314 442.370314
284 406.470047 406.470047 442.370047 442.370047
286 406.467782 406.467782 442.367782 442.367782
287 406.467607 406.467607 442.367607 442.367607
289 406.466593 406.466593 442.366593 442.366593
381 117.804785 117.804785 153.704785 153.704785
382 117.804658 117.804658 153.704658 153.704658
1147 111.711338 111.711338 147.611338 147.611338
1149 88.898647 88.898647 124.798647 124.798647
1158 85.529690 85.529690 121.429690 121.429690
1283 70.875913 70.875913 106.775913 106.775913
1286 68.313772 68.313772 104.213772 104.213772
1291 66.681208 66.681208 102.581208 102.581208
1812 66.681160 66.681160 102.581160 102.581160
