"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9884.887276 9884.887276 10034.037276 10034.037276
2 9884.887159 9884.887159 10034.037159 10034.037159
4 9884.886497 9884.886497 10034.036497 10034.036497
6 9884.832159 9884.832159 10033.982159 10033.982159
21 4016.185294 4016.185294 4165.335294 4165.335294
22 4016.181938 4016.181938 4165.331938 4165.331938
23 4016.150992 4016.150992 4165.300992 4165.300992
251 3488.468154 3488.468154 3637.618154 3637.618154
252 3488.467187 3488.467187 3637.617187 3637.617187
254 3488.466877 3488.466877 3637.616877 3637.616877
255 3488.451226 3488.451226 3637.601226 3637.601226
535 703.478288 703.478288 852.628288 852.628288
542 603.304491 603.304491 752.454491 752.454491
1372 603.302601 603.302601 752.452601 752.452601
1373 603.295906 603.295906 752.445906 752.445906
1907 424.929755 424.929755 574.079755 574.079755
1910 379.290845 379.290845 528.440845 528.440845
2029 267.157326 267.157326 416.307326 416.307326
2801 267.155195 267.155195 416.305195 416.305195
135000 149259.938950 267.155195 149259.938950 416.305195
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 30919.670649 30919.670649 31068.820649 31068.820649
2 30919.486736 30919.486736 31068.636736 31068.636736
71 13887.429378 13887.429378 14036.579378 14036.579378
72 13887.428147 13887.428147 14036.578147 14036.578147
74 13887.425138 13887.425138 14036.575138 14036.575138
75 13887.373286 13887.373286 14036.523286 14036.523286
121 7981.556932 7981.556932 8130.706932 8130.706932
123 7981.529641 7981.529641 8130.679641 8130.679641
281 401.217493 401.217493 550.367493 550.367493
282 401.216409 401.216409 550.366409 550.366409
283 401.214659 401.214659 550.364659 550.364659
287 401.213147 401.213147 550.363147 550.363147
977 112.091911 112.091911 261.241911 261.241911
982 109.213549 109.213549 258.363549 258.363549
985 61.706543 61.706543 210.856543 210.856543
1631 61.706112 61.706112 210.856112 210.856112
1634 61.705827 61.705827 210.855827 210.855827
135000 149259.938950 61.705827 149259.938950 210.855827
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 179799.244300 179799.244300 179948.394300 179948.394300
2 179799.101417 179799.101417 179948.251417 179948.251417
3 179799.032885 179799.032885 179948.182885 179948.182885
5 179798.787362 179798.787362 179947.937362 179947.937362
11 110231.419374 110231.419374 110380.569374 110380.569374
15 110231.075714 110231.075714 110380.225714 110380.225714
21 103813.617894 103813.617894 103962.767894 103962.767894
22 103813.498287 103813.498287 103962.648287 103962.648287
25 103813.248282 103813.248282 103962.398282 103962.398282
51 7250.558441 7250.558441 7399.708441 7399.708441
54 7250.556440 7250.556440 7399.706440 7399.706440
55 7250.513209 7250.513209 7399.663209 7399.663209
381 5275.884057 5275.884057 5425.034057 5425.034057
383 5275.845220 5275.845220 5424.995220 5424.995220
586 1458.329642 1458.329642 1607.479642 1607.479642
593 1366.211220 1366.211220 1515.361220 1515.361220
1402 1366.210853 1366.210853 1515.360853 1515.360853
1404 1366.208594 1366.208594 1515.358594 1515.358594
1405 1366.193805 1366.193805 1515.343805 1515.343805
2147 1245.276151 1245.276151 1394.426151 1394.426151
2159 577.294549 577.294549 726.444549 726.444549
2164 568.235846 568.235846 717.385846 717.385846
2166 326.652740 326.652740 475.802740 475.802740
2882 326.652304 326.652304 475.802304 475.802304
2884 326.652206 326.652206 475.802206 475.802206
2885 326.649718 326.649718 475.799718 475.799718
135000 115032.983902 326.649718 115032.983902 475.799718
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 354388.842160 354388.842160 353388.842160 353388.842160
7 354388.714173 354388.714173 353388.714173 353388.714173
11 326286.918446 326286.918446 325286.918446 325286.918446
21 5460.852732 5460.852732 4460.852732 4460.852732
23 5460.843308 5460.843308 4460.843308 4460.843308
27 5460.830977 5460.830977 4460.830977 4460.830977
241 218.539974 218.539974 -781.460026 -781.460026
242 218.539658 218.539658 -781.460342 -781.460342
244 218.539185 218.539185 -781.460815 -781.460815
246 218.538640 218.538640 -781.461360 -781.461360
247 218.535915 218.535915 -781.464085 -781.464085
909 86.320329 86.320329 -913.679671 -913.679671
917 33.432287 33.432287 -966.567713 -966.567713
1591 33.431265 33.431265 -966.568735 -966.568735
135000 94481.596699 33.431265 94481.596699 -966.568735
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 236600.393136 236600.393136 235600.393136 235600.393136
11 112056.987831 112056.987831 111056.987831 111056.987831
14 112056.986899 112056.986899 111056.986899 111056.986899
15 112056.957422 112056.957422 111056.957422 111056.957422
17 112056.603115 112056.603115 111056.603115 111056.603115
31 7129.480362 7129.480362 6129.480362 6129.480362
41 4906.537527 4906.537527 3906.537527 3906.537527
44 4906.524799 4906.524799 3906.524799 3906.524799
554 2615.582520 2615.582520 1615.582520 1615.582520
560 2080.482880 2080.482880 1080.482880 1080.482880
571 1426.495292 1426.495292 426.495292 426.495292
576 922.718007 922.718007 -77.281993 -77.281993
1391 922.715498 922.715498 -77.284502 -77.284502
1394 922.713116 922.713116 -77.286884 -77.286884
1395 922.712737 922.712737 -77.287263 -77.287263
3223 828.986609 828.986609 -171.013391 -171.013391
3293 534.021518 534.021518 -465.978482 -465.978482
4103 534.012503 534.012503 -465.987497 -465.987497
135000 82933.299724 534.012503 82933.299724 -465.987497
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73228.234883 73228.234883 72228.234883 72228.234883
11 51700.581269 51700.581269 50700.581269 50700.581269
21 24540.525649 24540.525649 23540.525649 23540.525649
27 24540.513138 24540.513138 23540.513138 23540.513138
51 9634.614653 9634.614653 8634.614653 8634.614653
