"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 41422.083564 41422.083564 41545.913564 41545.913564
5 41422.039274 41422.039274 41545.869274 41545.869274
21 7098.167072 7098.167072 7221.997072 7221.997072
23 7098.163426 7098.163426 7221.993426 7221.993426
25 7098.149987 7098.149987 7221.979987 7221.979987
131 3714.857134 3714.857134 3838.687134 3838.687134
132 3714.853569 3714.853569 3838.683569 3838.683569
133 3714.842476 3714.842476 3838.672476 3838.672476
138 3714.836686 3714.836686 3838.666686 3838.666686
535 2848.504482 2848.504482 2972.334482 2972.334482
537 1720.022945 1720.022945 1843.852945 1843.852945
544 1343.253593 1343.253593 1467.083593 1467.083593
722 964.997363 964.997363 1088.827363 1088.827363
731 956.169266 956.169266 1079.999266 1079.999266
1274 912.460175 912.460175 1036.290175 1036.290175
1278 911.940686 911.940686 1035.770686 1035.770686
1801 911.935953 911.935953 1035.765953 1035.765953
1807 911.933001 911.933001 1035.763001 1035.763001
1896 772.657086 772.657086 896.487086 896.487086
2093 689.243700 689.243700 813.073700 813.073700
2094 123.373672 123.373672 247.203672 247.203672
2841 123.373433 123.373433 247.203433 247.203433
2844 123.372583 123.372583 247.202583 247.202583
2850 123.372038 123.372038 247.202038 247.202038
3244 118.218261 118.218261 242.048261 242.048261
4072 118.217817 118.217817 242.047817 242.047817
4073 118.217420 118.217420 242.047420 242.047420
4076 118.216897 118.216897 242.046897 242.046897
8647 79.590756 79.590756 203.420756 203.420756
9476 79.590574 79.590574 203.420574 203.420574
9478 79.589985 79.589985 203.419985 203.419985
9479 79.589085 79.589085 203.419085 203.419085
135000 14641.816380 79.589085 14641.816380 203.419085
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 106318.252302 106318.252302 106442.082302 106442.082302
2 106317.802329 106317.802329 106441.632329 106441.632329
11 51514.558394 51514.558394 51638.388394 51638.388394
13 51514.521541 51514.521541 51638.351541 51638.351541
15 51514.442515 51514.442515 51638.272515 51638.272515
31 11279.738590 11279.738590 11403.568590 11403.568590
37 11279.715292 11279.715292 11403.545292 11403.545292
101 6895.818773 6895.818773 7019.648773 7019.648773
102 6895.771422 6895.771422 7019.601422 7019.601422
105 6895.769032 6895.769032 7019.599032 7019.599032
201 3886.082612 3886.082612 4009.912612 4009.912612
202 3886.056060 3886.056060 4009.886060 4009.886060
204 3886.053987 3886.053987 4009.883987 4009.883987
206 3886.046193 3886.046193 4009.876193 4009.876193
451 1504.086584 1504.086584 1627.916584 1627.916584
453 1504.082714 1504.082714 1627.912714 1627.912714
682 1302.073953 1302.073953 1425.903953 1425.903953
843 1141.420671 1141.420671 1265.250671 1265.250671
844 1121.848252 1121.848252 1245.678252 1245.678252
845 1110.011320 1110.011320 1233.841320 1233.841320
847 981.285953 981.285953 1105.115953 1105.115953
849 705.884048 705.884048 829.714048 829.714048
1266 475.751903 475.751903 599.581903 599.581903
1268 316.752596 316.752596 440.582596 440.582596
1269 243.009750 243.009750 366.839750 366.839750
1802 243.009250 243.009250 366.839250 366.839250
1803 243.009061 243.009061 366.839061 366.839061
1809 243.008314 243.008314 366.838314 366.838314
8884 203.004658 203.004658 326.834658 326.834658
9611 203.004472 203.004472 326.834472 326.834472
9616 203.002193 203.002193 326.832193 326.832193
