"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 276.971342 276.971342 267.761342 267.761342
2 252.228146 252.228146 243.018146 243.018146
5 251.283031 251.283031 242.073031 242.073031
32 232.048416 232.048416 222.838416 222.838416
40 176.854647 176.854647 167.644647 167.644647
410 167.814307 167.814307 158.604307 158.604307
501 284.689116 167.814307 284.689116 158.604307
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 355.103481 355.103481 345.893481 345.893481
4 239.961931 239.961931 230.751931 230.751931
7 224.299280 224.299280 215.089280 215.089280
23 216.594102 216.594102 207.384102 207.384102
48 211.747041 211.747041 202.537041 202.537041
88 199.026125 199.026125 189.816125 189.816125
116 195.101738 195.101738 185.891738 185.891738
183 189.091501 189.091501 179.881501 179.881501
240 187.241042 187.241042 178.031042 178.031042
332 182.440161 182.440161 173.230161 173.230161
489 147.360727 147.360727 138.150727 138.150727
501 271.916675 147.360727 271.916675 138.150727
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 268.122980 268.122980 258.912980 258.912980
3 254.800994 254.800994 245.590994 245.590994
4 212.004834 212.004834 202.794834 202.794834
46 204.456870 204.456870 195.246870 195.246870
273 194.089695 194.089695 184.879695 184.879695
274 165.357691 165.357691 156.147691 156.147691
501 322.099034 165.357691 322.099034 156.147691
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 369.066796 369.066796 359.856796 359.856796
2 260.912363 260.912363 251.702363 251.702363
3 218.166843 218.166843 208.956843 208.956843
20 212.609819 212.609819 203.399819 203.399819
24 201.680913 201.680913 192.470913 192.470913
129 184.688243 184.688243 175.478243 175.478243
280 184.208926 184.208926 174.998926 174.998926
501 383.861481 184.208926 383.861481 174.998926
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 283.780825 283.780825 274.570825 274.570825
2 250.646588 250.646588 241.436588 241.436588
19 206.392814 206.392814 197.182814 197.182814
25 199.427517 199.427517 190.217517 190.217517
119 172.188899 172.188899 162.978899 162.978899
137 169.954984 169.954984 160.744984 160.744984
211 144.950741 144.950741 135.740741 135.740741
501 331.486999 144.950741 331.486999 135.740741
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 257.657171 257.657171 248.447171 248.447171
18 236.789387 236.789387 227.579387 227.579387
24 232.925574 232.925574 223.715574 223.715574
56 164.254513 164.254513 155.044513 155.044513
501 373.126710 164.254513 373.126710 155.044513
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 319.089655 319.089655 309.879655 309.879655
3 295.555357 295.555357 286.345357 286.345357
5 291.336579 291.336579 282.126579 282.126579
6 195.263451 195.263451 186.053451 186.053451
240 186.185271 186.185271 176.975271 176.975271
398 170.173410 170.173410 160.963410 160.963410
501 223.762454 170.173410 223.762454 160.963410
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 258.153813 258.153813 248.943813 248.943813
10 228.098042 228.098042 218.888042 218.888042
55 212.469659 212.469659 203.259659 203.259659
90 202.001304 202.001304 192.791304 192.791304
180 195.311688 195.311688 186.101688 186.101688
219 166.901641 166.901641 157.691641 157.691641
501 400.755695 166.901641 400.755695 157.691641
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 367.811675 367.811675 358.601675 358.601675
2 269.707277 269.707277 260.497277 260.497277
8 231.372687 231.372687 222.162687 222.162687
15 227.677542 227.677542 218.467542 218.467542
26 227.282454 227.282454 218.072454 218.072454
37 195.938516 195.938516 186.728516 186.728516
87 186.373923 186.373923 177.163923 177.163923
100 179.542275 179.542275 170.332275 170.332275
114 176.281457 176.281457 167.071457 167.071457
129 167.772091 167.772091 158.562091 158.562091
369 167.763136 167.763136 158.553136 158.553136
501 214.657784 167.763136 214.657784 158.553136
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 275.928307 275.928307 266.718307 266.718307
2 273.087336 273.087336 263.877336 263.877336
3 261.726624 261.726624 252.516624 252.516624
25 251.613586 251.613586 242.403586 242.403586
26 239.493171 239.493171 230.283171 230.283171
39 206.893093 206.893093 197.683093 197.683093
47 201.902250 201.902250 192.692250 192.692250
65 181.478651 181.478651 172.268651 172.268651
348 179.995342 179.995342 170.785342 170.785342
358 157.369067 157.369067 148.159067 148.159067
501 345.762358 157.369067 345.762358 148.159067
