"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 42018604.470601 42018604.470601 42018394.590601 42018394.590601
3 26687950.874567 26687950.874567 26687740.994567 26687740.994567
5 4942791.658494 4942791.658494 4942581.778494 4942581.778494
34 2967229.391336 2967229.391336 2967019.511336 2967019.511336
39 1462691.604516 1462691.604516 1462481.724516 1462481.724516
270 1205539.253092 1205539.253092 1205329.373092 1205329.373092
338 1163783.579670 1163783.579670 1163573.699670 1163573.699670
416 769926.947402 769926.947402 769717.067402 769717.067402
501 1719215.384309 769926.947402 1719215.384309 769717.067402
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79162508.099472 79162508.099472 79162298.219472 79162298.219472
2 4281152.352904 4281152.352904 4280942.472904 4280942.472904
3 2758327.849126 2758327.849126 2758117.969126 2758117.969126
26 1399163.844540 1399163.844540 1398953.964540 1398953.964540
43 648976.529095 648976.529095 648766.649095 648766.649095
501 25030193.088992 648976.529095 25030193.088992 648766.649095
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 35726883.207372 35726883.207372 35726673.327372 35726673.327372
2 33089199.735419 33089199.735419 33088989.855419 33088989.855419
3 8753176.272029 8753176.272029 8752966.392029 8752966.392029
6 4999773.669047 4999773.669047 4999563.789047 4999563.789047
8 1583865.993708 1583865.993708 1583656.113708 1583656.113708
274 642581.433954 642581.433954 642371.553954 642371.553954
501 21391245.477800 642581.433954 21391245.477800 642371.553954
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 65112648.801143 65112648.801143 65112438.921143 65112438.921143
2 34585345.067802 34585345.067802 34585135.187802 34585135.187802
3 6829875.070201 6829875.070201 6829665.190201 6829665.190201
13 5902663.159106 5902663.159106 5902453.279106 5902453.279106
18 3850053.286883 3850053.286883 3849843.406883 3849843.406883
36 1751815.530441 1751815.530441 1751605.650441 1751605.650441
159 1596418.456668 1596418.456668 1596208.576668 1596208.576668
178 1456252.143312 1456252.143312 1456042.263312 1456042.263312
243 845645.099087 845645.099087 845435.219087 845435.219087
290 653576.386089 653576.386089 653366.506089 653366.506089
501 86389401.587602 653576.386089 86389401.587602 653366.506089
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5104029.012758 5104029.012758 5103819.132758 5103819.132758
7 2867092.903086 2867092.903086 2866883.023086 2866883.023086
25 1713207.196800 1713207.196800 1712997.316800 1712997.316800
168 158923.603458 158923.603458 158713.723458 158713.723458
501 48664315.823486 158923.603458 48664315.823486 158713.723458
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8116884.943545 8116884.943545 8116675.063545 8116675.063545
5 3344653.494864 3344653.494864 3344443.614864 3344443.614864
31 3000081.283511 3000081.283511 2999871.403511 2999871.403511
105 1423652.945844 1423652.945844 1423443.065844 1423443.065844
433 1383724.285322 1383724.285322 1383514.405322 1383514.405322
454 513688.621045 513688.621045 513478.741045 513478.741045
501 14837525.800238 513688.621045 14837525.800238 513478.741045
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9494173.981200 9494173.981200 9493964.101200 9493964.101200
2 3139561.372889 3139561.372889 3139351.492889 3139351.492889
17 2929364.648893 2929364.648893 2929154.768893 2929154.768893
50 2655279.952790 2655279.952790 2655070.072790 2655070.072790
70 2518848.413798 2518848.413798 2518638.533798 2518638.533798
87 2356016.470603 2356016.470603 2355806.590603 2355806.590603
197 1910358.492140 1910358.492140 1910148.612140 1910148.612140
323 1128283.875749 1128283.875749 1128073.995749 1128073.995749
