"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.151564 86.151564 165.631564 165.631564
2 86.151505 86.151505 165.631505 165.631505
3 86.151450 86.151450 165.631450 165.631450
5 86.151433 86.151433 165.631433 165.631433
9 86.151416 86.151416 165.631416 165.631416
11 22.008831 22.008831 101.488831 101.488831
14 22.008830 22.008830 101.488830 101.488830
19 22.008795 22.008795 101.488795 101.488795
261 15.812604 15.812604 95.292604 95.292604
271 9.744168 9.744168 89.224168 89.224168
272 9.744066 9.744066 89.224066 89.224066
391 1.680752 1.680752 81.160752 81.160752
392 1.680726 1.680726 81.160726 81.160726
395 1.680721 1.680721 81.160721 81.160721
120000 63480254179671819128374512396888105740531830978605194902863252121110172194193116436069808758281982502546045185947271289634816.000000 1.680721 63480254179671819128374512396888105740531830978605194902863252121110172194193116436069808758281982502546045185947271289634816.000000 81.160721
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 29.511748 29.511748 108.991748 108.991748
9 29.511700 29.511700 108.991700 108.991700
31 25.955697 25.955697 105.435697 105.435697
32 25.955606 25.955606 105.435606 105.435606
33 25.955592 25.955592 105.435592 105.435592
101 10.586119 10.586119 90.066119 90.066119
120000 532837008651766794208366366397959486238573296344354955009257376857595323126151551430891488077200523340326812550333211089043456.000000 10.586119 532837008651766794208366366397959486238573296344354955009257376857595323126151551430891488077200523340326812550333211089043456.000000 90.066119
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73.483485 73.483485 152.963485 152.963485
2 73.483354 73.483354 152.963354 152.963354
3 73.483302 73.483302 152.963302 152.963302
11 55.508554 55.508554 134.988554 134.988554
12 55.508373 55.508373 134.988373 134.988373
21 41.103697 41.103697 120.583697 120.583697
23 41.103633 41.103633 120.583633 120.583633
31 9.927853 9.927853 89.407853 89.407853
32 9.927798 9.927798 89.407798 89.407798
34 9.927795 9.927795 89.407795 89.407795
36 9.927792 9.927792 89.407792 89.407792
120000 1393484272933926220401423682919253921010535853848224940126026308513837715553727333708732762533337017658782985391457679202844672.000000 9.927792 1393484272933926220401423682919253921010535853848224940126026308513837715553727333708732762533337017658782985391457679202844672.000000 89.407792
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.585052 86.585052 481.065052 481.065052
3 86.585024 86.585024 481.065024 481.065024
41 71.878032 71.878032 466.358032 466.358032
43 71.878017 71.878017 466.358017 466.358017
45 71.877955 71.877955 466.357955 466.357955
48 71.877895 71.877895 466.357895 466.357895
51 37.997929 37.997929 432.477929 432.477929
55 37.997847 37.997847 432.477847 432.477847
91 32.384048 32.384048 426.864048 426.864048
95 32.384045 32.384045 426.864045 426.864045
98 32.384032 32.384032 426.864032 426.864032
100 32.383947 32.383947 426.863947 426.863947
101 23.311874 23.311874 417.791874 417.791874
102 23.311840 23.311840 417.791840 417.791840
103 23.311812 23.311812 417.791812 417.791812
110 23.311779 23.311779 417.791779 417.791779
121 21.279364 21.279364 415.759364 415.759364
122 21.279355 21.279355 415.759355 415.759355
124 21.279343 21.279343 415.759343 415.759343
125 21.279281 21.279281 415.759281 415.759281
461 14.531910 14.531910 409.011910 409.011910
120000 3058678461729488051856198105422464497677846448269189564194798047367422258657399347018704107223696927193777937460379714060288.000000 14.531910 3058678461729488051856198105422464497677846448269189564194798047367422258657399347018704107223696927193777937460379714060288.000000 409.011910
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
