"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2616020.423549 2616020.423549 2615810.543549 2615810.543549
3 2616020.423525 2616020.423525 2615810.543525 2615810.543525
6 2616020.275904 2616020.275904 2615810.395904 2615810.395904
8 2616019.976844 2616019.976844 2615810.096844 2615810.096844
9 2615984.956957 2615984.956957 2615775.076957 2615775.076957
61 1578063.229278 1578063.229278 1577853.349278 1577853.349278
63 1578063.228538 1578063.228538 1577853.348538 1577853.348538
66 1578063.149926 1578063.149926 1577853.269926 1577853.269926
68 1578062.972238 1578062.972238 1577853.092238 1577853.092238
69 1578026.914655 1578026.914655 1577817.034655 1577817.034655
121 265479.522601 265479.522601 265269.642601 265269.642601
122 265479.522459 265479.522459 265269.642459 265269.642459
123 265479.519777 265479.519777 265269.639777 265269.639777
126 265479.410074 265479.410074 265269.530074 265269.530074
128 265478.544317 265478.544317 265268.664317 265268.664317
129 265474.568913 265474.568913 265264.688913 265264.688913
201 240678.651787 240678.651787 240468.771787 240468.771787
204 240678.650207 240678.650207 240468.770207 240468.770207
206 240678.561781 240678.561781 240468.681781 240468.681781
207 240676.708554 240676.708554 240466.828554 240466.828554
210 240671.579750 240671.579750 240461.699750 240461.699750
301 88070.181030 88070.181030 87860.301030 87860.301030
303 88070.179234 88070.179234 87860.299234 87860.299234
305 88070.166535 88070.166535 87860.286535 87860.286535
307 88068.967469 88068.967469 87859.087469 87859.087469
34717 0.000000 0.000000 -209.880000 -209.880000
120000 3674641.571346 0.000000 3674641.571346 -209.880000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3266632.388666 3266632.388666 3266422.508666 3266422.508666
4 3266632.388640 3266632.388640 3266422.508640 3266422.508640
6 3266632.380632 3266632.380632 3266422.500632 3266422.500632
7 3266630.410409 3266630.410409 3266420.530409 3266420.530409
10 3266604.109960 3266604.109960 3266394.229960 3266394.229960
51 2093236.391063 2093236.391063 2093026.511063 2093026.511063
52 2093236.390890 2093236.390890 2093026.510890 2093026.510890
54 2093236.388704 2093236.388704 2093026.508704 2093026.508704
56 2093236.333496 2093236.333496 2093026.453496 2093026.453496
