"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1904.131099 1904.131099 1442.041099 1442.041099
2 1904.130403 1904.130403 1442.040403 1442.040403
4 1904.130115 1904.130115 1442.040115 1442.040115
9 1904.130005 1904.130005 1442.040005 1442.040005
18 1904.129196 1904.129196 1442.039196 1442.039196
21 1904.126970 1904.126970 1442.036970 1442.036970
29 1904.120886 1904.120886 1442.030886 1442.030886
41 1319.899334 1319.899334 857.809334 857.809334
43 1319.899046 1319.899046 857.809046 857.809046
45 1319.898775 1319.898775 857.808775 857.808775
50 1319.898630 1319.898630 857.808630 857.808630
56 1319.898617 1319.898617 857.808617 857.808617
63 1319.897894 1319.897894 857.807894 857.807894
67 1319.897490 1319.897490 857.807490 857.807490
77 1319.896791 1319.896791 857.806791 857.806791
561 1274.596408 1274.596408 812.506408 812.506408
562 1274.595200 1274.595200 812.505200 812.505200
566 1274.595033 1274.595033 812.505033 812.505033
574 1274.594930 1274.594930 812.504930 812.504930
576 1274.594794 1274.594794 812.504794 812.504794
583 1274.592555 1274.592555 812.502555 812.502555
597 1274.588257 1274.588257 812.498257 812.498257
1921 1223.815762 1223.815762 761.725762 761.725762
1922 1223.814834 1223.814834 761.724834 761.724834
1930 1223.814652 1223.814652 761.724652 761.724652
1935 1223.814504 1223.814504 761.724504 761.724504
1938 1223.813770 1223.813770 761.723770 761.723770
1945 1223.812783 1223.812783 761.722783 761.722783
1959 1223.811183 1223.811183 761.721183 761.721183
102153 0.000000 0.000000 -462.090000 -462.090000
270000 912.420190 0.000000 912.420190 -462.090000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 801.806524 801.806524 339.716524 339.716524
11 801.806231 801.806231 339.716231 339.716231
19 801.805519 801.805519 339.715519 339.715519
28 801.805480 801.805480 339.715480 339.715480
40 801.805263 801.805263 339.715263 339.715263
241 705.394110 705.394110 243.304110 243.304110
242 705.393496 705.393496 243.303496 243.303496
246 705.393411 705.393411 243.303411 243.303411
248 705.393138 705.393138 243.303138 243.303138
254 705.393086 705.393086 243.303086 243.303086
258 705.392973 705.392973 243.302973 243.302973
259 705.392017 705.392017 243.302017 243.302017
261 705.391632 705.391632 243.301632 243.301632
272 705.391215 705.391215 243.301215 243.301215
99215 0.000000 0.000000 -462.090000 -462.090000
270000 912.420190 0.000000 912.420190 -462.090000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5400.498986 5400.498986 4938.408986 4938.408986
2 5400.498536 5400.498536 4938.408536 4938.408536
4 5400.498219 5400.498219 4938.408219 4938.408219
6 5400.498213 5400.498213 4938.408213 4938.408213
12 5400.497687 5400.497687 4938.407687 4938.407687
16 5400.497681 5400.497681 4938.407681 4938.407681
23 5400.494918 5400.494918 4938.404918 4938.404918
27 5400.491904 5400.491904 4938.401904 4938.401904
37 5400.467370 5400.467370 4938.377370 4938.377370
41 1232.858821 1232.858821 770.768821 770.768821
46 1232.858818 1232.858818 770.768818 770.768818
51 1232.858647 1232.858647 770.768647 770.768647
56 1232.858302 1232.858302 770.768302 770.768302
68 1232.858134 1232.858134 770.768134 770.768134
74 1232.857295 1232.857295 770.767295 770.767295
