"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 74022028.339357 74022028.339357 74021973.399357 74021973.399357
3 74021981.699841 74021981.699841 74021926.759841 74021926.759841
41 11856074.382602 11856074.382602 11856019.442602 11856019.442602
64 11856071.045966 11856071.045966 11856016.105966 11856016.105966
321 10067078.029774 10067078.029774 10067023.089774 10067023.089774
324 10067061.978274 10067061.978274 10067007.038274 10067007.038274
441 5599396.225136 5599396.225136 5599341.285136 5599341.285136
442 5599395.394532 5599395.394532 5599340.454532 5599340.454532
443 5599357.376379 5599357.376379 5599302.436379 5599302.436379
601 5304836.442990 5304836.442990 5304781.502990 5304781.502990
602 5304831.206737 5304831.206737 5304776.266737 5304776.266737
604 5304814.012320 5304814.012320 5304759.072320 5304759.072320
921 5221852.109378 5221852.109378 5221797.169378 5221797.169378
930 5221849.075233 5221849.075233 5221794.135233 5221794.135233
943 5221846.483366 5221846.483366 5221791.543366 5221791.543366
961 4586608.368793 4586608.368793 4586553.428793 4586553.428793
965 4586605.292386 4586605.292386 4586550.352386 4586550.352386
86093 0.000000 0.000000 -54.940000 -54.940000
270000 4960016.908672 0.000000 4960016.908672 -54.940000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10379500.972414 10379500.972414 10379446.032414 10379446.032414
24 10379500.268874 10379500.268874 10379445.328874 10379445.328874
36 10379499.977312 10379499.977312 10379445.037312 10379445.037312
241 5980015.825765 5980015.825765 5979960.885765 5979960.885765
242 5980011.714721 5980011.714721 5979956.774721 5979956.774721
243 5979997.432278 5979997.432278 5979942.492278 5979942.492278
481 3692586.399115 3692586.399115 3692531.459115 3692531.459115
484 3692577.212788 3692577.212788 3692522.272788 3692522.272788
64591 0.000000 0.000000 -54.940000 -54.940000
270000 4960016.908672 0.000000 4960016.908672 -54.940000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 34477598.564081 34477598.564081 34477543.624081 34477543.624081
3 34477567.370140 34477567.370140 34477512.430140 34477512.430140
17 34477563.924471 34477563.924471 34477508.984471 34477508.984471
41 4333665.921193 4333665.921193 4333610.981193 4333610.981193
57 4333659.146532 4333659.146532 4333604.206532 4333604.206532
1081 3963329.972220 3963329.972220 3963275.032220 3963275.032220
1082 3963323.582872 3963323.582872 3963268.642872 3963268.642872
1083 3963313.704883 3963313.704883 3963258.764883 3963258.764883
59331 0.000000 0.000000 -54.940000 -54.940000
270000 4960016.908672 0.000000 4960016.908672 -54.940000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 14959221.981873 14959221.981873 14959281.111873 14959281.111873
22 14959221.650808 14959221.650808 14959280.780808 14959280.780808
161 5683042.334129 5683042.334129 5683101.464129 5683101.464129
401 5264623.060023 5264623.060023 5264682.190023 5264682.190023
1161 3448169.690623 3448169.690623 3448228.820623 3448228.820623
1180 3448168.937643 3448168.937643 3448228.067643 3448228.067643
1194 3448165.089744 3448165.089744 3448224.219744 3448224.219744
1801 2496704.175784 2496704.175784 2496763.305784 2496763.305784
1806 2496701.652182 2496701.652182 2496760.782182 2496760.782182
67249 0.000000 0.000000 59.130000 59.130000
270000 0.000000 0.000000 0.000000 59.130000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6158070.150772 6158070.150772 6158129.280772 6158129.280772
2 6158023.399256 6158023.399256 6158082.529256 6158082.529256
721 5535527.181921 5535527.181921 5535586.311921 5535586.311921
726 5535516.744676 5535516.744676 5535575.874676 5535575.874676
761 2252562.173871 2252562.173871 2252621.303871 2252621.303871
762 2252556.630198 2252556.630198 2252615.760198 2252615.760198
763 2252555.880436 2252555.880436 2252615.010436 2252615.010436
765 2252555.861692 2252555.861692 2252614.991692 2252614.991692
782 2252553.320620 2252553.320620 2252612.450620 2252612.450620
1001 1715739.959900 1715739.959900 1715799.089900 1715799.089900
1003 1715739.593619 1715739.593619 1715798.723619 1715798.723619
1006 1715738.405819 1715738.405819 1715797.535819 1715797.535819
1008 1715737.824905 1715737.824905 1715796.954905 1715796.954905
67207 0.000000 0.000000 59.130000 59.130000
270000 0.000000 0.000000 0.000000 59.130000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 25427811.351537 25427811.351537 25427870.481537 25427870.481537
6 25427804.023245 25427804.023245 25427863.153245 25427863.153245
41 10355364.701889 10355364.701889 10355423.831889 10355423.831889
201 9575581.911008 9575581.911008 9575641.041008 9575641.041008
241 5098857.741209 5098857.741209 5098916.871209 5098916.871209
961 3935395.551404 3935395.551404 3935454.681404 3935454.681404
962 3935350.123959 3935350.123959 3935409.253959 3935409.253959
1041 2242888.142989 2242888.142989 2242947.272989 2242947.272989
1042 2242885.994442 2242885.994442 2242945.124442 2242945.124442
1046 2242883.116440 2242883.116440 2242942.246440 2242942.246440
1048 2242881.562305 2242881.562305 2242940.692305 2242940.692305
1601 2145714.240180 2145714.240180 2145773.370180 2145773.370180
59303 0.000000 0.000000 59.130000 59.130000
270000 0.000000 0.000000 0.000000 59.130000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12505471.300918 12505471.300918 12504979.770918 12504979.770918
2 12505458.888948 12505458.888948 12504967.358948 12504967.358948
4 12505451.100812 12505451.100812 12504959.570812 12504959.570812
11 12505449.096139 12505449.096139 12504957.566139 12504957.566139
34 12505448.884958 12505448.884958 12504957.354958 12504957.354958
41 8163951.565870 8163951.565870 8163460.035870 8163460.035870
44 8163947.075150 8163947.075150 8163455.545150 8163455.545150
51 8163944.029013 8163944.029013 8163452.499013 8163452.499013
62 8163943.212915 8163943.212915 8163451.682915 8163451.682915
441 6733716.106944 6733716.106944 6733224.576944 6733224.576944
442 6733707.027610 6733707.027610 6733215.497610 6733215.497610
443 6733703.464795 6733703.464795 6733211.934795 6733211.934795
449 6733695.822376 6733695.822376 6733204.292376 6733204.292376
481 2973685.691275 2973685.691275 2973194.161275 2973194.161275
486 2973684.892536 2973684.892536 2973193.362536 2973193.362536
487 2973684.483628 2973684.483628 2973192.953628 2973192.953628
490 2973672.002338 2973672.002338 2973180.472338 2973180.472338
961 2475171.907388 2475171.907388 2474680.377388 2474680.377388
966 2475170.087499 2475170.087499 2474678.557499 2474678.557499
970 2475168.780259 2475168.780259 2474677.250259 2474677.250259
984 2475168.096537 2475168.096537 2474676.566537 2474676.566537
987 2475167.466521 2475167.466521 2474675.936521 2474675.936521
59107 0.000000 0.000000 -491.530000 -491.530000
270000 1984097.753210 0.000000 1984097.753210 -491.530000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19142039.111759 19142039.111759 19141547.581759 19141547.581759
2 19142008.994649 19142008.994649 19141517.464649 19141517.464649
4 19142008.156285 19142008.156285 19141516.626285 19141516.626285
11 19142006.224119 19142006.224119 19141514.694119 19141514.694119
15 19141991.193614 19141991.193614 19141499.663614 19141499.663614
41 15218974.891038 15218974.891038 15218483.361038 15218483.361038
44 15218968.999951 15218968.999951 15218477.469951 15218477.469951
51 15218960.090737 15218960.090737 15218468.560737 15218468.560737
121 8059119.866567 8059119.866567 8058628.336567 8058628.336567
130 8059118.539858 8059118.539858 8058627.009858 8058627.009858
155 8059116.811224 8059116.811224 8058625.281224 8058625.281224
161 2843803.745463 2843803.745463 2843312.215463 2843312.215463
162 2843791.302621 2843791.302621 2843299.772621 2843299.772621
164 2843786.207728 2843786.207728 2843294.677728 2843294.677728
175 2843784.940116 2843784.940116 2843293.410116 2843293.410116
196 2843784.888481 2843784.888481 2843293.358481 2843293.358481
641 2141601.941098 2141601.941098 2141110.411098 2141110.411098
642 2141586.349891 2141586.349891 2141094.819891 2141094.819891
649 2141577.667536 2141577.667536 2141086.137536 2141086.137536
61415 0.000000 0.000000 -491.530000 -491.530000
270000 1984097.753210 0.000000 1984097.753210 -491.530000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17797448.676287 17797448.676287 17796957.146287 17796957.146287
4 17797443.912653 17797443.912653 17796952.382653 17796952.382653
10 17797426.995816 17797426.995816 17796935.465816 17796935.465816
11 17797424.596280 17797424.596280 17796933.066280 17796933.066280
161 10697542.300828 10697542.300828 10697050.770828 10697050.770828
162 10697529.901259 10697529.901259 10697038.371259 10697038.371259
163 10697527.966124 10697527.966124 10697036.436124 10697036.436124
169 10697526.662572 10697526.662572 10697035.132572 10697035.132572
189 10697524.780682 10697524.780682 10697033.250682 10697033.250682
281 9027335.947458 9027335.947458 9026844.417458 9026844.417458
282 9027320.803990 9027320.803990 9026829.273990 9026829.273990
289 9027316.297893 9027316.297893 9026824.767893 9026824.767893
292 9027312.720619 9027312.720619 9026821.190619 9026821.190619
561 5811787.691846 5811787.691846 5811296.161846 5811296.161846
562 5811774.157130 5811774.157130 5811282.627130 5811282.627130
564 5811770.966391 5811770.966391 5811279.436391 5811279.436391
571 5811769.068045 5811769.068045 5811277.538045 5811277.538045
575 5811764.658839 5811764.658839 5811273.128839 5811273.128839
721 4978624.543839 4978624.543839 4978133.013839 4978133.013839
758 4978623.264251 4978623.264251 4978131.734251 4978131.734251
1481 4337660.568297 4337660.568297 4337169.038297 4337169.038297
1482 4337655.682710 4337655.682710 4337164.152710 4337164.152710
1484 4337655.019803 4337655.019803 4337163.489803 4337163.489803
1486 4337654.710520 4337654.710520 4337163.180520 4337163.180520
1491 4337654.234389 4337654.234389 4337162.704389 4337162.704389
1511 4337653.550706 4337653.550706 4337162.020706 4337162.020706
1561 3731875.037752 3731875.037752 3731383.507752 3731383.507752
1562 3731855.215459 3731855.215459 3731363.685459 3731363.685459
1569 3731849.168113 3731849.168113 3731357.638113 3731357.638113
56197 0.000000 0.000000 -491.530000 -491.530000
270000 1984097.753210 0.000000 1984097.753210 -491.530000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 66680845.608069 66680845.608069 66680675.408069 66680675.408069
5 66680827.164532 66680827.164532 66680656.964532 66680656.964532
10 66680776.075136 66680776.075136 66680605.875136 66680605.875136
41 9820156.396097 9820156.396097 9819986.196097 9819986.196097
43 9820154.329245 9820154.329245 9819984.129245 9819984.129245
50 9820144.067926 9820144.067926 9819973.867926 9819973.867926
