"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 663966.677359 663966.677359 664042.947359 664042.947359
2 663964.166463 663964.166463 664040.436463 664040.436463
3 663960.309785 663960.309785 664036.579785 664036.579785
5 663953.802937 663953.802937 664030.072937 664030.072937
41 222182.180822 222182.180822 222258.450822 222258.450822
42 222181.294855 222181.294855 222257.564855 222257.564855
43 222179.933702 222179.933702 222256.203702 222256.203702
45 222177.637146 222177.637146 222253.907146 222253.907146
161 3872.115557 3872.115557 3948.385557 3948.385557
164 3872.065924 3872.065924 3948.335924 3948.335924
166 3871.982163 3871.982163 3948.252163 3948.252163
88485 0.000000 0.000000 76.270000 76.270000
270000 0.000000 0.000000 0.000000 76.270000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 70994821.778814 70994821.778814 70994898.048814 70994898.048814
2 70994794.393381 70994794.393381 70994870.663381 70994870.663381
3 70994752.331596 70994752.331596 70994828.601596 70994828.601596
5 70994681.363780 70994681.363780 70994757.633780 70994757.633780
41 2803777.539898 2803777.539898 2803853.809898 2803853.809898
42 2803773.784822 2803773.784822 2803850.054822 2803850.054822
43 2803768.017052 2803768.017052 2803844.287052 2803844.287052
45 2803758.285483 2803758.285483 2803834.555483 2803834.555483
81 95634.932241 95634.932241 95711.202241 95711.202241
82 95634.058520 95634.058520 95710.328520 95710.328520
83 95632.716163 95632.716163 95708.986163 95708.986163
85 95630.451583 95630.451583 95706.721583 95706.721583
601 27544.149766 27544.149766 27620.419766 27620.419766
604 27543.353457 27543.353457 27619.623457 27619.623457
606 27542.010007 27542.010007 27618.280007 27618.280007
85701 0.000000 0.000000 76.270000 76.270000
270000 0.000000 0.000000 0.000000 76.270000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18966702.577660 18966702.577660 18966778.847660 18966778.847660
4 18966686.650757 18966686.650757 18966762.920757 18966762.920757
6 18966659.777919 18966659.777919 18966736.047919 18966736.047919
41 14682407.639681 14682407.639681 14682483.909681 14682483.909681
42 14682397.747486 14682397.747486 14682474.017486 14682474.017486
43 14682382.554126 14682382.554126 14682458.824126 14682458.824126
45 14682356.919394 14682356.919394 14682433.189394 14682433.189394
81 4352682.863500 4352682.863500 4352759.133500 4352759.133500
82 4352679.080937 4352679.080937 4352755.350937 4352755.350937
83 4352673.270928 4352673.270928 4352749.540928 4352749.540928
85 4352663.468470 4352663.468470 4352739.738470 4352739.738470
161 2772104.910793 2772104.910793 2772181.180793 2772181.180793
164 2772096.749910 2772096.749910 2772173.019910 2772173.019910
166 2772082.980501 2772082.980501 2772159.250501 2772159.250501
401 943503.757601 943503.757601 943580.027601 943580.027601
402 943500.383120 943500.383120 943576.653120 943576.653120
403 943495.200336 943495.200336 943571.470336 943571.470336
405 943486.455846 943486.455846 943562.725846 943562.725846
721 382250.490255 382250.490255 382326.760255 382326.760255
722 382249.230959 382249.230959 382325.500959 382325.500959
723 382247.296975 382247.296975 382323.566975 382323.566975
725 382244.033989 382244.033989 382320.303989 382320.303989
1081 240181.653952 240181.653952 240257.923952 240257.923952
1082 240180.795907 240180.795907 240257.065907 240257.065907
1083 240179.477765 240179.477765 240255.747765 240255.747765
1085 240177.254311 240177.254311 240253.524311 240253.524311
1241 101601.876417 101601.876417 101678.146417 101678.146417
1242 101600.971765 101600.971765 101677.241765 101677.241765
1243 101599.581998 101599.581998 101675.851998 101675.851998
1245 101597.237319 101597.237319 101673.507319 101673.507319
1521 1442.612996 1442.612996 1518.882996 1518.882996
1524 1442.495835 1442.495835 1518.765835 1518.765835
1526 1442.298227 1442.298227 1518.568227 1518.568227
85995 0.000000 0.000000 76.270000 76.270000
270000 0.000000 0.000000 0.000000 76.270000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1683214.054095 1683214.054095 1683191.504095 1683191.504095
6 1683213.712427 1683213.712427 1683191.162427 1683191.162427
7 1683210.141480 1683210.141480 1683187.591480 1683187.591480
27 1683209.639768 1683209.639768 1683187.089768 1683187.089768
81 97237.516917 97237.516917 97214.966917 97214.966917
82 97234.096589 97234.096589 97211.546589 97211.546589
85 97234.017084 97234.017084 97211.467084 97211.467084
88 97233.182056 97233.182056 97210.632056 97210.632056
108 97233.064541 97233.064541 97210.514541 97210.514541
481 1305.641695 1305.641695 1283.091695 1283.091695
486 1305.634857 1305.634857 1283.084857 1283.084857
487 1305.565280 1305.565280 1283.015280 1283.015280
507 1305.555426 1305.555426 1283.005426 1283.005426
75223 0.000000 0.000000 -22.550000 -22.550000
270000 198691.060716 0.000000 198691.060716 -22.550000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 24748176.705177 24748176.705177 24748154.155177 24748154.155177
6 24748175.673096 24748175.673096 24748153.123096 24748153.123096
7 24748164.883767 24748164.883767 24748142.333767 24748142.333767
27 24748163.367192 24748163.367192 24748140.817192 24748140.817192
41 2614293.356939 2614293.356939 2614270.806939 2614270.806939
42 2614278.147628 2614278.147628 2614255.597628 2614255.597628
45 2614277.792589 2614277.792589 2614255.242589 2614255.242589
48 2614274.079447 2614274.079447 2614251.529447 2614251.529447
68 2614273.557493 2614273.557493 2614251.007493 2614251.007493
121 2684.107370 2684.107370 2661.557370 2661.557370
126 2684.088168 2684.088168 2661.538168 2661.538168
127 2683.887432 2683.887432 2661.337432 2661.337432
147 2683.859418 2683.859418 2661.309418 2661.309418
85729 0.000000 0.000000 -22.550000 -22.550000
270000 198691.060716 0.000000 198691.060716 -22.550000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 452019.492161 452019.492161 451996.942161 451996.942161
2 452013.287613 452013.287613 451990.737613 451990.737613
5 452013.142801 452013.142801 451990.592801 451990.592801
8 452011.628235 452011.628235 451989.078235 451989.078235
28 452011.415267 452011.415267 451988.865267 451988.865267
161 16854.683059 16854.683059 16832.133059 16832.133059
