"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.447947 86.447947 -913.552053 -913.552053
5 86.447947 86.447947 -913.552053 -913.552053
13 86.447947 86.447947 -913.552053 -913.552053
23 86.447946 86.447946 -913.552054 -913.552054
39 86.447946 86.447946 -913.552054 -913.552054
41 85.678147 85.678147 -914.321853 -914.321853
42 85.678145 85.678145 -914.321855 -914.321855
43 85.678145 85.678145 -914.321855 -914.321855
47 85.678143 85.678143 -914.321857 -914.321857
55 85.678143 85.678143 -914.321857 -914.321857
121 84.367380 84.367380 -915.632620 -915.632620
124 84.367375 84.367375 -915.632625 -915.632625
133 84.367375 84.367375 -915.632625 -915.632625
1481 82.045904 82.045904 -917.954096 -917.954096
1483 82.045895 82.045895 -917.954105 -917.954105
1495 82.045894 82.045894 -917.954106 -917.954106
270000 23243230578224253923212694796572148552604095913008336595932540068491818804075985229021230665703427496575791958652472000512.000000 82.045894 23243230578224253923212694796572148552604095913008336595932540068491818804075985229021230665703427496575791958652472000512.000000 -917.954106
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.014640 86.014640 -913.985360 -913.985360
2 86.014637 86.014637 -913.985363 -913.985363
20 86.014636 86.014636 -913.985364 -913.985364
121 85.978133 85.978133 -914.021867 -914.021867
122 85.978131 85.978131 -914.021869 -914.021869
127 85.978130 85.978130 -914.021870 -914.021870
135 85.978130 85.978130 -914.021870 -914.021870
521 85.141428 85.141428 -914.858572 -914.858572
523 85.141426 85.141426 -914.858574 -914.858574
530 85.141423 85.141423 -914.858577 -914.858577
531 85.141420 85.141420 -914.858580 -914.858580
761 81.873152 81.873152 -918.126848 -918.126848
762 81.873147 81.873147 -918.126853 -918.126853
765 81.873141 81.873141 -918.126859 -918.126859
787 81.873135 81.873135 -918.126865 -918.126865
270000 25553586247779786084900449991445609132233839025222014251426935026511015201675864612421014621702967507771576744797280403456.000000 81.873135 25553586247779786084900449991445609132233839025222014251426935026511015201675864612421014621702967507771576744797280403456.000000 -918.126865
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.996679 82.996679 -917.003321 -917.003321
2 82.996663 82.996663 -917.003337 -917.003337
8 82.996659 82.996659 -917.003341 -917.003341
2014 82.876026 82.876026 -917.123974 -917.123974
270000 85161193749679589060553597066706705498289003954531291580872285281824584863980397110188200315594620160849593824127142068224.000000 82.876026 85161193749679589060553597066706705498289003954531291580872285281824584863980397110188200315594620160849593824127142068224.000000 -917.123974
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.468124 86.468124 1086.468124 1086.468124
3 86.468124 86.468124 1086.468124 1086.468124
7 86.468124 86.468124 1086.468124 1086.468124
17 86.468124 86.468124 1086.468124 1086.468124
19 86.468124 86.468124 1086.468124 1086.468124
41 86.081506 86.081506 1086.081506 1086.081506
44 86.081506 86.081506 1086.081506 1086.081506
59 86.081505 86.081505 1086.081505 1086.081505
241 86.045098 86.045098 1086.045098 1086.045098
242 86.045094 86.045094 1086.045094 1086.045094
244 86.045094 86.045094 1086.045094 1086.045094
259 86.045094 86.045094 1086.045094 1086.045094
269 86.045094 86.045094 1086.045094 1086.045094
276 86.045091 86.045091 1086.045091 1086.045091
361 85.420580 85.420580 1085.420580 1085.420580
721 83.973174 83.973174 1083.973174 1083.973174
722 83.973164 83.973164 1083.973164 1083.973164
724 83.973162 83.973162 1083.973162 1083.973162
732 83.973162 83.973162 1083.973162 1083.973162
1121 83.401482 83.401482 1083.401482 1083.401482
1131 83.401482 83.401482 1083.401482 1083.401482
1137 83.401481 83.401481 1083.401481 1083.401481
1144 83.401478 83.401478 1083.401478 1083.401478
1681 83.037154 83.037154 1083.037154 1083.037154
1720 83.037150 83.037150 1083.037150 1083.037150
270000 120913536975527304879836197184967370185087732041049059406658790843432547357949769989046213153307391384083262507599777497088.000000 83.037150 120913536975527304879836197184967370185087732041049059406658790843432547357949769989046213153307391384083262507599777497088.000000 1083.037150
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.772592 85.772592 1085.772592 1085.772592
3 85.772590 85.772590 1085.772590 1085.772590
14 85.772590 85.772590 1085.772590 1085.772590
19 85.772590 85.772590 1085.772590 1085.772590
161 85.607599 85.607599 1085.607599 1085.607599
167 85.607597 85.607597 1085.607597 1085.607597
172 85.607593 85.607593 1085.607593 1085.607593
641 85.504721 85.504721 1085.504721 1085.504721
642 85.504719 85.504719 1085.504719 1085.504719
643 85.504718 85.504718 1085.504718 1085.504718
653 85.504718 85.504718 1085.504718 1085.504718
667 85.504716 85.504716 1085.504716 1085.504716
761 85.437759 85.437759 1085.437759 1085.437759
762 85.437756 85.437756 1085.437756 1085.437756
765 85.437755 85.437755 1085.437755 1085.437755
769 85.437755 85.437755 1085.437755 1085.437755
771 85.437753 85.437753 1085.437753 1085.437753
1041 84.863775 84.863775 1084.863775 1084.863775
1042 84.863773 84.863773 1084.863773 1084.863773
1043 84.863763 84.863763 1084.863763 1084.863763
1056 84.863759 84.863759 1084.863759 1084.863759
1081 80.849066 80.849066 1080.849066 1080.849066
1083 80.849065 80.849065 1080.849065 1080.849065
1085 80.849062 80.849062 1080.849062 1080.849062
1099 80.849061 80.849061 1080.849061 1080.849061
1111 80.849059 80.849059 1080.849059 1080.849059
270000 119284992523920238116345538294643594503906102423426357585758493882323743900422732588053752836622982967105230057106309120.000000 80.849059 119284992523920238116345538294643594503906102423426357585758493882323743900422732588053752836622982967105230057106309120.000000 1080.849059
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.317714 86.317714 1086.317714 1086.317714
4 86.317713 86.317713 1086.317713 1086.317713
26 86.317713 86.317713 1086.317713 1086.317713
41 85.816614 85.816614 1085.816614 1085.816614
45 85.816613 85.816613 1085.816613 1085.816613
50 85.816613 85.816613 1085.816613 1085.816613
81 83.651173 83.651173 1083.651173 1083.651173
82 83.651169 83.651169 1083.651169 1083.651169
86 83.651167 83.651167 1083.651167 1083.651167
87 83.651163 83.651163 1083.651163 1083.651163
96 83.651163 83.651163 1083.651163 1083.651163
1241 83.509914 83.509914 1083.509914 1083.509914
1242 83.509913 83.509913 1083.509913 1083.509913
1243 83.509906 83.509906 1083.509906 1083.509906
270000 491637757541204626721423526124245249885281409061311112675075873944732603198652703315047843725528418407097418154116120576.000000 83.509906 491637757541204626721423526124245249885281409061311112675075873944732603198652703315047843725528418407097418154116120576.000000 1083.509906
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.494971 86.494971 37.364971 37.364971
4 86.494971 86.494971 37.364971 37.364971
29 86.494970 86.494970 37.364970 37.364970
35 86.494970 86.494970 37.364970 37.364970
41 86.224731 86.224731 37.094731 37.094731
44 86.224731 86.224731 37.094731 37.094731
45 86.224730 86.224730 37.094730 37.094730
62 86.224730 86.224730 37.094730 37.094730
81 86.111222 86.111222 36.981222 36.981222
82 86.111222 86.111222 36.981222 36.981222
83 86.111221 86.111221 36.981221 36.981221
94 86.111221 86.111221 36.981221 36.981221
100 86.111220 86.111220 36.981220 36.981220
121 85.878615 85.878615 36.748615 36.748615
122 85.878615 85.878615 36.748615 36.748615
124 85.878613 85.878613 36.748613 36.748613
161 85.135816 85.135816 36.005816 36.005816
162 85.135813 85.135813 36.005813 36.005813
165 85.135812 85.135812 36.005812 36.005812
171 85.135811 85.135811 36.005811 36.005811
198 85.135811 85.135811 36.005811 36.005811
241 84.788342 84.788342 35.658342 35.658342
245 84.788342 84.788342 35.658342 35.658342
250 84.788339 84.788339 35.658339 35.658339
258 84.788338 84.788338 35.658338 35.658338
269 84.788338 84.788338 35.658338 35.658338
481 79.986838 79.986838 30.856838 30.856838
484 79.986830 79.986830 30.856830 30.856830
506 79.986829 79.986829 30.856829 30.856829
270000 2867235989216253975189764240771071850252995028864283281463023362494972518781746576055837003345121726599305187282749751296.000000 79.986829 2867235989216253975189764240771071850252995028864283281463023362494972518781746576055837003345121726599305187282749751296.000000 30.856829
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.971295 85.971295 36.841295 36.841295
2 85.971293 85.971293 36.841293 36.841293
13 85.971293 85.971293 36.841293 36.841293
21 85.971292 85.971292 36.841292 36.841292
28 85.971292 85.971292 36.841292 36.841292
121 85.565113 85.565113 36.435113 36.435113
125 85.565112 85.565112 36.435112 36.435112
128 85.565110 85.565110 36.435110 36.435110
140 85.565110 85.565110 36.435110 36.435110
201 84.493409 84.493409 35.363409 35.363409
202 84.493397 84.493397 35.363397 35.363397
233 84.493396 84.493396 35.363396 35.363396
561 82.950561 82.950561 33.820561 33.820561
562 82.950547 82.950547 33.820547 33.820547
563 82.950545 82.950545 33.820545 33.820545
565 82.950545 82.950545 33.820545 33.820545
1401 82.087057 82.087057 32.957057 32.957057
1403 82.087054 82.087054 32.957054 32.957054
1405 82.087048 82.087048 32.957048 32.957048
1409 82.087044 82.087044 32.957044 32.957044
270000 795145721551423701294457672128910436651393170013163520160925877712939013814985449679716500278024346608540608806251187404800.000000 82.087044 795145721551423701294457672128910436651393170013163520160925877712939013814985449679716500278024346608540608806251187404800.000000 32.957044
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.084599 85.084599 35.954599 35.954599
2 85.084595 85.084595 35.954595 35.954595
4 85.084594 85.084594 35.954594 35.954594
10 85.084594 85.084594 35.954594 35.954594
13 85.084593 85.084593 35.954593 35.954593
921 83.091332 83.091332 33.961332 33.961332
922 83.091329 83.091329 33.961329 33.961329
924 83.091322 83.091322 33.961322 33.961322
958 83.091320 83.091320 33.961320 33.961320
1681 82.342182 82.342182 33.212182 33.212182
1685 82.342180 82.342180 33.212180 33.212180
1688 82.342179 82.342179 33.212179 33.212179
1690 82.342179 82.342179 33.212179 33.212179
1694 82.342174 82.342174 33.212174 33.212174
1716 82.342174 82.342174 33.212174 33.212174
