"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.581586 15.581586 22.451586 22.451586
3 15.580873 15.580873 22.450873 22.450873
7 15.580214 15.580214 22.450214 22.450214
9 15.577402 15.577402 22.447402 22.447402
121 14.370517 14.370517 21.240517 21.240517
122 14.363772 14.363772 21.233772 21.233772
147 14.361942 14.361942 21.231942 21.231942
161 14.076559 14.076559 20.946559 20.946559
193 14.076493 14.076493 20.946493 20.946493
197 14.076360 14.076360 20.946360 20.946360
241 12.633511 12.633511 19.503511 19.503511
242 12.624626 12.624626 19.494626 19.494626
321 10.310503 10.310503 17.180503 17.180503
335 10.307556 10.307556 17.177556 17.177556
441 4.556364 4.556364 11.426364 11.426364
442 4.555609 4.555609 11.425609 11.425609
444 4.555576 4.555576 11.425576 11.425576
448 4.554966 4.554966 11.424966 11.424966
453 4.554777 4.554777 11.424777 11.424777
464 4.554436 4.554436 11.424436 11.424436
465 4.553826 4.553826 11.423826 11.423826
270000 29869782616098327561521104196792175548609972868444068261628380711749808844593952417859045774832446565574355707191622605050216448.000000 4.553826 29869782616098327561521104196792175548609972868444068261628380711749808844593952417859045774832446565574355707191622605050216448.000000 11.423826
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.837961 13.837961 20.707961 20.707961
12 13.836720 13.836720 20.706720 20.706720
161 11.662875 11.662875 18.532875 18.532875
172 11.660408 11.660408 18.530408 18.530408
361 11.598936 11.598936 18.468936 18.468936
362 11.598211 11.598211 18.468211 18.468211
363 11.597376 11.597376 18.467376 18.467376
365 11.597072 11.597072 18.467072 18.467072
376 11.596223 11.596223 18.466223 18.466223
381 11.595531 11.595531 18.465531 18.465531
481 10.813493 10.813493 17.683493 17.683493
482 10.801925 10.801925 17.671925 17.671925
601 10.247441 10.247441 17.117441 17.117441
602 10.247025 10.247025 17.117025 17.117025
603 10.246505 10.246505 17.116505 17.116505
605 10.245759 10.245759 17.115759 17.115759
611 10.244860 10.244860 17.114860 17.114860
641 10.099956 10.099956 16.969956 16.969956
642 10.099594 10.099594 16.969594 16.969594
643 10.097247 10.097247 16.967247 16.967247
650 10.096184 10.096184 16.966184 16.966184
761 8.477425 8.477425 15.347425 15.347425
762 8.471291 8.471291 15.341291 15.341291
767 8.470567 8.470567 15.340567 15.340567
1081 7.131292 7.131292 14.001292 14.001292
1082 7.127789 7.127789 13.997789 13.997789
1088 7.127638 7.127638 13.997638 13.997638
1090 7.126526 7.126526 13.996526 13.996526
1112 7.126446 7.126446 13.996446 13.996446
1201 7.078152 7.078152 13.948152 13.948152
1202 7.070035 7.070035 13.940035 13.940035
270000 270800480837044962943847158917630461968412896988619791496365229480834645732239235160446448533422145206041464503776152760809947136.000000 7.070035 270800480837044962943847158917630461968412896988619791496365229480834645732239235160446448533422145206041464503776152760809947136.000000 13.940035
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.427359 13.427359 20.297359 20.297359
8 13.424009 13.424009 20.294009 20.294009
9 13.423117 13.423117 20.293117 20.293117
81 11.084904 11.084904 17.954904 17.954904
82 11.073836 11.073836 17.943836 17.943836
121 10.050206 10.050206 16.920206 16.920206
122 10.027546 10.027546 16.897546 16.897546
441 6.644673 6.644673 13.514673 13.514673
442 6.641528 6.641528 13.511528 13.511528
448 6.640909 6.640909 13.510909 13.510909
921 6.293773 6.293773 13.163773 13.163773
922 6.292490 6.292490 13.162490 13.162490
926 6.292068 6.292068 13.162068 13.162068
927 6.291704 6.291704 13.161704 13.161704
929 6.290783 6.290783 13.160783 13.160783
954 6.289302 6.289302 13.159302 13.159302
270000 645943938280887810581481543251352239651554194020598343636315537236607082929629086144827801895674153128671920710778380103253491712.000000 6.289302 645943938280887810581481543251352239651554194020598343636315537236607082929629086144827801895674153128671920710778380103253491712.000000 13.159302
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.109289 17.109289 17.119289 17.119289
2 17.102952 17.102952 17.112952 17.112952
4 17.101966 17.101966 17.111966 17.111966
14 17.101400 17.101400 17.111400 17.111400
24 17.101083 17.101083 17.111083 17.111083
41 7.046762 7.046762 7.056762 7.056762
44 7.046099 7.046099 7.056099 7.056099
45 7.044468 7.044468 7.054468 7.054468
55 7.044203 7.044203 7.054203 7.054203
71 7.042823 7.042823 7.052823 7.052823
1241 7.029887 7.029887 7.039887 7.039887
1242 7.029407 7.029407 7.039407 7.039407
1244 7.027781 7.027781 7.037781 7.037781
1248 7.027266 7.027266 7.037266 7.037266
1250 7.026884 7.026884 7.036884 7.036884
1257 7.025394 7.025394 7.035394 7.035394
1261 7.024950 7.024950 7.034950 7.034950
270000 31284104060841001945702501254550640854591515066598059797294417394715987785343987801418134446933058535859563396535250952952741888.000000 7.024950 31284104060841001945702501254550640854591515066598059797294417394715987785343987801418134446933058535859563396535250952952741888.000000 7.034950
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26.101046 26.101046 26.111046 26.111046
2 26.097300 26.097300 26.107300 26.107300
3 26.097111 26.097111 26.107111 26.107111
14 26.094183 26.094183 26.104183 26.104183
27 26.094002 26.094002 26.104002 26.104002
41 15.864663 15.864663 15.874663 15.874663
42 15.859326 15.859326 15.869326 15.869326
44 15.858802 15.858802 15.868802 15.868802
121 11.025733 11.025733 11.035733 11.035733
134 11.023045 11.023045 11.033045 11.033045
137 11.022718 11.022718 11.032718 11.032718
141 11.021409 11.021409 11.031409 11.031409
144 11.018275 11.018275 11.028275 11.028275
361 4.725304 4.725304 4.735304 4.735304
362 4.721611 4.721611 4.731611 4.731611
380 4.721150 4.721150 4.731150 4.731150
382 4.721064 4.721064 4.731064 4.731064
383 4.720621 4.720621 4.730621 4.730621
270000 236294806650454655151184292513532778135666581657825747170977549494117060311594293434019059586987795150603340305414794734328610816.000000 4.720621 236294806650454655151184292513532778135666581657825747170977549494117060311594293434019059586987795150603340305414794734328610816.000000 4.730621
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.359372 7.359372 7.369372 7.369372
2 7.358564 7.358564 7.368564 7.368564
3 7.357256 7.357256 7.367256 7.367256
13 7.357246 7.357246 7.367246 7.367246
24 7.356626 7.356626 7.366626 7.366626
33 7.356150 7.356150 7.366150 7.366150
270000 38723025702100281853159133940600455086688225610644676153338455063667343790876822302889997606036611343305779952314761826514501632.000000 7.356150 38723025702100281853159133940600455086688225610644676153338455063667343790876822302889997606036611343305779952314761826514501632.000000 7.366150
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.605015 9.605015 -121.004985 -121.004985
2 9.603298 9.603298 -121.006702 -121.006702
4 9.600380 9.600380 -121.009620 -121.009620
14 9.598359 9.598359 -121.011641 -121.011641
