"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 892.268533 892.268533 994.878533 994.878533
15 892.264773 892.264773 994.874773 994.874773
36 892.264106 892.264106 994.874106 994.874106
41 615.218976 615.218976 717.828976 717.828976
42 615.209437 615.209437 717.819437 717.819437
60 615.208244 615.208244 717.818244 717.818244
70 615.207809 615.207809 717.817809 717.817809
601 529.652869 529.652869 632.262869 632.262869
602 529.650219 529.650219 632.260219 632.260219
603 529.650193 529.650193 632.260193 632.260193
605 529.646558 529.646558 632.256558 632.256558
624 529.645271 529.645271 632.255271 632.255271
628 529.637943 529.637943 632.247943 632.247943
270000 52223502488927042719035135631993300812120445274047463595289001395454609088993943932436156222758619863877848397823972703245973931177371609142919168.000000 529.637943 52223502488927042719035135631993300812120445274047463595289001395454609088993943932436156222758619863877848397823972703245973931177371609142919168.000000 632.247943
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 850.873121 850.873121 953.483121 953.483121
3 850.870721 850.870721 953.480721 953.480721
23 850.867676 850.867676 953.477676 953.477676
41 797.706283 797.706283 900.316283 900.316283
42 797.699152 797.699152 900.309152 900.309152
44 797.692020 797.692020 900.302020 900.302020
81 674.742552 674.742552 777.352552 777.352552
84 674.742337 674.742337 777.352337 777.352337
88 674.741804 674.741804 777.351804 777.351804
90 674.737862 674.737862 777.347862 777.347862
94 674.735792 674.735792 777.345792 777.345792
104 674.731549 674.731549 777.341549 777.341549
281 459.874825 459.874825 562.484825 562.484825
286 459.874575 459.874575 562.484575 562.484575
292 459.874113 459.874113 562.484113 562.484113
298 459.873081 459.873081 562.483081 562.483081
305 459.869746 459.869746 562.479746 562.479746
316 459.869466 459.869466 562.479466 562.479466
270000 2748749553738426073445373568818428443279454213799971207807283886611268178384159499918022943029782674743376538232701015335766460870304458552490482431164416.000000 459.869466 2748749553738426073445373568818428443279454213799971207807283886611268178384159499918022943029782674743376538232701015335766460870304458552490482431164416.000000 562.479466
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 973.957373 973.957373 1076.567373 1076.567373
4 973.956207 973.956207 1076.566207 1076.566207
11 973.951067 973.951067 1076.561067 1076.561067
29 973.948300 973.948300 1076.558300 1076.558300
41 448.897123 448.897123 551.507123 551.507123
43 448.894700 448.894700 551.504700 551.504700
46 448.893558 448.893558 551.503558 551.503558
54 448.890056 448.890056 551.500056 551.500056
56 448.887649 448.887649 551.497649 551.497649
270000 211496866851439158770648242478816831974021200156089112075545529290711318590786720076288463695724412844151555560420177495185827695009586051109965640237056.000000 448.887649 211496866851439158770648242478816831974021200156089112075545529290711318590786720076288463695724412844151555560420177495185827695009586051109965640237056.000000 551.497649
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 740.105439 740.105439 833.405439 833.405439
3 740.101785 740.101785 833.401785 833.401785
7 740.099493 740.099493 833.399493 833.399493
33 740.098387 740.098387 833.398387 833.398387
81 714.768807 714.768807 808.068807 808.068807
83 714.762208 714.762208 808.062208 808.062208
86 714.761906 714.761906 808.061906 808.061906
109 714.759985 714.759985 808.059985 808.059985
521 691.093397 691.093397 784.393397 784.393397
523 691.090740 691.090740 784.390740 784.390740
525 691.090711 691.090711 784.390711 784.390711
536 691.085428 691.085428 784.385428 784.385428
601 417.154488 417.154488 510.454488 510.454488
602 417.135415 417.135415 510.435415 510.435415
634 417.133380 417.133380 510.433380 510.433380
270000 493878356295512404273578333686764628060700824794298678064029669542368000167872530626272996005114572741631731177109896341731575771553073186790703104.000000 417.133380 493878356295512404273578333686764628060700824794298678064029669542368000167872530626272996005114572741631731177109896341731575771553073186790703104.000000 510.433380
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 968.563825 968.563825 1061.863825 1061.863825
19 968.562530 968.562530 1061.862530 1061.862530
36 968.561740 968.561740 1061.861740 1061.861740
39 968.559475 968.559475 1061.859475 1061.859475
41 646.935614 646.935614 740.235614 740.235614
43 646.928226 646.928226 740.228226 740.228226
73 646.927711 646.927711 740.227711 740.227711
121 574.346580 574.346580 667.646580 667.646580
122 574.341578 574.341578 667.641578 667.641578
