"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2135.207847 2135.207847 2165.177847 2165.177847
2 2135.206558 2135.206558 2165.176558 2165.176558
4 2135.206067 2135.206067 2165.176067 2165.176067
5 2135.204603 2135.204603 2165.174603 2165.174603
11 1722.396664 1722.396664 1752.366664 1752.366664
15 1722.395773 1722.395773 1752.365773 1752.365773
17 1722.394700 1722.394700 1752.364700 1752.364700
31 1232.379115 1232.379115 1262.349115 1262.349115
32 1232.379080 1232.379080 1262.349080 1262.349080
34 1232.378502 1232.378502 1262.348502 1262.348502
35 1232.377334 1232.377334 1262.347334 1262.347334
61 1217.587643 1217.587643 1247.557643 1247.557643
62 1217.586850 1217.586850 1247.556850 1247.556850
63 1217.586655 1217.586655 1247.556655 1247.556655
66 1217.586444 1217.586444 1247.556444 1247.556444
67 1217.585841 1217.585841 1247.555841 1247.555841
71 1066.411300 1066.411300 1096.381300 1096.381300
77 1066.410288 1066.410288 1096.380288 1096.380288
81 796.976824 796.976824 826.946824 826.946824
82 796.975693 796.975693 826.945693 826.945693
90 796.975129 796.975129 826.945129 826.945129
111 373.016163 373.016163 402.986163 402.986163
112 373.016010 373.016010 402.986010 402.986010
113 373.015964 373.015964 402.985964 402.985964
115 373.015923 373.015923 402.985923 402.985923
118 373.014546 373.014546 402.984546 402.984546
120000 567082918213921110324014335936205858496493788112662813653679235369934683952048520607042432251347724042795351805441868547617718272.000000 373.014546 567082918213921110324014335936205858496493788112662813653679235369934683952048520607042432251347724042795351805441868547617718272.000000 402.984546
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1036.826899 1036.826899 1066.796899 1066.796899
2 1036.826455 1036.826455 1066.796455 1066.796455
4 1036.825793 1036.825793 1066.795793 1066.795793
5 1036.824953 1036.824953 1066.794953 1066.794953
7 1036.824690 1036.824690 1066.794690 1066.794690
71 747.701613 747.701613 777.671613 777.671613
72 747.699726 747.699726 777.669726 777.669726
75 747.698546 747.698546 777.668546 777.668546
251 593.516709 593.516709 623.486709 623.486709
252 593.514406 593.514406 623.484406 623.484406
257 593.513839 593.513839 623.483839 623.483839
120000 8226937968985222520750081866453161605131088905729652398124417325082060133666061314123898347650441390671554630384110239754687086592.000000 593.513839 8226937968985222520750081866453161605131088905729652398124417325082060133666061314123898347650441390671554630384110239754687086592.000000 623.483839
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1231.733275 1231.733275 1261.703275 1261.703275
2 1231.732843 1231.732843 1261.702843 1261.702843
3 1231.732720 1231.732720 1261.702720 1261.702720
6 1231.732432 1231.732432 1261.702432 1261.702432
7 1231.731515 1231.731515 1261.701515 1261.701515
11 866.745236 866.745236 896.715236 896.715236
14 866.744886 866.744886 896.714886 896.714886
15 866.743447 866.743447 896.713447 896.713447
21 840.924693 840.924693 870.894693 870.894693
23 840.924517 840.924517 870.894517 870.894517
26 840.923715 840.923715 870.893715 870.893715
51 645.607888 645.607888 675.577888 675.577888
55 645.606918 645.606918 675.576918 675.576918
381 620.888400 620.888400 650.858400 650.858400
383 620.888338 620.888338 650.858338 650.858338
388 620.888016 620.888016 650.858016 650.858016
461 501.993485 501.993485 531.963485 531.963485
464 501.993156 501.993156 531.963156 531.963156
465 501.991551 501.991551 531.961551 531.961551
120000 4079384626433784983398189849344773511021326306713981083429586433087292557204634587046493973696575457709092986831056459928698880.000000 501.991551 4079384626433784983398189849344773511021326306713981083429586433087292557204634587046493973696575457709092986831056459928698880.000000 531.961551
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1487.441182 1487.441182 1435.731182 1435.731182
2 1487.441079 1487.441079 1435.731079 1435.731079
4 1487.440278 1487.440278 1435.730278 1435.730278
5 1487.439830 1487.439830 1435.729830 1435.729830
11 1077.430718 1077.430718 1025.720718 1025.720718
12 1077.429425 1077.429425 1025.719425 1025.719425
15 1077.428095 1077.428095 1025.718095 1025.718095
201 831.033736 831.033736 779.323736 779.323736
202 831.031709 831.031709 779.321709 779.321709
205 831.031373 831.031373 779.321373 779.321373
221 820.371141 820.371141 768.661141 768.661141
222 820.368130 820.368130 768.658130 768.658130
271 628.576861 628.576861 576.866861 576.866861
273 628.576062 628.576062 576.866062 576.866062
279 628.575860 628.575860 576.865860 576.865860
120000 141891212445294440923089287979544962922762050689488443383949965530416948535167901300397928234554234384976150337567165087779236582785024.000000 628.575860 141891212445294440923089287979544962922762050689488443383949965530416948535167901300397928234554234384976150337567165087779236582785024.000000 576.865860
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1184.386290 1184.386290 1132.676290 1132.676290
2 1184.384774 1184.384774 1132.674774 1132.674774
7 1184.384372 1184.384372 1132.674372 1132.674372
31 1077.604650 1077.604650 1025.894650 1025.894650
32 1077.602912 1077.602912 1025.892912 1025.892912
34 1077.602615 1077.602615 1025.892615 1025.892615
91 601.238765 601.238765 549.528765 549.528765
92 601.235382 601.235382 549.525382 549.525382
171 503.952323 503.952323 452.242323 452.242323
175 503.952135 503.952135 452.242135 452.242135
179 503.951735 503.951735 452.241735 452.241735
231 494.349823 494.349823 442.639823 442.639823
236 494.349029 494.349029 442.639029 442.639029
120000 19713849968226070358518144094780251042266018749800950799415469400937436755215571087719739478455571546637663692538934624725779896810340352.000000 494.349029 19713849968226070358518144094780251042266018749800950799415469400937436755215571087719739478455571546637663692538934624725779896810340352.000000 442.639029
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2449.875615 2449.875615 2398.165615 2398.165615
2 2449.871901 2449.871901 2398.161901 2398.161901
11 2212.579589 2212.579589 2160.869589 2160.869589
12 2212.574818 2212.574818 2160.864818 2160.864818
21 1622.409915 1622.409915 1570.699915 1570.699915
22 1622.407119 1622.407119 1570.697119 1570.697119
31 1510.635178 1510.635178 1458.925178 1458.925178
32 1510.633014 1510.633014 1458.923014 1458.923014
35 1510.632356 1510.632356 1458.922356 1458.922356
41 510.125814 510.125814 458.415814 458.415814
47 510.125581 510.125581 458.415581 458.415581
271 402.572911 402.572911 350.862911 350.862911
120000 10739528576862820753753964103703383250135011736451927523452993696568737486840093238589055408235692727137680757626801946659020675852795904.000000 402.572911 10739528576862820753753964103703383250135011736451927523452993696568737486840093238589055408235692727137680757626801946659020675852795904.000000 350.862911
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2974.417707 2974.417707 2694.467707 2694.467707
11 1374.352068 1374.352068 1094.402068 1094.402068
13 1374.351918 1374.351918 1094.401918 1094.401918
16 1374.351567 1374.351567 1094.401567 1094.401567
18 1374.351526 1374.351526 1094.401526 1094.401526
19 1374.351220 1374.351220 1094.401220 1094.401220
171 1286.614990 1286.614990 1006.664990 1006.664990
173 1286.613581 1286.613581 1006.663581 1006.663581
181 945.658530 945.658530 665.708530 665.708530
182 945.657979 945.657979 665.707979 665.707979
183 945.657069 945.657069 665.707069 665.707069
186 945.657042 945.657042 665.707042 665.707042
120000 79850689146718472253524197531574753100885301673271648005414217658268482552780268655376588689173777293891920698458372374189469335552.000000 945.657042 79850689146718472253524197531574753100885301673271648005414217658268482552780268655376588689173777293891920698458372374189469335552.000000 665.707042
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2780.459746 2780.459746 2500.509746 2500.509746
3 2780.458959 2780.458959 2500.508959 2500.508959
11 2030.337418 2030.337418 1750.387418 1750.387418
13 2030.336258 2030.336258 1750.386258 1750.386258
21 1737.220206 1737.220206 1457.270206 1457.270206
23 1737.219966 1737.219966 1457.269966 1457.269966
31 1320.181202 1320.181202 1040.231202 1040.231202
33 1320.180136 1320.180136 1040.230136 1040.230136
121 1019.405331 1019.405331 739.455331 739.455331
123 1019.404663 1019.404663 739.454663 739.454663
161 735.938807 735.938807 455.988807 455.988807
391 522.438987 522.438987 242.488987 242.488987
392 522.438610 522.438610 242.488610 242.488610
393 522.437471 522.437471 242.487471 242.487471
397 522.437046 522.437046 242.487046 242.487046
120000 202680666520770981873799494145694765740804167412601396425990387079784662020874419474709455709355880109909184881360018484494336.000000 522.437046 202680666520770981873799494145694765740804167412601396425990387079784662020874419474709455709355880109909184881360018484494336.000000 242.487046
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2601.944321 2601.944321 2321.994321 2321.994321
3 2601.944176 2601.944176 2321.994176 2321.994176
11 1401.873215 1401.873215 1121.923215 1121.923215
13 1401.871975 1401.871975 1121.921975 1121.921975
21 1398.639081 1398.639081 1118.689081 1118.689081
23 1398.637693 1398.637693 1118.687693 1118.687693
71 1102.899665 1102.899665 822.949665 822.949665
72 1102.898913 1102.898913 822.948913 822.948913
73 1102.898319 1102.898319 822.948319 822.948319
76 1102.897927 1102.897927 822.947927 822.947927
171 950.930548 950.930548 670.980548 670.980548
173 950.930292 950.930292 670.980292 670.980292
321 569.306584 569.306584 289.356584 289.356584
328 569.306053 569.306053 289.356053 289.356053
