"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10.631641 10.631641 -91.918359 -91.918359
11 9.024892 9.024892 -93.525108 -93.525108
12 8.983278 8.983278 -93.566722 -93.566722
13 8.978746 8.978746 -93.571254 -93.571254
598 0.250374 0.250374 -102.299626 -102.299626
85771 -nan -nan -nan -nan
85772 61340998167083190695060714179400400390524100438400651661946686427559377607062740084022157410470139936750282605706909859175851584031505188290194466696007556546799520251590747438089890475455385090786402064576317790736466994802047953723152919453001004380169512822975191109984255120627238711106595939921428480.000000 61340998167083190695060714179400400390524100438400651661946686427559377607062740084022157410470139936750282605706909859175851584031505188290194466696007556546799520251590747438089890475455385090786402064576317790736466994802047953723152919453001004380169512822975191109984255120627238711106595939921428480.000000 61340998167083190695060714179400400390524100438400651661946686427559377607062740084022157410470139936750282605706909859175851584031505188290194466696007556546799520251590747438089890475455385090786402064576317790736466994802047953723152919453001004380169512822975191109984255120627238711106595939921428480.000000 61340998167083190695060714179400400390524100438400651661946686427559377607062740084022157410470139936750282605706909859175851584031505188290194466696007556546799520251590747438089890475455385090786402064576317790736466994802047953723152919453001004380169512822975191109984255120627238711106595939921428480.000000
85773 -nan -nan -nan -nan
85774 13139042318818240224871514879181330945650934250903100362190884933531120758976605823747266373778351452814258754664922625385218249052813092069853714800057269877389804279044749965949157262980237443892217310624847446634628637765666149432669403346991612177610618515469856251992173759469114756754103002640416768.000000 13139042318818240224871514879181330945650934250903100362190884933531120758976605823747266373778351452814258754664922625385218249052813092069853714800057269877389804279044749965949157262980237443892217310624847446634628637765666149432669403346991612177610618515469856251992173759469114756754103002640416768.000000 13139042318818240224871514879181330945650934250903100362190884933531120758976605823747266373778351452814258754664922625385218249052813092069853714800057269877389804279044749965949157262980237443892217310624847446634628637765666149432669403346991612177610618515469856251992173759469114756754103002640416768.000000 13139042318818240224871514879181330945650934250903100362190884933531120758976605823747266373778351452814258754664922625385218249052813092069853714800057269877389804279044749965949157262980237443892217310624847446634628637765666149432669403346991612177610618515469856251992173759469114756754103002640416768.000000
85775 -nan -nan -nan -nan
85776 -nan -nan -nan -nan
85777 -nan -nan -nan -nan
85778 -nan -nan -nan -nan
85779 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000
85780 51933457724650760091715271841153429902740157902282643120992764177212635938748889235245145384331026818509892875030274086989087559364856688658620552728015703142151334379618475834829883042646334291339477480473203547836390291363136763802362371913449513341038894325156981536234207560059600587211353347967680512.000000 51933457724650760091715271841153429902740157902282643120992764177212635938748889235245145384331026818509892875030274086989087559364856688658620552728015703142151334379618475834829883042646334291339477480473203547836390291363136763802362371913449513341038894325156981536234207560059600587211353347967680512.000000 51933457724650760091715271841153429902740157902282643120992764177212635938748889235245145384331026818509892875030274086989087559364856688658620552728015703142151334379618475834829883042646334291339477480473203547836390291363136763802362371913449513341038894325156981536234207560059600587211353347967680512.000000 51933457724650760091715271841153429902740157902282643120992764177212635938748889235245145384331026818509892875030274086989087559364856688658620552728015703142151334379618475834829883042646334291339477480473203547836390291363136763802362371913449513341038894325156981536234207560059600587211353347967680512.000000
85781 -nan -nan -nan -nan
85782 65040820983625237029801889821444831333395978815497841130773920149225198498376146422701039178898246943576772870377163091743257349132735557996965053520927096917371135391693268252593517821794769221605539345873434073991173933029514293998470611430975222244908559514228483285496766970060011532906927850925326336.000000 65040820983625237029801889821444831333395978815497841130773920149225198498376146422701039178898246943576772870377163091743257349132735557996965053520927096917371135391693268252593517821794769221605539345873434073991173933029514293998470611430975222244908559514228483285496766970060011532906927850925326336.000000 65040820983625237029801889821444831333395978815497841130773920149225198498376146422701039178898246943576772870377163091743257349132735557996965053520927096917371135391693268252593517821794769221605539345873434073991173933029514293998470611430975222244908559514228483285496766970060011532906927850925326336.000000 65040820983625237029801889821444831333395978815497841130773920149225198498376146422701039178898246943576772870377163091743257349132735557996965053520927096917371135391693268252593517821794769221605539345873434073991173933029514293998470611430975222244908559514228483285496766970060011532906927850925326336.000000
85783 -nan -nan -nan -nan
85784 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000 68406884477385308350381807089995103178117430748582799541756219266621943473435679996463127142971587095528843369905218581201855170775199646246299334097711281735297633485666483015832594792792295891632249732505450474872678386167949313012896330793148591311120364978536525331301234513233452439165279867519369216.000000
85785 93.974351 93.974351 -8.575649 -8.575649
85798 0.250374 0.250374 -102.299626 -102.299626
86971 -nan -nan -nan -nan
86972 -nan -nan -nan -nan
86973 -nan -nan -nan -nan
86974 -nan -nan -nan -nan
86975 -nan -nan -nan -nan
86976 -nan -nan -nan -nan
86977 -nan -nan -nan -nan
86978 -nan -nan -nan -nan
86979 -nan -nan -nan -nan
86980 -nan -nan -nan -nan
86981 -nan -nan -nan -nan
86982 -nan -nan -nan -nan
86983 -nan -nan -nan -nan
86984 0.250374 0.250374 -102.299626 -102.299626
87652 0.250139 0.250139 -102.299861 -102.299861
87657 0.250133 0.250133 -102.299867 -102.299867
88171 -nan -nan -nan -nan
88172 -nan -nan -nan -nan
88173 -nan -nan -nan -nan
88174 -nan -nan -nan -nan
88175 -nan -nan -nan -nan
88176 -nan -nan -nan -nan
88177 -nan -nan -nan -nan
88178 -nan -nan -nan -nan
88179 -nan -nan -nan -nan
88180 -nan -nan -nan -nan
88181 -nan -nan -nan -nan
88182 -nan -nan -nan -nan
88183 -nan -nan -nan -nan
88184 0.250374 0.250374 -102.299626 -102.299626
88852 0.250139 0.250139 -102.299861 -102.299861
88857 0.250133 0.250133 -102.299867 -102.299867
89371 -nan -nan -nan -nan
89372 -nan -nan -nan -nan
89373 -nan -nan -nan -nan
89374 -nan -nan -nan -nan
89375 -nan -nan -nan -nan
89376 -nan -nan -nan -nan
89377 -nan -nan -nan -nan
89378 -nan -nan -nan -nan
89379 -nan -nan -nan -nan
89380 -nan -nan -nan -nan
89381 -nan -nan -nan -nan
89382 -nan -nan -nan -nan
89383 -nan -nan -nan -nan
89384 0.250374 0.250374 -102.299626 -102.299626
89637 -nan -nan -nan -nan
89638 71893054335964293402841295755774242062196421599676557556413216353145879778651733307156885236507358462886816472014204188333961020036760694536875710445028448844584811274883261718655658314193566383383093138857791503852666920145185670101308052472986277065458789699959268817730437794862694410686976365959315456.000000 71893054335964293402841295755774242062196421599676557556413216353145879778651733307156885236507358462886816472014204188333961020036760694536875710445028448844584811274883261718655658314193566383383093138857791503852666920145185670101308052472986277065458789699959268817730437794862694410686976365959315456.000000 71893054335964293402841295755774242062196421599676557556413216353145879778651733307156885236507358462886816472014204188333961020036760694536875710445028448844584811274883261718655658314193566383383093138857791503852666920145185670101308052472986277065458789699959268817730437794862694410686976365959315456.000000 71893054335964293402841295755774242062196421599676557556413216353145879778651733307156885236507358462886816472014204188333961020036760694536875710445028448844584811274883261718655658314193566383383093138857791503852666920145185670101308052472986277065458789699959268817730437794862694410686976365959315456.000000
89639 -nan -nan -nan -nan
89640 -nan -nan -nan -nan
89641 -nan -nan -nan -nan
89642 -nan -nan -nan -nan
89643 -nan -nan -nan -nan
89644 -nan -nan -nan -nan
89645 -nan -nan -nan -nan
89646 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000
89647 -nan -nan -nan -nan
89648 -nan -nan -nan -nan
89649 -nan -nan -nan -nan
89650 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000 111830732706363191263923407795233427887635622172453821551448467581109100351763944197132444839230730384092573418799219487313636912189239095717094231624328721240156568070787376699587592937284642074503644858886259980621099055387559771033568905730729996481030177448424771319411545776614435183649048974109704192.000000
89651 1078551987533212096059483830285247851757816286472462376716082434214356493825827244499581291890624801318133592688795842506001354436768273314154864674029344894390677744079387244635182626641301635134809998217896320557006360412160.000000 1078551987533212096059483830285247851757816286472462376716082434214356493825827244499581291890624801318133592688795842506001354436768273314154864674029344894390677744079387244635182626641301635134809998217896320557006360412160.000000 1078551987533212096059483830285247851757816286472462376716082434214356493825827244499581291890624801318133592688795842506001354436768273314154864674029344894390677744079387244635182626641301635134809998217896320557006360412160.000000 1078551987533212096059483830285247851757816286472462376716082434214356493825827244499581291890624801318133592688795842506001354436768273314154864674029344894390677744079387244635182626641301635134809998217896320557006360412160.000000
89652 1010162879757180678160661117410497348633871576546100955439327673428670577283382032361408482617080943693113731819838170174186240893525753778114322381344610398357906501383953878427777412384165943413254429614555212081756666593280.000000 1010162879757180678160661117410497348633871576546100955439327673428670577283382032361408482617080943693113731819838170174186240893525753778114322381344610398357906501383953878427777412384165943413254429614555212081756666593280.000000 1010162879757180678160661117410497348633871576546100955439327673428670577283382032361408482617080943693113731819838170174186240893525753778114322381344610398357906501383953878427777412384165943413254429614555212081756666593280.000000 1010162879757180678160661117410497348633871576546100955439327673428670577283382032361408482617080943693113731819838170174186240893525753778114322381344610398357906501383953878427777412384165943413254429614555212081756666593280.000000
89653 967098314341720367306691738499459088679797877289122457282203554440756549359724281790102090725766436233524317692427704750701417306568590925793002841597136392223455593876500093956339319011778299319723006257376482541795809427456.000000 967098314341720367306691738499459088679797877289122457282203554440756549359724281790102090725766436233524317692427704750701417306568590925793002841597136392223455593876500093956339319011778299319723006257376482541795809427456.000000 967098314341720367306691738499459088679797877289122457282203554440756549359724281790102090725766436233524317692427704750701417306568590925793002841597136392223455593876500093956339319011778299319723006257376482541795809427456.000000 967098314341720367306691738499459088679797877289122457282203554440756549359724281790102090725766436233524317692427704750701417306568590925793002841597136392223455593876500093956339319011778299319723006257376482541795809427456.000000
89654 679625567473606039183364357841367463326709997597070320518465274852187457322511510169333811379129675696953873589836347624722816469006371197127120432846981729980648375932056639764078752532651373826694771953711322233404678733824.000000 679625567473606039183364357841367463326709997597070320518465274852187457322511510169333811379129675696953873589836347624722816469006371197127120432846981729980648375932056639764078752532651373826694771953711322233404678733824.000000 679625567473606039183364357841367463326709997597070320518465274852187457322511510169333811379129675696953873589836347624722816469006371197127120432846981729980648375932056639764078752532651373826694771953711322233404678733824.000000 679625567473606039183364357841367463326709997597070320518465274852187457322511510169333811379129675696953873589836347624722816469006371197127120432846981729980648375932056639764078752532651373826694771953711322233404678733824.000000
