"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 56.230692 56.230692 135.710692 135.710692
2 56.230540 56.230540 135.710540 135.710540
3 56.230524 56.230524 135.710524 135.710524
11 7.213281 7.213281 86.693281 86.693281
13 7.213262 7.213262 86.693262 86.693262
16 7.213254 7.213254 86.693254 86.693254
19 7.213249 7.213249 86.693249 86.693249
120000 1406545560317954558513900588480016356538969302243490535831746806974423175366389360815801700272017636774426231486337546977280.000000 7.213249 1406545560317954558513900588480016356538969302243490535831746806974423175366389360815801700272017636774426231486337546977280.000000 86.693249
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 60.695277 60.695277 140.175277 140.175277
4 60.695251 60.695251 140.175251 140.175251
8 60.695185 60.695185 140.175185 140.175185
11 25.993764 25.993764 105.473764 105.473764
15 25.993724 25.993724 105.473724 105.473724
51 24.059375 24.059375 103.539375 103.539375
53 24.059365 24.059365 103.539365 103.539365
71 19.433999 19.433999 98.913999 98.913999
75 19.433992 19.433992 98.913992 98.913992
391 15.500659 15.500659 94.980659 94.980659
394 15.500613 15.500613 94.980613 94.980613
398 15.500612 15.500612 94.980612 94.980612
120000 4741461750987015808327462284042481515320874897330069637882536076780667911123422083174969469767455239117700846851011739910144.000000 15.500612 4741461750987015808327462284042481515320874897330069637882536076780667911123422083174969469767455239117700846851011739910144.000000 94.980612
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 29.166149 29.166149 108.646149 108.646149
2 29.165969 29.165969 108.645969 108.645969
51 25.028609 25.028609 104.508609 104.508609
56 25.028590 25.028590 104.508590 104.508590
181 24.510161 24.510161 103.990161 103.990161
189 24.510142 24.510142 103.990142 103.990142
191 15.364558 15.364558 94.844558 94.844558
192 15.364511 15.364511 94.844511 94.844511
196 15.364470 15.364470 94.844470 94.844470
201 3.107681 3.107681 82.587681 82.587681
120000 27542069970645108832667188880591114713227018046478563174847429500713570276660017978426436037001442079007582004686182399606784.000000 3.107681 27542069970645108832667188880591114713227018046478563174847429500713570276660017978426436037001442079007582004686182399606784.000000 82.587681
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 103.955007 103.955007 498.435007 498.435007
3 103.954990 103.954990 498.434990 498.434990
8 103.954943 103.954943 498.434943 498.434943
11 32.909235 32.909235 427.389235 427.389235
18 32.909212 32.909212 427.389212 427.389212
61 12.335100 12.335100 406.815100 406.815100
64 12.335090 12.335090 406.815090 406.815090
70 12.335054 12.335054 406.815054 406.815054
120000 982067646130171843444081713301308490836373538861114659938834388498267815137387395869324109781020211035261968998369356381421568.000000 12.335054 982067646130171843444081713301308490836373538861114659938834388498267815137387395869324109781020211035261968998369356381421568.000000 406.815054
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 108.717917 108.717917 503.197917 503.197917
11 81.065728 81.065728 475.545728 475.545728
15 81.065688 81.065688 475.545688 475.545688
31 48.025444 48.025444 442.505444 442.505444
35 48.025386 48.025386 442.505386 442.505386
41 16.504429 16.504429 410.984429 410.984429
42 16.504406 16.504406 410.984406 410.984406
43 16.504368 16.504368 410.984368 410.984368
120000 237253830049053118942447019904579070088618153467571622451051694429310854067142935669757251499980575987605996217075506054430720.000000 16.504368 237253830049053118942447019904579070088618153467571622451051694429310854067142935669757251499980575987605996217075506054430720.000000 410.984368
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 92.746881 92.746881 487.226881 487.226881
5 92.746861 92.746861 487.226861 487.226861
11 87.199418 87.199418 481.679418 481.679418
18 87.199394 87.199394 481.679394 481.679394
21 45.234050 45.234050 439.714050 439.714050
23 45.234029 45.234029 439.714029 439.714029
71 29.678382 29.678382 424.158382 424.158382
73 29.678347 29.678347 424.158347 424.158347
80 29.678325 29.678325 424.158325 424.158325
101 21.044151 21.044151 415.524151 415.524151
102 21.044146 21.044146 415.524146 415.524146
104 21.044130 21.044130 415.524130 415.524130
105 21.044069 21.044069 415.524069 415.524069
