"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3310.091428 3310.091428 2763.591428 2763.591428
2 3310.090708 3310.090708 2763.590708 2763.590708
3 3310.089561 3310.089561 2763.589561 2763.589561
6 3310.077454 3310.077454 2763.577454 2763.577454
7 3310.037686 3310.037686 2763.537686 2763.537686
111 577.578801 577.578801 31.078801 31.078801
114 577.569219 577.569219 31.069219 31.069219
291 15.972608 15.972608 -530.527392 -530.527392
293 15.972585 15.972585 -530.527415 -530.527415
296 15.972523 15.972523 -530.527477 -530.527477
297 15.971443 15.971443 -530.528557 -530.528557
300 15.968273 15.968273 -530.531727 -530.531727
120000 490692797269144537847135034455454090904407749104287449875065039675277585203321166676021858110308245636946281860213948773139639783161240796266496.000000 15.968273 490692797269144537847135034455454090904407749104287449875065039675277585203321166676021858110308245636946281860213948773139639783161240796266496.000000 -530.531727
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 72900.961827 72900.961827 72354.461827 72354.461827
4 72900.932984 72900.932984 72354.432984 72354.432984
10 72900.637676 72900.637676 72354.137676 72354.137676
11 60621.594134 60621.594134 60075.094134 60075.094134
14 60621.574653 60621.574653 60075.074653 60075.074653
17 60621.535433 60621.535433 60075.035433 60075.035433
20 60621.315698 60621.315698 60074.815698 60074.815698
21 29355.456691 29355.456691 28808.956691 28808.956691
24 29355.443818 29355.443818 28808.943818 28808.943818
26 29355.430252 29355.430252 28808.930252 28808.930252
27 29355.311811 29355.311811 28808.811811 28808.811811
41 3358.578987 3358.578987 2812.078987 2812.078987
42 3358.575572 3358.575572 2812.075572 2812.075572
43 3358.562548 3358.562548 2812.062548 2812.062548
45 3358.539012 3358.539012 2812.039012 2812.039012
221 4.716276 4.716276 -541.783724 -541.783724
230 4.716215 4.716215 -541.783785 -541.783785
120000 1201120246175346172751355701954070606269100419879822403383585303252354374378744993544563846181021714614010916209259073715090561568287284963311616.000000 4.716215 1201120246175346172751355701954070606269100419879822403383585303252354374378744993544563846181021714614010916209259073715090561568287284963311616.000000 -541.783785
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23083.616966 23083.616966 22537.116966 22537.116966
