"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 40786141.712340 40786141.712340 40785931.832340 40785931.832340
4 40786141.711460 40786141.711460 40785931.831460 40785931.831460
5 40786141.693668 40786141.693668 40785931.813668 40785931.813668
7 40786139.607891 40786139.607891 40785929.727891 40785929.727891
10 40786019.459048 40786019.459048 40785809.579048 40785809.579048
11 14298526.710783 14298526.710783 14298316.830783 14298316.830783
13 14298526.710225 14298526.710225 14298316.830225 14298316.830225
16 14298526.683240 14298526.683240 14298316.803240 14298316.803240
17 14298525.034391 14298525.034391 14298315.154391 14298315.154391
20 14298446.991108 14298446.991108 14298237.111108 14298237.111108
21 8109161.849803 8109161.849803 8108951.969803 8108951.969803
22 8109161.849624 8109161.849624 8108951.969624 8108951.969624
24 8109161.847213 8109161.847213 8108951.967213 8108951.967213
26 8109161.732564 8109161.732564 8108951.852564 8108951.852564
28 8109160.856883 8109160.856883 8108950.976883 8108950.976883
29 8109129.180328 8109129.180328 8108919.300328 8108919.300328
81 1437893.038007 1437893.038007 1437683.158007 1437683.158007
82 1437893.038002 1437893.038002 1437683.158002 1437683.158002
84 1437893.035512 1437893.035512 1437683.155512 1437683.155512
86 1437892.912687 1437892.912687 1437683.032687 1437683.032687
88 1437890.548963 1437890.548963 1437680.668963 1437680.668963
89 1437876.607163 1437876.607163 1437666.727163 1437666.727163
111 1109759.739246 1109759.739246 1109549.859246 1109549.859246
113 1109759.736637 1109759.736637 1109549.856637 1109549.856637
116 1109759.661533 1109759.661533 1109549.781533 1109549.781533
118 1109756.555858 1109756.555858 1109546.675858 1109546.675858
181 328936.607362 328936.607362 328726.727362 328726.727362
183 328936.604745 328936.604745 328726.724745 328726.724745
186 328936.413437 328936.413437 328726.533437 328726.533437
188 328934.953262 328934.953262 328725.073262 328725.073262
189 328932.400003 328932.400003 328722.520003 328722.520003
33153 0.000000 0.000000 -209.880000 -209.880000
120000 3674641.571346 0.000000 3674641.571346 -209.880000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26928482.860808 26928482.860808 26928272.980808 26928272.980808
2 26928482.860722 26928482.860722 26928272.980722 26928272.980722
4 26928482.858504 26928482.858504 26928272.978504 26928272.978504
6 26928482.783670 26928482.783670 26928272.903670 26928272.903670
7 26928482.452894 26928482.452894 26928272.572894 26928272.572894
10 26928401.999518 26928401.999518 26928192.119518 26928192.119518
11 3438685.370495 3438685.370495 3438475.490495 3438475.490495
14 3438685.367994 3438685.367994 3438475.487994 3438475.487994
16 3438685.263834 3438685.263834 3438475.383834 3438475.383834
18 3438682.854580 3438682.854580 3438472.974580 3438472.974580
19 3438641.144235 3438641.144235 3438431.264235 3438431.264235
21 194095.708433 194095.708433 193885.828433 193885.828433
24 194095.707553 194095.707553 193885.827553 193885.827553
26 194095.633341 194095.633341 193885.753341 193885.753341
27 194093.666032 194093.666032 193883.786032 193883.786032
30 194093.264260 194093.264260 193883.384260 193883.384260
36501 0.000000 0.000000 -209.880000 -209.880000
120000 3674641.571346 0.000000 3674641.571346 -209.880000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 635863.725189 635863.725189 635653.845189 635653.845189
2 635863.725033 635863.725033 635653.845033 635653.845033
4 635863.724046 635863.724046 635653.844046 635653.844046
6 635863.639018 635863.639018 635653.759018 635653.759018
8 635862.864247 635862.864247 635652.984247 635652.984247
9 635861.097362 635861.097362 635651.217362 635651.217362
21 262937.758921 262937.758921 262727.878921 262727.878921
22 262937.758802 262937.758802 262727.878802 262727.878802
24 262937.758215 262937.758215 262727.878215 262727.878215
26 262937.750762 262937.750762 262727.870762 262727.870762
28 262935.944789 262935.944789 262726.064789 262726.064789
