"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 279.937448 279.937448 -182.152552 -182.152552
4 279.937104 279.937104 -182.152896 -182.152896
8 279.937009 279.937009 -182.152991 -182.152991
11 38.690204 38.690204 -423.399796 -423.399796
12 38.689957 38.689957 -423.400043 -423.400043
14 38.689574 38.689574 -423.400426 -423.400426
18 38.689346 38.689346 -423.400654 -423.400654
19 38.689221 38.689221 -423.400779 -423.400779
45153 0.000000 0.000000 -462.090000 -462.090000
120000 127.086886 0.000000 127.086886 -462.090000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 99.233850 99.233850 -362.856150 -362.856150
4 99.233473 99.233473 -362.856527 -362.856527
8 99.232365 99.232365 -362.857635 -362.857635
171 66.389962 66.389962 -395.700038 -395.700038
172 66.389317 66.389317 -395.700683 -395.700683
177 66.388924 66.388924 -395.701076 -395.701076
180 66.387176 66.387176 -395.702824 -395.702824
46605 0.000000 0.000000 -462.090000 -462.090000
120000 127.086886 0.000000 127.086886 -462.090000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 248.951034 248.951034 -213.138966 -213.138966
2 248.950670 248.950670 -213.139330 -213.139330
3 248.950317 248.950317 -213.139683 -213.139683
6 248.949843 248.949843 -213.140157 -213.140157
7 248.947370 248.947370 -213.142630 -213.142630
11 234.137297 234.137297 -227.952703 -227.952703
14 234.136721 234.136721 -227.953279 -227.953279
19 234.136348 234.136348 -227.953652 -227.953652
31 217.980923 217.980923 -244.109077 -244.109077
32 217.980315 217.980315 -244.109685 -244.109685
34 217.979652 217.979652 -244.110348 -244.110348
36 217.979410 217.979410 -244.110590 -244.110590
40 217.979322 217.979322 -244.110678 -244.110678
41 163.954176 163.954176 -298.135824 -298.135824
42 163.953944 163.953944 -298.136056 -298.136056
43 163.953575 163.953575 -298.136425 -298.136425
46 163.953255 163.953255 -298.136745 -298.136745
49 163.952895 163.952895 -298.137105 -298.137105
71 87.604956 87.604956 -374.485044 -374.485044
74 87.604330 87.604330 -374.485670 -374.485670
77 87.603947 87.603947 -374.486053 -374.486053
46409 0.000000 0.000000 -462.090000 -462.090000
120000 127.086886 0.000000 127.086886 -462.090000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 59.786333 59.786333 137.446333 137.446333
2 59.786270 59.786270 137.446270 137.446270
5 59.785977 59.785977 137.445977 137.445977
8 59.784267 59.784267 137.444267 137.444267
401 59.059340 59.059340 136.719340 136.719340
402 59.057953 59.057953 136.717953 136.717953
404 59.057678 59.057678 136.717678 136.717678
410 59.056967 59.056967 136.716967 136.716967
46437 0.000000 0.000000 77.660000 77.660000
120000 0.000000 0.000000 0.000000 77.660000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5443.203608 5443.203608 5520.863608 5520.863608
3 5443.202257 5443.202257 5520.862257 5520.862257
9 5443.170283 5443.170283 5520.830283 5520.830283
11 537.523506 537.523506 615.183506 615.183506
14 537.523503 537.523503 615.183503 615.183503
15 537.519735 537.519735 615.179735 615.179735
19 537.515696 537.515696 615.175696 615.175696
21 225.813116 225.813116 303.473116 303.473116
24 225.812244 225.812244 303.472244 303.472244
31 209.905757 209.905757 287.565757 287.565757
32 209.904937 209.904937 287.564937 287.564937
33 209.904326 209.904326 287.564326 287.564326
37 209.904029 209.904029 287.564029 287.564029
51 116.059754 116.059754 193.719754 193.719754
52 116.058937 116.058937 193.718937 193.718937
53 116.058904 116.058904 193.718904 193.718904
55 116.058271 116.058271 193.718271 193.718271
58 116.057822 116.057822 193.717822 193.717822
231 54.173386 54.173386 131.833386 131.833386
238 54.173212 54.173212 131.833212 131.833212
240 54.172247 54.172247 131.832247 131.832247
43005 0.000000 0.000000 77.660000 77.660000
120000 0.000000 0.000000 0.000000 77.660000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 488.771379 488.771379 566.431379 566.431379
2 488.770901 488.770901 566.430901 566.430901
6 488.770620 488.770620 566.430620 566.430620
10 488.768567 488.768567 566.428567 566.428567
11 283.377831 283.377831 361.037831 361.037831
17 283.377550 283.377550 361.037550 361.037550
19 283.376081 283.376081 361.036081 361.036081
71 108.708188 108.708188 186.368188 186.368188
72 108.707403 108.707403 186.367403 186.367403
74 108.707229 108.707229 186.367229 186.367229
79 108.705747 108.705747 186.365747 186.365747
201 75.581224 75.581224 153.241224 153.241224
202 75.580868 75.580868 153.240868 153.240868
203 75.580508 75.580508 153.240508 153.240508
208 75.580099 75.580099 153.240099 153.240099
209 75.579762 75.579762 153.239762 153.239762
46647 0.000000 0.000000 77.660000 77.660000
120000 0.000000 0.000000 0.000000 77.660000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 199.536182 199.536182 315.216182 315.216182
2 199.534888 199.534888 315.214888 315.214888
4 199.534888 199.534888 315.214888 315.214888
5 199.533757 199.533757 315.213757 315.213757
11 196.324375 196.324375 312.004375 312.004375
12 196.323926 196.323926 312.003926 312.003926
14 196.323449 196.323449 312.003449 312.003449
16 196.323125 196.323125 312.003125 312.003125
19 196.322281 196.322281 312.002281 312.002281
21 174.790476 174.790476 290.470476 290.470476
22 174.789547 174.789547 290.469547 290.469547
41 55.694780 55.694780 171.374780 171.374780
42 55.694458 55.694458 171.374458 171.374458
43 55.693867 55.693867 171.373867 171.373867
48 55.692843 55.692843 171.372843 171.372843
49 55.692822 55.692822 171.372822 171.372822
46283 0.000000 0.000000 115.680000 115.680000
120000 0.000000 0.000000 0.000000 115.680000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4549.350138 4549.350138 4665.030138 4665.030138
2 4549.348718 4549.348718 4665.028718 4665.028718
4 4549.348535 4549.348535 4665.028535 4665.028535
5 4549.348372 4549.348372 4665.028372 4665.028372
9 4549.322212 4549.322212 4665.002212 4665.002212
11 797.936067 797.936067 913.616067 913.616067
12 797.935730 797.935730 913.615730 913.615730
13 797.935306 797.935306 913.615306 913.615306
17 797.933957 797.933957 913.613957 913.613957
21 131.878354 131.878354 247.558354 247.558354
26 131.877639 131.877639 247.557639 247.557639
27 131.877500 131.877500 247.557500 247.557500
30 131.875853 131.875853 247.555853 247.555853
51 123.778275 123.778275 239.458275 239.458275
52 123.778051 123.778051 239.458051 239.458051
55 123.776719 123.776719 239.456719 239.456719
59 123.776530 123.776530 239.456530 239.456530
