"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 163.555180 163.555180 154.345180 154.345180
2 163.555160 163.555160 154.345160 154.345160
4 163.555152 163.555152 154.345152 154.345152
6 163.555138 163.555138 154.345138 154.345138
8 163.555114 163.555114 154.345114 154.345114
9 163.555070 163.555070 154.345070 154.345070
11 74.364239 74.364239 65.154239 65.154239
12 74.364219 74.364219 65.154219 65.154219
14 74.364211 74.364211 65.154211 65.154211
16 74.364197 74.364197 65.154197 65.154197
18 74.364173 74.364173 65.154173 65.154173
19 74.364129 74.364129 65.154129 65.154129
111 56.494373 56.494373 47.284373 47.284373
112 56.494353 56.494353 47.284353 47.284353
114 56.494345 56.494345 47.284345 47.284345
116 56.494331 56.494331 47.284331 47.284331
118 56.494306 56.494306 47.284306 47.284306
119 56.494263 56.494263 47.284263 47.284263
411 42.043750 42.043750 32.833750 32.833750
412 42.043730 42.043730 32.833730 32.833730
414 42.043723 42.043723 32.833723 32.833723
416 42.043709 42.043709 32.833709 32.833709
418 42.043684 42.043684 32.833684 32.833684
419 42.043640 42.043640 32.833640 32.833640
421 21.762853 21.762853 12.552853 12.552853
422 21.762833 21.762833 12.552833 12.552833
424 21.762825 21.762825 12.552825 12.552825
426 21.762812 21.762812 12.552812 12.552812
428 21.762787 21.762787 12.552787 12.552787
429 21.762743 21.762743 12.552743 12.552743
120000 64888677172814880031589613082355717274620456609002997151694848.000000 21.762743 64888677172814880031589613082355717274620456609002997151694848.000000 12.552743
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88.915986 88.915986 79.705986 79.705986
2 88.915966 88.915966 79.705966 79.705966
4 88.915958 88.915958 79.705958 79.705958
6 88.915944 88.915944 79.705944 79.705944
8 88.915920 88.915920 79.705920 79.705920
9 88.915876 88.915876 79.705876 79.705876
11 73.182664 73.182664 63.972664 63.972664
12 73.182644 73.182644 63.972644 63.972644
14 73.182636 73.182636 63.972636 63.972636
16 73.182622 73.182622 63.972622 63.972622
18 73.182598 73.182598 63.972598 63.972598
19 73.182554 73.182554 63.972554 63.972554
41 70.980404 70.980404 61.770404 61.770404
42 70.980384 70.980384 61.770384 61.770384
44 70.980376 70.980376 61.770376 61.770376
46 70.980362 70.980362 61.770362 61.770362
48 70.980338 70.980338 61.770338 61.770338
49 70.980294 70.980294 61.770294 61.770294
141 23.602416 23.602416 14.392416 14.392416
142 23.602396 23.602396 14.392396 14.392396
144 23.602388 23.602388 14.392388 14.392388
146 23.602374 23.602374 14.392374 14.392374
148 23.602350 23.602350 14.392350 14.392350
149 23.602306 23.602306 14.392306 14.392306
120000 41733368291831420684170582304964461061565119493998628787191808.000000 23.602306 41733368291831420684170582304964461061565119493998628787191808.000000 14.392306
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 143.634368 143.634368 134.424368 134.424368
2 143.634348 143.634348 134.424348 134.424348
4 143.634340 143.634340 134.424340 134.424340
6 143.634326 143.634326 134.424326 134.424326
8 143.634301 143.634301 134.424301 134.424301
9 143.634258 143.634258 134.424258 134.424258
11 74.374711 74.374711 65.164711 65.164711
12 74.374691 74.374691 65.164691 65.164691
14 74.374683 74.374683 65.164683 65.164683
16 74.374669 74.374669 65.164669 65.164669
18 74.374645 74.374645 65.164645 65.164645
19 74.374601 74.374601 65.164601 65.164601
81 34.830008 34.830008 25.620008 25.620008
82 34.829988 34.829988 25.619988 25.619988
84 34.829981 34.829981 25.619981 25.619981
86 34.829967 34.829967 25.619967 25.619967
88 34.829942 34.829942 25.619942 25.619942
89 34.829898 34.829898 25.619898 25.619898
131 18.966319 18.966319 9.756319 9.756319
132 18.966299 18.966299 9.756299 9.756299
134 18.966292 18.966292 9.756292 9.756292
136 18.966278 18.966278 9.756278 9.756278
138 18.966253 18.966253 9.756253 9.756253
139 18.966209 18.966209 9.756209 9.756209
120000 23724250109446958310222959049640435076498433681805729230487552.000000 18.966209 23724250109446958310222959049640435076498433681805729230487552.000000 9.756209
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 118.496497 118.496497 774.486497 774.486497
2 118.496477 118.496477 774.486477 774.486477
3 118.496469 118.496469 774.486469 774.486469
5 118.496455 118.496455 774.486455 774.486455
8 118.496430 118.496430 774.486430 774.486430
9 118.496387 118.496387 774.486387 774.486387
11 112.609086 112.609086 768.599086 768.599086
12 112.609066 112.609066 768.599066 768.599066
13 112.609058 112.609058 768.599058 768.599058
15 112.609044 112.609044 768.599044 768.599044
18 112.609019 112.609019 768.599019 768.599019
19 112.608976 112.608976 768.598976 768.598976
21 100.354857 100.354857 756.344857 756.344857
22 100.354837 100.354837 756.344837 756.344837
23 100.354830 100.354830 756.344830 756.344830
25 100.354816 100.354816 756.344816 756.344816
28 100.354791 100.354791 756.344791 756.344791
29 100.354747 100.354747 756.344747 756.344747
31 76.157492 76.157492 732.147492 732.147492
32 76.157472 76.157472 732.147472 732.147472
33 76.157464 76.157464 732.147464 732.147464
35 76.157451 76.157451 732.147451 732.147451
38 76.157426 76.157426 732.147426 732.147426
39 76.157382 76.157382 732.147382 732.147382
61 54.486016 54.486016 710.476016 710.476016
62 54.485996 54.485996 710.475996 710.475996
63 54.485988 54.485988 710.475988 710.475988
65 54.485974 54.485974 710.475974 710.475974
68 54.485950 54.485950 710.475950 710.475950
69 54.485906 54.485906 710.475906 710.475906
221 41.854921 41.854921 697.844921 697.844921
222 41.854901 41.854901 697.844901 697.844901
223 41.854893 41.854893 697.844893 697.844893
225 41.854879 41.854879 697.844879 697.844879
228 41.854855 41.854855 697.844855 697.844855
229 41.854811 41.854811 697.844811 697.844811
341 35.072504 35.072504 691.062504 691.062504
342 35.072484 35.072484 691.062484 691.062484
343 35.072476 35.072476 691.062476 691.062476
345 35.072462 35.072462 691.062462 691.062462
348 35.072437 35.072437 691.062437 691.062437
349 35.072394 35.072394 691.062394 691.062394
120000 31370779554455541936944368403634078994469430363410178024407040.000000 35.072394 31370779554455541936944368403634078994469430363410178024407040.000000 691.062394
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 145.271847 145.271847 801.261847 801.261847
2 145.271827 145.271827 801.261827 801.261827
3 145.271819 145.271819 801.261819 801.261819
5 145.271805 145.271805 801.261805 801.261805
8 145.271781 145.271781 801.261781 801.261781
9 145.271737 145.271737 801.261737 801.261737
21 69.839893 69.839893 725.829893 725.829893
22 69.839873 69.839873 725.829873 725.829873
23 69.839865 69.839865 725.829865 725.829865
25 69.839851 69.839851 725.829851 725.829851
28 69.839827 69.839827 725.829827 725.829827
29 69.839783 69.839783 725.829783 725.829783
91 67.544506 67.544506 723.534506 723.534506
92 67.544486 67.544486 723.534486 723.534486
93 67.544479 67.544479 723.534479 723.534479
95 67.544465 67.544465 723.534465 723.534465
98 67.544440 67.544440 723.534440 723.534440
99 67.544396 67.544396 723.534396 723.534396
171 60.800664 60.800664 716.790664 716.790664
172 60.800644 60.800644 716.790644 716.790644
173 60.800637 60.800637 716.790637 716.790637
175 60.800623 60.800623 716.790623 716.790623
178 60.800598 60.800598 716.790598 716.790598
179 60.800554 60.800554 716.790554 716.790554
231 50.298871 50.298871 706.288871 706.288871
232 50.298851 50.298851 706.288851 706.288851
233 50.298843 50.298843 706.288843 706.288843
235 50.298829 50.298829 706.288829 706.288829
238 50.298805 50.298805 706.288805 706.288805
239 50.298761 50.298761 706.288761 706.288761
481 43.403789 43.403789 699.393789 699.393789
482 43.403769 43.403769 699.393769 699.393769
483 43.403761 43.403761 699.393761 699.393761
485 43.403747 43.403747 699.393747 699.393747
488 43.403722 43.403722 699.393722 699.393722
489 43.403679 43.403679 699.393679 699.393679
120000 10959941445114429185802877718110158993312556595884522567892992.000000 43.403679 10959941445114429185802877718110158993312556595884522567892992.000000 699.393679
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 139.771612 139.771612 795.761612 795.761612
2 139.771592 139.771592 795.761592 795.761592
3 139.771585 139.771585 795.761585 795.761585
5 139.771571 139.771571 795.761571 795.761571
8 139.771546 139.771546 795.761546 795.761546
9 139.771502 139.771502 795.761502 795.761502
21 126.976761 126.976761 782.966761 782.966761
22 126.976741 126.976741 782.966741 782.966741
23 126.976733 126.976733 782.966733 782.966733
25 126.976720 126.976720 782.966720 782.966720
28 126.976695 126.976695 782.966695 782.966695
29 126.976651 126.976651 782.966651 782.966651
31 117.140495 117.140495 773.130495 773.130495
32 117.140475 117.140475 773.130475 773.130475
33 117.140468 117.140468 773.130468 773.130468
35 117.140454 117.140454 773.130454 773.130454
38 117.140429 117.140429 773.130429 773.130429
39 117.140385 117.140385 773.130385 773.130385
51 79.047983 79.047983 735.037983 735.037983
52 79.047963 79.047963 735.037963 735.037963
53 79.047955 79.047955 735.037955 735.037955
55 79.047942 79.047942 735.037942 735.037942
58 79.047917 79.047917 735.037917 735.037917
